RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Kevin Garnett, MIN",82,39.4,.547,16.8,8.7,27.1,9.0,30.0,20.1,29.50,434.6,14.5
2,"Tim Duncan, SA",69,36.6,.534,11.6,10.0,27.1,10.0,27.6,19.0,27.14,288.1,9.6
3,"Tracy McGrady, ORL",67,39.9,.526,15.8,7.7,30.9,4.0,13.3,8.5,25.28,323.3,10.8
4,"Shaquille O'Neal, LAL",67,36.8,.578,12.0,11.9,23.9,11.0,24.4,17.7,24.48,250.7,8.4
5,"Kobe Bryant, LAL",65,37.6,.551,17.2,8.9,27.0,5.0,12.0,8.3,23.67,253.1,8.4
6,"Elton Brand, LAC",69,38.7,.567,13.9,11.8,22.0,11.0,19.1,15.2,23.32,225.9,7.5
7,"Sam Cassell, MIN",81,35.0,.566,26.6,9.9,26.1,2.0,8.7,5.5,22.84,271.4,9.0
8,"Andrei Kirilenko, UTAH",78,37.1,.559,15.2,13.4,20.8,10.0,17.5,13.5,22.79,244.4,8.1
9,"Dirk Nowitzki, DAL",77,37.9,.561,11.3,7.3,22.6,3.0,22.2,12.5,22.56,248.3,8.3
10,"Yao Ming, HOU",82,32.8,.586,7.9,13.2,22.4,9.0,22.4,16.1,21.96,218.5,7.3
11,"Pau Gasol, MEM",78,31.5,.542,11.9,11.3,24.5,9.0,18.3,13.8,21.79,186.1,6.2
12,"Ray Allen, SEA",56,38.4,.566,17.2,10.0,25.6,4.0,11.8,7.8,21.76,193.8,6.5
,"Peja Stojakovic, SAC",81,40.3,.624,9.1,8.1,21.2,3.0,14.1,8.8,21.76,286.8,9.6
14,"Antawn Jamison, DAL",82,29.0,.581,5.9,6.8,18.7,10.0,13.5,11.9,21.27,170.7,5.7
15,"Jermaine O'Neal, IND",78,35.7,.489,8.4,9.3,27.2,8.0,25.0,16.5,21.20,199.4,6.6
16,"Carlos Boozer, CLE",75,34.6,.567,11.3,10.2,18.5,10.0,26.8,18.3,20.84,172.1,5.7
17,"Baron Davis, NO",67,40.1,.492,22.0,9.5,29.2,3.0,9.6,6.1,20.74,213.0,7.1
18,"Steve Nash, DAL",78,33.5,.590,37.1,11.3,20.6,2.0,7.4,4.8,20.46,200.9,6.7
19,"Stephon Marbury, NY/PHX",81,40.2,.519,28.2,9.8,26.0,2.0,6.6,4.6,20.41,249.5,8.3
20,"Zydrunas Ilgauskas, CLE",81,31.3,.541,7.7,11.5,20.9,12.0,16.3,14.2,20.28,176.3,5.9
21,"Erick Dampier, GS",74,32.5,.573,6.1,13.3,15.9,16.0,25.5,20.8,20.24,152.7,5.1
22,"Marquis Daniels, DAL",56,18.6,.536,19.2,7.3,19.7,7.0,8.6,7.6,20.13,76.7,2.6
23,"Corey Maggette, LAC",73,36.0,.586,13.0,12.1,23.6,4.0,14.6,9.3,20.10,198.1,6.6
24,"Shareef Abdur-Rahim, ATL/POR",85,31.6,.557,10.9,11.5,22.5,8.0,20.3,14.3,20.00,169.5,5.6
25,"Vince Carter, TOR",73,38.2,.501,15.7,10.1,29.6,4.0,10.6,7.2,19.99,218.3,7.3
26,"Shawn Marion, PHX",79,40.7,.513,11.7,8.5,20.4,7.0,18.7,13.1,19.96,196.4,6.5
27,"Michael Redd, MIL",82,36.8,.544,9.6,6.0,23.6,4.0,10.9,7.7,19.87,231.1,7.7
28,"Amar'e Stoudemire, PHX",55,36.8,.536,5.9,13.5,24.2,9.0,19.2,14.0,19.85,140.0,4.7
29,"Antonio Daniels, SEA",71,21.3,.596,35.6,7.3,16.9,2.0,9.2,5.5,19.72,100.1,3.3
30,"Jason Kidd, NJ",67,36.6,.485,32.5,11.3,24.5,4.0,16.5,10.3,19.70,167.4,5.6
31,"Zach Randolph, POR",81,37.9,.528,8.4,12.7,25.1,9.0,23.4,16.5,19.63,191.6,6.4
32,"Brian Cardinal, GS",76,21.5,.626,13.3,10.9,17.3,7.0,15.0,10.9,19.44,90.8,3.0
33,"Brad Miller, SAC",72,36.4,.579,23.4,10.8,16.6,8.0,23.3,16.1,19.42,162.3,5.4
34,"Paul Pierce, BOS",80,38.7,.517,16.5,12.2,27.6,3.0,16.4,9.6,19.37,220.5,7.4
35,"Stromile Swift, MEM",77,19.8,.530,4.7,10.8,20.3,10.0,17.7,14.0,19.30,79.0,2.6
,"Allen Iverson, PHI",48,42.5,.478,17.4,11.2,33.0,2.0,8.2,5.1,19.30,155.7,5.2
37,"Mike Bibby, SAC",82,36.3,.564,22.7,9.0,21.6,3.0,7.8,5.3,19.23,199.7,6.7
38,"Bobby Jackson, SAC",50,23.7,.538,13.0,7.8,24.2,5.0,11.1,8.3,19.15,78.0,2.6
39,"Donyell Marshall, CHI/TOR",82,36.4,.548,9.1,8.7,17.5,8.0,23.6,15.8,19.03,153.3,5.1
40,"James Posey, MEM",82,29.9,.614,10.6,9.7,17.2,4.0,14.5,9.3,18.88,142.7,4.8
41,"Andre Miller, DEN",82,34.6,.541,27.3,11.7,20.5,5.0,9.7,7.3,18.87,166.0,5.5
42,"Kenyon Martin, NJ",65,34.6,.528,11.8,12.4,22.4,7.0,25.3,16.2,18.76,115.3,3.8
43,"Chauncey Billups, DET",78,35.4,.550,24.3,10.3,22.9,1.0,10.0,5.8,18.66,167.4,5.6
44,"Manu Ginobili, SA",77,29.4,.536,21.2,11.7,21.1,4.0,12.6,8.5,18.54,137.0,4.6
45,"Lamar Odom, MIA",80,37.5,.516,17.3,12.5,22.8,6.0,24.2,15.1,18.49,160.4,5.3
46,"Mehmet Okur, DET",71,22.3,.538,8.6,12.6,19.7,12.0,18.8,15.4,18.47,74.5,2.5
47,"Brent Barry, SEA",59,30.6,.668,35.8,14.5,16.1,1.0,11.9,6.7,18.34,105.8,3.5
48,"LeBron James, CLE",79,39.5,.488,19.1,11.2,26.9,4.0,11.8,7.7,18.30,209.3,7.0
49,"Metta World Peace, IND",73,37.2,.511,15.3,11.4,24.3,4.0,12.5,8.4,18.21,162.4,5.4
50,"Richard Jefferson, NJ",82,38.2,.573,17.2,10.8,20.9,4.0,13.3,8.7,18.15,181.4,6.0
51,"Rasheed Wallace, ATL/DET/POR",68,35.1,.510,11.6,8.9,27.4,3.0,13.3,8.1,17.91,130.0,4.3
52,"Marcus Camby, DEN",72,30.0,.511,15.7,11.7,13.4,11.0,27.4,19.0,17.90,91.6,3.1
53,"Michael Finley, DAL",72,38.6,.539,13.8,5.4,19.5,3.0,9.9,6.4,17.84,166.1,5.5
54,"Karl Malone, LAL",42,32.7,.555,21.3,13.5,18.7,5.0,25.6,15.1,17.82,63.8,2.1
55,"Keith Van Horn, MIL/NY",72,32.5,.564,9.1,12.8,21.6,7.0,17.7,12.6,17.80,113.8,3.8
56,"Dwyane Wade, MIA",61,34.9,.530,19.6,13.9,23.5,5.0,9.0,6.8,17.61,122.8,4.1
57,"Carmelo Anthony, DEN",82,36.5,.509,10.5,11.4,26.0,7.0,12.1,9.4,17.58,171.6,5.7
,"Larry Hughes, WSH",61,33.8,.496,10.2,10.4,25.7,5.0,12.9,8.9,17.58,116.5,3.9
59,"Rashard Lewis, SEA",80,36.6,.527,10.6,8.1,21.0,5.0,15.4,10.4,17.50,136.5,4.5
60,"Ben Wallace, DET",81,37.7,.441,12.1,10.8,14.1,12.0,25.5,19.1,17.45,102.5,3.4
61,"Gary Payton, LAL",82,34.5,.528,25.9,8.7,19.9,3.0,11.0,6.9,17.34,143.4,4.8
62,"Brendan Haywood, WSH",77,19.3,.547,7.0,13.0,15.4,14.0,15.6,14.6,17.33,61.4,2.0
63,"Speedy Claxton, GS",60,26.6,.509,26.9,10.3,20.5,3.0,8.4,5.5,17.31,77.9,2.6
64,"Chris Webber, SAC",23,36.1,.456,16.5,9.4,26.4,7.0,20.3,13.6,17.18,44.9,1.5
65,"Dan Gadzuric, MIL",75,16.8,.529,5.9,9.5,14.2,11.0,19.8,15.6,17.12,49.4,1.6
66,"Jason Williams, MEM",72,29.4,.517,35.5,9.8,19.7,1.0,6.6,3.9,16.95,101.1,3.4
67,"Richard Hamilton, DET",78,35.5,.522,16.9,11.4,24.2,3.0,8.3,5.8,16.86,140.8,4.7
68,"Carlos Arroyo, UTAH",71,28.3,.517,25.8,11.3,23.6,2.0,9.0,5.7,16.83,93.5,3.1
69,"Troy Murphy, GS",28,21.8,.501,6.0,10.2,21.0,9.0,23.2,16.0,16.81,24.0,0.8
,"Jason Richardson, GS",78,37.6,.504,12.1,10.5,23.6,5.0,15.4,10.1,16.81,153.7,5.1
71,"Eddie Jones, MIA",81,37.0,.538,15.3,7.6,20.7,1.0,10.6,6.0,16.73,151.6,5.1
72,"Joe Smith, MIL",76,29.7,.510,8.0,8.4,16.1,12.0,20.8,16.2,16.62,77.2,2.6
,"Jamaal Magloire, NO",82,33.9,.551,6.6,15.4,18.1,11.0,24.4,17.4,16.62,112.0,3.7
74,"Jamaal Tinsley, IND",52,26.5,.541,37.3,13.5,18.3,2.0,9.4,5.8,16.50,55.6,1.9
75,"Etan Thomas, WSH",79,24.1,.538,8.1,13.5,16.3,11.0,20.9,15.6,16.48,69.0,2.3
76,"Rodney White, DEN",72,13.7,.527,9.2,12.0,24.0,5.0,14.1,9.5,16.42,45.9,1.5
77,"Jeff Foster, IND",82,23.9,.578,11.6,10.8,10.8,15.0,22.0,18.4,16.38,59.0,2.0
78,"Robert Traylor, NO",71,13.3,.527,9.6,13.8,18.0,13.0,19.4,15.9,16.33,26.1,0.9
79,"Vlade Divac, SAC",81,28.6,.511,31.1,12.5,18.4,7.0,15.6,11.3,16.29,98.6,3.3
80,"Samuel Dalembert, PHI",82,26.8,.566,3.1,12.6,12.5,10.0,22.9,16.8,16.28,66.7,2.2
81,"Jason Terry, ATL",81,37.3,.519,22.1,11.6,22.2,2.0,10.6,6.3,16.27,133.8,4.5
,"Bob Sura, ATL/DET",80,20.8,.510,25.3,11.4,15.8,5.0,11.8,8.4,16.27,62.6,2.1
83,"Nazr Mohammed, ATL/NY",80,20.1,.542,5.3,14.2,15.8,13.0,22.0,17.8,16.23,57.0,1.9
,"Matt Harpring, UTAH",31,36.6,.524,10.4,10.7,20.7,10.0,17.3,13.5,16.23,46.6,1.6
85,"Earl Boykins, DEN",82,22.5,.501,23.9,8.1,21.6,3.0,6.3,4.4,16.22,81.0,2.7
86,"Darius Miles, CLE/POR",79,26.3,.514,14.3,11.5,20.2,6.0,12.7,9.6,16.16,89.2,3.0
87,"Stephen  Jackson, ATL",80,36.8,.521,13.1,12.0,22.9,4.0,10.4,7.1,16.14,136.8,4.6
88,"Ricky Davis, BOS/CLE",79,31.3,.533,17.1,12.5,22.3,2.0,14.3,8.4,16.13,110.8,3.7
,"Toni Kukoc, MIL",73,20.8,.519,22.1,12.2,19.9,4.0,15.7,10.1,16.13,69.2,2.3
90,"Reggie Miller, IND",80,28.2,.600,25.3,6.9,15.0,1.0,9.0,4.9,16.12,95.1,3.2
91,"Mark Blount, BOS",82,29.3,.601,8.1,16.2,14.1,10.0,17.9,14.0,16.07,79.0,2.6
92,"Danny Fortson, DAL",56,11.2,.605,4.0,16.4,13.6,19.0,24.3,21.8,16.06,18.2,0.6
93,"David West, NO",71,13.1,.519,16.2,12.9,14.4,14.0,22.6,18.2,16.04,22.8,0.8
94,"Kenny Thomas, PHI",74,36.5,.527,9.0,13.9,17.7,12.0,21.1,16.4,16.00,78.7,2.6
95,"Gilbert Arenas, WSH",55,37.6,.512,17.7,14.5,25.9,3.0,11.1,6.9,15.96,88.7,3.0
96,"Chris Crawford, ATL",56,21.6,.544,7.2,8.8,19.5,5.0,10.9,8.2,15.87,48.5,1.6
97,"Jamal Crawford, CHI",80,35.1,.486,20.0,9.5,24.4,2.0,9.5,5.5,15.86,131.8,4.4
98,"P.J. Brown, NO",80,34.4,.527,14.8,9.6,13.9,10.0,19.3,14.3,15.83,71.4,2.4
,"Steve Francis, HOU",79,40.4,.501,23.5,14.0,22.7,5.0,11.1,8.0,15.83,126.2,4.2
100,"Antoine Walker, DAL",82,34.6,.475,20.7,11.3,20.9,7.0,19.1,13.1,15.79,101.6,3.4
101,"Josh Howard, DAL",67,23.7,.485,12.8,8.9,16.9,10.0,15.4,12.6,15.78,58.6,2.0
102,"Kwame Brown, WSH",74,30.3,.547,11.3,14.2,15.9,9.0,19.2,13.8,15.77,77.0,2.6
103,"Shawn Bradley, DAL",66,11.7,.523,8.1,6.9,11.7,10.0,14.6,12.2,15.75,21.4,0.7
104,"Scott Padgett, HOU",58,9.4,.552,10.2,9.7,15.8,10.0,19.1,15.0,15.74,14.1,0.5
105,"Darrel Armstrong, NO",79,28.4,.525,24.6,12.2,19.1,3.0,8.5,5.7,15.67,81.4,2.7
106,"Tony Parker, SA",75,34.4,.516,24.8,10.8,21.7,2.0,8.3,5.1,15.66,104.3,3.5
,"Desmond Mason, MIL",82,30.9,.552,11.1,10.8,19.7,4.0,11.9,8.0,15.66,107.4,3.6
108,"Juwan Howard, ORL",81,35.5,.513,9.4,10.6,21.6,7.0,16.1,11.2,15.64,99.6,3.3
109,"Drew Gooden, ORL",79,27.0,.484,7.7,10.9,20.4,8.0,19.3,13.7,15.61,67.7,2.3
110,"Shane Battier, MEM",79,24.6,.544,13.1,7.3,14.3,6.0,11.8,8.8,15.42,60.9,2.0
111,"Ronald Murray, SEA",82,24.6,.497,14.9,10.9,24.4,3.0,9.2,5.9,15.41,80.0,2.7
112,"Chris Wilcox, LAC",65,20.6,.557,8.1,12.6,17.7,11.0,15.4,13.0,15.39,34.3,1.1
113,"Rasho Nesterovic, SA",82,28.7,.473,11.7,11.0,15.4,12.0,17.6,15.0,15.35,66.3,2.2
