RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"LeBron James, CLE",75,40.4,.568,19.4,9.2,32.7,5.0,17.8,11.1,29.15,842.6,28.1
2,"Chris Paul, NO",80,37.6,.576,35.7,7.8,27.0,2.0,10.3,6.2,28.39,780.1,26.0
3,"Amar'e Stoudemire, PHX",79,33.9,.656,6.5,9.6,24.7,8.0,21.1,15.2,27.29,631.0,21.0
4,"Kevin Garnett, BOS",71,32.8,.588,16.1,9.1,23.7,7.0,25.1,16.7,25.42,483.5,16.1
5,"Dirk Nowitzki, DAL",77,36.0,.585,13.4,8.1,26.7,4.0,22.8,13.8,24.78,549.0,18.3
6,"Chris Bosh, TOR",67,36.2,.588,10.7,9.6,25.1,8.0,20.1,14.2,24.23,460.9,15.4
7,"Kobe Bryant, LAL",82,38.9,.576,16.2,9.5,29.3,3.0,14.1,9.0,24.09,647.4,21.6
8,"Manu Ginobili, SA",74,31.0,.612,19.4,11.7,27.0,3.0,14.7,9.1,24.07,464.2,15.5
9,"Tim Duncan, SA",78,34.0,.546,12.3,10.0,25.7,11.0,28.3,19.6,24.05,532.3,17.7
10,"Chauncey Billups, DET",78,32.3,.619,30.1,9.1,23.5,2.0,8.1,5.0,23.48,469.8,15.7
11,"Al Jefferson, MIN",82,35.6,.535,6.2,8.8,25.1,12.0,24.7,18.1,22.84,533.1,17.8
12,"Dwight Howard, ORL",82,37.7,.619,6.3,15.1,21.4,11.0,31.6,21.7,22.61,553.7,18.5
13,"Yao Ming, HOU",55,37.2,.587,9.6,13.6,25.1,10.0,22.9,16.4,22.55,364.7,12.2
14,"Andrew Bynum, LAL",35,28.8,.659,13.2,11.3,16.2,12.0,26.5,19.6,22.19,174.3,5.8
15,"Carlos Boozer, UTAH",81,34.9,.581,12.2,11.0,24.7,9.0,27.7,18.3,21.83,435.9,14.5
16,"Dwyane Wade, MIA",51,38.3,.549,20.6,13.0,31.2,3.0,10.6,6.6,21.71,327.0,10.9
17,"Kevin Martin, SAC",61,36.3,.618,9.0,9.2,23.6,3.0,11.7,7.3,21.51,364.1,12.1
18,"Pau Gasol, LAL/MEM",66,35.6,.594,15.2,9.0,20.0,8.0,18.3,13.1,21.42,348.0,11.6
19,"Carl Landry, HOU",42,16.9,.641,6.7,8.3,17.3,16.0,17.4,16.5,21.41,105.2,3.5
20,"Carmelo Anthony, DEN",77,36.4,.568,11.5,11.2,27.5,7.0,14.9,11.0,21.29,451.9,15.1
21,"Allen Iverson, DEN",82,41.8,.567,21.4,8.9,25.4,2.0,6.1,3.8,21.06,539.4,18.0
22,"Leon Powe, BOS",56,14.4,.629,3.6,10.4,20.2,15.0,18.3,16.7,21.04,115.2,3.8
,"Steve Nash, PHX",81,34.3,.641,39.7,13.0,22.9,1.0,9.6,5.7,21.04,416.5,13.9
24,"Jose Calderon, TOR",82,30.3,.607,43.4,8.1,18.3,2.0,9.7,5.6,20.77,362.0,12.1
25,"T.J. Ford, TOR",51,23.5,.533,31.5,10.3,26.8,2.0,7.6,4.9,20.76,174.6,5.8
26,"Deron Williams, UTAH",82,37.3,.595,35.3,11.4,24.2,1.0,8.3,4.9,20.75,444.9,14.8
27,"Caron Butler, WSH",58,39.9,.558,19.0,10.1,23.2,5.0,15.3,9.8,20.59,348.6,11.6
28,"Antawn Jamison, WSH",79,38.7,.525,6.5,6.1,23.7,8.0,23.2,15.4,20.19,396.8,13.2
29,"David West, NO",76,37.8,.535,9.8,9.2,24.1,7.0,20.6,13.7,19.98,363.4,12.1
30,"Paul Pierce, BOS",80,35.9,.599,19.2,11.7,23.4,2.0,14.0,8.5,19.85,401.2,13.4
,"Baron Davis, GS",82,39.0,.523,24.3,9.0,25.2,3.0,10.1,6.4,19.85,422.2,14.1
32,"Tony Parker, SA",69,33.5,.542,23.2,9.3,27.0,2.0,9.6,5.6,19.83,304.7,10.2
33,"Josh Smith, ATL",81,35.5,.520,14.7,13.2,23.6,7.0,20.4,13.5,19.32,335.2,11.2
34,"Metta World Peace, SAC",57,38.1,.535,13.8,10.3,23.5,6.0,12.1,8.9,19.27,284.3,9.5
,"Brandon Roy, POR",74,37.7,.531,22.6,7.2,24.2,3.0,11.2,7.3,19.27,365.5,12.2
36,"Corey Maggette, LAC",70,35.7,.595,11.2,11.6,25.1,4.0,14.7,9.1,19.14,322.6,10.8
37,"Shawn Marion, MIA/PHX",63,36.7,.570,12.8,8.0,18.9,7.0,23.6,15.6,19.10,297.0,9.9
38,"Andre Iguodala, PHI",82,39.5,.543,18.6,10.2,23.2,3.0,13.4,8.2,19.09,415.8,13.9
,"Michael Redd, MIL",72,37.5,.559,13.1,9.6,25.8,4.0,10.2,6.7,19.09,346.5,11.5
