Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
AJ Price,CLE,28,6-2,195,Connecticut,USA,2009,2,52,26,5.1,1.2,1.8,-10.0,1.7%,8.5%,21.8%,45.1%,25.4%
Aaron Brooks,CHI,30,6-0,161,Oregon,USA,2007,1,26,82,11.6,2.0,3.2,5.0,1.7%,6.8%,24.6%,53.4%,24.5%
Aaron Gordon,ORL,19,6-9,220,Arizona,USA,2014,1,4,47,5.2,3.6,0.7,-7.9,5.8%,15.1%,15.1%,51.7%,6.4%
Adreian Payne,MIN,24,6-10,245,Michigan State,USA,2014,1,15,32,6.7,5.1,0.9,-17.0,6.6%,16.8%,17.3%,44.3%,6.7%
Al Horford,ATL,29,6-10,250,Florida,Dominican Rep...,2007,1,3,76,15.2,7.2,3.2,6.7,6.1%,17.3%,22.0%,56.3%,17.8%
Al Jefferson,CHA,30,6-10,289,None,USA,2004,1,15,65,16.6,8.4,1.7,-3.4,4.9%,23.0%,26.5%,50.0%,11.0%
Al-Farouq Aminu,DAL,24,6-9,215,Wake Forest,USA,2010,1,8,74,5.6,4.6,0.8,5.3,8.1%,16.1%,14.6%,50.4%,6.2%
Alan Anderson,BKN,32,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,74,7.4,2.8,1.1,-1.0,1.8%,9.6%,13.9%,56.3%,7.4%
Alec Burks,UTA,23,6-6,211,Colorado,USA,2011,1,12,27,13.9,4.2,3.0,-7.2,2.2%,11.3%,20.6%,52.4%,14.5%
Alex Kirk,CLE,23,7-0,245,New Mexico,USA,Undrafted,Undrafted,Undrafted,5,0.8,0.2,0.2,-44.1,8.3%,0.0%,16.7%,41.0%,12.5%
Alex Len,PHX,22,7-1,255,Maryland,Ukraine,2013,1,5,69,6.3,6.6,0.5,-0.3,9.2%,19.6%,13.3%,54.2%,3.0%
Alexey Shved,NYK,26,6-6,187,None,Russia,Undrafted,Undrafted,Undrafted,42,10.3,2.4,2.5,-9.1,2.7%,9.6%,25.1%,54.1%,26.0%
Alexis Ajinca,NOP,27,7-2,248,None,France,2008,1,20,68,6.5,4.6,0.7,-0.2,11.5%,22.0%,21.0%,59.5%,8.4%
Allen Crabbe,POR,23,6-6,210,California,USA,2013,2,31,51,3.3,1.4,0.8,-2.0,1.0%,9.2%,11.1%,52.5%,8.2%
Alonzo Gee,POR,28,6-6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,54,4.5,1.7,0.5,-6.1,5.4%,8.3%,16.4%,54.8%,6.2%
Amar'e Stoudemire,DAL,32,6-10,245,None,USA,2002,1,9,59,11.5,5.6,0.8,-2.5,9.1%,18.7%,23.2%,59.5%,6.4%
Amir Johnson,TOR,28,6-9,240,None,USA,2005,2,56,75,9.3,6.1,1.6,1.8,8.2%,14.6%,15.5%,60.3%,9.2%
Anderson Varejao,CLE,32,6-11,267,None,Brazil,2004,2,30,26,9.8,6.5,1.3,0.1,9.6%,19.1%,18.2%,58.0%,9.0%
Andre Dawkins,MIA,23,6-5,219,Duke,USA,Undrafted,Undrafted,Undrafted,4,0.8,0.5,0.3,-11.6,0.0%,7.1%,14.9%,25.0%,7.7%
Andre Drummond,DET,21,6-11,279,Connecticut,USA,2012,1,9,82,13.8,13.5,0.7,-0.6,16.2%,27.2%,21.7%,50.4%,3.7%
Andre Iguodala,GSW,31,6-6,215,Arizona,USA,2004,1,9,77,7.8,3.3,3.0,10.5,2.1%,9.4%,13.1%,55.3%,15.1%
Andre Miller,SAC,39,6-2,200,Utah,USA,1999,1,8,81,4.4,1.9,3.5,-4.8,3.1%,9.2%,15.2%,54.8%,35.2%
Andre Roberson,OKC,23,6-7,210,Colorado,USA,2013,1,26,67,3.4,3.8,1.0,5.6,4.6%,14.3%,8.8%,51.3%,7.5%
Andrea Bargnani,NYK,29,7-0,245,None,Italy,2006,1,1,29,14.8,4.4,1.6,-18.2,3.9%,12.8%,25.8%,52.7%,11.9%
Andrei Kirilenko,BKN,34,6-9,235,None,Russia,1999,1,24,7,0.4,1.1,0.1,-44.6,5.7%,14.6%,9.2%,22.2%,3.8%
Andrew Bogut,GSW,30,7-0,260,Utah,Australia,2005,1,1,67,6.3,8.1,2.7,16.9,9.2%,23.7%,13.1%,56.5%,14.9%
Andrew Nicholson,ORL,25,6-9,250,St. Bonaventure,Canada,2012,1,19,40,4.9,2.1,0.6,-9.7,3.5%,13.0%,20.7%,48.3%,7.6%
