,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,Anthony Davis,30.51,924.0,6-10,253.0,Kentucky,USA,2012.0,1,1,208.28,854.0,7.90%,9.0,8.5,9' 0'',7' 5.5''
1,2,James Harden,27.21,790.0,6-5,220.0,Arizona State,USA,2009.0,1,3,195.58,717.0,10.10%,-,-,8' 7.5'',6' 10.75''
2,3,LeBron James,26.45,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
3,4,Chris Paul,26.06,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
4,5,Stephen Curry,25.82,815.0,6-3,185.0,Davidson,USA,2009.0,1,7,190.5,706.0,5.70%,-,-,8' 1'',6' 3.5''
5,6,Blake Griffin,25.07,768.0,6-10,251.0,Oklahoma,USA,2009.0,1,1,208.28,715.0,8.20%,-,-,8' 9'',6' 11.25''
6,7,Pau Gasol,24.31,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
7,8,LaMarcus Aldridge,23.61,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
8,9,DeAndre Jordan,23.49,745.0,6-11,265.0,Texas A&M,USA,2008.0,2,35,210.82,658.0,7.50%,-,-,9' 5.5'',7' 6''
9,10,Nikola Vucevic,23.19,876.0,7-0,240.0,USC,Montenegro,2011.0,1,16,213.36,842.0,6.10%,9.25,10.25,9' 4.5'',7' 4.5''
10,11,Marc Gasol,21.88,705.0,7-1,265.0,None,Spain,2007.0,2,48,215.9,,,,,,
11,12,John Wall,21.59,818.0,6-4,195.0,Kentucky,USA,2010.0,1,1,193.04,788.0,5.60%,8.25,9.5,8' 5.5'',6' 9.25''
