RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
,"Shareef Abdur-Rahim, VAN",81,40.0,.549,12.5,11.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Courtney Alexander, DAL/WSH",65,21.3,.484,8.0,9.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Ray Allen, MIL",82,38.2,.610,18.2,9.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"John Amaechi, ORL",82,20.9,.455,8.1,13.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Kenny Anderson, BOS",33,25.7,.476,30.2,11.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Shandon Anderson, HOU",82,29.2,.528,19.0,13.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Derek Anderson, SA",82,34.9,.542,18.4,10.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Greg Anthony, POR",58,14.8,.525,20.8,10.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Darrel Armstrong, ORL",75,36.9,.535,28.5,10.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Metta World Peace, CHI",76,31.1,.483,17.2,12.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chucky Atkins, DET",81,29.2,.481,22.2,10.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Stacey Augmon, POR",66,17.9,.511,21.8,10.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Isaac Austin, VAN",52,16.3,.393,14.5,13.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Vin Baker, SEA",76,28.0,.481,7.4,13.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dana Barros, DET",60,18.0,.534,17.8,9.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Jon Barry, SAC",62,16.3,.550,27.7,11.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Brent Barry, SEA",67,26.5,.660,29.7,11.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Tony Battie, BOS",40,21.1,.562,5.6,13.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Jonathan Bender, IND",59,9.7,.447,11.0,14.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Corey Benjamin, CHI",65,13.2,.453,14.7,13.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Travis Best, IND",77,31.9,.517,31.8,8.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Mike Bibby, VAN",82,38.9,.525,31.5,11.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chauncey Billups, MIN",77,23.2,.538,25.2,10.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Mookie Blaylock, GS",69,34.1,.455,32.4,9.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Corie Blount, GS/PHX",68,19.2,.473,12.8,15.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Mark Blount, BOS",64,17.2,.541,9.9,19.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
