,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,Stephen Curry,29.14,815.0,6-3,185.0,Davidson,USA,2009.0,1,7,190.5,706.0,5.70%,-,-,8' 1'',6' 3.5''
1,2,Kevin Durant,28.57,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
2,3,LeBron James,28.51,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
3,4,Russell Westbrook,28.42,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
4,5,James Harden,27.57,790.0,6-5,220.0,Arizona State,USA,2009.0,1,3,195.58,717.0,10.10%,-,-,8' 7.5'',6' 10.75''
5,6,Chris Paul,24.85,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
6,7,Draymond Green,24.15,952.0,6-7,230.0,Michigan State,USA,2012.0,2,35,200.66,861.0,11.30%,9.0,9.5,8' 9'',7' 1.25''
7,8,Kawhi Leonard,23.94,875.0,6-7,225.0,San Diego State,USA,2011.0,1,15,200.66,816.0,5.40%,9.75,11.25,8' 10'',7' 3''
8,9,Karl-Anthony Towns,23.82,1084.0,7-0,248.0,Kentucky,USA,2015.0,1,1,213.36,,,,,,
9,10,Pau Gasol,23.75,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
10,11,Hassan Whiteside,23.4,844.0,7-0,235.0,Marshall,USA,2010.0,2,33,213.36,791.0,5.50%,8.25,10.25,9' 5'',7' 7''
11,12,DeAndre Jordan,22.77,745.0,6-11,265.0,Texas A&M,USA,2008.0,2,35,210.82,658.0,7.50%,-,-,9' 5.5'',7' 6''
12,13,John Wall,22.55,818.0,6-4,195.0,Kentucky,USA,2010.0,1,1,193.04,788.0,5.60%,8.25,9.5,8' 5.5'',6' 9.25''
13,14,Paul George,22.33,819.0,6-8,215.0,Fresno State,USA,2010.0,1,10,203.2,758.0,5.00%,8.5,9.0,8' 11'',6' 11.25''
14,15,Paul Millsap,22.19,655.0,6-8,253.0,Louisiana Tech,USA,2006.0,2,47,203.2,508.0,9.70%,-,-,8' 9.5'',7' 1.5''
15,16,Damian Lillard,21.73,975.0,6-3,195.0,Weber State,USA,2012.0,1,6,190.5,878.0,5.90%,8.75,9.75,7' 11.5'',6' 7.75''
16,17,Brook Lopez,21.59,718.0,7-0,265.0,Stanford,USA,2008.0,1,10,213.36,663.0,6.30%,-,-,9' 5'',7' 5.5''
17,18,Andre Drummond,21.48,979.0,6-11,279.0,Connecticut,USA,2012.0,1,9,210.82,856.0,7.50%,9.5,9.5,9' 1.5'',7' 6.25''
