RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"LeBron James, MIA",62,37.5,.605,19.4,10.7,29.8,5.0,19.7,12.6,30.80,704.8,23.5
2,"Chris Paul, LAC",60,36.4,.581,32.1,7.3,24.9,2.3,9.4,5.8,27.09,523.7,17.5
3,"Dwyane Wade, MIA",49,33.2,.559,17.0,9.8,28.9,5.6,11.6,8.7,26.37,385.0,12.8
4,"Kevin Durant, OKC",66,38.6,.610,11.6,12.4,28.4,1.9,20.4,11.8,26.26,598.9,20.0
5,"Kevin Love, MIN",55,39.0,.568,7.4,8.5,26.0,11.6,26.4,19.0,25.41,445.4,14.8
6,"Dwight Howard, ORL",54,38.3,.569,8.3,13.9,23.6,11.0,33.1,21.9,24.29,423.0,14.1
7,"Manu Ginobili, SA",34,23.3,.668,27.7,11.8,22.1,2.7,13.9,8.4,24.18,161.7,5.4
8,"Blake Griffin, LAC",66,36.2,.557,13.2,9.4,24.7,10.7,25.1,17.8,23.50,428.3,14.3
9,"Derrick Rose, CHI",39,35.3,.532,25.0,9.7,30.4,2.2,8.4,5.3,23.10,248.4,8.3
10,"Russell Westbrook, OKC",66,35.3,.538,17.7,11.7,30.4,5.0,9.4,7.4,23.00,417.6,13.9
,"Andrew Bynum, LAL",60,35.2,.594,7.2,12.9,21.5,10.6,26.1,18.7,23.00,390.9,13.0
12,"Al Jefferson, UTAH",61,34.0,.520,10.1,4.7,23.7,7.3,25.3,16.2,22.88,380.3,12.7
13,"LaMarcus Aldridge, POR",55,36.3,.560,10.2,8.5,24.5,8.6,17.5,12.9,22.73,334.2,11.1
14,"Tim Duncan, SA",58,28.2,.531,12.3,9.1,23.7,7.9,28.2,18.3,22.60,292.6,9.8
15,"Greg Monroe, DET",66,31.5,.563,12.5,13.3,21.8,13.3,23.6,18.3,22.09,357.1,11.9
16,"Tony Parker, SA",60,32.1,.539,28.4,9.4,27.1,1.3,8.7,5.1,22.04,317.0,10.6
17,"Kobe Bryant, LAL",58,38.5,.527,13.2,10.2,33.0,3.5,11.8,7.8,21.95,381.5,12.7
18,"Kenneth Faried, DEN",46,22.5,.618,7.6,11.5,16.7,16.5,22.9,19.8,21.94,172.3,5.7
19,"Paul Millsap, UTAH",64,32.8,.545,12.1,9.1,21.6,9.7,21.2,15.4,21.85,324.5,10.8
20,"Dirk Nowitzki, DAL",62,33.5,.564,9.4,8.1,26.1,2.5,20.0,11.3,21.81,319.8,10.7
21,"DeMarcus Cousins, SAC",64,30.5,.499,7.1,11.8,27.0,14.2,25.9,19.8,21.72,297.4,9.9
22,"Brandan Wright, DAL",49,16.1,.632,4.3,6.9,14.9,8.9,15.8,12.4,21.66,119.9,4.0
23,"Kyrie Irving, CLE",51,30.5,.566,21.7,12.6,27.8,3.1,11.2,7.0,21.49,243.9,8.1
24,"Nikola Pekovic, MIN",47,26.9,.607,4.7,13.3,19.6,15.8,14.6,15.2,21.47,205.1,6.8
25,"Stephen Curry, GS",26,28.2,.605,26.6,12.5,23.1,2.3,11.3,6.8,21.23,111.8,3.7
,"Ryan Anderson, ORL",61,32.2,.589,5.7,6.0,19.0,13.0,14.7,13.8,21.23,285.1,9.5
27,"Marcin Gortat, PHX",66,32.0,.578,5.7,8.8,18.5,10.0,25.0,17.6,21.21,334.8,11.2
28,"Carmelo Anthony, NY",55,34.1,.525,13.1,9.4,29.2,5.4,15.9,10.6,21.15,298.3,9.9
29,"Josh Smith, ATL",66,35.3,.499,15.4,9.9,26.0,6.9,24.8,15.9,21.14,335.1,11.2
30,"James Harden, OKC",62,31.4,.660,19.8,11.8,20.2,1.9,12.2,7.4,21.13,300.0,10.0
31,"Ersan Ilyasova, MIL",60,27.6,.577,8.6,9.2,18.3,12.7,22.8,17.6,20.55,223.6,7.5
32,"Pau Gasol, LAL",65,37.4,.547,16.9,10.1,20.8,8.8,21.8,15.6,20.51,326.8,10.9
,"Tiago Splitter, SA",59,19.0,.649,11.3,15.1,18.7,9.7,21.4,15.7,20.51,165.8,5.5
34,"Kevin Garnett, BOS",60,31.1,.550,15.3,9.4,22.3,4.4,25.8,15.6,20.47,249.4,8.3
35,"Deron Williams, NJ",55,36.3,.527,26.8,12.2,29.8,1.3,9.6,5.3,20.34,278.7,9.3
36,"Steve Nash, PHX",62,31.6,.625,44.0,15.2,21.5,1.5,9.1,5.3,20.29,271.9,9.1
37,"Lou Williams, PHI",64,26.3,.525,18.4,5.9,25.6,2.0,8.3,5.1,20.22,231.4,7.7
38,"Jeremy Lin, NY",35,26.9,.552,26.8,15.6,27.6,2.2,11.1,6.6,19.97,125.8,4.2
39,"JaVale McGee, DEN/WSH",61,25.2,.552,4.2,11.7,18.5,12.1,23.3,17.7,19.90,213.1,7.1
40,"David Lee, GS",57,37.2,.549,11.9,11.0,23.3,9.2,19.9,14.6,19.81,263.2,8.8
41,"Carlos Boozer, CHI",66,29.5,.549,10.9,10.1,22.2,6.7,25.3,16.1,19.79,241.0,8.0
42,"Paul Pierce, BOS",61,34.0,.567,18.4,11.6,25.5,2.2,15.2,9.0,19.69,284.6,9.5
43,"Joakim Noah, CHI",64,30.4,.561,19.2,11.0,15.3,14.1,21.8,18.0,19.59,261.0,8.7
44,"Ty Lawson, DEN",61,34.8,.579,28.4,10.6,20.9,3.1,9.2,6.2,19.43,267.1,8.9
45,"Roy Hibbert, IND",65,29.8,.539,10.7,12.7,19.4,12.5,20.7,16.6,19.35,253.0,8.4
46,"Serge Ibaka, OKC",66,27.2,.556,4.3,12.2,13.8,13.2,18.2,15.9,18.98,200.1,6.7
47,"Chris Andersen, DEN",32,15.2,.583,3.6,10.2,13.0,11.9,23.3,17.8,18.97,60.7,2.0
48,"Chris Bosh, MIA",57,35.2,.551,9.0,10.2,21.6,5.8,20.5,13.5,18.94,222.8,7.4
49,"Thaddeus Young, PHI",63,27.9,.538,8.4,6.3,19.3,8.6,12.0,10.3,18.93,213.1,7.1
,"Anderson Varejao, CLE",25,31.4,.542,12.7,13.3,15.7,15.2,26.8,20.8,18.93,87.1,2.9
51,"Kyle Lowry, HOU",47,32.1,.558,29.8,12.5,21.9,2.9,13.7,8.2,18.89,177.8,5.9
52,"Drew Gooden, MIL",56,26.2,.512,14.4,10.9,24.0,9.5,18.0,13.6,18.88,161.9,5.4
53,"Danny Granger, IND",62,33.3,.542,8.5,8.5,23.7,4.3,12.3,8.4,18.68,251.6,8.4
54,"Tyson Chandler, NY",62,33.2,.708,8.6,15.7,11.7,11.8,22.7,17.2,18.66,248.1,8.3
55,"Nene , DEN/WSH",39,28.5,.573,12.4,14.9,20.5,6.7,23.3,15.2,18.65,133.3,4.4
56,"Joe Johnson, ATL",60,35.5,.557,17.0,8.5,23.0,3.0,9.2,6.1,18.50,253.9,8.5
57,"Brandon Jennings, MIL",66,35.3,.514,21.0,8.4,24.9,2.3,8.6,5.3,18.46,259.4,8.6
58,"Marc Gasol, MEM",65,36.5,.541,16.9,10.0,18.1,5.8,23.1,14.3,18.41,276.3,9.2
59,"Carl Landry, NO",41,24.4,.577,7.0,11.7,21.5,9.5,15.9,12.8,18.31,101.5,3.4
