Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,HOU,24,6-0,161,Oregon,USA,2007,1,26,80,11.2,2.0,3.0,3.9,1.8%,6.3%,22.6%,52.1%,20.1%
Aaron Gray,CHI,24,7-0,270,Pittsburgh,USA,2007,2,49,56,3.5,3.9,0.8,-3.1,11.6%,19.2%,13.9%,50.8%,9.8%
Acie Law,ATL,24,6-3,202,Texas A&M,USA,2007,1,11,55,2.9,1.1,1.6,-0.6,1.1%,8.7%,15.7%,49.0%,25.7%
Adam Morrison,LAL,24,6-8,205,Gonzaga,USA,2006,1,3,52,4.0,1.5,0.8,-8.1,2.7%,9.3%,17.3%,44.8%,10.1%
Adonal Foyle,ORL,34,6-10,270,Colgate,St. Vincent &...,1997,1,8,10,1.7,2.6,0.1,-6.3,12.7%,23.6%,11.9%,62.3%,2.8%
Al Harrington,NYK,29,6-9,250,None,USA,1998,1,25,73,20.1,6.2,1.4,-1.1,3.7%,14.5%,25.4%,54.7%,6.8%
Al Horford,ATL,23,6-10,245,Florida,Dominican Rep...,2007,1,3,67,11.5,9.3,2.4,0.6,6.9%,22.3%,16.5%,56.5%,11.9%
Al Jefferson,MIN,24,6-10,265,None,USA,2004,1,15,50,23.1,11.0,1.6,-2.6,9.3%,21.9%,28.5%,53.2%,8.2%
Al Thornton,LAC,25,6-8,220,Florida State,USA,2007,1,14,71,16.8,5.2,1.5,-10.5,4.7%,9.8%,22.5%,50.2%,6.8%
Alando Tucker,PHX,25,6-6,205,Wisconsin,USA,2007,1,29,30,4.6,1.0,0.4,4.3,6.3%,4.3%,20.9%,50.9%,6.4%
Alex Acker,LAC,26,6-5,185,Pepperdine,USA,2005,2,60,25,2.9,1.0,0.5,2.3,3.9%,8.2%,19.8%,44.8%,9.1%
Alexis Ajinca,CHA,21,7-0,220,None,France,2008,1,20,31,2.3,1.0,0.1,3.1,5.7%,13.2%,24.6%,43.0%,3.2%
Allen Iverson,DET,34,6-0,180,Georgetown,USA,1996,1,1,57,17.5,3.0,5.0,-1.5,1.5%,7.2%,25.8%,50.4%,23.8%
Amar'e Stoudemire,PHX,26,6-10,249,None,USA,2002,1,9,53,21.4,8.1,2.0,3.0,6.8%,15.8%,24.5%,61.7%,8.7%
Amir Johnson,DET,22,6-9,210,None,USA,2005,2,56,62,3.5,3.7,0.3,5.3,11.6%,15.0%,10.8%,60.8%,3.3%
Anderson Varejao,CLE,26,6-11,260,None,Brazil,2004,2,30,81,8.6,7.2,1.0,10.7,7.7%,18.5%,14.0%,56.5%,5.5%
Andray Blatche,WAS,22,6-11,248,None,USA,2005,2,49,71,10.0,5.3,1.7,-5.9,7.6%,16.0%,21.8%,50.8%,11.8%
Andre Brown,CHA,28,6-9,245,DePaul,USA,Undrafted,Undrafted,Undrafted,4,1.0,3.0,0.3,-7.5,20.0%,11.4%,13.5%,25.4%,3.8%
Andre Iguodala,PHI,25,6-6,207,Arizona,USA,2004,1,9,82,18.8,5.7,5.3,2.1,2.9%,12.3%,22.1%,56.0%,22.1%
Andre Miller,PHI,33,6-2,200,Utah,USA,1999,1,8,82,16.3,4.5,6.5,1.6,4.3%,8.8%,21.5%,54.8%,29.8%
Andrea Bargnani,TOR,23,7-0,250,None,Italy,2006,1,1,78,15.4,5.3,1.2,-5.2,3.0%,14.6%,22.6%,55.9%,6.5%
