Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
A.C. Green,MIA,37,6-9,225,Oregon State,USA,1985,1,23,82,4.5,3.8,0.5,3.8,7.6%,15.1%,13.7%,49.2%,5.0%
A.J. Guyton,CHI,23,6-1,180,Indiana,USA,2000,2,32,33,6.0,1.1,1.9,-11.0,1.6%,4.6%,16.7%,49.5%,19.8%
Aaron McKie,PHI,28,6-5,209,Temple,USA,1994,1,17,76,11.6,4.1,5.0,7.3,1.5%,11.5%,18.6%,54.9%,26.4%
Aaron Williams,NJN,29,6-9,225,Xavier,USA,Undrafted,Undrafted,Undrafted,82,10.2,7.2,1.1,-7.9,8.9%,17.6%,17.7%,53.3%,6.8%
Adam Keefe,GSW,31,6-9,230,Stanford,USA,1992,1,10,67,2.5,3.1,0.5,-10.1,9.5%,15.0%,11.3%,45.0%,6.6%
Adonal Foyle,GSW,26,6-10,250,Colgate,St. Vincent &...,1997,1,8,58,5.9,7.0,0.8,-10.6,8.9%,17.1%,13.8%,42.2%,5.1%
Adrian Griffin,BOS,26,6-5,215,Seton Hall,USA,Undrafted,Undrafted,Undrafted,44,2.1,2.0,0.6,-2.5,6.6%,17.9%,14.5%,43.2%,12.5%
Al Harrington,IND,21,6-9,254,None,USA,1998,1,25,78,7.5,4.9,1.7,-0.3,6.6%,13.5%,18.4%,47.9%,11.6%
Alan Henderson,ATL,28,6-9,235,Indiana,USA,1995,1,16,73,10.5,5.6,0.7,-8.0,9.7%,13.1%,22.0%,48.7%,5.0%
Allan Houston,NYK,30,6-6,200,Tennessee,USA,1993,1,11,78,18.7,3.6,2.2,2.2,0.8%,9.5%,24.9%,54.3%,11.9%
Allen Iverson,PHI,26,6-0,165,Georgetown,USA,1996,1,1,71,31.1,3.8,4.6,6.1,1.7%,7.3%,34.9%,51.8%,22.6%
Alonzo Mourning,MIA,31,6-10,261,Georgetown,USA,1992,1,2,13,13.6,7.8,0.9,4.7,12.2%,20.6%,29.2%,53.6%,7.9%
Alvin Williams,TOR,26,6-5,185,Villanova,USA,1997,2,47,82,9.8,2.6,5.0,3.5,2.0%,6.8%,17.2%,48.3%,26.7%
Andre Miller,CLE,25,6-2,200,Utah,USA,1999,1,8,82,15.8,4.4,8.0,-0.8,3.4%,9.3%,22.8%,54.1%,38.9%
Andrew DeClercq,ORL,28,6-10,255,Florida,USA,1995,2,34,67,3.9,3.5,0.5,7.7,9.9%,15.9%,13.5%,57.0%,4.9%
Andy Panko,ATL,23,6-9,245,Lebanon Valley,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
Anfernee Hardaway,PHX,29,6-7,215,Memphis,USA,1993,1,3,4,9.8,4.5,3.8,-4.4,4.1%,11.8%,17.1%,47.7%,22.4%
Antawn Jamison,GSW,25,6-9,223,North Carolina,USA,1998,1,4,82,24.9,8.7,2.0,-8.2,7.2%,13.4%,27.6%,49.9%,9.4%
Anthony Carter,MIA,26,6-1,190,Hawaii,USA,Undrafted,Undrafted,Undrafted,72,6.4,2.5,3.7,1.7,3.0%,8.4%,18.5%,43.9%,30.5%
Anthony Goldwire,DEN,29,6-2,182,Houston,USA,1994,2,52,20,4.1,0.6,1.7,-4.3,0.4%,5.9%,21.5%,46.9%,27.6%
Anthony Johnson,CLE,26,6-3,190,College of Charleston,USA,1997,2,39,53,2.5,0.8,1.5,-9.1,1.9%,7.1%,17.1%,39.0%,26.6%
Anthony Mason,MIA,34,6-8,255,Tennessee State,USA,1988,3,53,80,16.1,9.6,3.1,1.5,5.5%,19.7%,19.8%,55.5%,14.4%
Anthony Miller,PHI,29,6-9,255,Michigan State,USA,1994,2,39,4,0.5,0.5,0.0,-36.8,0.0%,28.6%,12.0%,50.0%,0.0%
Anthony Peeler,MIN,31,6-4,208,Missouri,USA,1992,1,15,75,10.5,2.6,2.6,2.4,2.1%,6.9%,18.3%,51.3%,13.8%
Antoine Walker,BOS,24,6-9,245,Kentucky,USA,1996,1,6,81,23.4,8.9,5.5,-2.0,4.5%,17.9%,28.9%,50.5%,26.1%
Antonio Daniels,SAS,26,6-4,205,Bowling Green,USA,1997,1,4,79,9.4,2.1,3.8,4.3,1.4%,6.5%,17.0%,56.7%,24.6%
Antonio Davis,TOR,32,6-9,230,Texas-El Paso,USA,1990,2,45,78,13.7,10.1,1.4,4.9,9.7%,19.0%,19.4%,50.8%,6.2%
Antonio Harvey,POR,30,6-11,250,Pfeiffer,USA,Undrafted,Undrafted,Undrafted,12,2.6,1.2,0.3,-15.2,6.7%,11.5%,20.4%,50.6%,10.3%
Antonio McDyess,DEN,26,6-9,245,Alabama,USA,1995,1,2,70,20.8,12.1,2.1,0.2,9.3%,22.4%,26.7%,53.8%,10.6%
Art Long,SAC,28,6-9,240,Cincinnati,USA,Undrafted,Undrafted,Undrafted,9,0.0,0.9,0.1,-25.2,9.1%,21.4%,13.5%,0.0%,8.3%
Arvydas Sabonis,POR,36,7-3,292,None,Lithuania,1986,1,24,61,10.1,5.4,1.5,9.5,4.3%,21.4%,23.8%,52.7%,12.1%
Austin Croshere,IND,26,6-9,242,Providence,USA,1997,1,12,81,10.1,4.8,1.1,0.2,6.8%,14.1%,22.6%,51.2%,8.7%
Avery Johnson,SAS,36,5-11,180,Southern,USA,Undrafted,Undrafted,Undrafted,55,5.6,1.5,4.3,7.2,1.8%,4.8%,14.0%,47.5%,30.2%
Baron Davis,CHH,22,6-3,212,California-Los Angeles,USA,1999,1,3,82,13.8,5.0,7.3,4.4,4.0%,8.8%,18.9%,51.2%,31.9%
Ben Wallace,DET,26,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,80,6.4,13.2,1.5,0.7,10.3%,25.7%,10.4%,47.1%,6.7%
Bill Curley,GSW,29,-,,Boston College,USA,1994,1,22,20,3.2,1.9,0.2,-9.7,10.6%,9.0%,15.5%,56.9%,2.8%
Billy Owens,DET,32,-,,Syracuse,USA,1991,1,3,45,4.4,4.6,1.2,-1.6,9.2%,13.9%,14.7%,40.0%,10.8%
Bimbo Coles,CLE,33,6-2,182,Virginia Tech,USA,1990,2,40,47,4.9,1.0,2.9,-10.0,1.2%,5.2%,18.4%,44.0%,30.9%
Bo Outlaw,ORL,30,6-8,210,Houston,USA,Undrafted,Undrafted,Undrafted,80,7.3,7.7,2.8,3.3,8.2%,16.0%,10.5%,62.3%,12.8%
Bob Sura,GSW,28,6-5,200,Florida State,USA,1995,1,17,53,11.1,4.3,4.6,-10.7,2.9%,11.0%,19.1%,48.7%,23.2%
Bobby Jackson,SAC,28,6-1,185,Minnesota,USA,1997,1,23,79,7.2,3.1,2.0,7.2,4.4%,10.0%,17.8%,50.1%,16.6%
Bonzi Wells,POR,24,6-5,210,Ball State,USA,1998,1,11,75,12.6,4.9,2.8,4.2,6.7%,12.8%,22.9%,57.1%,17.9%
Brad Miller,CHI,25,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,57,8.9,7.4,1.9,-7.8,10.1%,20.8%,17.9%,52.0%,13.0%
Brent Barry,SEA,29,6-6,215,Oregon State,USA,1995,1,15,67,8.8,3.1,3.4,2.4,2.0%,10.0%,13.2%,66.0%,19.0%
Brent Price,VAN,32,6-1,185,Oklahoma,USA,1992,2,32,6,2.2,0.7,0.8,-11.0,3.2%,8.1%,25.4%,46.2%,26.3%
