,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,Giannis Antetokounmpo,34.28,986.0,6-11,222.0,None,Greece,2013.0,1,15,210.82,,,,,,
1,2,James Harden,32.46,790.0,6-5,220.0,Arizona State,USA,2009.0,1,3,195.58,717.0,10.10%,-,-,8' 7.5'',6' 10.75''
2,3,Joel Embiid,30.96,1053.0,7-0,250.0,Kansas,Cameroon,2014.0,1,3,213.36,,,,,,
3,4,Karl-Anthony Towns,30.36,1084.0,7-0,248.0,Kentucky,USA,2015.0,1,1,213.36,,,,,,
4,5,Nikola Jokic,29.95,1065.0,6-10,250.0,None,Serbia,2014.0,2,41,208.28,,,,,,
5,6,Russell Westbrook,28.73,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
6,7,Kevin Durant,28.12,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
7,8,Kawhi Leonard,28.11,875.0,6-7,225.0,San Diego State,USA,2011.0,1,15,200.66,816.0,5.40%,9.75,11.25,8' 10'',7' 3''
8,9,Paul George,27.26,819.0,6-8,215.0,Fresno State,USA,2010.0,1,10,203.2,758.0,5.00%,8.5,9.0,8' 11'',6' 11.25''
9,10,Nikola Vucevic,27.14,876.0,7-0,240.0,USC,Montenegro,2011.0,1,16,213.36,842.0,6.10%,9.25,10.25,9' 4.5'',7' 4.5''
10,11,Andre Drummond,26.86,979.0,6-11,279.0,Connecticut,USA,2012.0,1,9,210.82,856.0,7.50%,9.5,9.5,9' 1.5'',7' 6.25''
11,12,Rudy Gobert,26.58,999.0,7-1,245.0,None,France,2013.0,1,27,215.9,926.0,4.40%,9.75,10.0,9' 7'',7' 8.5''
12,13,Stephen Curry,26.31,815.0,6-3,185.0,Davidson,USA,2009.0,1,7,190.5,706.0,5.70%,-,-,8' 1'',6' 3.5''
13,14,Clint Capela,24.82,1048.0,6-10,240.0,None,Switzerland,2014.0,1,25,208.28,,,,,,
14,15,Damian Lillard,24.74,975.0,6-3,195.0,Weber State,USA,2012.0,1,6,190.5,878.0,5.90%,8.75,9.75,7' 11.5'',6' 7.75''
15,16,Kyrie Irving,24.49,869.0,6-3,191.0,Duke,Australia,2011.0,1,1,190.5,808.0,10.20%,8.25,9.25,8' 3'',6' 4''
16,17,Ben Simmons,24.27,1128.0,6-10,230.0,Louisiana State,Australia,2016.0,1,1,208.28,,,,,,
17,18,LaMarcus Aldridge,24.23,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
18,19,Bradley Beal,24.17,946.0,6-5,207.0,Florida,USA,2012.0,1,3,195.58,849.0,6.00%,8.5,9.0,8' 4'',6' 8''
19,20,Blake Griffin,23.7,768.0,6-10,251.0,Oklahoma,USA,2009.0,1,1,208.28,715.0,8.20%,-,-,8' 9'',6' 11.25''
20,21,Julius Randle,22.85,1081.0,6-9,250.0,Kentucky,USA,2014.0,1,7,205.74,1012.0,9.40%,8.75,8.25,8' 9.5'',7' 0''
21,22,DeMar DeRozan,22.63,817.0,6-7,216.0,USC,USA,2009.0,1,9,200.66,708.0,4.90%,-,-,8' 6.5'',6' 9''
22,23,DeAndre Ayton,22.62,,,,,,,,,,,,,,,
23,24,Kemba Walker,22.55,922.0,6-1,184.0,Connecticut,USA,2011.0,1,9,185.42,843.0,5.90%,8.0,9.0,7' 7.5'',6' 3.5''
24,25,Jusuf Nurkic,22.54,1038.0,7-0,280.0,None,Bosnia and He...,2014.0,1,16,213.36,,,,,,
25,26,Luka Doncic,21.58,1260.0,6-7,230.0,None,Slovenia,2018.0,1,3,200.66,,,,,,
26,27,Tobias Harris,21.43,879.0,6-8,226.0,Tennessee,USA,2011.0,1,19,203.2,805.0,8.40%,8.75,9.0,8' 7.5'',6' 11''
27,28,Jimmy Butler,20.95,892.0,6-7,220.0,Marquette,USA,2011.0,1,30,200.66,795.0,5.40%,9.0,9.0,8' 5.5'',6' 7.5''
28,29,Mike Conley,20.84,699.0,6-1,185.0,Ohio State,USA,2007.0,1,4,185.42,549.0,4.20%,-,-,7' 10.5'',6' 5.75''
29,30,Pascal Siakam,20.26,1147.0,6-9,230.0,New Mexico State,Cameroon,2016.0,1,27,205.74,1129.0,5.20%,9.25,10.00,8' 11.5'',7' 3.25''
30,31,Danilo Gallinari,20.18,763.0,6-10,225.0,None,Italy,2008.0,1,6,208.28,,,,,,
31,32,Domantas Sabonis,19.86,1130.0,6-10,252.0,Gonzaga,Lithuania,2016.0,1,11,208.28,,,,,,
32,33,Montrezl Harrell,19.85,1108.0,6-8,240.0,Louisville,USA,2015.0,2,32,203.2,1042.0,11.90%,9.0,9.75,9' 1'',7' 4.25''
33,34,Al Horford,19.83,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
34,35,Hassan Whiteside,19.71,844.0,7-0,235.0,Marshall,USA,2010.0,2,33,213.36,791.0,5.50%,8.25,10.25,9' 5'',7' 7''
35,36,Steven Adams,19.53,983.0,7-0,255.0,Pittsburgh,New Zealand,2013.0,1,12,213.36,907.0,6.65%,9.5,11.0,9' 1.5'',7' 4.5''
36,37,Kyle Lowry,19.37,632.0,6-0,205.0,Villanova,USA,2006.0,1,24,182.88,,,,,,
37,38,Draymond Green,19.36,952.0,6-7,230.0,Michigan State,USA,2012.0,2,35,200.66,861.0,11.30%,9.0,9.5,8' 9'',7' 1.25''
38,39,De'Aaron Fox,18.93,1226.0,6-3,175.0,Kentucky,USA,2017.0,1,5,190.5,,,,,,
39,40,D'Angelo Russell,18.76,1095.0,6-5,195.0,Ohio State,USA,2015.0,1,2,195.58,,,,,,
40,41,Enes Kanter,18.65,891.0,6-11,267.0,,Turkey,2011.0,1,3,210.82,813.0,5.90%,9.5,10.75,9' 1.5'',7' 1.5''
41,42,Khris Middleton,18.48,956.0,6-8,234.0,Texas A&M,USA,2012.0,2,39,203.2,882.0,7.80%,9.0,9.0,8' 7'',6' 10.75''
42,43,Marc Gasol,18.35,705.0,7-1,265.0,None,Spain,2007.0,2,48,215.9,,,,,,
