Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
A.J. Guyton,GSW,25,6-1,180,Indiana,USA,2000,2,32,2,0.0,0.0,1.0,-12.5,0.0%,0.0%,26.3%,0.0%,40.0%
Aaron McKie,PHI,30,6-5,209,Temple,USA,1994,1,17,80,9.0,4.4,3.5,4.7,2.6%,12.8%,15.5%,49.7%,18.5%
Aaron Williams,NJN,31,6-9,240,Xavier,USA,Undrafted,Undrafted,Undrafted,81,6.2,4.1,1.1,1.9,8.7%,11.9%,16.2%,50.4%,9.2%
Adam Harrington,DEN,22,6-5,200,Auburn,USA,Undrafted,Undrafted,Undrafted,19,1.6,0.4,0.6,-12.7,0.8%,7.1%,16.3%,38.7%,17.6%
Adonal Foyle,GSW,28,6-10,265,Colgate,St. Vincent &...,1997,1,8,82,5.4,6.0,0.5,2.6,9.8%,16.1%,11.1%,56.3%,3.2%
Adrian Griffin,DAL,28,6-5,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,74,4.4,3.6,1.4,7.4,6.3%,12.9%,12.9%,46.3%,11.1%
Al Harrington,IND,23,6-9,250,None,USA,1998,1,25,82,12.2,6.2,1.5,3.1,6.6%,14.4%,21.5%,49.3%,8.9%
Alan Henderson,ATL,30,6-9,240,Indiana,USA,1995,1,16,82,4.8,4.9,0.5,-7.5,10.5%,15.7%,13.1%,50.8%,4.6%
Allan Houston,NYK,32,6-6,200,Tennessee,USA,1993,1,11,82,22.5,2.8,2.7,-0.5,0.8%,7.0%,26.2%,56.3%,12.9%
Allen Iverson,PHI,28,6-0,165,Georgetown,USA,1996,1,1,82,27.6,4.2,5.5,2.7,2.0%,8.5%,32.4%,50.0%,24.8%
Alton Ford,PHX,22,6-9,280,Houston,USA,2001,2,50,11,0.6,0.5,0.1,-9.6,0.0%,19.4%,17.4%,33.9%,7.1%
Alvin Williams,TOR,28,6-5,185,Villanova,USA,1997,2,47,78,13.2,3.1,5.3,-5.0,2.0%,7.7%,19.3%,50.8%,26.6%
Amal McCaskill,ATL,29,6-11,245,Marquette,USA,1996,2,49,11,1.0,2.0,0.5,-15.8,9.0%,20.5%,12.7%,29.3%,11.9%
Amar'e Stoudemire,PHX,20,6-10,245,None,USA,2002,1,9,82,13.5,8.8,1.0,0.6,9.6%,18.2%,21.1%,53.0%,5.0%
Andre Miller,LAC,27,6-2,200,Utah,USA,1999,1,8,80,13.6,4.0,6.7,-4.8,2.9%,7.9%,19.9%,49.5%,30.9%
Andrei Kirilenko,UTA,22,6-9,225,None,Russia,1999,1,24,80,12.0,5.3,1.7,2.1,7.3%,12.8%,18.9%,59.8%,11.0%
Andrew DeClercq,ORL,30,6-10,255,Florida,USA,1995,2,34,77,4.7,4.4,0.7,5.1,10.6%,15.5%,13.5%,56.2%,6.1%
Anfernee Hardaway,PHX,31,6-7,215,Memphis,USA,1993,1,3,58,10.6,4.4,4.1,1.0,3.8%,10.8%,19.0%,49.9%,21.0%
Ansu Sesay,SEA,26,6-9,225,Mississippi,USA,1998,2,30,45,2.1,1.6,0.5,-9.4,7.0%,8.3%,14.2%,40.4%,9.7%
Antawn Jamison,GSW,27,6-9,223,North Carolina,USA,1998,1,4,82,22.2,7.0,1.9,-2.1,5.7%,11.3%,24.1%,54.2%,8.5%
Anthony Carter,MIA,28,6-2,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,49,4.1,1.7,4.1,-7.4,1.3%,8.1%,16.8%,39.0%,36.6%
