RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
,"Tariq Abdul-Wahad, DEN/ORL",61,25.9,.477,10.5,11.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Shareef Abdur-Rahim, VAN",82,39.3,.547,13.3,12.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Ray Allen, MIL",82,37.4,.570,14.8,8.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"John Amaechi, ORL",80,21.1,.505,8.9,13.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Nick Anderson, SAC",72,29.1,.479,11.9,9.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Kenny Anderson, BOS",82,31.6,.524,25.5,7.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Shandon Anderson, HOU",82,32.9,.567,18.1,14.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Derek Anderson, LAC",64,34.4,.542,15.9,12.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chris Anstey, CHI",73,13.8,.512,11.3,13.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Greg Anthony, POR",82,18.9,.551,27.4,11.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"B.J. Armstrong, CHI",27,21.6,.510,24.8,12.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Darrel Armstrong, ORL",82,31.6,.542,25.3,12.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Metta World Peace, CHI",72,31.1,.491,16.2,13.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chucky Atkins, ORL",82,19.8,.489,24.5,11.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Stacey Augmon, POR",59,11.7,.510,18.3,13.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Isaac Austin, WSH",59,19.9,.481,12.5,18.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Vin Baker, SEA",79,36.1,.500,8.9,12.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Charles Barkley, HOU",20,31.0,.534,16.7,11.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dana Barros, BOS",72,15.8,.552,19.9,9.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Jon Barry, SAC",62,20.7,.623,23.7,13.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Brent Barry, SEA",80,34.1,.609,24.1,11.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Tony Battie, BOS",82,18.4,.515,9.6,10.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Corey Benjamin, CHI",48,18.0,.479,10.5,14.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Travis Best, IND",82,20.6,.569,26.6,10.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Mike Bibby, VAN",82,38.5,.521,32.4,12.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Mookie Blaylock, GS",73,33.7,.468,32.4,9.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Muggsy Bogues, TOR",80,21.6,.517,39.6,7.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Bruce Bowen, MIA/PHI",69,12.7,.460,12.8,7.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Ryan Bowen, DEN",52,11.3,.467,11.5,8.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Shawn Bradley, DAL",77,24.7,.521,8.0,9.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Elton Brand, CHI",81,37.0,.528,8.1,11.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Terrell Brandon, MIN",71,36.4,.535,32.3,9.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chucky Brown, CHA/SA",63,17.4,.476,14.3,9.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dee Brown, TOR",38,17.7,.498,22.0,10.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Randy Brown, CHI",59,27.5,.402,25.9,13.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"P.J. Brown, MIA",80,28.8,.516,14.7,10.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Mark Bryant, CLE",75,22.8,.547,11.4,16.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Kobe Bryant, LAL",66,38.2,.546,17.3,9.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Greg Buckner, DAL",48,19.2,.527,15.6,10.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Jud Buechler, DET",58,11.3,.409,16.1,6.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Matt Bullard, HOU",56,18.3,.541,13.9,8.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Scott Burrell, NJ",74,18.1,.511,13.1,6.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Jason Caffey, GS",71,30.4,.515,10.7,15.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Marcus Camby, NY",59,26.2,.529,7.1,10.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Elden Campbell, CHA",78,32.5,.500,10.4,10.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chris Carr, CHI/GS",57,20.5,.482,11.2,15.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Vince Carter, TOR",82,38.1,.543,13.2,7.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Anthony Carter, MIA",79,23.5,.442,33.9,15.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Sam Cassell, MIL",81,35.8,.551,30.9,11.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Kelvin Cato, HOU",65,24.3,.574,4.4,12.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Cedric Ceballos, DAL",69,29.9,.516,6.8,9.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Rex Chapman, PHX",53,18.1,.491,13.6,8.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Calbert Cheaney, BOS",67,19.5,.473,19.6,11.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Pete Chilcutt, CLE/LAC/UTAH",56,10.7,.460,15.2,11.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chris Childs, NY",71,23.6,.491,36.9,13.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Doug Christie, TOR",73,31.0,.526,24.2,10.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Keon Clark, DEN",81,22.8,.573,8.9,15.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Keith Closs, LAC",57,14.4,.514,8.6,11.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Derrick Coleman, CHA",74,31.7,.541,11.7,11.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Bimbo Coles, ATL",80,24.1,.494,27.7,9.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Tyrone Corbin, SAC",54,17.4,.415,17.0,8.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chris Crawford, ATL",55,12.1,.476,9.9,11.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Austin Croshere, IND",81,23.3,.553,9.2,12.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"John Crotty, DET",69,13.6,.557,27.0,11.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Vonteego Cummings, GS",75,23.9,.484,22.3,11.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dell Curry, TOR",67,16.3,.542,14.9,6.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Michael Curry, DET",82,19.6,.559,14.2,11.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Antonio Daniels, SA",68,17.6,.541,28.4,9.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dale Davis, IND",74,28.7,.537,7.6,10.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Hubert Davis, DAL",79,23.0,.585,19.9,9.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Antonio Davis, TOR",79,31.4,.520,9.5,11.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Emanual Davis, SEA",54,13.0,.458,20.0,12.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Ricky Davis, CHA",48,11.9,.542,19.5,14.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Baron Davis, CHA",82,18.6,.486,32.6,14.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Todd Day, PHX",58,16.2,.524,13.2,10.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Andrew DeClercq, CLE",82,22.3,.530,8.5,15.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Vinny Del Negro, MIL",67,18.1,.510,29.1,8.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Tony Delk, SAC",46,14.8,.485,14.0,8.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Michael Dickerson, VAN",82,37.8,.530,11.6,9.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Vlade Divac, SAC",82,29.0,.552,18.1,14.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Michael Doleac, ORL",81,16.5,.490,8.9,9.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Bryce Drew, HOU",72,18.0,.481,24.4,9.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Tim Duncan, SA",74,38.9,.555,11.6,12.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Howard Eisley, UTAH",82,25.6,.492,28.9,11.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Mario Elie, SA",79,28.1,.565,22.8,15.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dale Ellis, CHA/MIL",42,13.4,.540,7.0,10.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"LaPhonso Ellis, ATL",58,22.6,.481,9.6,8.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Patrick Ewing, NY",62,32.8,.516,5.3,12.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Tony Farmer, GS",74,16.2,.542,12.7,14.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Jamie Feick, NJ",81,27.7,.477,11.2,9.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Danny Ferry, CLE",63,21.0,.571,12.7,10.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Michael Finley, DAL",82,42.2,.522,18.2,8.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Derek Fisher, LAL",78,23.1,.449,25.8,9.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Danny Fortson, BOS",55,15.6,.602,6.5,15.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Greg Foster, SEA",60,12.0,.430,13.4,9.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Rick Fox, LAL",82,18.0,.502,18.2,11.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Adonal Foyle, GS",76,21.8,.500,7.9,13.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Steve Francis, HOU",77,36.1,.543,24.3,14.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Lawrence Funderburke, SAC",75,13.7,.570,6.6,8.1,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Kevin Garnett, MIN",81,40.0,.545,16.9,11.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dean Garrett, MIN",56,10.8,.477,11.9,13.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Pat Garrity, ORL",82,18.0,.532,7.5,10.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chris Gatling, DEN/ORL",85,21.3,.525,5.9,14.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Matt Geiger, PHI",65,21.6,.483,5.0,11.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Kendall Gill, NJ",76,31.0,.465,15.4,6.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Armen Gilliam, UTAH",50,15.6,.486,9.5,12.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Horace Grant, SEA",76,35.4,.472,21.0,6.8,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Brian Grant, POR",63,21.0,.540,11.2,14.7,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"A.C. Green, LAL",82,23.5,.482,14.2,9.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Adrian Griffin, BOS",72,26.8,.503,23.5,12.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
