Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
AJ Price,IND,25,6-2,185,Connecticut,USA,2009,2,52,44,3.9,1.4,2.0,1.2,2.1%,9.2%,17.1%,45.4%,26.4%
Aaron Gray,TOR,27,7-0,270,Pittsburgh,USA,2007,2,49,49,3.9,5.7,0.6,-10.0,10.5%,26.5%,13.4%,52.6%,5.5%
Al Harrington,DEN,32,6-9,250,None,USA,1998,1,25,64,14.2,6.1,1.4,5.0,4.2%,18.1%,24.1%,53.5%,8.3%
Al Horford,ATL,26,6-10,250,Florida,Dominican Rep...,2007,1,3,11,12.4,7.0,2.2,8.3,7.7%,15.6%,17.4%,58.5%,11.3%
Al Jefferson,UTA,27,6-10,289,None,USA,2004,1,15,61,19.2,9.6,2.2,4.1,6.7%,22.3%,25.8%,52.0%,11.3%
Al-Farouq Aminu,NOH,21,6-9,215,Wake Forest,USA,2010,1,8,66,6.0,4.7,1.0,-0.2,7.0%,14.8%,15.9%,48.1%,7.4%
Alan Anderson,TOR,29,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,17,9.6,2.0,1.5,-2.7,1.8%,5.7%,18.6%,51.9%,10.0%
Alec Burks,UTA,20,6-6,202,Colorado,USA,2011,1,12,59,7.2,2.2,0.9,-1.9,5.9%,8.1%,21.2%,50.6%,10.0%
Alonzo Gee,CLE,25,6-6,219,Alabama,USA,Undrafted,Undrafted,Undrafted,63,10.6,5.1,1.8,-5.9,5.3%,12.3%,18.4%,51.6%,10.9%
Amar'e Stoudemire,NYK,29,6-11,260,None,USA,2002,1,9,47,17.5,7.8,1.1,-1.9,6.9%,17.6%,24.8%,54.1%,6.3%
Amir Johnson,TOR,25,6-9,210,None,USA,2005,2,56,64,7.1,6.4,1.2,0.6,10.2%,16.6%,14.1%,60.0%,8.5%
Anderson Varejao,CLE,29,6-11,260,None,Brazil,2004,2,30,25,10.8,11.5,1.7,-1.0,13.5%,24.1%,16.3%,54.2%,8.6%
Andray Blatche,WAS,25,6-11,260,None,USA,2005,2,49,26,8.5,5.8,1.1,-12.4,6.2%,19.6%,21.4%,41.5%,7.6%
Andre Emmett,NJN,29,6-5,230,Texas Tech,,2004,2,35,6,2.2,1.0,0.2,-5.9,6.1%,7.8%,14.0%,61.8%,3.6%
Andre Iguodala,PHI,28,6-6,207,Arizona,USA,2004,1,9,62,12.4,6.1,5.5,5.2,2.5%,14.4%,17.6%,53.7%,24.1%
Andre Miller,DEN,36,6-2,200,Utah,USA,1999,1,8,66,9.7,3.3,6.7,4.6,3.2%,9.2%,19.8%,51.0%,36.5%
Andrea Bargnani,TOR,26,7-0,256,None,Italy,2006,1,1,31,19.5,5.5,2.0,-2.3,2.6%,14.8%,28.8%,53.8%,11.3%
Andres Nocioni,PHI,32,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,11,1.5,1.3,0.1,-18.9,1.7%,23.6%,22.8%,34.2%,3.3%
Andrew Bogut,MIL,27,7-0,260,Utah,Australia,2005,1,1,12,11.3,8.3,2.6,3.4,6.1%,21.4%,21.4%,46.5%,14.8%
Andrew Bynum,LAL,24,7-0,285,None,USA,2005,1,10,60,18.7,11.8,1.4,2.1,9.6%,23.4%,23.4%,59.4%,7.4%
Andrew Goudelock,LAL,23,6-3,200,College of Charleston,USA,2011,2,46,40,4.4,0.8,0.5,-4.0,1.2%,6.1%,22.0%,48.8%,8.5%
Andris Biedrins,GSW,26,7-0,242,None,Latvia,2004,1,11,47,1.7,3.7,0.3,-7.7,6.4%,18.5%,5.1%,58.1%,2.9%
Antawn Jamison,CLE,36,6-9,235,North Carolina,USA,1998,1,4,65,17.2,6.3,2.0,-7.2,5.3%,13.9%,25.5%,48.1%,11.0%
Anthony Carter,TOR,37,6-1,190,Hawaii,USA,Undrafted,Undrafted,Undrafted,24,2.0,1.4,1.4,-11.2,2.4%,13.5%,15.9%,40.9%,29.6%
Anthony Morrow,NJN,26,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,62,12.0,2.0,1.0,-4.2,1.9%,6.3%,20.8%,53.1%,6.5%
Anthony Parker,CLE,37,6-6,210,Bradley,USA,1997,1,21,51,7.2,2.7,2.4,-10.1,0.8%,10.8%,13.8%,52.3%,14.4%
Anthony Randolph,MIN,22,6-11,225,Louisiana State,USA,2008,1,14,34,7.4,3.6,0.6,-3.0,8.1%,14.7%,23.5%,53.2%,6.6%
Anthony Tolliver,MIN,27,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,51,4.1,3.0,0.4,-2.0,5.6%,11.3%,12.0%,50.4%,4.0%
Armon Johnson,NJN,23,6-3,195,Nevada-Reno,,2010,2,34,9,5.2,1.4,1.2,-4.9,0.7%,9.4%,17.8%,51.5%,16.7%
Arron Afflalo,DEN,26,6-5,215,UCLA,USA,2007,1,27,62,15.2,3.2,2.4,1.1,2.0%,7.6%,18.6%,58.4%,11.5%
Austin Daye,DET,24,6-11,200,Gonzaga,,2009,1,15,41,4.7,2.2,0.8,-11.5,2.2%,13.8%,21.1%,39.4%,10.0%
Avery Bradley,BOS,21,6-2,180,Texas,USA,2010,1,19,64,7.6,1.8,1.4,4.1,2.9%,5.7%,17.9%,55.5%,10.9%
Baron Davis,NYK,33,6-3,212,California-Los Angeles,USA,1999,1,3,29,6.1,1.9,4.7,3.8,2.4%,7.5%,20.5%,45.7%,34.7%
Ben Gordon,DET,29,6-3,200,Connecticut,USA,2004,1,3,52,12.5,2.3,2.4,-7.3,1.0%,8.6%,22.7%,54.9%,17.2%
Ben Uzoh,TOR,24,6-3,205,Tulsa,USA,Undrafted,Undrafted,Undrafted,18,4.5,3.7,3.4,1.2,5.3%,12.5%,15.9%,37.7%,28.0%
Ben Wallace,DET,37,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,62,1.4,4.3,0.7,-5.0,8.2%,21.2%,6.8%,39.8%,7.3%
Beno Udrih,MIL,29,6-3,203,None,Slovenia,2004,1,28,59,5.9,1.7,3.8,10.7,2.4%,6.6%,17.7%,48.8%,31.7%
Bismack Biyombo,CHA,19,6-9,245,None,Democratic Re...,2011,1,7,63,5.2,5.8,0.4,-15.8,7.5%,17.7%,12.9%,48.0%,3.2%
Blake Ahearn,UTA,28,6-2,190,Missouri State,,Undrafted,Undrafted,Undrafted,4,2.5,0.5,0.3,-22.4,0.0%,7.4%,27.1%,35.7%,6.3%
Blake Griffin,LAC,23,6-10,251,Oklahoma,USA,2009,1,1,66,20.7,10.9,3.2,7.4,9.3%,21.7%,26.2%,55.7%,15.6%
Bobby Simmons,LAC,32,6-6,235,DePaul,USA,2001,2,41,28,2.9,2.0,0.4,-2.0,4.0%,9.9%,11.0%,43.0%,3.9%
Boris Diaw,SAS,30,6-8,235,None,France,2003,1,21,57,6.4,4.9,3.6,-7.8,4.9%,14.8%,15.1%,49.8%,22.4%
Brad Miller,MIN,36,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,15,2.3,1.3,1.6,-5.9,2.6%,11.0%,13.6%,54.2%,25.5%
Brandan Wright,DAL,24,6-10,210,North Carolina,USA,2007,1,8,49,6.9,3.6,0.3,1.3,8.3%,13.4%,16.7%,63.2%,2.9%
Brandon Bass,BOS,27,6-8,250,Louisiana State,USA,2005,2,33,59,12.5,6.2,0.9,4.3,5.7%,14.4%,19.5%,52.4%,5.0%
Brandon Jennings,MIL,22,6-1,169,None,USA,2009,1,10,66,19.1,3.4,5.5,-2.0,2.0%,7.7%,25.3%,51.4%,26.4%
Brandon Knight,DET,20,6-3,189,Kentucky,USA,2011,1,8,66,12.8,3.2,3.8,-6.2,1.6%,9.1%,21.5%,51.1%,20.2%
Brandon Rush,GSW,26,6-6,225,Kansas,USA,2008,1,13,65,9.8,3.9,1.4,-2.1,2.0%,12.6%,15.3%,62.8%,8.1%
Brendan Haywood,DAL,32,7-0,263,North Carolina,USA,2001,1,20,54,5.2,6.0,0.4,1.4,12.3%,16.0%,12.6%,52.0%,2.5%
Brian Cardinal,DAL,35,6-8,240,Purdue,USA,2000,2,44,44,1.0,0.8,0.4,-10.0,1.4%,10.6%,10.3%,37.3%,9.4%
Brian Cook,WAS,31,6-9,250,Illinois,USA,2003,1,24,32,2.5,2.0,0.3,-0.7,3.5%,18.5%,18.2%,39.6%,5.6%
Brian Scalabrine,CHI,34,6-9,235,Southern California,USA,2001,2,34,28,1.1,0.8,0.5,2.5,6.0%,11.2%,14.4%,49.0%,19.5%
Brian Skinner,MEM,36,6-9,255,Baylor,USA,1998,1,22,1,0.0,0.0,0.0,-77.8,0.0%,0.0%,10.0%,0.0%,0.0%
Brook Lopez,NJN,24,7-0,265,Stanford,USA,2008,1,10,5,19.2,3.6,1.2,-10.6,5.5%,7.2%,30.9%,52.7%,9.4%
Byron Mullens,CHA,23,7-0,275,Ohio State,USA,2009,1,24,65,9.3,5.0,0.9,-12.9,6.5%,16.3%,22.1%,47.3%,7.3%
C.J. Watson,CHI,28,6-2,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,49,9.7,2.1,4.1,1.4,1.8%,7.2%,22.4%,49.1%,28.3%
CJ Miles,UTA,25,6-6,222,None,USA,2005,2,34,56,9.1,2.1,1.2,0.0,2.4%,8.0%,21.8%,48.4%,9.6%
Carl Landry,NOH,28,6-9,248,Purdue,USA,2007,2,31,41,12.5,5.2,0.9,-3.7,8.5%,14.8%,23.6%,57.7%,7.1%
Carldell Johnson,NOH,29,5-10,180,None,USA,Undrafted,Undrafted,Undrafted,15,1.8,0.6,1.5,6.2,0.9%,6.8%,17.6%,37.2%,31.4%
Carlos Boozer,CHI,30,6-9,266,Duke,USA,2002,2,34,66,15.0,8.5,1.9,6.2,6.0%,23.1%,23.5%,54.9%,11.2%
Carlos Delfino,MIL,29,6-6,230,None,Argentina,2003,1,25,54,9.0,3.9,2.3,-5.3,1.2%,13.0%,15.5%,51.5%,11.8%
Carmelo Anthony,NYK,28,6-8,230,Syracuse,USA,2003,1,3,55,22.6,6.3,3.6,2.5,4.7%,13.9%,31.1%,52.5%,20.9%
Caron Butler,LAC,32,6-7,228,Connecticut,USA,2002,1,10,63,12.0,3.7,1.2,7.5,2.4%,10.3%,20.1%,50.1%,6.5%
Cartier Martin,WAS,27,6-7,220,Kansas State,USA,Undrafted,Undrafted,Undrafted,17,9.3,3.4,0.6,4.2,3.1%,11.8%,17.9%,55.5%,4.1%
Chandler Parsons,HOU,23,6-9,227,Florida,USA,2011,2,38,63,9.5,4.8,2.1,1.9,5.1%,11.8%,16.3%,51.3%,11.4%
Channing Frye,PHX,29,6-11,245,Arizona,USA,2005,1,8,64,10.5,5.9,1.4,5.1,4.6%,17.8%,19.2%,51.9%,7.7%
Charles Jenkins,GSW,23,6-3,220,Hofstra,USA,2011,2,44,51,5.8,1.3,3.3,-11.7,0.9%,6.7%,18.4%,48.2%,30.6%
Charlie Villanueva,DET,27,6-11,232,Connecticut,USA,2005,1,7,13,7.0,3.7,0.5,-13.4,4.5%,21.8%,24.2%,48.4%,6.7%
Chase Budinger,HOU,24,6-7,218,Arizona,USA,2009,2,44,58,9.6,3.7,1.3,0.3,2.9%,14.3%,19.0%,55.6%,9.3%
Chauncey Billups,LAC,35,6-3,210,Colorado,USA,1997,1,3,20,15.0,2.5,4.0,6.4,0.7%,7.7%,22.6%,55.4%,21.0%
