RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
,"Shareef Abdur-Rahim, ATL",77,38.7,.536,11.9,12.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Courtney Alexander, WSH",56,23.7,.521,12.8,8.9,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Ray Allen, MIL",69,36.6,.598,16.1,9.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Rafer Alston, MIL",50,12.0,.434,37.0,10.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"John Amaechi, UTAH",54,10.9,.412,9.8,18.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Kenny Anderson, BOS",76,32.0,.472,31.1,9.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Shandon Anderson, NY",82,19.5,.489,12.8,16.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Derek Anderson, POR",70,26.6,.538,21.5,8.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Greg Anthony, CHI/MIL",60,25.2,.460,31.6,10.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Darrel Armstrong, ORL",82,33.3,.553,29.3,11.3,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Metta World Peace, CHI/IND",55,29.9,.501,13.1,12.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Chucky Atkins, DET",79,28.9,.568,21.3,10.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Stacey Augmon, CHA",77,17.1,.479,19.5,10.2,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dalibor Bagaric, CHI",50,12.8,.443,8.3,16.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Vin Baker, SEA",55,31.1,.517,7.6,13.4,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Dana Barros, DET",29,20.1,.473,24.8,10.5,0.0,0.0,0.0,0.0,0.00,0.0,0.0
,"Jon Barry, DET",82,24.2,.645,28.6,11.6,0.0,0.0,0.0,0.0,0.00,0.0,0.0
