,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,LeBron James,32.53,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
1,2,Kevin Durant,27.32,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
2,3,David Lee,26.99,583.0,6-9,240.0,Florida,USA,2005.0,1,30,205.74,427.0,-%,-,-,8' 10.5'',7' 0''
3,4,Chris Bosh,26.67,498.0,6-11,235.0,Georgia Tech,USA,2003.0,1,4,210.82,233.0,8.00%,-,-,9' 1'',7' 3.5''
4,5,Pau Gasol,26.12,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
5,6,Dwyane Wade,25.46,507.0,6-4,220.0,Marquette,USA,2003.0,1,5,193.04,295.0,6.70%,-,-,8' 6'',6' 10.75''
6,7,Dirk Nowitzki,25.46,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
7,8,Carlos Boozer,25.22,446.0,6-9,266.0,Duke,USA,2002.0,2,34,205.74,150.0,-%,-,-,9' 0.5'',7' 2.25''
8,9,Dwight Howard,25.08,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
9,10,Zach Randolph,23.86,381.0,6-9,260.0,Michigan State,USA,2001.0,1,19,205.74,,,,,,
10,11,Carmelo Anthony,23.69,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
11,12,Kobe Bryant,23.62,180.0,6-6,205.0,None,USA,1996.0,1,13,198.12,,,,,,
12,13,Deron Williams,23.14,582.0,6-3,209.0,Illinois,USA,2005.0,1,3,190.5,461.0,-%,-,-,8' 2'',6' 6.25''
13,14,Tim Duncan,23.12,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
14,15,Amare Stoudemire,22.97,,,,,,,,,,,,,,,
15,16,Gerald Wallace,22.62,388.0,6-7,220.0,Alabama,USA,2001.0,1,25,200.66,,,,,,
16,17,Steve Nash,21.59,182.0,6-3,178.0,Santa Clara,Canada,1996.0,1,15,190.5,,,,,,
17,18,Brook Lopez,21.57,718.0,7-0,265.0,Stanford,USA,2008.0,1,10,213.36,663.0,6.30%,-,-,9' 5'',7' 5.5''
18,19,Josh Smith,21.52,523.0,6-9,225.0,None,USA,2004.0,1,17,205.74,369.0,6.70%,-,-,8' 10.5'',7' 0''
19,20,Al Horford,21.23,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
20,21,David West,20.93,477.0,6-9,240.0,Xavier,USA,2003.0,1,18,205.74,298.0,8.00%,-,-,9' 0.25'',7' 4.25''
21,22,Rajon Rondo,20.55,629.0,6-1,186.0,Kentucky,USA,2006.0,1,21,185.42,,,,,,
22,23,Troy Murphy,20.49,376.0,6-11,245.0,Notre Dame,USA,2001.0,1,14,210.82,119.0,11.70%,-,-,8' 9.5'',6' 11''
23,24,Andre Iguodala,20.01,560.0,6-6,207.0,Arizona,USA,2004.0,1,9,198.12,334.0,6.70%,-,-,8' 9.5'',6' 11''
24,25,Al Jefferson,19.96,521.0,6-10,289.0,None,USA,2004.0,1,15,208.28,337.0,10.50%,-,-,9' 2'',7' 2.5''
25,26,Tyreke Evans,19.64,800.0,6-6,220.0,Memphis,USA,2009.0,1,4,198.12,711.0,7.10%,-,-,8' 8'',6' 11.25''
26,27,Jason Kidd,19.49,131.0,6-4,210.0,California,USA,1994.0,1,2,193.04,,,,,,
27,28, Nene,19.45,,,,,,,,,,,,,,,
28,29,LaMarcus Aldridge,19.44,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
29,30,Marcus Camby,19.34,187.0,6-11,235.0,Massachusetts,USA,1996.0,1,2,210.82,,,,,,
30,31,Chris Kaman,19.08,511.0,7-0,265.0,Central Michigan,USA,2003.0,1,6,213.36,266.0,16.30%,-,-,9' 2.5'',6' 11.75''
31,32,Derrick Rose,18.96,717.0,6-3,190.0,Memphis,USA,2008.0,1,1,190.5,683.0,4.60%,-,-,8' 2.5'',6' 8''
32,33,Stephen Curry,18.96,815.0,6-3,185.0,Davidson,USA,2009.0,1,7,190.5,706.0,5.70%,-,-,8' 1'',6' 3.5''
33,34,Joe Johnson,18.95,372.0,6-7,240.0,Arkansas,USA,2001.0,1,10,200.66,111.0,6.70%,-,-,8' 9'',6' 9''
34,35,Chauncey Billups,18.81,224.0,6-3,210.0,Colorado,USA,1997.0,1,3,190.5,,,,,,
35,36,Luis Scola,18.78,461.0,6-9,245.0,None,Argentina,2002.0,2,55,205.74,,,,,,
36,37,Kevin Garnett,18.77,171.0,6-11,253.0,None,USA,1995.0,1,5,210.82,,,,,,
37,38,Corey Maggette,18.63,286.0,6-6,225.0,Duke,USA,1999.0,1,13,198.12,,,,,,
38,39,Russell Westbrook,18.4,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
39,40,Antawn Jamison,18.05,267.0,6-9,235.0,North Carolina,USA,1998.0,1,4,205.74,,,,,,
40,41,Luol Deng,17.91,558.0,6-9,220.0,Duke,United Kingdo...,2004.0,1,7,205.74,319.0,6.70%,-,-,9' 0.5'',7' 0.5''
41,42,Manu Ginobili,17.78,316.0,6-6,205.0,None,Argentina,1999.0,2,57,198.12,,,,,,
42,43,Paul Pierce,17.76,240.0,6-7,235.0,Kansas,USA,1998.0,1,10,200.66,,,,,,
43,44,Rudy Gay,17.71,666.0,6-8,230.0,Connecticut,USA,2006.0,1,8,203.2,490.0,5.70%,-,-,8' 11.5'',7' 3''
44,45,Andrew Bynum,17.5,562.0,7-0,285.0,None,USA,2005.0,1,10,213.36,,,,,,
45,46,Baron Davis,17.49,301.0,6-3,212.0,California-Los Angeles,USA,1999.0,1,3,190.5,,,,,,
46,47,Lamar Odom,17.4,309.0,6-10,230.0,Rhode Island,USA,1999.0,1,4,208.28,,,,,,
47,48,Carl Landry,16.8,691.0,6-9,248.0,Purdue,USA,2007.0,2,31,205.74,577.0,7.50%,-,-,8' 6.5'',6' 11''
48,49,Stephen Jackson,16.68,228.0,6-8,220.0,Butler Community College,USA,1997.0,2,42,203.2,,,,,,
49,50,Andrea Bargnani,16.49,616.0,7-0,256.0,None,Italy,2006.0,1,1,213.36,,,,,,
50,51,Paul Millsap,16.42,655.0,6-8,253.0,Louisiana Tech,USA,2006.0,2,47,203.2,508.0,9.70%,-,-,8' 9.5'',7' 1.5''
51,52,Jason Richardson,16.06,411.0,6-6,225.0,Michigan State,USA,2001.0,1,5,198.12,125.0,5.30%,-,-,8' 6.5'',6' 11.5''
52,53,Samuel Dalembert,15.99,389.0,6-11,250.0,Seton Hall,Haiti,2001.0,1,26,210.82,,,,,,
53,54,Brendan Haywood,15.81,383.0,7-0,263.0,North Carolina,USA,2001.0,1,20,213.36,103.0,12.90%,-,-,9' 5.5'',7' 6.5''
54,55,Aaron Brooks,15.79,686.0,6-0,161.0,Oregon,USA,2007.0,1,26,182.88,545.0,2.70%,-,-,7' 10'',6' 4''
55,56,Jason Thompson,15.77,720.0,6-11,250.0,Rider University,USA,2008.0,1,12,210.82,,,,,,
