,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
47,48,Hedo Turkoglu,16.36,329.0,6-10,220.0,None,Turkey,2000.0,1,16,208.28,,,,,,
48,49,Charlie Villanueva,16.0,613.0,6-11,232.0,Connecticut,USA,2005.0,1,7,210.82,456.0,-%,-,-,9' 1'',7' 0.25''
49,49,Jeff Green,16.0,707.0,6-9,235.0,Georgetown,USA,2007.0,1,5,205.74,561.0,3.70%,-,-,8' 7'',7' 1.25''
50,51,Marc Gasol,15.98,705.0,7-1,265.0,None,Spain,2007.0,2,48,215.9,,,,,,
51,52,Richard Jefferson,15.96,375.0,6-7,230.0,Arizona,USA,2001.0,1,13,200.66,108.0,6.70%,-,-,8' 7'',7' 0''
52,53,Mo Williams,15.96,504.0,6-1,195.0,Alabama,USA,2003.0,2,47,185.42,299.0,6.70%,-,-,8' 2.5'',6' 5.5''
53,54,Nate Robinson,15.95,573.0,5-9,180.0,Washington,USA,2005.0,1,21,175.26,,,,,,
54,55,Rudy Gay,15.86,666.0,6-8,230.0,Connecticut,USA,2006.0,1,8,203.2,490.0,5.70%,-,-,8' 11.5'',7' 3''
55,56,Jason Richardson,15.72,411.0,6-6,225.0,Michigan State,USA,2001.0,1,5,198.12,125.0,5.30%,-,-,8' 6.5'',6' 11.5''
56,57,Jason Terry,15.69,283.0,6-2,180.0,Arizona,USA,1999.0,1,10,187.96,,,,,,
57,58,Kendrick Perkins,15.53,487.0,6-10,270.0,None,USA,2003.0,1,27,208.28,,,,,,
58,59,T.J. Ford,15.49,513.0,6-0,165.0,Texas,USA,2003.0,1,8,182.88,247.0,6.70%,-,-,7' 9.5'',5' 11.5''
59,60,Boris Diaw,15.48,481.0,6-8,235.0,None,France,2003.0,1,21,203.2,,,,,,
60,61,Mike Miller,15.37,361.0,6-8,210.0,Florida,USA,2000.0,1,5,203.2,,,,,,
61,62,Raymond Felton,15.35,602.0,6-1,205.0,North Carolina,USA,2005.0,1,5,185.42,403.0,-%,-,-,8' 2'',6' 4.25''
62,63,Mike Bibby,15.34,249.0,6-2,195.0,Arizona,USA,1998.0,1,2,187.96,,,,,,
63,64,Kevin Love,15.31,758.0,6-10,260.0,UCLA,USA,2008.0,1,5,208.28,664.0,12.90%,-,-,8' 10'',6' 11.25''
64,65,Rasheed Wallace,15.13,168.0,6-11,225.0,North Carolina,USA,1995.0,1,4,210.82,,,,,,
65,66,Zydrunas Ilgauskas,15.08,188.0,7-3,260.0,None,Lithuania,1996.0,1,20,220.98,,,,,,
66,67,Jermaine O'Neal,15.07,184.0,6-11,255.0,None,USA,1996.0,1,17,210.82,,,,,,
67,68,Richard Hamilton,14.99,318.0,6-7,193.0,Connecticut,USA,1999.0,1,7,200.66,,,,,,
68,69,Ron Artest,14.92,,,,,,,,,,,,,,,
69,70,Tayshaun Prince,14.91,435.0,6-9,215.0,Kentucky,USA,2002.0,1,23,205.74,,,,,,
70,71,Andrew Bynum,14.89,562.0,7-0,285.0,None,USA,2005.0,1,10,213.36,,,,,,
71,72,Udonis Haslem,14.84,1905.0,6-8,235.0,Florida,USA,0.0,Undrafted,Undrafted,203.2,,,,,,
72,73,O.J. Mayo,14.69,739.0,6-4,210.0,Southern California,USA,2008.0,1,3,193.04,666.0,6.30%,-,-,8' 3.5'',6' 6''
73,74,Russell Westbrook,14.6,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
74,75,Grant Hill,14.59,135.0,6-8,225.0,Duke,USA,1994.0,1,3,203.2,,,,,,
75,76,Andrea Bargnani,14.58,616.0,7-0,256.0,None,Italy,2006.0,1,1,213.36,,,,,,
76,77,Joakim Noah,14.51,716.0,6-11,232.0,Florida,USA,2007.0,1,9,210.82,588.0,4.80%,-,-,8' 10.5'',7' 1.25''
77,78,Kelenna Azubuike,14.39,1883.0,6-5,215.0,Kentucky,England,0.0,Undrafted,Undrafted,195.58,,,,,,
78,79,Ramon Sessions,14.34,711.0,6-3,190.0,Nevada-Reno,USA,2007.0,2,56,190.5,596.0,6.20%,-,-,8' 1.5'',6' 4.25''
79,80,Kenyon Martin,14.32,322.0,6-9,240.0,Cincinnati,USA,2000.0,1,1,205.74,,,,,,
80,81,Chris Duhon,14.27,546.0,6-1,190.0,Duke,USA,2004.0,2,38,185.42,321.0,6.70%,-,-,8' 2'',6' 6.5''
81,82,Wilson Chandler,14.17,683.0,6-8,225.0,DePaul,USA,2007.0,1,23,203.2,,,,,,
82,83,Thaddeus Young,14.12,671.0,6-8,220.0,Georgia Tech,USA,2007.0,1,12,203.2,616.0,4.90%,-,-,8' 10'',6' 11.5''
83,84,Al Thornton,14.04,673.0,6-8,220.0,Florida State,USA,2007.0,1,14,203.2,605.0,5.80%,-,-,8' 8'',7' 1''
