RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Dwyane Wade, MIA",51,37.9,.583,21.4,12.0,32.7,3.0,11.2,7.3,29.04,534.4,17.8
2,"Dirk Nowitzki, DAL",78,36.2,.605,13.1,8.3,26.8,5.0,23.9,14.8,27.70,682.0,22.7
3,"Yao Ming, HOU",48,33.8,.601,7.5,13.2,29.9,7.0,24.7,16.0,26.54,386.4,12.9
4,"Tim Duncan, SA",80,34.1,.579,14.5,11.9,25.5,10.0,26.9,18.7,26.20,634.5,21.2
5,"Kobe Bryant, LAL",77,40.8,.580,14.9,9.2,31.1,3.0,13.5,8.2,26.13,732.5,24.4
6,"LeBron James, CLE",78,40.9,.552,17.7,9.4,29.6,3.0,16.5,9.6,24.56,669.3,22.3
7,"Pau Gasol, MEM",59,36.2,.593,14.4,11.6,23.3,8.0,24.2,16.3,24.22,405.0,13.5
8,"Kevin Garnett, MIN",76,39.4,.546,15.1,9.9,25.2,7.0,30.8,19.5,24.20,567.8,18.9
9,"Manu Ginobili, SA",75,27.5,.609,18.3,10.9,25.1,4.0,15.1,9.6,24.18,420.6,14.0
10,"Carlos Boozer, UTAH",74,34.6,.588,12.8,11.2,24.8,11.0,29.9,20.5,24.11,481.2,16.0
11,"Gilbert Arenas, WSH",74,39.8,.565,17.4,9.3,29.8,2.0,11.1,6.6,24.07,573.9,19.1
12,"Steve Nash, PHX",76,35.3,.654,39.3,12.8,23.8,1.0,9.9,5.8,23.87,515.3,17.2
13,"Tracy McGrady, HOU",71,35.8,.515,19.4,9.0,32.9,3.0,14.5,8.6,23.28,484.5,16.1
14,"Elton Brand, LAC",80,38.5,.581,12.7,10.9,22.3,11.0,18.4,14.5,23.17,536.1,17.9
15,"Amar'e Stoudemire, PHX",82,32.8,.637,5.2,14.2,22.5,10.0,23.2,17.0,23.15,467.6,15.6
16,"Zach Randolph, POR",68,35.7,.537,7.9,11.6,30.1,10.0,25.5,17.6,22.81,409.4,13.6
17,"Chris Bosh, TOR",69,38.5,.577,10.2,10.5,23.9,8.0,24.8,16.4,22.72,445.3,14.8
18,"Michael Redd, MIL",53,38.4,.586,8.5,8.4,26.7,2.0,9.0,5.7,22.30,358.7,12.0
19,"Carmelo Anthony, DEN",65,38.2,.552,11.4,10.7,30.7,7.0,11.1,8.9,22.20,434.0,14.5
20,"Chris Paul, NO",64,36.8,.537,32.4,9.2,23.8,3.0,11.3,6.9,22.00,386.3,12.9
21,"Vince Carter, NJ",82,38.1,.559,16.0,8.8,28.4,4.0,14.2,9.3,21.86,529.9,17.7
22,"Shaquille O'Neal, MIA",40,28.4,.567,10.1,12.1,26.4,10.0,20.3,15.5,21.85,190.5,6.3
23,"Paul Pierce, BOS",47,37.0,.571,14.1,11.1,28.5,3.0,16.8,9.5,21.73,291.5,9.7
24,"Ray Allen, SEA",55,40.3,.564,13.6,9.2,27.3,3.0,10.4,6.7,21.70,370.8,12.4
25,"Tony Parker, SA",77,32.5,.572,22.6,10.3,25.9,2.0,10.0,6.0,21.46,390.1,13.0
26,"Chauncey Billups, DET",70,36.2,.591,30.4,8.5,21.8,1.0,10.0,5.5,21.38,392.4,13.1
27,"Dwight Howard, ORL",82,36.9,.619,9.6,19.3,20.8,12.0,28.9,20.5,21.19,477.7,15.9
28,"Baron Davis, GS",63,35.3,.530,26.9,10.2,26.0,2.0,11.3,6.8,21.02,332.3,11.1
29,"Shawn Marion, PHX",80,37.6,.594,9.4,8.0,17.1,7.0,22.6,15.2,20.87,465.7,15.5
30,"Rashard Lewis, SEA",60,39.1,.587,10.3,8.4,22.3,5.0,15.7,10.1,20.78,325.1,10.8
31,"David Lee, NY",58,29.8,.652,15.5,13.7,14.1,14.0,27.6,20.7,20.31,250.7,8.4
32,"Emeka Okafor, CHA",67,34.8,.554,7.5,10.5,17.3,13.0,26.2,19.2,20.15,332.0,11.1
33,"Kevin Martin, SAC",80,35.2,.614,10.6,8.3,20.8,3.0,11.6,7.1,20.12,404.7,13.5
