Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
DeMar DeRozan,TOR,23,6-7,216,USC,USA,2009,1,9,82,18.1,3.9,2.5,-1.7,1.6%,9.5%,23.8%,52.3%,12.0%
DeMarcus Cousins,SAC,22,6-11,270,Kentucky,USA,2010,1,5,75,17.1,9.9,2.7,-6.1,9.7%,24.5%,27.8%,52.4%,15.4%
DeMarre Carroll,UTA,26,6-8,212,Missouri,USA,2009,1,27,66,6.0,2.8,0.9,5.6,8.1%,9.6%,15.8%,53.5%,8.5%
DeQuan Jones,ORL,23,6-8,221,Miami (FL),USA,Undrafted,Undrafted,Undrafted,63,3.7,1.7,0.3,-10.5,2.0%,11.0%,14.6%,48.5%,3.0%
DeSagana Diop,CHA,31,7-0,280,None,Senegal,2001,1,8,22,0.7,2.3,0.6,-7.2,4.4%,16.7%,6.9%,29.2%,8.7%
DeShawn Stevenson,ATL,32,6-5,218,None,USA,2000,1,23,56,5.1,2.2,0.9,-1.6,1.6%,9.2%,11.6%,52.2%,6.3%
Derek Fisher,OKC,38,6-1,210,Arkansas-Little Rock,USA,1996,1,24,33,5.3,1.1,1.4,5.9,0.4%,6.1%,16.4%,49.2%,11.7%
Deron Williams,BKN,29,6-3,209,Illinois,USA,2005,1,3,78,18.9,3.0,7.7,3.1,1.0%,7.6%,23.8%,57.4%,36.4%
Derrick Favors,UTA,21,6-10,248,Georgia Tech,USA,2010,1,3,77,9.4,7.1,1.0,0.1,10.3%,21.0%,20.1%,53.3%,7.1%
Derrick Williams,MIN,22,6-8,241,Arizona,USA,2011,1,2,78,12.0,5.5,0.6,-4.5,5.0%,18.3%,23.4%,51.5%,4.4%
Devin Ebanks,LAL,23,6-9,215,West Virginia,USA,2010,2,43,19,3.4,2.2,0.5,-5.8,4.5%,14.4%,19.4%,41.1%,9.4%
Devin Harris,ATL,30,6-3,192,Wisconsin,USA,2004,1,5,58,9.9,2.0,3.4,6.0,0.4%,7.6%,19.1%,56.5%,21.5%
Dexter Pittman,MEM,25,6-11,285,Texas,USA,2010,2,32,11,0.7,1.1,0.0,-43.3,20.6%,15.6%,19.0%,32.5%,0.0%
Diante Garrett,PHX,24,6-4,190,Iowa State,,Undrafted,Undrafted,Undrafted,19,2.1,0.8,1.6,-14.2,3.0%,6.8%,19.6%,37.5%,35.2%
Dion Waiters,CLE,21,6-4,215,Syracuse,USA,2012,1,4,61,14.7,2.4,3.0,-4.3,1.2%,8.1%,25.8%,49.2%,17.8%
Dirk Nowitzki,DAL,35,7-0,245,None,Germany,1998,1,9,53,17.3,6.8,2.5,0.8,2.3%,19.9%,24.0%,56.4%,13.2%
Dominic McGuire,IND,27,6-9,235,Fresno State,USA,2007,2,47,26,2.0,3.0,0.8,-12.2,5.1%,16.5%,8.8%,42.2%,8.0%
Dominique Jones,DAL,24,6-5,215,South Florida,USA,2010,1,25,29,4.0,1.6,2.9,-2.2,5.3%,7.5%,22.7%,43.8%,40.3%
Donald Sloan,NOH,25,6-3,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,23,3.5,1.2,1.7,-13.4,1.0%,9.8%,17.1%,45.5%,28.4%
Donatas Motiejunas,HOU,22,7-0,222,None,Lithuania,2011,1,20,44,5.7,2.1,0.7,3.8,6.9%,10.5%,22.0%,53.1%,9.1%
Dorell Wright,PHI,27,6-9,205,None,USA,2004,1,19,79,9.2,3.8,1.9,-6.1,2.2%,15.2%,18.1%,55.1%,13.8%
Doron Lamb,ORL,21,6-4,210,Kentucky,USA,2012,2,42,47,3.3,1.0,0.7,-7.0,1.3%,6.7%,15.2%,43.3%,8.5%
Draymond Green,GSW,23,6-7,230,Michigan State,USA,2012,2,35,79,2.9,3.3,0.7,-0.9,5.5%,17.8%,13.5%,40.4%,7.6%
Drew Gooden,MIL,31,6-10,250,Kansas,USA,2002,1,4,16,3.3,1.9,0.4,-5.2,7.6%,11.8%,21.3%,38.2%,6.5%
Dwight Howard,LAL,27,6-11,265,None,USA,2004,1,1,76,17.1,12.4,1.4,2.9,9.4%,24.4%,22.3%,57.3%,6.8%
Dwyane Wade,MIA,31,6-4,220,Marquette,USA,2003,1,5,69,21.2,5.0,5.1,12.3,4.2%,11.2%,28.8%,57.1%,24.8%
E'Twaun Moore,ORL,24,6-4,191,Purdue,USA,2011,2,55,75,7.8,2.2,2.7,-8.9,2.8%,7.2%,19.2%,47.1%,19.5%
Earl Barron,NYK,31,7-0,250,Memphis,,Undrafted,Undrafted,Undrafted,12,3.3,5.1,0.4,-5.6,11.1%,26.0%,17.3%,36.1%,5.4%
Earl Clark,LAL,25,6-10,225,Louisville,USA,2009,1,14,59,7.3,5.5,1.1,-3.9,6.1%,17.2%,15.4%,51.0%,7.3%
Earl Watson,UTA,34,6-1,199,California-Los Angeles,USA,2001,2,39,48,2.0,1.8,4.0,-3.1,2.8%,8.6%,10.4%,36.6%,32.6%
Ed Davis,MEM,24,6-10,232,North Carolina,USA,2010,1,13,81,7.7,5.7,0.8,-0.4,9.7%,20.1%,17.5%,56.1%,6.6%
Eddy Curry,DAL,30,7-0,295,None,USA,2001,1,4,2,4.5,2.0,0.0,11.3,8.7%,6.7%,22.8%,46.1%,0.0%
Ekpe Udoh,MIL,26,6-10,245,Baylor,USA,2010,1,6,76,4.3,3.3,0.6,-1.5,8.1%,10.5%,12.1%,50.3%,4.9%
Elton Brand,DAL,34,6-9,254,Duke,USA,1999,1,1,72,7.2,6.0,1.0,-2.1,8.8%,18.9%,16.7%,49.9%,7.2%
Emeka Okafor,WAS,30,6-10,255,Connecticut,USA,2004,1,2,79,9.7,8.8,1.2,-0.8,9.5%,23.9%,19.3%,49.6%,7.7%
Enes Kanter,UTA,21,6-11,267,,Turkey,2011,1,3,70,7.2,4.3,0.4,5.1,12.5%,15.5%,20.6%,58.8%,5.0%
Eric Bledsoe,LAC,23,6-1,195,Kentucky,USA,2010,1,18,76,8.5,3.0,3.1,4.1,5.3%,9.4%,21.9%,51.3%,24.9%
Eric Gordon,NOH,24,6-3,215,Indiana,USA,2008,1,7,42,17.0,1.8,3.3,-1.5,0.8%,5.8%,28.1%,52.3%,18.3%
Eric Maynor,POR,26,6-3,175,Va Commonwealth,USA,2009,1,20,64,4.5,0.7,2.8,-3.0,1.0%,4.0%,18.1%,47.2%,29.5%
Ersan Ilyasova,MIL,26,6-10,235,None,Turkey,2005,2,36,73,13.2,7.1,1.6,0.2,7.2%,18.5%,20.2%,55.2%,9.2%
Evan Fournier,DEN,20,6-6,200,None,France,2012,1,20,38,5.3,0.9,1.2,6.6,1.4%,6.0%,19.8%,59.7%,15.3%
Evan Turner,PHI,24,6-7,220,Ohio State,USA,2010,1,2,82,13.3,6.3,4.3,-3.8,1.9%,16.2%,20.9%,47.8%,19.2%
Fab Melo,BOS,23,7-0,255,Syracuse,Brazil,2012,1,22,6,1.2,0.5,0.0,-12.8,0.0%,7.3%,11.2%,45.1%,0.0%
Festus Ezeli,GSW,23,6-11,255,Vanderbilt,Nigeria,2012,1,30,78,2.4,4.0,0.3,-0.9,12.6%,14.7%,10.6%,46.7%,2.8%
Francisco Garcia,HOU,31,6-7,195,Louisville,Dominican Rep...,2005,1,23,58,5.5,1.6,1.1,-1.9,0.8%,8.0%,14.6%,51.9%,9.5%
Garrett Temple,WAS,27,6-6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,51,5.1,2.4,2.3,-0.3,2.5%,8.2%,13.0%,47.8%,15.1%
Gary Neal,SAS,28,6-4,210,Towson,USA,Undrafted,Undrafted,Undrafted,68,9.5,2.1,1.9,3.9,0.9%,8.5%,21.1%,51.2%,13.7%
George Hill,IND,27,6-2,190,None,USA,2008,1,26,76,14.2,3.7,4.7,8.5,1.8%,8.7%,18.4%,55.8%,22.0%
Gerald Green,IND,27,6-8,210,None,USA,2005,1,18,60,7.0,2.4,0.8,-0.7,2.7%,9.5%,20.7%,46.5%,8.7%
Gerald Henderson,CHA,25,6-5,215,Duke,USA,2009,1,12,68,15.5,3.7,2.6,-10.0,2.5%,9.7%,23.2%,53.1%,15.2%
Gerald Wallace,BKN,30,6-7,220,Alabama,USA,2001,1,25,69,7.7,4.6,2.6,4.0,3.4%,12.4%,14.3%,49.0%,13.1%
Glen Davis,ORL,27,6-9,289,Louisiana State,USA,2007,2,35,34,15.1,7.2,2.1,-1.0,5.3%,18.2%,25.5%,48.3%,11.5%
Goran Dragic,PHX,27,6-3,190,None,Slovenia,2008,2,45,77,14.7,3.1,7.4,-4.7,2.3%,7.3%,21.3%,54.0%,34.4%
