Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron McKie,PHI,32,6-5,209,Temple,USA,1994,1,17,68,2.2,2.5,1.5,0.7,1.7%,13.5%,6.8%,51.0%,13.5%
Aaron Williams,TOR,33,6-9,235,Xavier,USA,Undrafted,Undrafted,Undrafted,42,1.7,1.4,0.2,-20.0,5.5%,15.2%,12.8%,51.8%,4.9%
Adonal Foyle,GSW,30,6-10,270,Colgate,St. Vincent &...,1997,1,8,78,4.5,5.5,0.7,-0.2,9.3%,15.2%,10.4%,51.4%,4.8%
Adrian Griffin,CHI,30,6-5,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,69,2.2,2.1,0.8,3.8,7.2%,13.8%,13.6%,41.9%,13.4%
Al Harrington,ATL,25,6-9,250,None,USA,1998,1,25,66,17.5,7.0,3.2,-10.2,5.7%,13.9%,23.6%,50.8%,14.8%
Al Jefferson,BOS,20,6-10,265,None,USA,2004,1,15,71,6.7,4.4,0.3,-1.5,12.0%,17.8%,20.6%,55.4%,4.2%
Alan Henderson,DAL,32,6-9,240,Indiana,USA,1995,1,16,78,3.5,4.5,0.3,-6.1,13.3%,14.9%,11.1%,53.9%,2.9%
Aleksandar Radojevic,UTA,28,7-3,250,Barton County C.C.,USA,1999,1,12,12,1.6,2.3,0.5,-5.6,7.5%,17.1%,13.7%,40.6%,7.0%
Alex Garcia,NOH,25,6-3,195,None,USA,Undrafted,Undrafted,Undrafted,8,5.5,1.9,2.3,-14.1,4.8%,6.9%,19.6%,40.9%,22.8%
Allan Houston,NYK,34,6-6,205,Tennessee,USA,1993,1,11,20,11.9,1.2,2.1,1.4,0.8%,3.9%,20.7%,52.9%,12.7%
Allen Iverson,PHI,30,6-0,165,Georgetown,USA,1996,1,1,75,30.7,4.0,7.9,0.2,1.6%,7.9%,34.4%,53.2%,36.1%
Alonzo Mourning,MIA,35,6-10,261,Georgetown,USA,1992,1,2,37,7.6,5.4,0.5,-3.7,8.2%,20.0%,22.0%,51.5%,5.2%
Amar'e Stoudemire,PHX,22,6-10,245,None,USA,2002,1,9,80,26.0,8.9,1.6,10.4,7.9%,15.7%,28.3%,61.7%,7.5%
Anderson Varejao,CLE,22,6-10,230,None,Brazil,2004,2,30,54,4.9,4.8,0.5,5.5,12.0%,18.0%,14.0%,53.4%,5.0%
Andre Barrett,ORL,23,5-10,173,Seton Hall,,Undrafted,Undrafted,Undrafted,38,3.1,1.1,1.8,2.1,2.3%,6.0%,14.5%,44.6%,22.7%
Andre Emmett,MEM,22,6-5,230,Texas Tech,,2004,2,35,8,0.9,0.3,0.0,-11.9,0.0%,7.4%,15.8%,42.7%,0.0%
Andre Iguodala,PHI,21,6-6,207,Arizona,USA,2004,1,9,82,9.0,5.7,3.0,0.0,3.3%,14.1%,12.7%,58.0%,13.9%
Andre Miller,DEN,29,6-2,200,Utah,USA,1999,1,8,82,13.6,4.1,6.9,3.4,3.7%,8.4%,19.4%,54.1%,31.5%
Andrei Kirilenko,UTA,24,6-9,205,None,Russia,1999,1,24,41,15.6,6.2,3.2,3.6,7.4%,13.2%,21.4%,59.9%,17.8%
Andres Nocioni,CHI,25,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,81,8.4,4.8,1.5,-3.8,3.6%,16.6%,19.4%,48.4%,11.1%
Andrew DeClercq,ORL,32,6-10,255,Florida,USA,1995,2,34,8,1.1,1.3,0.0,-9.4,12.1%,7.0%,9.5%,43.6%,0.0%
Andris Biedrins,GSW,19,6-11,240,None,Latvia,2004,1,11,30,3.6,3.9,0.4,7.2,11.6%,17.3%,12.2%,57.0%,4.7%
Anfernee Hardaway,NYK,33,6-7,215,Memphis,USA,1993,1,3,37,7.3,2.4,2.0,-4.9,2.2%,8.6%,16.5%,48.0%,14.1%
Ansu Sesay,GSW,28,6-9,225,Mississippi,USA,1998,2,30,16,3.1,2.4,0.8,-7.3,12.3%,14.7%,19.7%,46.6%,17.9%
Antawn Jamison,WAS,29,6-9,230,North Carolina,USA,1998,1,4,68,19.6,7.6,2.3,1.8,5.8%,13.8%,23.4%,50.6%,10.1%
Anthony Carter,MIN,30,6-2,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,66,2.7,1.0,2.4,1.9,1.8%,7.9%,16.6%,45.4%,35.5%
Anthony Goldwire,MIL,33,6-2,182,Houston,USA,1994,2,52,33,5.2,1.8,2.4,-7.3,2.0%,9.6%,14.3%,57.5%,25.2%
Anthony Johnson,IND,30,6-3,190,College of Charleston,USA,1997,2,39,63,8.4,2.8,4.8,0.8,2.0%,8.6%,16.4%,52.6%,30.9%
Anthony Miller,ATL,33,6-9,255,Michigan State,USA,1994,2,39,2,2.0,0.5,0.5,14.0,0.0%,11.1%,13.3%,66.7%,25.0%
Anthony Peeler,WAS,35,6-4,208,Missouri,USA,1992,1,15,40,3.8,1.6,1.4,-10.5,2.4%,10.3%,15.3%,48.4%,18.0%
Antoine Walker,BOS,28,6-9,245,Kentucky,USA,1996,1,6,77,19.1,9.0,3.4,-9.4,6.1%,18.8%,26.8%,47.8%,16.3%
Antonio Burks,MEM,25,6-0,195,Memphis,USA,2004,2,36,24,3.0,0.5,1.2,-6.3,0.5%,5.7%,17.7%,53.4%,25.2%
Antonio Daniels,SEA,30,6-4,205,Bowling Green,USA,1997,1,4,75,11.2,2.3,4.1,4.7,1.0%,7.7%,18.5%,55.7%,26.1%
Antonio Davis,CHI,36,6-9,245,Texas-El Paso,USA,1990,2,45,72,7.0,5.9,1.1,1.0,8.1%,14.8%,14.3%,51.6%,7.1%
Antonio McDyess,DET,30,6-9,245,Alabama,USA,1995,1,2,77,9.6,6.3,0.9,0.7,10.2%,18.1%,19.8%,54.2%,7.3%
Austin Croshere,IND,30,6-10,242,Providence,USA,1997,1,12,73,8.9,5.1,1.3,-5.2,6.0%,16.2%,18.0%,53.1%,9.9%
Awvee Storey,NJN,28,6-6,225,Arizona State,USA,Undrafted,Undrafted,Undrafted,9,0.9,0.6,0.1,-15.3,12.1%,3.2%,17.5%,36.8%,7.1%
Baron Davis,GSW,26,6-3,223,California-Los Angeles,USA,1999,1,3,46,19.2,3.8,7.9,2.1,1.9%,9.0%,27.3%,51.5%,39.1%
Ben Gordon,CHI,22,6-3,200,Connecticut,USA,2004,1,3,82,15.1,2.6,2.0,4.2,2.7%,7.4%,29.4%,52.6%,16.5%
Ben Handlogten,UTA,31,6-10,240,Western Michigan,USA,Undrafted,Undrafted,Undrafted,21,4.5,3.1,0.6,-8.3,9.1%,17.9%,16.8%,52.5%,7.5%
Ben Wallace,DET,30,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,74,9.7,12.2,1.7,7.1,11.1%,22.7%,15.0%,45.9%,7.5%
Beno Udrih,SAS,22,6-3,200,None,Slovenia,2004,1,28,80,5.9,1.0,1.9,5.1,1.4%,5.8%,19.8%,54.9%,23.3%
Bernard Robinson,CHA,24,6-6,210,Michigan,USA,2004,2,45,31,3.0,1.5,1.0,-13.8,3.9%,10.2%,14.2%,50.3%,16.9%
Billy Thomas,NJN,29,6-5,218,Kansas,USA,Undrafted,Undrafted,Undrafted,25,3.7,1.4,0.7,-1.1,2.1%,8.8%,14.1%,47.0%,7.8%
Bo Outlaw,PHX,34,6-8,220,Houston,USA,Undrafted,Undrafted,Undrafted,39,0.7,1.4,0.3,-9.2,7.0%,15.9%,9.1%,38.2%,9.8%
Bob Sura,HOU,32,6-5,200,Florida State,USA,1995,1,17,61,10.3,5.5,5.2,4.3,4.3%,13.7%,17.4%,53.3%,26.6%
Bobby Jackson,SAC,32,6-1,185,Minnesota,USA,1997,1,23,25,12.0,3.4,2.4,3.9,4.0%,10.8%,24.6%,53.7%,19.5%
Bobby Simmons,LAC,25,6-6,228,DePaul,USA,2001,2,41,75,16.4,5.9,2.7,1.3,4.9%,11.6%,20.4%,54.0%,12.6%
Bonzi Wells,MEM,28,6-5,210,Ball State,USA,1998,1,11,69,10.4,3.3,1.2,-1.3,3.5%,13.1%,24.6%,51.5%,10.6%
Boris Diaw,ATL,23,6-8,215,None,France,2003,1,21,66,4.8,2.6,2.3,-6.7,4.4%,10.5%,15.3%,47.9%,20.2%
Bostjan Nachbar,NOH,24,6-9,221,None,Slovenia,2002,1,15,71,7.0,2.6,1.0,-6.3,1.8%,12.6%,18.4%,53.4%,10.2%
Brad Miller,SAC,29,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,56,15.6,9.3,3.9,5.1,6.8%,17.7%,17.3%,59.6%,16.0%
Brandin Knight,HOU,23,6-0,180,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,1.0,-6.7,0.0%,0.0%,12.5%,0.0%,33.3%
Brandon Hunter,ORL,24,6-7,266,Ohio,USA,2003,2,56,31,3.1,2.2,0.1,-3.5,10.8%,18.3%,20.7%,52.7%,2.3%
Brendan Haywood,WAS,25,7-0,266,North Carolina,USA,2001,1,20,68,9.4,6.8,0.8,6.0,10.5%,13.5%,14.8%,58.8%,4.7%
Brent Barry,SAS,33,6-7,210,Oregon State,USA,1995,1,15,81,7.4,2.3,2.2,6.3,1.7%,9.5%,14.8%,58.0%,16.8%
Brevin Knight,CHA,29,5-10,170,Stanford,USA,1997,1,16,66,10.1,2.6,9.0,-3.3,1.0%,8.2%,18.0%,49.5%,46.2%
Brian Cardinal,MEM,28,6-8,245,Purdue,USA,2000,2,44,58,9.0,3.9,2.0,4.6,4.8%,11.9%,19.4%,51.0%,13.5%
Brian Cook,LAL,24,6-9,234,Illinois,USA,2003,1,24,72,6.4,3.0,0.5,3.1,5.7%,14.0%,19.0%,52.2%,5.6%
Brian Grant,LAL,33,6-9,254,Xavier,USA,1994,1,8,69,3.8,3.7,0.5,-4.7,8.8%,13.3%,11.3%,53.9%,4.8%
