RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"LeBron James, CLE",81,37.7,.591,21.1,8.7,32.2,4.3,19.0,11.9,31.76,969.2,32.3
2,"Dwyane Wade, MIA",79,38.6,.574,20.0,9.3,34.1,3.5,12.2,7.8,30.46,908.1,30.3
3,"Chris Paul, NO",78,38.5,.599,33.4,9.0,27.9,2.8,14.6,8.7,30.04,853.2,28.4
4,"Dwight Howard, ORL",79,35.7,.600,6.6,14.1,23.0,13.8,29.5,21.8,25.44,624.8,20.8
5,"Tim Duncan, SA",75,33.6,.549,15.1,9.4,26.0,9.6,27.9,18.9,24.51,523.6,17.5
6,"Kobe Bryant, LAL",82,36.1,.561,15.5,8.2,30.2,3.5,12.8,8.2,24.46,616.7,20.6
7,"Brandon Roy, POR",78,37.2,.573,19.1,7.3,26.5,4.4,11.6,7.9,24.08,588.4,19.6
8,"Tony Parker, SA",72,34.1,.556,23.6,8.8,30.1,1.3,9.4,5.4,23.47,457.0,15.2
9,"Dirk Nowitzki, DAL",81,37.7,.564,8.9,7.1,27.3,3.3,22.1,12.8,23.20,532.4,17.7
10,"Al Jefferson, MIN",50,36.7,.532,6.3,7.3,26.2,10.6,24.9,17.5,23.16,344.1,11.5
11,"Manu Ginobili, SA",44,26.8,.594,19.2,10.7,25.2,2.5,17.3,10.0,22.93,219.0,7.3
12,"Yao Ming, HOU",77,33.6,.618,8.6,14.7,23.6,9.6,24.1,17.1,22.74,469.2,15.6
13,"Shaquille O'Neal, PHX",75,30.0,.623,9.2,12.3,21.7,10.1,22.3,16.4,22.33,394.3,13.1
14,"Pau Gasol, LAL",81,37.0,.617,16.9,9.4,19.3,10.0,19.3,14.7,22.31,497.3,16.6
15,"Chris Bosh, TOR",77,38.0,.569,10.1,9.2,24.1,8.7,22.1,15.5,22.19,467.0,15.6
16,"Danny Granger, IND",67,36.2,.584,10.0,9.0,26.8,2.2,13.4,7.7,21.88,411.9,13.7
17,"Devin Harris, NJ",69,36.1,.563,23.9,10.6,27.4,1.4,9.7,5.5,21.65,396.3,13.2
18,"Kevin Garnett, BOS",57,31.1,.563,14.0,8.7,21.4,5.6,26.7,16.6,21.32,259.6,8.7
19,"Deron Williams, UTAH",68,36.8,.573,34.4,10.8,25.5,1.1,8.1,4.6,21.13,378.6,12.6
20,"Kevin Durant, OKC",74,39.0,.577,10.0,11.0,26.0,3.0,16.4,9.6,20.85,445.8,14.9
21,"Jameer Nelson, ORL",42,31.2,.612,25.6,9.4,22.3,1.8,10.5,6.2,20.66,188.8,6.3
22,"Antawn Jamison, WSH",81,38.2,.549,8.0,6.5,23.6,7.2,20.5,13.7,20.63,422.0,14.1
23,"Amar'e Stoudemire, PHX",53,36.8,.617,8.9,12.8,21.7,7.2,18.1,12.9,20.39,258.5,8.6
24,"Andrew Bynum, LAL",50,28.9,.598,9.4,11.3,18.9,10.8,20.1,15.6,20.03,203.5,6.8
25,"Zach Randolph, LAC/NY",50,35.1,.531,8.6,9.5,25.7,9.9,23.3,16.4,19.72,215.6,7.2
26,"Steve Nash, PHX",74,33.6,.615,37.6,13.0,22.0,0.9,9.2,5.2,19.55,316.9,10.6
27,"Leandro Barbosa, PHX",70,24.4,.588,14.7,8.5,22.2,2.4,9.7,6.2,19.44,227.5,7.6
28,"Vince Carter, NJ",80,36.8,.545,18.2,8.0,25.2,3.0,13.8,8.3,19.35,389.1,13.0
,"Jason Terry, DAL",74,33.7,.571,15.3,7.3,23.7,1.8,6.3,4.1,19.35,310.3,10.3
30,"Kevin Martin, SAC",51,38.2,.601,10.4,11.0,24.7,1.7,9.3,5.5,19.25,254.3,8.5
31,"Andris Biedrins, GS",62,30.0,.585,14.1,12.8,15.6,13.0,27.4,20.2,19.16,238.0,7.9
32,"LaMarcus Aldridge, POR",81,37.1,.529,9.4,7.3,22.0,9.5,15.6,12.5,19.13,342.2,11.4
33,"Carmelo Anthony, DEN",66,34.5,.532,12.1,10.9,28.7,5.6,17.0,11.5,19.09,291.8,9.7
34,"David Lee, NY",81,34.9,.590,12.3,10.6,17.6,9.6,27.9,18.4,19.07,318.9,10.6
35,"David West, NO",76,39.2,.540,9.6,9.0,23.8,6.5,19.7,13.1,19.00,333.6,11.1
36,"Nate Robinson, NY",74,29.9,.549,18.8,8.7,24.1,4.7,9.8,7.2,18.95,261.9,8.7
37,"Rajon Rondo, BOS",80,33.0,.543,37.8,12.0,20.1,4.8,13.9,9.6,18.90,311.4,10.4
38,"Chauncey Billups, DEN/DET",79,35.3,.592,27.1,9.5,21.3,1.4,8.4,5.0,18.85,326.7,10.9
39,"Caron Butler, WSH",67,38.6,.552,16.5,11.9,24.5,5.2,13.8,9.4,18.84,321.6,10.7
40,"Nene , DEN",77,32.6,.645,9.6,13.1,16.3,8.7,18.7,13.8,18.83,308.1,10.3
41,"Jose Calderon, TOR",68,34.3,.613,41.5,9.8,18.1,0.8,8.9,4.9,18.80,271.7,9.1
42,"Marcus Camby, LAC",62,31.0,.556,16.0,11.7,14.7,9.4,32.7,20.7,18.79,235.3,7.8
43,"Brandan Wright, GS",39,17.6,.570,6.4,7.0,17.0,9.8,15.0,12.4,18.77,84.9,2.8
44,"Andre Miller, PHI",82,36.3,.548,27.3,10.2,21.8,4.9,9.9,7.4,18.71,342.3,11.4
,"Paul Millsap, UTAH",76,30.1,.576,11.9,11.1,18.4,13.1,21.0,17.0,18.71,246.3,8.2
46,"Gerald Wallace, CHA",71,37.6,.585,14.0,11.0,19.0,5.2,20.3,12.8,18.64,324.4,10.8
,"Charlie Villanueva, MIL",78,26.9,.529,9.3,9.4,26.0,8.3,21.6,14.7,18.64,223.3,7.4
48,"Andre Iguodala, PHI",82,39.9,.560,21.4,10.9,21.7,3.3,14.0,8.6,18.49,390.0,13.0
49,"Kevin Love, MIN",81,25.3,.538,8.1,11.4,19.2,15.1,27.3,21.0,18.39,210.5,7.0
50,"Joe Johnson, ATL",79,39.5,.534,20.4,8.7,25.2,2.4,10.5,6.5,18.26,362.0,12.1
51,"Chris Andersen, DEN",71,20.6,.608,6.6,14.6,12.0,13.4,21.6,17.6,18.16,151.7,5.1
52,"Greg Oden, POR",61,21.5,.599,5.5,15.3,17.6,15.7,24.5,20.0,18.13,147.6,4.9
53,"Zydrunas Ilgauskas, CLE",65,27.2,.523,6.7,9.4,21.3,11.0,21.6,16.5,18.03,195.8,6.5
54,"Emeka Okafor, CHA",82,32.8,.581,4.7,12.7,16.9,12.7,25.2,19.0,18.01,297.7,9.9
,"Marreese Speights, PHI",79,16.0,.543,4.7,7.2,19.8,11.6,16.3,13.9,18.01,122.7,4.1
56,"Michael Redd, MIL",33,36.5,.566,11.6,7.0,23.0,2.3,8.5,5.3,17.97,134.2,4.5
57,"Brook Lopez, NJ",82,30.5,.568,7.3,12.5,18.2,10.6,21.2,15.8,17.94,273.9,9.1
58,"Troy Murphy, IND",73,34.0,.614,15.2,10.1,15.6,6.4,32.0,19.1,17.81,233.7,7.8
59,"Paul Pierce, BOS",81,37.5,.582,15.1,11.7,23.4,2.4,15.4,9.2,17.74,327.8,10.9
60,"Carl Landry, HOU",69,21.3,.634,6.4,11.1,16.2,10.3,16.7,13.6,17.73,136.3,4.5
61,"Ramon Sessions, MIL",79,27.5,.525,29.5,9.9,22.5,3.3,11.7,7.3,17.65,215.6,7.2
62,"Mehmet Okur, UTAH",72,33.5,.592,9.3,10.3,19.7,6.1,21.5,13.8,17.59,251.3,8.4
63,"Will Bynum, DET",57,14.1,.520,25.0,12.1,27.5,2.8,8.4,5.5,17.52,78.1,2.6
64,"Ray Allen, BOS",79,36.4,.624,14.5,8.9,19.1,2.9,8.6,5.9,17.34,293.4,9.8
65,"Carlos Boozer, UTAH",37,32.4,.523,10.8,10.8,22.3,11.1,27.3,19.2,17.28,103.3,3.4
,"Josh Smith, ATL",69,35.1,.533,12.6,12.0,20.7,6.5,17.6,12.1,17.28,208.8,7.0
,"Michael Beasley, MIA",81,24.8,.528,6.6,9.6,24.6,6.5,19.8,13.1,17.28,173.2,5.8
68,"Mo Williams, CLE",81,35.0,.588,19.0,10.3,22.1,2.1,9.4,5.9,17.25,264.3,8.8
,"Leon Powe, BOS",70,17.5,.591,8.0,13.2,18.1,15.1,19.0,17.1,17.25,105.2,3.5
70,"Luis Scola, HOU",82,30.3,.572,10.6,10.6,17.6,9.8,23.4,16.9,17.10,208.0,6.9
71,"Josh Howard, DAL",52,32.0,.532,7.9,8.5,24.0,4.1,14.0,9.1,17.06,162.9,5.4
,"Al Horford, ATL",67,33.5,.565,17.2,10.8,15.4,7.6,25.0,16.3,17.06,216.2,7.2
73,"JaVale McGee, WSH",75,15.2,.534,4.2,11.2,18.6,12.0,18.4,15.1,17.04,109.9,3.7
,"Marcin Gortat, ORL",63,12.6,.578,5.7,10.2,11.9,14.0,26.3,20.3,17.04,76.3,2.5
75,"Ben Gordon, CHI",82,36.6,.573,14.2,10.2,23.3,2.0,8.8,5.4,17.02,291.6,9.7
76,"Craig Smith, MIN",74,19.7,.599,9.8,13.0,20.7,7.6,15.5,11.4,17.01,120.0,4.0
77,"Jason Kidd, DAL",81,35.6,.550,45.3,11.9,15.1,3.4,16.4,10.0,16.95,256.2,8.5
78,"Anthony Randolph, GS",63,17.9,.506,7.9,12.9,19.5,12.4,22.6,17.5,16.94,108.5,3.6
79,"Richard Hamilton, DET",67,34.0,.529,18.7,8.4,25.8,2.3,8.6,5.4,16.93,218.8,7.3
80,"Corey Maggette, GS",51,31.1,.582,8.9,11.7,22.7,3.4,16.0,9.7,16.91,151.8,5.1
,"Hakim Warrick, MEM",82,24.7,.554,6.5,9.6,19.6,7.7,17.0,12.3,16.91,163.7,5.5
82,"Renaldo Balkman, DEN",53,14.7,.585,11.5,11.9,13.5,13.2,16.9,15.1,16.85,62.2,2.1
83,"JR Smith, DEN",81,27.7,.576,15.7,10.4,22.4,2.3,12.8,7.7,16.84,212.3,7.1
84,"Rashard Lewis, ORL",79,36.2,.580,13.1,10.1,20.0,3.7,13.9,8.9,16.83,227.5,7.6
85,"Andrei Kirilenko, UTAH",67,27.3,.549,17.5,12.1,19.1,5.5,15.3,10.4,16.82,164.4,5.5
86,"Brad Miller, CHI/SAC",70,30.0,.566,21.3,11.8,18.6,8.3,21.9,15.1,16.75,192.8,6.4
87,"Marc Gasol, MEM",82,30.7,.590,12.6,14.5,16.8,9.6,20.0,14.7,16.74,230.8,7.7
88,"Jason Richardson, PHX/CHA",72,33.5,.571,11.2,7.3,18.4,3.9,11.5,7.8,16.72,223.6,7.5
89,"Antonio McDyess, DET",62,30.1,.529,11.9,7.3,14.5,11.6,27.2,19.3,16.63,151.3,5.0
,"T.J. Ford, IND",74,30.5,.533,24.4,11.2,22.7,2.9,9.8,6.3,16.63,189.6,6.3
91,"Lamar Odom, LAL",78,29.7,.542,17.6,11.9,17.1,8.7,22.2,15.5,16.60,176.4,5.9
92,"Joakim Noah, CHI",80,24.2,.594,16.6,12.8,11.5,14.5,21.3,17.9,16.57,172.8,5.8
93,"Brandon Bass, DAL",81,19.4,.571,5.9,11.8,17.9,9.5,17.2,13.4,16.49,117.1,3.9
94,"James Singleton, DAL",62,14.3,.615,5.5,11.7,13.5,11.7,20.7,16.2,16.45,65.3,2.2
95,"Tracy McGrady, HOU",35,33.7,.492,21.9,8.7,23.4,2.1,12.7,7.6,16.39,103.8,3.5
,"Lou Williams, PHI",81,23.7,.513,17.2,10.7,26.4,2.2,8.1,5.2,16.39,160.0,5.3
97,"Mike Bibby, ATL",79,34.7,.544,24.5,8.0,20.0,1.6,10.3,6.0,16.38,219.9,7.3
98,"Drew Gooden, CHI/SAC/SA",51,24.8,.526,6.9,10.9,20.0,0.0,0.0,0.0,16.34,91.2,3.0
99,"Andrew Bogut, MIL",36,31.2,.586,13.9,16.6,16.5,11.8,27.7,19.4,16.21,94.0,3.1
100,"Stephen  Jackson, GS",59,39.6,.530,21.6,13.0,24.1,3.3,10.8,7.1,16.20,198.9,6.6
101,"Ronnie Brewer, UTAH",81,32.2,.565,14.1,8.6,17.4,4.6,9.1,6.9,16.19,221.4,7.4
102,"Roy Hibbert, IND",70,14.4,.510,8.3,9.3,21.0,12.4,14.1,13.3,16.16,83.7,2.8
103,"Derrick Rose, CHI",81,37.0,.516,25.2,9.9,22.1,3.7,8.4,6.1,16.05,226.1,7.5
104,"Marvin Williams, ATL",61,34.3,.569,9.1,7.8,16.4,6.2,15.2,10.7,16.04,173.1,5.8
105,"John Salmons, CHI/SAC",79,37.5,.580,15.0,9.9,18.5,2.3,10.8,6.5,16.03,244.1,8.1
106,"Shawn Marion, MIA/TOR",69,35.8,.522,12.7,9.6,15.2,8.6,19.7,14.2,16.02,192.5,6.4
107,"Al Harrington, GS/NY",73,34.9,.547,6.4,10.0,19.0,4.1,15.8,9.8,15.98,170.2,5.7
108,"Tyrus Thomas, CHI",79,27.5,.525,7.5,12.6,17.6,7.8,18.9,13.4,15.95,144.3,4.8
109,"Allen Iverson, DEN/DET",57,36.7,.504,20.0,10.3,21.4,1.7,8.2,4.9,15.89,168.4,5.6
110,"Jason Maxiell, DET",78,18.1,.580,5.2,9.8,13.3,14.0,13.2,13.7,15.88,92.1,3.1
111,"Erick Dampier, DAL",80,23.0,.664,15.6,15.0,9.7,13.6,21.6,17.7,15.72,140.2,4.7
112,"Metta World Peace, HOU",69,35.5,.512,15.1,9.2,22.7,3.2,13.4,8.5,15.64,188.3,6.3
113,"Trevor Ariza, LAL",82,24.4,.544,16.1,9.6,15.7,6.4,13.5,10.0,15.51,149.4,5.0
,"Jermaine O'Neal, MIA/TOR",68,29.8,.522,10.8,12.7,20.6,7.4,17.9,12.6,15.51,148.4,4.9
115,"Rudy Fernandez, POR",78,25.6,.588,17.0,9.2,17.6,2.9,10.1,6.4,15.50,148.8,5.0
116,"Joel Przybilla, POR",82,23.8,.652,6.0,17.4,9.3,12.8,33.1,22.8,15.46,141.5,4.7
117,"Richard Jefferson, MIL",82,35.8,.554,11.0,9.1,22.6,2.2,13.3,7.5,15.45,217.2,7.2
118,"Eddie House, BOS",81,18.3,.592,12.6,7.5,18.4,0.9,11.5,6.5,15.44,98.0,3.3
119,"Thaddeus Young, PHI",75,34.4,.549,6.9,9.5,18.8,6.4,11.2,8.8,15.40,176.7,5.9
120,"Rudy Gay, MEM",79,37.3,.528,7.7,11.6,23.0,4.5,13.9,9.1,15.38,214.7,7.2
121,"Grant Hill, PHX",82,29.8,.584,16.1,10.9,16.1,3.2,15.7,9.7,15.26,173.6,5.8
122,"Kosta Koufos, UTAH",48,11.8,.540,7.9,10.3,16.7,10.6,18.6,14.6,15.22,39.0,1.3
123,"Russell Westbrook, OKC",82,32.5,.489,21.8,13.8,25.0,7.6,9.7,8.6,15.20,167.4,5.6
124,"Jamal Crawford, GS/NY",65,38.1,.545,17.9,9.2,21.2,1.0,7.5,4.2,15.15,161.0,5.4
,"Travis Outlaw, POR",81,27.7,.541,7.3,8.3,20.3,3.8,14.7,9.1,15.15,155.7,5.2
126,"Tayshaun Prince, DET",82,37.3,.516,17.1,6.8,18.1,4.9,13.7,9.2,15.09,209.4,7.0
127,"Andray Blatche, WSH",71,24.0,.508,12.6,12.5,20.3,8.5,17.9,13.0,15.02,97.1,3.2
,"Matt Bonner, SA",81,23.8,.611,12.3,5.6,13.2,6.1,17.6,11.9,15.02,101.3,3.4
129,"Eric Gordon, LAC",78,34.3,.593,15.0,11.4,19.2,1.9,6.9,4.3,14.98,178.9,6.0
130,"D.J. Augustin, CHA",72,26.5,.587,22.9,10.9,20.1,1.1,7.5,4.3,14.95,112.5,3.7
131,"Rasheed Wallace, DET",66,32.2,.520,10.0,6.5,17.0,3.1,24.6,13.7,14.91,117.5,3.9
132,"Nick Collison, OKC",71,25.8,.599,10.5,11.6,12.5,11.2,19.7,15.4,14.85,99.8,3.3
133,"Rodney Stuckey, DET",79,31.9,.508,24.2,10.8,22.5,3.2,9.8,6.5,14.83,144.0,4.8
134,"Hedo Turkoglu, ORL",77,36.6,.541,21.1,11.5,21.6,1.9,14.2,8.2,14.82,181.6,6.1
135,"Von Wafer, HOU",63,19.4,.541,10.2,8.5,21.4,1.9,8.6,5.4,14.79,78.3,2.6
