,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,Russell Westbrook,33.92,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
1,2,LeBron James,32.14,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
2,3,James Harden,31.64,790.0,6-5,220.0,Arizona State,USA,2009.0,1,3,195.58,717.0,10.10%,-,-,8' 7.5'',6' 10.75''
3,4,Anthony Davis,31.17,924.0,6-10,253.0,Kentucky,USA,2012.0,1,1,208.28,854.0,7.90%,9.0,8.5,9' 0'',7' 5.5''
4,5,Kevin Durant,30.49,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
5,6,Karl-Anthony Towns,30.33,1084.0,7-0,248.0,Kentucky,USA,2015.0,1,1,213.36,,,,,,
6,7,DeMarcus Cousins,28.54,856.0,6-11,270.0,Kentucky,USA,2010.0,1,5,210.82,751.0,16.40%,9.25,10.0,9' 5'',7' 5.75''
7,8,Giannis Antetokounmpo,28.26,986.0,6-11,222.0,None,Greece,2013.0,1,15,210.82,,,,,,
8,9,Kawhi Leonard,26.15,875.0,6-7,225.0,San Diego State,USA,2011.0,1,15,200.66,816.0,5.40%,9.75,11.25,8' 10'',7' 3''
9,10,Stephen Curry,26.0,815.0,6-3,185.0,Davidson,USA,2009.0,1,7,190.5,706.0,5.70%,-,-,8' 1'',6' 3.5''
10,11,Jimmy Butler,25.38,892.0,6-7,220.0,Marquette,USA,2011.0,1,30,200.66,795.0,5.40%,9.0,9.0,8' 5.5'',6' 7.5''
11,12,Hassan Whiteside,25.36,844.0,7-0,235.0,Marshall,USA,2010.0,2,33,213.36,791.0,5.50%,8.25,10.25,9' 5'',7' 7''
12,13,John Wall,25.27,818.0,6-4,195.0,Kentucky,USA,2010.0,1,1,193.04,788.0,5.60%,8.25,9.5,8' 5.5'',6' 9.25''
13,14,Nikola Jokic,25.26,1065.0,6-10,250.0,None,Serbia,2014.0,2,41,208.28,,,,,,
14,15,Damian Lillard,24.33,975.0,6-3,195.0,Weber State,USA,2012.0,1,6,190.5,878.0,5.90%,8.75,9.75,7' 11.5'',6' 7.75''
15,16,Rudy Gobert,24.17,999.0,7-1,245.0,None,France,2013.0,1,27,215.9,926.0,4.40%,9.75,10.0,9' 7'',7' 8.5''
16,17,Isaiah Thomas,23.81,919.0,5-9,185.0,Washington,USA,2011.0,2,60,175.26,837.0,6.70%,8.25,9.0,7' 7.5'',6' 1.75''
17,18,DeAndre Jordan,23.62,745.0,6-11,265.0,Texas A&M,USA,2008.0,2,35,210.82,658.0,7.50%,-,-,9' 5.5'',7' 6''
18,19,Paul George,22.7,819.0,6-8,215.0,Fresno State,USA,2010.0,1,10,203.2,758.0,5.00%,8.5,9.0,8' 11'',6' 11.25''
19,20,Kevin Love,22.27,758.0,6-10,260.0,UCLA,USA,2008.0,1,5,208.28,664.0,12.90%,-,-,8' 10'',6' 11.25''
20,21,DeMar DeRozan,22.25,817.0,6-7,216.0,USC,USA,2009.0,1,9,200.66,708.0,4.90%,-,-,8' 6.5'',6' 9''
21,22,Kyrie Irving,22.24,869.0,6-3,191.0,Duke,Australia,2011.0,1,1,190.5,808.0,10.20%,8.25,9.25,8' 3'',6' 4''
22,23,Mike Conley,21.33,699.0,6-1,185.0,Ohio State,USA,2007.0,1,4,185.42,549.0,4.20%,-,-,7' 10.5'',6' 5.75''
23,24,Dwight Howard,21.3,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
24,25,Andre Drummond,21.3,979.0,6-11,279.0,Connecticut,USA,2012.0,1,9,210.82,856.0,7.50%,9.5,9.5,9' 1.5'',7' 6.25''
25,26,Marc Gasol,21.11,705.0,7-1,265.0,None,Spain,2007.0,2,48,215.9,,,,,,
26,27,Gordon Hayward,21.06,868.0,6-8,210.0,Butler,USA,2010.0,1,9,203.2,761.0,6.90%,8.5,9.25,8' 7'',6' 7.75''
27,28,Draymond Green,20.9,952.0,6-7,230.0,Michigan State,USA,2012.0,2,35,200.66,861.0,11.30%,9.0,9.5,8' 9'',7' 1.25''
28,29,Kemba Walker,20.9,922.0,6-1,184.0,Connecticut,USA,2011.0,1,9,185.42,843.0,5.90%,8.0,9.0,7' 7.5'',6' 3.5''
29,30,Paul Millsap,20.65,655.0,6-8,253.0,Louisiana Tech,USA,2006.0,2,47,203.2,508.0,9.70%,-,-,8' 9.5'',7' 1.5''
30,31,Nikola Vucevic,20.21,876.0,7-0,240.0,USC,Montenegro,2011.0,1,16,213.36,842.0,6.10%,9.25,10.25,9' 4.5'',7' 4.5''
31,32,Al Horford,20.03,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
32,33,C.J. McCollum,19.52,,,,,,,,,,,,,,,
33,34,Bradley Beal,19.37,946.0,6-5,207.0,Florida,USA,2012.0,1,3,195.58,849.0,6.00%,8.5,9.0,8' 4'',6' 8''
34,35,Jeff Teague,19.27,778.0,6-2,181.0,Wake Forest,USA,2009.0,1,19,187.96,735.0,4.50%,-,-,8' 2.5'',6' 7.5''
