Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
AJ Price,MIN,27,6-2,195,Connecticut,USA,2009,2,52,28,1.6,0.4,0.5,0.9,0.8%,7.5%,21.3%,46.9%,27.1%
Aaron Brooks,DEN,29,6-0,161,Oregon,USA,2007,1,26,72,9.0,1.9,3.2,-2.6,2.7%,6.1%,20.1%,51.8%,23.8%
Aaron Gray,SAC,29,7-0,270,Pittsburgh,USA,2007,2,49,37,1.8,3.0,0.6,-11.1,11.3%,19.9%,12.2%,46.6%,9.2%
Adonis Thomas,PHI,21,6-7,240,Memphis,USA,Undrafted,Undrafted,Undrafted,6,2.3,0.5,0.5,17.2,0.0%,7.9%,17.6%,48.5%,11.5%
Al Harrington,WAS,34,6-9,245,None,USA,1998,1,25,34,6.6,2.4,0.8,4.7,3.2%,13.8%,22.5%,50.6%,8.9%
Al Horford,ATL,28,6-10,250,Florida,Dominican Rep...,2007,1,3,29,18.6,8.4,2.6,3.1,7.2%,18.9%,24.4%,58.8%,13.9%
Al Jefferson,CHA,29,6-10,289,None,USA,2004,1,15,73,21.8,10.8,2.1,0.5,6.3%,24.7%,29.3%,53.2%,12.2%
Al-Farouq Aminu,NOP,23,6-9,215,Wake Forest,USA,2010,1,8,80,7.2,6.2,1.4,-5.4,6.4%,18.8%,14.0%,51.6%,8.3%
Alan Anderson,BKN,31,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,78,7.2,2.2,1.0,-1.2,2.4%,7.8%,15.6%,52.5%,7.4%
Alec Burks,UTA,22,6-6,211,Colorado,USA,2011,1,12,78,14.0,3.3,2.7,-6.6,2.7%,9.5%,23.2%,54.7%,16.8%
Alex Len,PHX,21,7-1,255,Maryland,Ukraine,2013,1,5,42,2.0,2.4,0.1,-8.2,10.6%,17.1%,13.4%,46.9%,1.7%
Alexey Shved,MIN,25,6-6,187,None,Russia,Undrafted,Undrafted,Undrafted,63,4.0,1.3,1.1,-2.9,2.8%,9.0%,20.6%,45.2%,16.2%
Alexis Ajinca,NOP,26,7-2,248,None,France,2008,1,20,56,5.9,4.9,0.7,-4.8,10.6%,20.1%,16.3%,58.9%,6.7%
Allen Crabbe,POR,22,6-6,210,California,USA,2013,2,31,15,2.2,0.6,0.4,-0.5,1.0%,7.7%,15.4%,47.5%,8.8%
Alonzo Gee,CLE,27,6-6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,65,4.0,2.3,0.7,-9.7,3.3%,11.0%,13.2%,49.1%,7.1%
