Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron McKie,LAL,33,6-5,209,Temple,USA,1994,1,17,14,0.5,1.4,0.8,-10.3,2.6%,14.3%,5.8%,27.2%,14.7%
Aaron Miles,GSW,23,6-1,190,Kansas,USA,Undrafted,Undrafted,Undrafted,19,0.8,0.7,1.3,-1.2,0.0%,13.6%,11.0%,40.5%,30.8%
Aaron Williams,NOK,34,6-9,235,Xavier,USA,Undrafted,Undrafted,Undrafted,48,4.6,3.8,0.4,-2.6,8.5%,16.0%,13.5%,55.1%,3.6%
Adonal Foyle,GSW,31,6-10,270,Colgate,St. Vincent &...,1997,1,8,77,4.5,5.5,0.4,0.2,7.6%,14.8%,10.0%,52.4%,2.8%
Adrian Griffin,DAL,31,6-5,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,52,4.6,4.4,1.7,8.6,6.7%,13.3%,9.9%,52.1%,10.7%
Al Harrington,ATL,26,6-9,245,None,USA,1998,1,25,76,18.6,6.9,3.1,-6.5,5.0%,15.7%,25.7%,51.3%,15.5%
Al Jefferson,BOS,21,6-10,265,None,USA,2004,1,15,59,7.9,5.1,0.5,-4.5,9.9%,19.8%,21.5%,53.0%,5.5%
Alan Anderson,CHA,23,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,36,5.8,1.9,0.9,1.2,3.9%,8.9%,17.8%,52.0%,9.3%
Alan Henderson,CLE,33,6-9,240,Indiana,USA,1995,1,16,51,2.5,2.7,0.2,-3.6,11.3%,14.8%,11.4%,56.4%,3.2%
Alex Acker,DET,23,6-5,185,Pepperdine,USA,2005,2,60,5,1.8,1.0,0.8,-44.5,2.5%,12.1%,21.5%,28.1%,19.0%
Alex Scales,SAS,27,6-4,195,Oregon,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
Allen Iverson,PHI,31,6-0,165,Georgetown,USA,1996,1,1,72,33.0,3.2,7.4,0.1,1.5%,6.2%,35.0%,54.3%,33.1%
Alonzo Mourning,MIA,36,6-10,261,Georgetown,USA,1992,1,2,65,7.8,5.5,0.2,9.5,10.1%,17.0%,17.1%,61.5%,1.4%
Alvin Williams,TOR,31,6-5,195,Villanova,USA,1997,2,47,1,1.0,3.0,0.0,-27.7,0.0%,27.3%,17.4%,12.9%,0.0%
Amar'e Stoudemire,PHX,23,6-10,245,None,USA,2002,1,9,3,8.7,5.3,0.7,-0.9,10.7%,19.2%,27.4%,42.0%,6.3%
Amir Johnson,DET,19,6-9,210,None,USA,2005,2,56,3,6.7,1.3,1.0,-25.3,7.7%,2.4%,16.8%,85.0%,12.5%
Anderson Varejao,CLE,23,6-10,240,None,Brazil,2004,2,30,48,4.6,4.9,0.4,6.1,10.1%,21.4%,13.3%,54.1%,4.0%
Andray Blatche,WAS,19,6-11,235,None,USA,2005,2,49,29,2.2,1.3,0.3,-3.2,6.9%,15.1%,20.7%,45.0%,10.3%
Andre Barrett,TOR,24,5-10,173,Seton Hall,,Undrafted,Undrafted,Undrafted,19,4.6,1.3,2.7,-4.2,2.8%,6.0%,18.5%,39.8%,28.0%
Andre Iguodala,PHI,22,6-6,207,Arizona,USA,2004,1,9,82,12.3,5.9,3.1,0.5,4.0%,12.0%,14.5%,59.8%,12.6%
Andre Miller,DEN,30,6-2,205,Utah,USA,1999,1,8,82,13.7,4.3,8.2,2.5,3.4%,8.8%,20.2%,53.2%,35.5%
Andre Owens,UTA,25,6-4,200,Houston,USA,Undrafted,Undrafted,Undrafted,23,3.0,0.9,0.3,-7.9,4.8%,5.6%,19.8%,42.1%,7.9%
Andrei Kirilenko,UTA,25,6-9,225,None,Russia,1999,1,24,69,15.3,8.0,4.3,1.0,6.6%,16.1%,20.5%,55.6%,20.2%
Andres Nocioni,CHI,26,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,82,13.0,6.1,1.4,-1.6,3.9%,18.6%,20.8%,56.7%,9.1%
