Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,MIN,33,6-0,161,Oregon,USA,2007,1,26,32,2.3,0.5,0.6,-17.2,3.6%,5.7%,19.2%,50.8%,16.1%
Aaron Gordon,ORL,22,6-9,220,Arizona,USA,2014,1,4,58,17.6,7.9,2.3,-2.0,4.4%,19.1%,23.8%,53.0%,11.1%
Aaron Harrison,DAL,23,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,9,6.7,2.7,1.2,-14.1,1.5%,9.1%,14.7%,39.2%,7.2%
Aaron Jackson,HOU,32,6-3,183,None,USA,Undrafted,Undrafted,Undrafted,1,8.0,3.0,1.0,-19.8,5.6%,3.1%,14.9%,40.5%,5.3%
Abdel Nader,BOS,24,6-6,230,Iowa State,Egypt,2016,2,58,48,3.0,1.5,0.5,-10.3,2.4%,11.1%,16.2%,43.9%,7.8%
Adreian Payne,ORL,27,6-10,237,Michigan State,USA,2014,1,15,5,4.2,1.8,0.0,-12.4,4.4%,22.6%,15.5%,83.1%,0.0%
Al Horford,BOS,32,6-10,245,Florida,Dominican Rep...,2007,1,3,72,12.9,7.4,4.7,7.3,4.7%,17.8%,18.3%,57.5%,22.5%
Al Jefferson,IND,33,6-10,280,None,USA,2004,1,15,36,7.0,4.0,0.8,-1.8,6.1%,22.7%,21.8%,56.3%,9.8%
Al-Farouq Aminu,POR,27,6-9,220,Wake Forest,USA,2010,1,8,69,9.3,7.6,1.2,5.2,4.5%,19.8%,14.5%,52.2%,5.6%
Alan Williams,PHX,25,6-8,265,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,5,4.0,4.4,1.6,0.1,3.9%,26.0%,18.4%,45.5%,19.5%
Alec Burks,UTA,26,6-6,214,Colorado,USA,2011,1,12,64,7.7,3.0,1.0,-1.0,1.9%,16.8%,22.1%,52.7%,10.4%
Alec Peters,PHX,23,6-9,235,Valparaiso,USA,2017,2,54,20,4.1,1.9,0.6,7.3,3.2%,12.0%,15.1%,52.3%,7.3%
Alex Abrines,OKC,24,6-6,190,None,Spain,2013,2,32,75,4.7,1.5,0.4,1.2,2.1%,7.9%,12.6%,56.7%,3.6%
Alex Caruso,LAL,24,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,37,3.6,1.8,2.0,-0.3,2.6%,8.6%,12.8%,51.9%,18.5%
Alex Len,PHX,25,7-1,250,Maryland,Ukraine,2013,1,5,69,8.5,7.5,1.2,-8.6,11.6%,22.8%,16.4%,61.2%,9.3%
Alex Poythress,IND,24,6-9,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,25,1.0,0.7,0.1,-13.0,6.1%,10.2%,11.2%,50.0%,2.6%
Alfonzo McKinnie,TOR,25,6-8,215,None,USA,Undrafted,Undrafted,Undrafted,14,1.5,0.5,0.1,-12.3,2.2%,9.8%,15.8%,64.3%,2.7%
Allen Crabbe,BKN,26,6-6,215,California,USA,2013,2,31,75,13.2,4.3,1.6,-1.9,1.2%,13.0%,18.3%,55.8%,8.2%
Amir Johnson,PHI,31,6-9,240,None,USA,2005,2,56,74,4.6,4.5,1.6,1.5,10.2%,16.9%,12.5%,57.5%,13.7%
Andre Drummond,DET,24,6-11,279,Connecticut,USA,2012,1,9,78,15.0,16.0,3.0,-1.0,14.5%,32.9%,20.7%,55.5%,14.0%
Andre Iguodala,GSW,34,6-6,215,Arizona,USA,2004,1,9,64,6.0,3.8,3.3,7.9,3.3%,10.9%,11.2%,53.6%,16.9%
Andre Ingram,LAL,32,6-3,190,American University,USA,Undrafted,Undrafted,Undrafted,2,12.0,3.0,3.5,14.1,1.6%,7.2%,13.6%,65.5%,14.9%
Andre Roberson,OKC,26,6-7,210,Colorado,USA,2013,1,26,39,5.0,4.7,1.2,9.4,6.8%,10.9%,8.5%,54.3%,5.9%
Andrew Bogut,LAL,33,7-0,260,Utah,Australia,2005,1,1,24,1.5,3.3,0.6,-5.1,10.4%,22.3%,8.5%,69.6%,9.9%
Andrew Harrison,MEM,23,6-6,213,Kentucky,USA,2015,2,44,56,9.5,2.3,3.2,-7.3,1.7%,8.5%,19.5%,53.4%,22.2%
Andrew White III,ATL,25,6-7,210,Syracuse,USA,Undrafted,Undrafted,Undrafted,15,4.6,2.3,0.4,-18.6,1.6%,13.3%,16.0%,46.1%,5.0%
Andrew Wiggins,MIN,23,6-8,202,Kansas,Canada,2014,1,1,82,17.7,4.4,2.0,3.5,2.8%,9.4%,22.8%,50.5%,8.0%
Ante Zizic,CLE,21,6-11,250,None,Croatia,2016,1,23,32,3.7,1.9,0.2,-9.1,11.2%,17.9%,17.1%,74.6%,3.9%
Anthony Brown,MIN,25,6-7,224,Stanford,USA,2015,2,34,1,3.0,0.0,1.0,30.0,0.0%,0.0%,10.0%,150.0%,33.3%
Anthony Davis,NOP,25,6-10,253,Kentucky,USA,2012,1,1,75,28.1,11.1,2.3,5.0,7.0%,21.3%,29.1%,61.2%,10.4%
Anthony Tolliver,DET,33,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,79,8.9,3.1,1.1,0.9,2.7%,10.9%,14.4%,66.3%,7.6%
Antonio Blakeney,CHI,21,6-4,197,Louisiana State,USA,Undrafted,Undrafted,Undrafted,19,7.9,1.7,1.1,-1.3,1.1%,8.9%,22.7%,47.1%,9.6%
Antonius Cleveland,ATL,24,6-6,195,S.E. Missouri,USA,Undrafted,Undrafted,Undrafted,17,1.4,0.8,0.1,-13.9,2.2%,8.5%,10.7%,48.6%,2.5%
Aron Baynes,BOS,31,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,6.0,5.4,1.1,6.5,8.6%,19.6%,16.6%,50.2%,9.5%
Arron Afflalo,ORL,32,6-5,210,UCLA,USA,2007,1,27,53,3.4,1.2,0.6,-6.8,0.6%,8.2%,12.7%,51.6%,6.6%
Austin Rivers,LAC,25,6-4,200,Duke,USA,2012,1,10,61,15.1,2.4,4.0,-1.7,1.3%,5.8%,20.6%,52.6%,17.9%
Avery Bradley,LAC,27,6-2,180,Texas,USA,2010,1,19,46,14.3,2.5,2.0,-4.2,1.4%,6.8%,22.9%,49.6%,10.5%
Bam Adebayo,MIA,20,6-10,255,Kentucky,USA,2017,1,14,69,6.9,5.5,1.5,-0.6,8.6%,19.4%,15.7%,57.0%,11.5%
Ben McLemore,MEM,25,6-5,195,Kansas,USA,2013,1,7,56,7.5,2.5,0.9,-13.5,3.0%,10.1%,18.2%,52.6%,7.8%
Ben Moore,IND,23,6-8,220,Southern Methodist,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.5,0.5,-79.8,0.0%,16.7%,0.0%,0.0%,11.1%
Ben Simmons,PHI,21,6-10,230,Louisiana State,Australia,2016,1,1,81,15.8,8.1,8.2,6.6,5.3%,17.1%,21.9%,55.7%,36.2%
Bismack Biyombo,ORL,25,6-9,255,None,Democratic Re...,2011,1,7,82,5.7,5.7,0.8,-13.6,9.1%,20.9%,14.6%,55.6%,7.0%
Blake Griffin,DET,29,6-10,251,Oklahoma,USA,2009,1,1,58,21.4,7.4,5.8,1.9,3.6%,17.5%,28.5%,54.4%,28.6%
