,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,LeBron James,30.2,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
1,2,Kevin Durant,27.64,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
2,3,Andrew Bynum,24.08,562.0,7-0,285.0,None,USA,2005.0,1,10,213.36,,,,,,
3,4,Chris Paul,23.87,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
4,5,Blake Griffin,23.01,768.0,6-10,251.0,Oklahoma,USA,2009.0,1,1,208.28,715.0,8.20%,-,-,8' 9'',6' 11.25''
5,6,Al Jefferson,22.74,521.0,6-10,289.0,None,USA,2004.0,1,15,208.28,337.0,10.50%,-,-,9' 2'',7' 2.5''
6,7,Pau Gasol,22.68,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
7,8,David Lee,22.14,583.0,6-9,240.0,Florida,USA,2005.0,1,30,205.74,427.0,-%,-,-,8' 10.5'',7' 0''
8,9,Josh Smith,22.06,523.0,6-9,225.0,None,USA,2004.0,1,17,205.74,369.0,6.70%,-,-,8' 10.5'',7' 0''
9,10,Kobe Bryant,21.61,180.0,6-6,205.0,None,USA,1996.0,1,13,198.12,,,,,,
10,11,Dwyane Wade,21.51,507.0,6-4,220.0,Marquette,USA,2003.0,1,5,193.04,295.0,6.70%,-,-,8' 6'',6' 10.75''
11,12,Rajon Rondo,20.92,629.0,6-1,186.0,Kentucky,USA,2006.0,1,21,185.42,,,,,,
12,13,Kevin Garnett,20.81,171.0,6-11,253.0,None,USA,1995.0,1,5,210.82,,,,,,
13,14,Russell Westbrook,20.72,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
14,15,Marcin Gortat,20.64,609.0,6-11,240.0,None,Poland,2005.0,2,57,210.82,412.0,-%,-,-,9' 2'',7' 3.5''
15,16,Paul Millsap,20.56,655.0,6-8,253.0,Louisiana Tech,USA,2006.0,2,47,203.2,508.0,9.70%,-,-,8' 9.5'',7' 1.5''
16,17,Marc Gasol,20.4,705.0,7-1,265.0,None,Spain,2007.0,2,48,215.9,,,,,,
17,18,DeMarcus Cousins,20.33,856.0,6-11,270.0,Kentucky,USA,2010.0,1,5,210.82,751.0,16.40%,9.25,10.0,9' 5'',7' 5.75''
18,19,Dirk Nowitzki,20.29,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
19,20,Greg Monroe,20.11,866.0,6-11,250.0,Georgetown,USA,2010.0,1,7,210.82,772.0,11.20%,8.75,9.5,9' 0.5'',7' 2.25''
20,21,Tim Duncan,19.99,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
21,22,Carmelo Anthony,19.62,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
22,23,Kris Humphries,19.58,520.0,6-9,235.0,Minnesota,USA,2004.0,1,14,205.74,333.0,6.70%,-,-,8' 10.5'',7' 0.5''
23,24,Joakim Noah,18.88,716.0,6-11,232.0,Florida,USA,2007.0,1,9,210.82,588.0,4.80%,-,-,8' 10.5'',7' 1.25''
24,25,Tyson Chandler,18.76,382.0,7-1,240.0,None,USA,2001.0,1,2,215.9,79.0,6.70%,-,-,9' 2'',7' 3''
25,26,Steve Nash,18.76,182.0,6-3,178.0,Santa Clara,Canada,1996.0,1,15,190.5,,,,,,
26,27,Chris Bosh,18.65,498.0,6-11,235.0,Georgia Tech,USA,2003.0,1,4,210.82,233.0,8.00%,-,-,9' 1'',7' 3.5''
27,28,Ty Lawson,18.65,777.0,5-11,195.0,North Carolina,USA,2009.0,1,18,180.34,724.0,6.60%,-,-,7' 10.5'',6' 0.75''
28,29,Tony Parker,18.57,391.0,6-2,185.0,None,France,2001.0,1,28,187.96,,,,,,
29,30,Paul Pierce,18.47,240.0,6-7,235.0,Kansas,USA,1998.0,1,10,200.66,,,,,,
30,31,John Wall,18.23,818.0,6-4,195.0,Kentucky,USA,2010.0,1,1,193.04,788.0,5.60%,8.25,9.5,8' 5.5'',6' 9.25''
31,32,Carlos Boozer,18.11,446.0,6-9,266.0,Duke,USA,2002.0,2,34,205.74,150.0,-%,-,-,9' 0.5'',7' 2.25''
32,33,Roy Hibbert,17.86,725.0,7-2,260.0,Georgetown,USA,2008.0,1,17,218.44,,,,,,
33,34,James Harden,17.51,790.0,6-5,220.0,Arizona State,USA,2009.0,1,3,195.58,717.0,10.10%,-,-,8' 7.5'',6' 10.75''
34,35,Ersan Ilyasova,17.48,588.0,6-10,235.0,None,Turkey,2005.0,2,36,208.28,420.0,-%,-,-,9' 1.5'',7' 1.25''
35,36,Rudy Gay,17.42,666.0,6-8,230.0,Connecticut,USA,2006.0,1,8,203.2,490.0,5.70%,-,-,8' 11.5'',7' 3''
36,37,Monta Ellis,17.36,593.0,6-3,185.0,None,USA,2005.0,2,40,190.5,402.0,-%,-,-,8' 2'',6' 2.75''
37,38,Brandon Jennings,17.17,769.0,6-1,169.0,None,USA,2009.0,1,10,185.42,,,,,,
38,39,Andre Iguodala,16.96,560.0,6-6,207.0,Arizona,USA,2004.0,1,9,198.12,334.0,6.70%,-,-,8' 9.5'',6' 11''
39,40,Ryan Anderson,16.95,730.0,6-10,240.0,California,USA,2008.0,1,21,208.28,,,,,,
40,41,Gerald Wallace,16.72,388.0,6-7,220.0,Alabama,USA,2001.0,1,25,200.66,,,,,,
41,42,Joe Johnson,16.02,372.0,6-7,240.0,Arkansas,USA,2001.0,1,10,200.66,111.0,6.70%,-,-,8' 9'',6' 9''
