,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,Dwight Howard,28.46,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
1,2,Kevin Love,28.37,758.0,6-10,260.0,UCLA,USA,2008.0,1,5,208.28,664.0,12.90%,-,-,8' 10'',6' 11.25''
2,3,LeBron James,28.12,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
3,4,Blake Griffin,25.63,768.0,6-10,251.0,Oklahoma,USA,2009.0,1,1,208.28,715.0,8.20%,-,-,8' 9'',6' 11.25''
4,5,Kevin Durant,25.21,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
5,6,Dwyane Wade,24.81,507.0,6-4,220.0,Marquette,USA,2003.0,1,5,193.04,295.0,6.70%,-,-,8' 6'',6' 10.75''
6,7,Pau Gasol,24.57,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
7,8,Zach Randolph,24.4,381.0,6-9,260.0,Michigan State,USA,2001.0,1,19,205.74,,,,,,
8,9,Dirk Nowitzki,24.1,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
9,10,Amare Stoudemire,23.96,,,,,,,,,,,,,,,
10,11,Chris Paul,23.64,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
11,12,Derrick Rose,22.91,717.0,6-3,190.0,Memphis,USA,2008.0,1,1,190.5,683.0,4.60%,-,-,8' 2.5'',6' 8''
12,13,LaMarcus Aldridge,22.87,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
13,14,Carmelo Anthony,22.77,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
14,15,Al Jefferson,22.33,521.0,6-10,289.0,None,USA,2004.0,1,15,208.28,337.0,10.50%,-,-,9' 2'',7' 2.5''
