Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
AJ Price,IND,23,6-2,181,Connecticut,USA,2009,2,52,56,7.3,1.6,1.9,3.9,1.3%,8.5%,21.9%,53.0%,19.8%
Aaron Brooks,HOU,25,6-0,161,Oregon,USA,2007,1,26,82,19.6,2.6,5.3,0.2,1.8%,5.7%,25.4%,54.9%,25.3%
Aaron Gray,NOH,25,7-0,270,Pittsburgh,USA,2007,2,49,32,3.3,3.3,0.7,-3.1,14.9%,20.5%,16.0%,55.1%,10.9%
Acie Law,CHI,25,6-3,202,Texas A&M,USA,2007,1,11,26,4.3,0.7,1.0,5.3,1.4%,6.1%,21.4%,58.5%,17.0%
Adam Morrison,LAL,25,6-8,205,Gonzaga,USA,2006,1,3,31,2.4,1.0,0.6,-8.3,3.9%,9.4%,17.8%,41.8%,12.1%
Al Harrington,NYK,30,6-9,250,None,USA,1998,1,25,72,17.7,5.6,1.5,-5.0,4.0%,15.3%,26.2%,54.6%,8.8%
Al Horford,ATL,24,6-10,245,Florida,Dominican Rep...,2007,1,3,81,14.2,9.9,2.3,8.6,8.8%,20.7%,17.7%,59.4%,10.2%
Al Jefferson,MIN,25,6-10,265,None,USA,2004,1,15,76,17.1,9.3,1.8,-10.4,7.2%,22.4%,24.2%,52.4%,9.9%
Al Thornton,WAS,26,6-8,220,Florida State,USA,2007,1,14,75,10.7,3.9,1.2,-7.5,5.7%,9.2%,18.9%,52.3%,7.2%
Alando Tucker,MIN,26,6-6,205,Wisconsin,USA,2007,1,29,15,3.4,0.7,0.3,-26.7,5.8%,3.9%,22.9%,52.9%,7.7%
Alexis Ajinca,CHA,22,7-0,220,None,France,2008,1,20,6,1.7,0.7,0.0,13.0,3.3%,10.3%,17.9%,47.9%,0.0%
Allen Iverson,PHI,35,6-0,165,Georgetown,USA,1996,1,1,28,13.8,2.8,4.0,-3.3,1.9%,7.5%,22.5%,51.5%,20.9%
Alonzo Gee,WAS,23,6-6,220,Alabama,USA,Undrafted,Undrafted,Undrafted,11,7.4,3.0,0.6,-1.2,7.9%,11.5%,20.4%,56.4%,7.1%
Amar'e Stoudemire,PHX,27,6-10,249,None,USA,2002,1,9,82,23.1,8.9,1.0,5.4,8.8%,16.6%,27.0%,61.5%,4.7%
Amir Johnson,TOR,23,6-9,210,None,USA,2005,2,56,82,6.2,4.8,0.6,2.8,11.1%,16.0%,14.1%,63.9%,5.0%
Anderson Varejao,CLE,27,6-11,260,None,Brazil,2004,2,30,76,8.6,7.6,1.1,13.1,9.7%,18.2%,13.0%,59.8%,6.2%
Andray Blatche,WAS,23,6-11,248,None,USA,2005,2,49,81,14.1,6.3,2.1,-6.4,7.1%,16.7%,25.4%,51.9%,13.8%
Andre Iguodala,PHI,26,6-6,207,Arizona,USA,2004,1,9,82,17.1,6.5,5.8,-4.1,2.7%,15.1%,21.5%,53.5%,23.8%
Andre Miller,POR,34,6-2,200,Utah,USA,1999,1,8,82,14.0,3.2,5.4,6.5,3.6%,8.1%,23.5%,53.0%,29.6%
Andrea Bargnani,TOR,24,7-0,250,None,Italy,2006,1,1,80,17.2,6.2,1.2,-3.7,4.0%,14.5%,22.1%,55.2%,5.3%
Andrei Kirilenko,UTA,29,6-9,225,None,Russia,1999,1,24,58,11.9,4.6,2.7,6.8,4.9%,11.2%,17.5%,58.8%,14.3%
Andres Nocioni,SAC,30,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,75,8.5,3.0,1.0,-5.7,2.1%,13.1%,20.3%,50.4%,7.7%
Andrew Bogut,MIL,25,7-0,260,Utah,Australia,2005,1,1,69,15.9,10.2,1.8,5.8,9.2%,23.5%,23.2%,54.0%,10.1%
Andrew Bynum,LAL,22,7-0,285,None,USA,2005,1,10,65,15.0,8.3,1.0,7.4,9.2%,18.4%,20.6%,60.8%,5.5%
Andris Biedrins,GSW,24,6-11,240,None,Latvia,2004,1,11,33,5.0,7.8,1.7,-8.0,8.1%,25.5%,10.0%,56.1%,10.5%
Antawn Jamison,CLE,34,6-9,235,North Carolina,USA,1998,1,4,66,18.7,8.4,1.3,0.7,5.8%,18.0%,23.4%,52.9%,5.8%
Anthony Carter,DEN,35,6-2,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,54,3.3,1.6,3.0,-1.5,2.1%,8.6%,12.5%,48.2%,26.4%
Anthony Johnson,ORL,35,6-3,195,College of Charleston,USA,1997,2,39,31,4.2,1.5,2.0,2.7,2.1%,9.8%,16.0%,54.3%,24.9%
Anthony Morrow,GSW,24,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,69,13.0,3.8,1.5,-1.4,3.0%,10.0%,17.3%,59.7%,7.5%
Anthony Parker,CLE,35,6-6,215,Bradley,USA,1997,1,21,81,7.3,2.9,1.9,8.4,1.5%,8.8%,11.7%,57.6%,9.5%
Anthony Randolph,GSW,20,6-10,210,Louisiana State,USA,2008,1,14,33,11.6,6.5,1.3,-4.3,9.6%,19.3%,23.3%,52.1%,8.9%
Anthony Tolliver,GSW,25,6-9,243,Creighton,USA,Undrafted,Undrafted,Undrafted,46,11.7,7.0,1.9,0.2,5.7%,16.5%,16.6%,53.1%,8.4%
Antoine Wright,TOR,26,6-7,215,Texas A&M,USA,2005,1,15,67,6.5,2.8,1.1,0.7,2.9%,11.2%,15.7%,50.2%,7.5%
Antonio Anderson,OKC,25,6-6,215,Memphis,USA,Undrafted,Undrafted,Undrafted,1,2.0,1.0,0.0,-6.1,5.9%,0.0%,10.0%,33.3%,0.0%
Antonio McDyess,SAS,35,6-9,245,Alabama,USA,1995,1,2,77,5.8,5.9,1.1,6.5,9.7%,19.1%,14.8%,49.2%,7.6%
Arron Afflalo,DEN,24,6-5,215,UCLA,USA,2007,1,27,82,8.8,3.1,1.7,4.2,2.7%,8.7%,13.9%,57.6%,9.3%
Austin Daye,DET,22,6-11,200,Gonzaga,,2009,1,15,69,5.1,2.5,0.5,-6.7,3.6%,17.8%,17.6%,54.6%,6.3%
Baron Davis,LAC,31,6-3,215,California-Los Angeles,USA,1999,1,3,75,15.3,3.5,8.0,-3.9,2.1%,8.6%,23.7%,50.1%,38.5%
Ben Gordon,DET,27,6-3,200,Connecticut,USA,2004,1,3,62,13.8,1.9,2.7,-6.2,1.5%,6.2%,24.1%,53.4%,16.7%
Ben Wallace,DET,35,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,69,5.5,8.7,1.5,-1.5,12.4%,20.3%,9.9%,52.6%,8.1%
Beno Udrih,SAC,27,6-3,205,None,Slovenia,2004,1,28,79,12.9,2.8,4.7,-4.4,1.5%,7.6%,18.1%,56.6%,23.9%
Bobby Brown,LAC,25,6-2,175,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,45,4.8,0.8,2.0,-8.9,1.7%,5.8%,24.8%,44.1%,28.9%
Bobby Simmons,NJN,30,6-6,230,DePaul,USA,2001,2,41,23,5.3,2.7,0.7,-6.4,2.6%,14.0%,16.2%,48.5%,6.5%
Boris Diaw,CHA,28,6-8,235,None,France,2003,1,21,82,11.3,5.2,4.0,3.0,4.9%,10.5%,16.1%,55.2%,18.5%
Brad Miller,CHI,34,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,82,8.8,4.9,1.9,-1.3,4.3%,16.2%,17.5%,53.0%,12.2%
Brandon Bass,ORL,25,6-8,250,Louisiana State,USA,2005,2,33,50,5.8,2.5,0.4,3.5,8.6%,11.3%,19.9%,55.6%,4.8%
Brandon Jennings,MIL,20,6-1,169,None,USA,2009,1,10,82,15.5,3.4,5.7,2.5,1.8%,9.5%,25.6%,47.5%,29.8%
Brandon Roy,POR,25,6-6,211,Washington,USA,2006,1,6,65,21.5,4.4,4.7,5.2,3.3%,9.4%,26.3%,56.8%,22.8%
