Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,HOU,23,6-0,161,Oregon,USA,2007,1,26,51,5.2,1.1,1.7,-1.3,2.2%,7.5%,21.6%,53.5%,24.9%
Aaron Gray,CHI,23,7-0,270,Pittsburgh,USA,2007,2,49,61,4.3,2.8,0.7,-0.6,11.2%,16.3%,21.3%,52.9%,11.3%
Aaron Williams,LAC,36,6-9,235,Xavier,USA,Undrafted,Undrafted,Undrafted,30,2.3,2.0,0.3,-14.0,5.2%,15.9%,11.5%,54.0%,5.2%
Acie Law,ATL,23,6-3,195,Texas A&M,USA,2007,1,11,56,4.2,1.0,2.0,-7.6,1.4%,5.4%,15.9%,45.5%,21.8%
Adonal Foyle,ORL,33,6-10,270,Colgate,St. Vincent &...,1997,1,8,82,1.9,2.5,0.2,-0.5,9.3%,17.4%,12.0%,46.4%,3.8%
Adrian Griffin,SEA,33,6-5,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,35,1.9,1.7,0.8,3.2,8.7%,10.5%,14.1%,40.6%,13.4%
Al Harrington,GSW,28,6-9,250,None,USA,1998,1,25,81,13.6,5.4,1.6,3.2,4.5%,15.6%,20.9%,54.7%,8.9%
Al Horford,ATL,22,6-10,245,Florida,Dominican Rep...,2007,1,3,81,10.1,9.7,1.5,-2.2,10.2%,22.3%,16.0%,53.9%,7.8%
Al Jefferson,MIN,23,6-10,265,None,USA,2004,1,15,82,21.0,11.1,1.4,-9.8,10.5%,22.7%,27.3%,53.5%,7.5%
Al Thornton,LAC,24,6-8,220,Florida State,USA,2007,1,14,79,12.7,4.5,1.2,-8.9,4.7%,12.5%,23.8%,50.4%,8.4%
Alando Tucker,PHX,24,6-6,205,Wisconsin,USA,2007,1,29,6,3.7,1.3,0.0,-10.3,8.3%,6.3%,23.4%,44.6%,0.0%
Alexander Johnson,MIA,25,6-9,230,Florida State,USA,2006,2,45,43,4.2,2.2,0.3,-13.2,6.4%,13.1%,17.7%,55.4%,4.5%
Allen Iverson,DEN,33,6-0,180,Georgetown,USA,1996,1,1,82,26.4,3.0,7.1,5.1,1.3%,5.4%,26.3%,56.7%,27.1%
Alonzo Mourning,MIA,38,6-10,261,Georgetown,USA,1992,1,2,25,6.0,3.7,0.3,-3.7,9.0%,14.2%,17.7%,58.0%,3.2%
Amar'e Stoudemire,PHX,25,6-10,249,None,USA,2002,1,9,79,25.2,9.1,1.5,8.1,7.6%,19.1%,27.8%,65.6%,7.2%
Amir Johnson,DET,21,6-9,210,None,USA,2005,2,56,62,3.6,3.8,0.5,12.7,11.9%,18.1%,13.2%,58.4%,5.8%
Anderson Varejao,CLE,25,6-10,240,None,Brazil,2004,2,30,48,6.7,8.3,1.1,3.3,9.9%,21.3%,13.3%,48.5%,6.5%
Andray Blatche,WAS,21,6-11,248,None,USA,2005,2,49,82,7.5,5.2,1.1,-6.2,10.0%,16.7%,19.4%,51.2%,9.6%
Andre Barrett,LAC,26,5-10,173,Seton Hall,,Undrafted,Undrafted,Undrafted,4,1.5,0.3,1.8,-25.3,0.0%,4.2%,12.1%,51.0%,58.3%
Andre Brown,MEM,27,6-9,245,DePaul,USA,Undrafted,Undrafted,Undrafted,33,3.0,2.8,0.2,-9.6,11.3%,19.6%,16.7%,50.2%,4.5%
Andre Iguodala,PHI,24,6-6,207,Arizona,USA,2004,1,9,82,19.9,5.4,4.8,0.2,2.7%,11.9%,23.6%,54.3%,20.7%
Andre Miller,PHI,32,6-2,200,Utah,USA,1999,1,8,82,17.0,4.0,6.9,-1.1,3.2%,8.1%,22.6%,53.7%,31.8%
Andre Owens,IND,27,6-4,200,Houston,USA,Undrafted,Undrafted,Undrafted,31,4.0,1.5,1.5,-1.2,3.3%,8.1%,15.9%,50.4%,18.0%
Andrea Bargnani,TOR,22,7-0,250,None,Italy,2006,1,1,78,10.2,3.7,1.1,3.7,2.8%,13.6%,22.3%,49.5%,7.3%
Andrei Kirilenko,UTA,27,6-9,223,None,Russia,1999,1,24,72,11.0,4.7,4.0,8.9,6.2%,10.5%,15.9%,60.3%,17.6%
Andres Nocioni,CHI,28,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,82,13.2,4.2,1.2,-2.3,2.3%,14.7%,24.1%,54.9%,8.3%
Andrew Bogut,MIL,23,7-0,260,Utah,Australia,2005,1,1,78,14.3,9.8,2.6,-6.1,9.5%,20.5%,20.4%,53.2%,12.1%
