Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron Gordon,ORL,24,6-8,235,Arizona,USA,2014,1,4,58,14.4,7.6,3.7,-2.0,5.1%,17.5%,20.3%,51.1%,16.4%
Aaron Holiday,IND,23,6-0,185,UCLA,USA,2018,1,23,58,9.4,2.3,3.3,1.9,1.5%,7.6%,18.8%,51.7%,19.1%
Abdel Nader,OKC,26,6-5,225,Iowa State,Egypt,2016,2,58,48,6.0,1.9,0.7,-3.4,1.8%,9.5%,16.0%,58.0%,7.0%
Adam Mokoka,CHI,21,6-5,190,None,France,Undrafted,Undrafted,Undrafted,11,2.9,0.9,0.4,17.1,5.7%,2.9%,11.0%,53.8%,4.3%
Admiral Schofield,WAS,23,6-5,241,Tennessee,United Kingdo...,2019,2,42,27,3.1,1.3,0.5,-4.9,1.8%,9.2%,12.3%,51.4%,6.8%
Al Horford,PHI,33,6-9,240,Florida,Dominican Rep...,2007,1,3,60,12.0,6.9,4.1,3.5,5.0%,17.0%,17.4%,52.6%,18.5%
Al-Farouq Aminu,ORL,29,6-8,220,Wake Forest,USA,2010,1,8,18,4.3,4.8,1.2,-5.4,5.3%,15.8%,12.7%,39.5%,8.8%
Alec Burks,PHI,28,6-6,214,Colorado,USA,2011,1,12,59,15.1,4.4,2.9,-8.3,2.5%,13.4%,23.0%,54.9%,17.8%
Alen Smailagic,GSW,19,6-10,215,None,Serbia,2019,2,39,14,4.2,1.9,0.9,-3.0,7.7%,11.0%,17.5%,61.0%,13.3%
Alex Caruso,LAL,26,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,58,5.4,1.9,1.8,10.3,1.4%,8.8%,13.6%,53.8%,12.8%
Alex Len,SAC,26,7-0,250,Maryland,Ukraine,2013,1,5,49,8.3,6.0,1.0,-5.6,9.6%,19.5%,17.8%,59.6%,8.5%
Alfonzo McKinnie,CLE,27,6-7,215,None,USA,Undrafted,Undrafted,Undrafted,40,4.6,2.8,0.4,-7.4,6.1%,13.1%,14.7%,49.3%,3.2%
Alize Johnson,IND,23,6-7,212,Missouri State,USA,2018,2,50,13,1.4,1.4,0.2,4.7,11.9%,20.4%,14.2%,51.0%,4.5%
Allen Crabbe,MIN,28,6-5,212,California,USA,2013,2,31,37,4.6,2.1,0.9,-15.0,1.4%,9.8%,12.2%,47.0%,7.3%
Allonzo Trier,NYK,24,6-4,200,Arizona,USA,Undrafted,Undrafted,Undrafted,24,6.5,1.2,1.2,-11.1,1.8%,7.8%,20.8%,62.0%,16.4%
Amile Jefferson,ORL,26,6-9,222,Duke,USA,Undrafted,Undrafted,Undrafted,18,0.8,1.3,0.2,8.5,11.2%,16.3%,12.9%,37.2%,7.8%
Amir Coffey,LAC,22,6-7,210,None,USA,Undrafted,Undrafted,Undrafted,13,2.2,1.1,0.7,-3.2,4.1%,9.6%,15.4%,40.8%,13.2%
Andre Drummond,CLE,26,6-10,279,Connecticut,USA,2012,1,9,57,17.7,15.2,2.7,-5.0,12.9%,33.6%,25.3%,55.3%,13.3%
Andre Iguodala,MIA,36,6-6,215,Arizona,USA,2004,1,9,14,4.4,3.8,2.0,-3.1,3.7%,14.2%,11.4%,55.9%,16.6%
Andrew Wiggins,GSW,25,6-7,197,Kansas,Canada,2014,1,1,54,21.8,5.1,3.7,-5.1,3.3%,11.0%,26.9%,53.6%,18.0%
Anfernee Simons,POR,20,6-3,181,None,USA,2018,1,24,65,8.8,2.3,1.5,-8.6,1.6%,7.9%,18.3%,50.6%,10.0%
Ante Zizic,CLE,23,6-10,266,None,Croatia,2016,1,23,22,4.4,3.0,0.3,1.3,8.4%,21.1%,16.8%,59.7%,3.8%
Anthony Davis,LAL,27,6-10,253,Kentucky,USA,2012,1,1,55,26.7,9.4,3.1,6.7,6.4%,19.7%,28.7%,61.4%,14.8%
Anthony Tolliver,MEM,34,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,47,3.5,2.8,0.7,-7.2,3.7%,13.3%,11.0%,49.7%,6.0%
Antonius Cleveland,DAL,26,6-5,195,S.E. Missouri,USA,Undrafted,Undrafted,Undrafted,6,0.8,0.5,0.0,-26.0,0.0%,25.0%,14.3%,36.3%,0.0%
Anzejs Pasecniks,WAS,24,7-2,229,None,Latvia,2017,1,25,24,6.0,4.1,0.7,0.4,8.5%,15.1%,15.1%,55.5%,5.9%
Aron Baynes,PHX,33,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,42,11.5,5.6,1.6,-1.5,7.5%,17.8%,20.5%,58.1%,10.8%
Austin Rivers,HOU,27,6-3,200,Duke,USA,2012,1,10,60,8.5,2.4,1.6,4.1,1.6%,7.9%,14.6%,53.8%,9.3%
Avery Bradley,LAL,29,6-3,180,Texas,USA,2010,1,19,49,8.6,2.3,1.3,7.4,1.5%,7.7%,15.3%,53.7%,7.0%
BJ Johnson,ORL,24,6-7,200,None,USA,Undrafted,Undrafted,Undrafted,8,1.6,0.8,0.3,-24.3,1.7%,9.3%,18.2%,34.4%,9.5%
Bam Adebayo,MIA,22,6-9,255,Kentucky,USA,2017,1,14,65,16.2,10.5,5.1,4.6,7.8%,22.4%,20.8%,60.6%,23.2%
Ben McLemore,HOU,27,6-3,195,Kansas,USA,2013,1,7,63,9.8,2.2,0.9,6.7,1.3%,7.7%,15.4%,62.2%,5.1%
Ben Simmons,PHI,23,6-10,240,Louisiana State,Australia,2016,1,1,54,16.7,7.8,8.2,2.2,5.4%,15.8%,20.5%,60.8%,34.0%
Bismack Biyombo,CHA,27,6-8,255,None,Democratic Re...,2011,1,7,53,7.4,5.8,0.9,-6.6,11.2%,17.8%,16.8%,57.0%,7.9%
Blake Griffin,DET,31,6-9,250,Oklahoma,USA,2009,1,1,18,15.5,4.7,3.3,-2.6,3.2%,12.8%,27.7%,47.6%,18.4%
Boban Marjanovic,DAL,31,7-4,290,None,Serbia,Undrafted,Undrafted,Undrafted,37,6.3,4.1,0.4,8.6,15.6%,28.4%,26.4%,59.9%,5.9%
Bobby Portis,NYK,25,6-10,250,Arkansas,USA,2015,1,22,66,10.1,5.1,1.5,-7.9,5.3%,18.0%,20.7%,53.0%,11.2%
Bogdan Bogdanovic,SAC,27,6-6,220,None,Serbia,2014,1,27,53,14.5,3.2,3.2,-2.2,1.1%,10.3%,22.0%,56.0%,18.0%
Bojan Bogdanovic,UTA,30,6-8,226,None,Croatia,2011,2,31,63,20.2,4.1,2.1,5.5,2.0%,10.0%,25.2%,60.3%,9.9%
Brad Wanamaker,BOS,30,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,63,6.6,2.0,2.5,2.9,1.5%,7.9%,15.2%,56.0%,18.4%
Bradley Beal,WAS,26,6-3,207,Florida,USA,2012,1,3,57,30.5,4.2,6.1,-4.5,2.4%,9.5%,33.8%,57.9%,28.5%
Brandon Clarke,MEM,23,6-8,215,Gonzaga,Canada,2019,1,21,50,12.0,5.8,1.4,1.1,6.9%,17.7%,18.3%,67.0%,9.7%
Brandon Goodwin,ATL,24,6-0,180,None,USA,Undrafted,Undrafted,Undrafted,34,6.1,2.1,1.5,-13.8,2.3%,13.2%,22.0%,50.7%,20.8%
Brandon Ingram,NOP,22,6-7,190,Duke,USA,2016,1,2,56,24.3,6.3,4.3,-0.3,2.4%,14.4%,27.6%,59.0%,19.5%
Brandon Knight,DET,28,6-2,182,Kentucky,USA,2011,1,8,25,7.3,1.6,2.8,-7.6,0.9%,9.3%,20.7%,50.3%,21.6%
Brian Bowen II,IND,21,6-6,190,None,USA,Undrafted,Undrafted,Undrafted,5,0.8,1.4,0.0,18.6,3.3%,18.2%,13.9%,22.2%,0.0%
Brook Lopez,MIL,32,7-0,282,Stanford,USA,2008,1,10,61,11.0,4.5,1.6,12.4,2.5%,11.9%,17.3%,53.7%,7.6%
Bruce Brown,DET,23,6-4,202,Miami,USA,2018,2,42,58,8.9,4.7,4.0,-4.3,3.8%,13.1%,15.9%,51.8%,20.8%
Bruno Caboclo,HOU,24,6-9,218,None,Brazil,2014,1,20,27,2.7,2.0,0.4,-2.8,8.6%,13.5%,15.7%,45.5%,8.2%
Bruno Fernando,ATL,21,6-9,240,Maryland,Angola,2019,2,34,56,4.3,3.5,0.9,-5.6,8.5%,17.9%,14.7%,54.2%,10.1%
Bryn Forbes,SAS,26,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,63,11.2,2.0,1.7,-6.8,0.7%,7.1%,18.5%,57.0%,9.7%
Buddy Hield,SAC,27,6-4,220,Oklahoma,Bahamas,2016,1,6,64,19.8,4.8,3.1,-2.0,2.7%,12.4%,26.1%,56.6%,15.4%
CJ McCollum,POR,28,6-3,190,Lehigh,USA,2013,1,10,62,22.5,4.1,4.3,0.8,1.7%,8.6%,26.3%,54.3%,18.6%
CJ Miles,WAS,33,6-6,220,None,USA,2005,2,34,10,6.4,1.2,1.2,-1.3,2.1%,5.0%,16.9%,47.2%,9.1%
Caleb Martin,CHA,24,6-5,205,None,USA,Undrafted,Undrafted,Undrafted,18,6.2,2.1,1.3,0.8,3.0%,8.6%,15.2%,59.5%,12.2%
Caleb Swanigan,POR,22,6-9,260,Purdue,USA,2017,1,26,27,2.4,3.7,1.1,-6.5,9.9%,24.8%,13.2%,59.7%,13.8%
Cam Reddish,ATL,20,6-8,218,Duke,USA,2019,1,10,58,10.5,3.7,1.5,-6.3,2.1%,11.0%,18.5%,50.0%,7.9%
Cameron Johnson,PHX,24,6-8,210,North Carolina,USA,2019,1,11,49,8.1,2.9,1.1,-2.7,3.7%,10.1%,15.4%,57.6%,7.8%
Caris LeVert,BKN,25,6-6,205,Michigan,USA,2016,1,20,39,17.7,4.1,4.1,-0.1,3.2%,9.5%,27.7%,50.9%,22.9%
Carmelo Anthony,POR,35,6-8,238,Syracuse,USA,2003,1,3,50,15.3,6.3,1.6,0.3,3.7%,14.2%,21.8%,51.7%,6.9%
Carsen Edwards,BOS,22,5-11,200,Purdue,USA,2019,2,33,35,3.0,1.2,0.6,-6.4,1.6%,10.8%,16.8%,44.6%,11.6%
Cedi Osman,CLE,25,6-7,230,None,Turkey,2015,2,31,65,11.0,3.6,2.4,-9.0,2.0%,10.3%,16.2%,55.2%,11.5%
Chandler Hutchison,CHI,23,6-7,210,Boise State,USA,2018,1,22,28,7.8,3.9,0.9,-11.9,3.2%,18.0%,18.3%,52.1%,7.7%
Chandler Parsons,ATL,31,6-9,230,Florida,USA,2011,2,38,5,2.8,1.4,0.6,-29.0,1.5%,12.0%,15.0%,38.9%,10.0%
Charles Brown Jr.,ATL,23,6-6,199,None,USA,Undrafted,Undrafted,Undrafted,10,2.0,0.4,0.2,33.9,4.0%,4.8%,23.1%,47.2%,7.7%
Chasson Randle,GSW,27,6-2,185,Stanford,USA,Undrafted,Undrafted,Undrafted,3,1.7,0.7,1.7,-2.0,0.0%,5.3%,8.0%,37.7%,16.1%
Cheick Diallo,PHX,23,6-8,219,Kansas,Mali,2016,2,33,44,4.8,2.9,0.5,-4.6,6.0%,21.2%,16.6%,68.8%,7.7%
Chimezie Metu,SAS,23,6-9,225,USC,USA,2018,2,49,16,2.9,1.6,0.4,2.5,12.5%,21.6%,23.8%,59.7%,14.0%
Chris Boucher,TOR,27,6-9,200,Oregon,Canada,Undrafted,Undrafted,Undrafted,55,6.3,4.4,0.4,5.4,12.0%,18.2%,18.3%,57.0%,4.9%
Chris Chiozza,BKN,24,5-11,175,None,USA,Undrafted,Undrafted,Undrafted,21,4.0,1.7,2.3,10.2,2.1%,11.1%,15.7%,52.6%,28.9%
Chris Clemons,HOU,22,5-9,180,None,USA,Undrafted,Undrafted,Undrafted,29,4.9,0.8,0.8,-6.8,1.1%,7.1%,23.9%,54.6%,15.0%
Chris Paul,OKC,34,6-1,175,Wake Forest,USA,2005,1,4,63,17.7,4.9,6.8,6.8,1.1%,14.1%,22.6%,60.9%,31.8%
Chris Silva,MIA,23,6-8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,41,2.9,2.7,0.5,-3.4,17.1%,17.4%,15.9%,66.3%,10.4%
Christian Wood,DET,24,6-10,214,UNLV,USA,Undrafted,Undrafted,Undrafted,62,13.1,6.3,1.0,2.0,7.9%,21.4%,22.3%,65.9%,7.4%
Clint Capela,ATL,25,6-10,240,None,Switzerland,2014,1,25,39,13.9,13.8,1.2,2.5,11.8%,26.5%,15.6%,62.6%,5.6%
Coby White,CHI,20,6-4,195,North Carolina,USA,2019,1,7,65,13.2,3.5,2.7,-4.4,1.5%,12.8%,23.5%,50.6%,16.2%
Cody Martin,CHA,24,6-5,205,Nevada-Reno,USA,2019,2,36,48,5.0,3.3,2.0,-3.2,3.9%,14.0%,13.1%,50.5%,15.4%
Cody Zeller,CHA,27,7-0,240,Indiana,USA,2013,1,4,58,11.1,7.1,1.5,-8.3,11.0%,19.7%,20.1%,57.6%,11.1%
Collin Sexton,CLE,21,6-1,190,Alabama,USA,2018,1,8,65,20.8,3.1,3.0,-9.2,2.8%,6.9%,26.4%,56.0%,14.6%
Cory Joseph,SAC,28,6-3,200,Texas,Canada,2011,1,29,64,6.3,2.5,3.4,-0.4,2.4%,8.3%,12.8%,51.3%,19.9%
Courtney Lee,DAL,34,6-5,215,Western Kentucky,USA,2008,1,22,24,4.5,1.3,0.5,6.7,1.9%,7.0%,11.6%,62.9%,4.4%
Cristiano Felicio,CHI,27,6-10,270,None,Brazil,Undrafted,Undrafted,Undrafted,22,3.9,4.6,0.7,-7.7,14.4%,13.9%,8.8%,67.1%,5.3%
D'Angelo Russell,MIN,24,6-4,193,Ohio State,USA,2015,1,2,45,23.1,3.9,6.3,-8.1,1.1%,10.7%,30.5%,55.6%,32.7%
D.J. Augustin,ORL,32,5-11,183,Texas,USA,2008,1,9,49,10.4,2.2,4.6,2.0,1.4%,7.1%,18.4%,54.8%,28.0%
D.J. Wilson,MIL,24,6-10,231,Michigan,USA,2017,1,17,31,3.2,2.2,0.7,-6.5,3.5%,16.9%,17.2%,47.6%,12.0%
DaQuan Jeffries,SAC,22,6-5,230,None,USA,Undrafted,Undrafted,Undrafted,6,1.2,0.2,0.2,5.7,3.6%,0.0%,13.7%,50.0%,6.7%
Damian Jones,ATL,24,6-11,245,Vanderbilt,USA,2016,1,30,55,5.6,3.7,0.6,-12.6,8.0%,15.3%,11.3%,71.2%,5.7%
Damian Lillard,POR,29,6-2,195,Weber State,USA,2012,1,6,58,28.9,4.3,7.8,1.3,1.3%,9.1%,29.3%,61.9%,33.2%
Damion Lee,GSW,27,6-5,210,Louisville,USA,Undrafted,Undrafted,Undrafted,49,12.7,4.9,2.7,-4.1,2.1%,14.4%,18.4%,54.8%,13.9%
Damyean Dotson,NYK,25,6-5,210,Houston,USA,2017,2,44,48,6.7,1.9,1.2,-5.3,1.1%,9.1%,15.8%,52.7%,10.5%
Daniel Gafford,CHI,21,6-10,234,Arkansas,USA,2019,2,38,43,5.1,2.5,0.5,-1.9,8.1%,9.2%,13.1%,68.6%,5.1%
Daniel Theis,BOS,28,6-8,245,None,Germany,Undrafted,Undrafted,Undrafted,58,9.3,6.6,1.6,7.7,9.0%,17.2%,14.6%,62.9%,10.0%
Danilo Gallinari,OKC,31,6-10,233,None,Italy,2008,1,6,55,19.2,5.5,2.1,5.1,2.0%,16.0%,24.0%,61.1%,10.1%
Danny Green,LAL,32,6-6,215,North Carolina,USA,2009,2,46,61,8.2,3.4,1.4,8.7,2.9%,10.0%,13.3%,56.4%,7.0%
Dante Exum,CLE,24,6-5,214,None,Australia,2014,1,5,35,4.5,1.9,1.1,-8.8,2.4%,10.9%,14.5%,57.6%,12.4%
Danuel House Jr.,HOU,26,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,58,10.2,4.2,1.3,2.9,2.9%,10.2%,13.3%,57.1%,6.1%
