RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"LeBron James, CLE",76,39.0,.604,23.4,9.4,32.2,3.0,18.5,11.1,31.19,916.0,30.5
2,"Dwyane Wade, MIA",77,36.3,.562,19.5,9.8,33.2,4.5,11.1,7.9,28.10,733.4,24.4
3,"Kevin Durant, OKC",82,39.5,.607,9.1,10.7,29.3,3.8,17.9,11.0,26.23,760.6,25.4
4,"Chris Bosh, TOR",70,36.1,.592,9.5,9.6,25.9,9.9,25.2,17.7,25.11,513.2,17.1
5,"Tim Duncan, SA",78,31.3,.560,15.1,8.6,24.4,10.8,26.8,18.9,24.79,516.2,17.2
6,"Dwight Howard, ORL",82,34.7,.630,8.9,17.0,21.5,12.0,31.3,22.0,24.07,571.7,19.1
7,"Chris Paul, NO",45,38.0,.584,36.6,8.5,23.3,1.3,11.9,6.5,23.74,325.6,10.9
8,"Greg Oden, POR",21,23.9,.647,8.0,16.4,18.9,15.7,28.3,21.9,23.14,94.0,3.1
9,"Dirk Nowitzki, DAL",81,37.5,.578,10.3,7.0,26.1,3.1,20.1,11.7,23.01,521.9,17.4
10,"Pau Gasol, LAL",65,37.0,.593,16.0,10.5,20.3,11.4,22.7,17.1,22.97,411.5,13.7
11,"Amar'e Stoudemire, PHX",82,34.6,.615,4.5,11.6,24.4,9.7,18.9,14.5,22.69,473.9,15.8
12,"Manu Ginobili, SA",75,28.7,.584,23.4,9.7,25.2,3.8,11.6,7.7,22.54,386.5,12.9
13,"Carmelo Anthony, DEN",69,38.2,.548,10.1,9.5,30.5,6.7,13.1,9.9,22.29,463.6,15.5
14,"David Lee, NY",81,37.3,.584,15.6,10.0,22.2,8.4,27.6,17.9,22.28,526.4,17.5
15,"Kobe Bryant, LAL",73,38.8,.545,15.2,9.7,30.5,3.1,12.2,7.7,21.95,484.3,16.1
16,"Steve Nash, PHX",81,32.8,.615,39.3,13.0,24.5,1.5,9.4,5.7,21.67,423.5,14.1
17,"Carlos Boozer, UTAH",78,34.3,.599,14.3,12.3,23.1,8.2,29.9,19.4,21.42,395.6,13.2
18,"Brandon Roy, POR",65,37.2,.568,18.3,7.7,25.5,3.7,10.9,7.3,21.36,392.2,13.1
19,"Zach Randolph, MEM",81,37.7,.546,8.0,9.3,22.9,12.6,23.8,18.2,21.21,442.1,14.7
20,"Josh Smith, ATL",81,35.4,.536,19.8,11.5,21.4,9.0,19.8,14.3,21.04,408.8,13.6
21,"Andrew Bogut, MIL",69,32.3,.540,10.0,10.3,21.6,10.1,26.4,17.9,20.81,339.5,11.3
22,"Kevin Love, MIN",60,28.6,.549,13.3,11.5,21.0,14.5,28.6,21.5,20.72,235.9,7.9
23,"Deron Williams, UTAH",76,36.9,.574,34.9,11.0,24.8,2.2,10.4,6.4,20.62,402.5,13.4
24,"Corey Maggette, GS",70,29.7,.615,11.7,11.4,24.1,4.9,15.2,10.0,20.40,307.4,10.2
25,"Andrew Bynum, LAL",65,30.4,.608,6.9,11.7,19.0,10.1,20.4,15.3,20.26,285.0,9.5
26,"Chauncey Billups, DEN",73,34.1,.601,23.1,10.0,23.6,1.2,9.3,5.3,20.25,343.8,11.5
27,"Brook Lopez, NJ",82,36.9,.570,10.7,11.7,21.7,9.9,17.5,13.5,20.11,429.7,14.3
28,"Danny Granger, IND",62,36.7,.564,10.3,9.5,25.9,3.2,13.3,8.2,19.85,317.9,10.6
29,"Nazr Mohammed, CHA",58,17.0,.578,5.9,11.1,19.1,14.2,22.9,18.6,19.64,132.7,4.4
30,"Kevin Garnett, BOS",69,29.9,.569,16.0,8.7,20.3,4.8,24.8,15.1,19.51,246.2,8.2
31,"Al Horford, ATL",81,35.1,.594,14.8,9.6,16.6,9.6,23.3,16.4,19.43,375.1,12.5
32,"Joe Johnson, ATL",76,38.0,.538,18.3,7.2,25.3,3.0,11.4,7.1,19.33,380.1,12.7
33,"Marc Gasol, MEM",69,35.8,.617,14.8,12.1,16.1,9.8,20.5,15.1,19.30,320.6,10.7
34,"Rajon Rondo, BOS",81,36.6,.540,38.4,11.9,21.1,4.3,10.5,7.5,19.18,361.9,12.1
35,"Al Jefferson, MIN",76,32.4,.524,9.0,9.0,22.3,8.0,24.2,16.0,19.03,310.0,10.3
36,"Carl Landry, HOU/SAC",80,30.9,.600,5.0,10.3,21.6,8.5,13.3,10.9,19.02,277.0,9.2
37,"David West, NO",81,36.4,.560,13.4,9.7,22.2,6.4,17.9,12.0,18.99,329.6,11.0
38,"Nene , DEN",82,33.6,.631,16.5,10.2,15.5,7.0,19.1,13.1,18.95,343.1,11.4
39,"Gilbert Arenas, WSH",32,36.5,.511,21.8,11.1,31.2,1.7,11.6,6.6,18.76,135.4,4.5
40,"Anthony Randolph, GS",33,22.7,.521,9.1,10.7,21.4,10.7,21.4,16.0,18.71,80.6,2.7
41,"Derrick Rose, CHI",78,36.8,.532,21.2,9.8,26.3,2.6,8.7,5.7,18.69,329.3,11.0
42,"Rodrigue Beaubois, DAL",56,12.5,.617,16.4,12.0,23.0,2.0,10.7,6.4,18.59,81.4,2.7
43,"Jamal Crawford, ATL",79,31.1,.573,14.7,8.5,24.4,1.6,8.0,4.8,18.50,282.8,9.4
44,"Gerald Wallace, CHA",76,41.0,.586,10.6,11.7,18.6,5.9,23.2,14.7,18.39,367.4,12.2
45,"LaMarcus Aldridge, POR",78,37.5,.535,10.2,6.6,21.1,8.1,18.6,13.3,18.30,296.7,9.9
46,"Tyreke Evans, SAC",72,37.2,.529,20.7,10.8,25.4,2.8,13.6,8.1,18.28,291.0,9.7
47,"Lou Williams, PHI",64,29.9,.576,23.2,9.2,20.7,1.5,10.1,5.8,18.25,206.8,6.9
,"Andrei Kirilenko, UTAH",58,29.0,.588,19.2,9.6,16.9,5.5,12.9,9.3,18.25,194.3,6.5
49,"Paul Pierce, BOS",71,34.0,.613,15.1,11.5,21.8,2.0,13.4,7.9,18.24,278.5,9.3
50,"Andre Miller, POR",82,30.5,.530,26.2,10.2,23.6,4.0,9.2,6.6,18.18,268.0,8.9
51,"Ryan Anderson, ORL",63,14.5,.574,7.2,10.8,21.8,9.2,16.2,12.8,18.15,90.4,3.0
52,"Troy Murphy, IND",72,32.6,.585,13.1,8.7,17.1,6.0,28.5,17.2,18.07,230.0,7.7
53,"Joakim Noah, CHI",64,30.1,.557,15.3,13.5,16.1,12.9,27.6,20.4,17.96,211.4,7.0
54,"Shaquille O'Neal, CLE",53,23.4,.565,10.7,14.0,22.8,9.4,24.0,17.0,17.92,135.5,4.5
,"Jermaine O'Neal, MIA",70,28.4,.563,8.7,11.8,20.8,7.4,21.2,14.3,17.92,217.5,7.2
56,"Marcus Camby, LAC/POR",74,31.3,.501,22.4,10.9,12.8,12.6,32.0,22.3,17.91,221.5,7.4
