Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
A.J. Guyton,CHI,24,6-1,180,Indiana,USA,2000,2,32,45,5.4,1.0,1.8,-3.9,1.9%,5.7%,21.7%,47.7%,24.8%
Aaron McKie,PHI,29,6-5,209,Temple,USA,1994,1,17,48,12.2,4.0,3.7,3.5,1.8%,11.2%,19.6%,54.0%,22.0%
Aaron Williams,NJN,30,6-9,240,Xavier,USA,Undrafted,Undrafted,Undrafted,82,7.2,4.1,0.9,4.7,7.7%,14.2%,17.7%,56.8%,8.4%
Adonal Foyle,GSW,27,6-10,265,Colgate,St. Vincent &...,1997,1,8,79,4.8,4.9,0.5,-6.8,9.1%,15.3%,14.3%,44.5%,4.4%
Adrian Griffin,DAL,27,6-5,215,Seton Hall,USA,Undrafted,Undrafted,Undrafted,58,7.2,3.9,1.8,6.1,5.1%,11.6%,13.4%,54.5%,10.8%
Al Harrington,IND,22,6-9,250,None,USA,1998,1,25,44,13.1,6.3,1.2,-1.6,7.4%,13.4%,21.5%,52.6%,7.3%
Alan Henderson,ATL,29,6-9,240,Indiana,USA,1995,1,16,26,5.5,3.7,0.4,2.8,7.6%,15.1%,16.7%,52.7%,4.3%
Allan Houston,NYK,31,6-6,200,Tennessee,USA,1993,1,11,77,20.4,3.3,2.5,-5.9,1.3%,7.6%,25.2%,54.0%,12.3%
Allen Iverson,PHI,27,6-0,165,Georgetown,USA,1996,1,1,60,31.4,4.5,5.5,5.5,1.7%,8.4%,36.5%,48.9%,26.6%
Alonzo Mourning,MIA,32,6-10,261,Georgetown,USA,1992,1,2,75,15.7,8.4,1.2,2.0,8.0%,18.5%,24.0%,55.8%,6.7%
Alton Ford,PHX,21,6-9,275,Houston,USA,2001,2,50,53,3.1,2.0,0.1,-10.6,7.1%,16.8%,16.7%,57.3%,2.7%
