RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Kevin Garnett, MIN",82,38.1,.567,20.4,9.7,25.9,9.0,30.2,20.3,28.29,391.3,13.0
2,"Tim Duncan, SA",66,33.4,.540,11.6,8.2,26.6,11.0,28.2,19.4,27.12,249.2,8.3
3,"Shaquille O'Neal, MIA",73,34.1,.583,10.9,11.1,27.4,12.0,22.8,17.8,27.03,304.6,10.2
4,"Amar'e Stoudemire, PHX",80,36.1,.617,6.5,9.4,25.2,9.0,17.4,13.2,26.71,349.3,11.6
5,"Dirk Nowitzki, DAL",78,38.7,.578,11.0,8.1,26.2,4.0,24.0,14.0,26.14,332.5,11.1
6,"LeBron James, CLE",80,42.4,.554,20.6,9.3,28.8,4.0,17.0,10.2,25.74,399.0,13.3
7,"Andrei Kirilenko, UTAH",41,32.9,.599,17.5,11.9,20.4,8.0,15.7,11.7,24.44,130.4,4.3
8,"Kobe Bryant, LAL",66,40.7,.563,17.4,11.8,30.0,4.0,12.4,8.2,23.33,282.2,9.4
9,"Allen Iverson, PHI",75,42.3,.532,19.2,11.1,32.7,2.0,8.9,5.3,23.27,327.2,10.9
10,"Yao Ming, HOU",80,30.6,.614,4.2,13.5,23.6,10.0,21.4,15.9,23.25,224.5,7.5
11,"Dwyane Wade, MIA",77,38.6,.561,20.8,12.9,29.0,5.0,10.8,7.8,23.20,301.1,10.0
12,"Tracy McGrady, HOU",78,40.8,.526,17.5,7.9,29.1,3.0,14.8,8.9,22.97,317.5,10.6
,"Jermaine O'Neal, IND",44,34.8,.520,6.6,10.6,32.3,7.0,23.3,15.1,22.97,136.0,4.5
14,"Vince Carter, NJ/TOR",77,36.7,.541,14.6,7.5,30.2,4.0,14.1,9.1,22.92,272.7,9.1
15,"Pau Gasol, MEM",56,32.0,.582,12.0,12.1,23.8,9.0,18.7,13.7,22.55,142.4,4.7
16,"Elton Brand, LAC",81,37.0,.554,11.2,9.9,23.3,12.0,18.4,15.4,22.51,237.7,7.9
17,"Manu Ginobili, SA",74,29.6,.609,20.1,12.0,23.2,4.0,13.6,8.8,22.35,194.4,6.5
18,"Steve Nash, PHX",75,34.3,.606,41.6,11.8,22.0,2.0,7.6,5.2,22.04,226.8,7.6
19,"Stephon Marbury, NY",82,40.0,.575,27.3,9.5,24.6,2.0,7.1,4.4,21.97,283.2,9.4
20,"Paul Pierce, BOS",82,36.1,.583,16.6,11.0,24.6,3.0,17.8,10.6,21.83,252.9,8.4
