,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,LeBron James,33.62,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
1,2,Anthony Davis,33.23,924.0,6-10,253.0,Kentucky,USA,2012.0,1,1,208.28,854.0,7.90%,9.0,8.5,9' 0'',7' 5.5''
2,3,Giannis Antetokounmpo,30.82,986.0,6-11,222.0,None,Greece,2013.0,1,15,210.82,,,,,,
3,4,Russell Westbrook,29.37,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
4,5,James Harden,29.25,790.0,6-5,220.0,Arizona State,USA,2009.0,1,3,195.58,717.0,10.10%,-,-,8' 7.5'',6' 10.75''
5,6,Kevin Durant,28.87,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
6,7,Karl-Anthony Towns,28.68,1084.0,7-0,248.0,Kentucky,USA,2015.0,1,1,213.36,,,,,,
7,8,Andre Drummond,27.24,979.0,6-11,279.0,Connecticut,USA,2012.0,1,9,210.82,856.0,7.50%,9.5,9.5,9' 1.5'',7' 6.25''
8,9,Nikola Jokic,27.12,1065.0,6-10,250.0,None,Serbia,2014.0,2,41,208.28,,,,,,
9,10,Joel Embiid,25.2,1053.0,7-0,250.0,Kansas,Cameroon,2014.0,1,3,213.36,,,,,,
10,11,Damian Lillard,24.4,975.0,6-3,195.0,Weber State,USA,2012.0,1,6,190.5,878.0,5.90%,8.75,9.75,7' 11.5'',6' 7.75''
11,12,LaMarcus Aldridge,24.34,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
12,13,DeAndre Jordan,24.05,745.0,6-11,265.0,Texas A&M,USA,2008.0,2,35,210.82,658.0,7.50%,-,-,9' 5.5'',7' 6''
13,14,Chris Paul,23.77,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
14,15,Ben Simmons,23.75,1128.0,6-10,230.0,Louisiana State,Australia,2016.0,1,1,208.28,,,,,,
15,16,Victor Oladipo,22.65,991.0,6-4,210.0,Indiana,USA,2013.0,1,2,193.04,951.0,6.55%,8.75,9.25,8' 4.5'',6' 9.25''
16,17,Clint Capela,22.33,1048.0,6-10,240.0,None,Switzerland,2014.0,1,25,208.28,,,,,,
17,18,Dwight Howard,22.0,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
18,19,Enes Kanter,21.37,891.0,6-11,267.0,,Turkey,2011.0,1,3,210.82,813.0,5.90%,9.5,10.75,9' 1.5'',7' 1.5''
19,20,Draymond Green,21.23,952.0,6-7,230.0,Michigan State,USA,2012.0,2,35,200.66,861.0,11.30%,9.0,9.5,8' 9'',7' 1.25''
20,21,Jrue Holiday,21.16,776.0,6-4,180.0,UCLA,USA,2009.0,1,17,193.04,721.0,6.30%,-,-,8' 4.5'',6' 7''
21,22,Kyle Lowry,20.48,632.0,6-0,205.0,Villanova,USA,2006.0,1,24,182.88,,,,,,
22,23,Khris Middleton,20.37,956.0,6-8,234.0,Texas A&M,USA,2012.0,2,39,203.2,882.0,7.80%,9.0,9.0,8' 7'',6' 10.75''
23,24,Kevin Love,20.1,758.0,6-10,260.0,UCLA,USA,2008.0,1,5,208.28,664.0,12.90%,-,-,8' 10'',6' 11.25''
24,25,Paul George,20.09,819.0,6-8,215.0,Fresno State,USA,2010.0,1,10,203.2,758.0,5.00%,8.5,9.0,8' 11'',6' 11.25''
