,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
25,26,DeMar DeRozan,20.08,817.0,6-7,216.0,USC,USA,2009.0,1,9,200.66,708.0,4.90%,-,-,8' 6.5'',6' 9''
26,27,Marc Gasol,20.01,705.0,7-1,265.0,None,Spain,2007.0,2,48,215.9,,,,,,
27,28,Bradley Beal,19.78,946.0,6-5,207.0,Florida,USA,2012.0,1,3,195.58,849.0,6.00%,8.5,9.0,8' 4'',6' 8''
28,29,Al Horford,19.74,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
29,30,Kemba Walker,19.57,922.0,6-1,184.0,Connecticut,USA,2011.0,1,9,185.42,843.0,5.90%,8.0,9.0,7' 7.5'',6' 3.5''
30,31,Steven Adams,19.26,983.0,7-0,255.0,Pittsburgh,New Zealand,2013.0,1,12,213.36,907.0,6.65%,9.5,11.0,9' 1.5'',7' 4.5''
31,32,Julius Randle,18.79,1081.0,6-9,250.0,Kentucky,USA,2014.0,1,7,205.74,1012.0,9.40%,8.75,8.25,8' 9.5'',7' 0''
32,33,Lou Williams,18.39,598.0,6-1,175.0,None,USA,2005.0,2,45,185.42,,,,,,
33,34,Jonas Valanciunas,18.09,913.0,7-0,255.0,None,Lithuania,2011.0,1,5,213.36,,,,,,
34,35,Otto Porter Jr.,17.93,1001.0,6-8,198.0,Georgetown,USA,2013.0,1,3,203.2,,,,,,
35,36,Eric Bledsoe,17.86,827.0,6-1,195.0,Kentucky,USA,2010.0,1,18,185.42,745.0,5.60%,8.5,9.75,8' 2'',6' 7.5''
36,37,Tobias Harris,17.75,879.0,6-8,226.0,Tennessee,USA,2011.0,1,19,203.2,805.0,8.40%,8.75,9.0,8' 7.5'',6' 11''
37,38,Jusuf Nurkic,17.73,1038.0,7-0,280.0,None,Bosnia and He...,2014.0,1,16,213.36,,,,,,
38,39,CJ McCollum,17.49,981.0,6-3,190.0,Lehigh,USA,2013.0,1,10,190.5,944.0,8.60%,8.0,9.5,8' 0.5'',6' 6.25''
39,40,Will Barton,17.11,958.0,6-6,190.0,Memphis,USA,2012.0,2,40,198.12,848.0,4.10%,9.0,9.5,8' 6.5'',6' 9.75''
40,41,Klay Thompson,17.07,871.0,6-7,205.0,Washington State,USA,2011.0,1,11,200.66,839.0,8.00%,8.75,9.25,8' 7.5'',6' 9''
41,42,Donovan Mitchell,17.0,1186.0,6-3,215.0,Louisville,USA,2017.0,1,13,190.5,1181.0,5.90%,8.50,9.50,8' 1'',6' 10''
42,43,Harrison Barnes,16.78,977.0,6-8,225.0,North Carolina,USA,2012.0,1,7,203.2,847.0,9.60%,9.0,8.5,8' 5.5'',6' 11.25''
43,44,Dario Saric,16.61,1034.0,6-10,223.0,None,Croatia,2014.0,1,12,208.28,,,,,,
44,45,Jeff Teague,16.47,778.0,6-2,181.0,Wake Forest,USA,2009.0,1,19,187.96,735.0,4.50%,-,-,8' 2.5'',6' 7.5''
45,46,Goran Dragic,16.23,755.0,6-3,190.0,None,Slovenia,2008.0,2,45,190.5,,,,,,
46,47,Taj Gibson,16.13,786.0,6-9,225.0,USC,USA,2009.0,1,26,205.74,713.0,6.60%,-,-,9' 1'',7' 4''
47,48,Willie Cauley-Stein,16.03,1124.0,7-0,240.0,Kentucky,USA,2015.0,1,6,213.36,1032.0,6.30%,9.5,9.0,9' 3'',7' 3''
48,49,Derrick Favors,15.93,840.0,6-10,248.0,Georgia Tech,USA,2010.0,1,3,208.28,755.0,6.50%,8.75,9.25,9' 2'',7' 4''
49,50,Rajon Rondo,15.84,629.0,6-1,186.0,Kentucky,USA,2006.0,1,21,185.42,,,,,,
50,51,Pau Gasol,15.71,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
51,52,John Collins,15.59,1192.0,6-10,235.0,Wake Forest,USA,2017.0,1,19,208.28,1156.0,5.40%,9.00,10.00,8' 10.5'',6' 11.25''
52,53,Ricky Rubio,15.49,809.0,6-4,180.0,None,Spain,2009.0,1,5,193.04,,,,,,
53,54,Darren Collison,15.45,781.0,6-0,160.0,UCLA,USA,2009.0,1,21,182.88,704.0,5.70%,-,-,8' 0.5'',6' 3''
54,55,Jamal Murray,15.44,1179.0,6-4,207.0,Kentucky,Canada,2016.0,1,7,193.04,,,,,,
55,56,Myles Turner,15.42,1086.0,6-11,255.0,Texas,USA,2015.0,1,11,210.82,1075.0,9.30%,9.25,9.25,9' 4'',7' 4''
56,57,Kyle Kuzma,15.29,1201.0,6-9,220.0,Utah,USA,2017.0,1,27,205.74,1176.0,9.40%,8.50,9.50,8' 11.5'',7' 0.25''
57,58,Jayson Tatum,15.26,1204.0,6-8,205.0,Duke,USA,2017.0,1,3,203.2,,,,,,
58,59,Domantas Sabonis,15.21,1130.0,6-10,252.0,Gonzaga,Lithuania,2016.0,1,11,208.28,,,,,,
59,60,Thaddeus Young,15.08,671.0,6-8,220.0,Georgia Tech,USA,2007.0,1,12,203.2,616.0,4.90%,-,-,8' 10'',6' 11.5''
60,61,Bobby Portis,14.93,1098.0,6-11,248.0,Arkansas,USA,2015.0,1,22,210.82,1066.0,8.90%,9.5,9.25,9' 0.5'',7' 2''
61,62,Joe Ingles,14.88,1763.0,6-8,226.0,None,Australia,0.0,Undrafted,Undrafted,203.2,,,,,,
62,63,Spencer Dinwiddie,14.86,1061.0,6-6,200.0,Colorado,USA,2014.0,2,38,198.12,984.0,5.35%,8.25,9.0,8' 7'',6' 8.25''
63,64,DeMarre Carroll,14.75,787.0,6-8,212.0,Missouri,USA,2009.0,1,27,203.2,700.0,6.30%,-,-,8' 9'',6' 10''
64,65,James Johnson,14.68,775.0,6-9,248.0,Wake Forest,USA,2009.0,1,16,205.74,723.0,12.00%,-,-,8' 9.5'',7' 0.75''
65,66,JJ Redick,14.6,618.0,6-4,190.0,Duke,USA,2006.0,1,11,193.04,518.0,7.00%,-,-,8' 1.5'',6' 3.25''
66,67,Kelly Olynyk,14.59,984.0,7-0,245.0,Gonzaga,Canada,2013.0,1,13,213.36,952.0,6.65%,8.5,10.0,9' 0'',6' 9.75''
67,68,Kentavious Caldwell-Pope,14.42,1029.0,6-5,205.0,Georgia,USA,2013.0,1,8,195.58,912.0,6.45%,8.5,9.0,8' 4.5'',6' 8''
68,69,Dirk Nowitzki,14.27,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
69,70,John Henson,14.27,929.0,6-11,229.0,North Carolina,USA,2012.0,1,14,210.82,863.0,8.60%,9.25,10.0,9' 4'',7' 5''
70,71,Robert Covington,14.2,1802.0,6-9,225.0,Tennessee State,USA,0.0,Undrafted,Undrafted,205.74,,,,,,
71,72,Serge Ibaka,14.15,733.0,6-10,235.0,None,Democratic Re...,2008.0,1,24,208.28,,,,,,
72,73,Terry Rozier,13.85,1091.0,6-2,190.0,Louisville,USA,2015.0,1,16,187.96,1070.0,5.60%,8.25,8.5,8' 2.5'',6' 8.25''
73,74,Jaylen Brown,13.8,1150.0,6-7,225.0,California,USA,2016.0,1,3,200.66,1093.0,5.05%,8.75,9.00,8' 6.5'',6' 11.75''
74,75,Marcin Gortat,13.78,609.0,6-11,240.0,None,Poland,2005.0,2,57,210.82,412.0,-%,-,-,9' 2'',7' 3.5''
75,76,Al-Farouq Aminu,13.77,867.0,6-9,215.0,Wake Forest,USA,2010.0,1,8,205.74,742.0,8.20%,9.5,9.5,9' 0.5'',7' 3.25''
76,77,Andrew Wiggins,13.74,1031.0,6-8,202.0,Kansas,Canada,2014.0,1,1,203.2,,,,,,
77,78,Michael Beasley,13.73,728.0,6-10,235.0,Kansas State,USA,2008.0,1,2,208.28,622.0,7.70%,-,-,8' 11'',7' 0.25''
78,79,Carmelo Anthony,13.56,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
79,80,Josh Richardson,13.55,1116.0,6-6,200.0,Tennessee,USA,2015.0,2,40,198.12,,,,,,
80,81,Markieff Morris,13.54,873.0,6-10,245.0,Kansas,USA,2011.0,1,13,208.28,824.0,10.20%,8.5,8.25,8' 10.5'',6' 10.75''
81,82,Taurean Prince,13.52,1131.0,6-8,220.0,Baylor,USA,2016.0,1,12,203.2,1125.0,6.45%,9.00,8.50,8' 6'',6' 11.5''
82,83,Larry Nance Jr.,13.36,1102.0,6-9,230.0,Wyoming,USA,2015.0,1,27,205.74,,,,,,
83,84,Kyle Anderson,13.33,1054.0,6-9,230.0,UCLA,USA,2014.0,1,30,205.74,971.0,13.35%,8.25,8.75,8' 11.5'',7' 2.75''
84,85,Kyle O'Quinn,13.29,967.0,6-10,250.0,Norfolk State,USA,2012.0,2,49,208.28,889.0,8.00%,9.5,10.0,8' 10.5'',7' 4.75''
85,86,Jeremy Lamb,13.28,927.0,6-5,185.0,Connecticut,USA,2012.0,1,12,195.58,875.0,4.50%,8.75,9.25,8' 6'',6' 11''
86,87,Ersan Ilyasova,12.91,588.0,6-10,235.0,None,Turkey,2005.0,2,36,208.28,420.0,-%,-,-,9' 1.5'',7' 1.25''
87,88,Dwight Powell,12.9,1069.0,6-11,240.0,Stanford,Canada,2014.0,2,45,210.82,1011.0,6.20%,9.0,9.25,8' 9'',7' 0.5''
88,89,Brook Lopez,12.7,718.0,7-0,265.0,Stanford,USA,2008.0,1,10,213.36,663.0,6.30%,-,-,9' 5'',7' 5.5''
89,90,Caris LeVert,12.68,1140.0,6-7,203.0,Michigan,USA,2016.0,1,20,200.66,1115.0,7.55%,8.50,9.25,8' 5'',6' 10''
90,91,Eric Gordon,12.66,765.0,6-3,215.0,Indiana,USA,2008.0,1,7,190.5,643.0,8.20%,-,-,8' 3'',6' 9''
91,92,Montrezl Harrell,12.54,1108.0,6-8,240.0,Louisville,USA,2015.0,2,32,203.2,1042.0,11.90%,9.0,9.75,9' 1'',7' 4.25''
92,93,Denzel Valentine,12.52,1133.0,6-6,214.0,Michigan State,USA,2016.0,1,14,198.12,1135.0,9.20%,8.50,9.75,8' 6'',6' 10.75''
93,94,Buddy Hield,12.46,1177.0,6-4,214.0,Oklahoma,Bahamas,2016.0,1,6,193.04,1108.0,6.10%,8.50,9.00,8' 5'',6' 9.25''
94,95,Bojan Bogdanovic,12.37,893.0,6-8,230.0,None,Croatia,2011.0,2,31,203.2,,,,,,
95,96,Allen Crabbe,12.33,1003.0,6-6,215.0,California,USA,2013.0,2,31,198.12,918.0,4.65%,8.25,8.5,8' 7.5'',6' 11.25''
96,97,Wilson Chandler,12.28,683.0,6-8,225.0,DePaul,USA,2007.0,1,23,203.2,,,,,,
97,98,Ish Smith,12.28,1866.0,6-0,175.0,Wake Forest,USA,0.0,Undrafted,Undrafted,182.88,,,,,,
98,99,Marcus Morris,12.23,,,,,,,,,,,,,,,
99,100,Kosta Koufos,12.08,732.0,7-0,265.0,Ohio State,USA,2008.0,1,23,213.36,,,,,,
