,PLAYER,PER,RK,Height_cm,Weight
0,Giannis Antetokounmpo,30.95,1.0,210.82,242.0
1,James Harden,30.62,2.0,195.58,220.0
2,Anthony Davis,30.32,3.0,208.28,253.0
3,Karl-Anthony Towns,26.38,4.0,213.36,248.0
4,Nikola Jokic,26.38,5.0,213.36,250.0
5,Joel Embiid,26.21,6.0,213.36,250.0
6,Kawhi Leonard,25.89,7.0,200.66,230.0
7,LeBron James,25.64,8.0,203.2,250.0
8,Nikola Vucevic,25.53,9.0,213.36,260.0
9,Rudy Gobert,24.6,10.0,215.9,245.0
10,Jonas Valanciunas,24.47,11.0,213.36,265.0
11,Stephen Curry,24.45,12.0,190.5,190.0
12,Kyrie Irving,24.37,13.0,190.5,193.0
13,Kevin Durant,24.26,14.0,205.74,240.0
14,Boban Marjanovic,24.25,15.0,220.98,290.0
15,Clint Capela,23.84,16.0,208.28,240.0
16,Damian Lillard,23.78,17.0,190.5,195.0
17,Hassan Whiteside,23.52,18.0,213.36,265.0
18,Andre Drummond,23.49,19.0,210.82,279.0
19,Montrezl Harrell,23.44,20.0,203.2,240.0
20,Jusuf Nurkic,23.41,21.0,213.36,275.0
21,Paul George,23.32,22.0,205.74,220.0
22,LaMarcus Aldridge,22.98,23.0,210.82,260.0
23,Enes Kanter,22.36,24.0,210.82,250.0
24,Mitchell Robinson,22.01,25.0,215.9,240.0
25,Domantas Sabonis,21.99,26.0,210.82,240.0
26,Derrick Favors,21.89,27.0,208.28,265.0
27,JaVale McGee,21.88,28.0,213.36,270.0
28,John Collins,21.85,29.0,208.28,235.0
29,Kemba Walker,21.72,30.0,185.42000000000002,184.0
30,Kenneth Faried,21.62,31.0,203.2,220.0
31,Mike Conley,21.46,32.0,185.42000000000002,175.0
32,DeMarcus Cousins,21.44,33.0,210.82,270.0
33,Lou Williams,21.3,34.0,185.42000000000002,175.0
34,Russell Westbrook,21.14,35.0,190.5,200.0
35,Thomas Bryant,21.02,36.0,210.82,248.0
36,Danilo Gallinari,21.02,,208.28,225.0
37,Julius Randle,21.02,,205.74,250.0
38,Blake Griffin,21.02,,208.28,250.0
39,Bradley Beal,20.84,40.0,195.58,207.0
40,Richaun Holmes,20.72,41.0,208.28,235.0
41,Deandre Ayton,20.54,42.0,215.9,250.0
42,Dwight Powell,20.45,43.0,210.82,240.0
43,Willy Hernangomez,20.41,44.0,210.82,240.0
44,Devin Booker,20.3,45.0,198.12,210.0
45,Jimmy Butler,20.29,46.0,203.2,232.0
46,Al Horford,20.21,47.0,208.28,245.0
47,Ben Simmons,20.07,48.0,208.28,230.0
48,Chris Paul,19.71,49.0,182.88,175.0
49,DeMar DeRozan,19.61,50.0,200.66,220.0
50,Luka Doncic,19.61,51.0,200.66,218.0
51,Derrick Rose,19.52,52.0,190.5,200.0
52,Kevin Love,19.5,53.0,208.28,251.0
53,D'Angelo Russell,19.48,54.0,195.58,198.0
54,Jrue Holiday,19.43,55.0,193.04,205.0
55,Jakob Poeltl,19.38,56.0,213.36,230.0
56,Nerlens Noel,19.32,57.0,210.82,220.0
57,Eric Bledsoe,19.31,58.0,185.42000000000002,205.0
58,Khem Birch,19.19,59.0,205.74,233.0
59,DeAndre Jordan,19.04,60.0,210.82,265.0
60,Marvin Bagley III,18.93,61.0,210.82,234.0
61,Ivica Zubac,18.92,62.0,215.9,240.0
62,Serge Ibaka,18.8,63.0,208.28,235.0
63,Zach LaVine,18.79,64.0,195.58,200.0
64,Pascal Siakam,18.74,65.0,205.74,230.0
65,Joakim Noah,18.63,66.0,210.82,230.0
66,Larry Nance Jr.,18.58,67.0,205.74,230.0
67,Jarrett Allen,18.57,68.0,210.82,237.0
68,Steven Adams,18.55,69.0,213.36,265.0
69,Tristan Thompson,18.45,70.0,208.28,238.0
70,De'Aaron Fox,18.18,71.0,190.5,175.0
71,Gorgui Dieng,18.17,72.0,210.82,252.0
72,Myles Turner,18.1,73.0,210.82,250.0
73,John Wall,18.09,74.0,193.04,210.0
74,Jahlil Okafor,18.0,75.0,210.82,275.0
75,Willie Cauley-Stein,18.0,,213.36,240.0
76,Paul Millsap,17.95,77.0,203.2,246.0
77,Bam Adebayo,17.9,78.0,208.28,255.0
78,Mason Plumlee,17.88,79.0,210.82,235.0
79,Taj Gibson,17.85,80.0,205.74,232.0
80,Malcolm Brogdon,17.84,81.0,195.58,229.0
81,Victor Oladipo,17.68,82.0,193.04,210.0
82,Buddy Hield,17.6,83.0,193.04,214.0
83,Cheick Diallo,17.56,84.0,205.74,220.0
84,Rudy Gay,17.54,85.0,203.2,230.0
85,Kevon Looney,17.38,86.0,205.74,220.0
86,Jeremy Lamb,17.38,,195.58,185.0
87,Tobias Harris,17.3,88.0,205.74,235.0
88,Ed Davis,17.28,89.0,208.28,225.0
89,Alex Len,17.27,90.0,215.9,250.0
90,Donovan Mitchell,17.26,91.0,190.5,215.0
91,Cody Zeller,17.25,92.0,213.36,240.0
92,Nikola Mirotic,17.23,93.0,208.28,250.0
93,Lauri Markkanen,17.16,94.0,213.36,240.0
94,Daniel Theis,17.07,95.0,203.2,243.0
95,CJ McCollum,17.05,96.0,190.5,190.0
96,Trae Young,17.03,97.0,187.96,180.0
97,T.J. Leaf,16.98,98.0,208.28,
98,Frank Kaminsky,16.88,99.0,213.36,242.0
99,Jordan Clarkson,16.84,100.0,195.58,194.0
100,Darren Collison,16.74,101.0,182.88,175.0
101,Klay Thompson,16.7,102.0,200.66,215.0
102,Marc Gasol,16.69,103.0,215.9,255.0
103,Khris Middleton,16.55,104.0,203.2,222.0
104,Trey Burke,16.53,105.0,185.42000000000002,175.0
105,Kyle Lowry,16.51,106.0,185.42000000000002,196.0
106,Jaren Jackson Jr.,16.43,107.0,210.82,242.0
107,T.J. Warren,16.36,108.0,203.2,215.0
108,J.J. Barea,16.36,,182.88,185.0
109,Spencer Dinwiddie,16.32,110.0,198.12,210.0
110,Monte Morris,16.3,111.0,190.5,175.0
111,Thaddeus Young,16.28,112.0,203.2,221.0
112,Ante Zizic,16.28,,210.82,254.0
113,Bojan Bogdanovic,16.14,114.0,203.2,216.0
114,Ivan Rabb,16.13,115.0,208.28,220.0
115,Bobby Portis,16.12,116.0,210.82,250.0
116,Jamal Murray,16.11,117.0,193.04,207.0
117,Dewayne Dedmon,16.06,118.0,213.36,245.0
118,Robin Lopez,15.9,119.0,213.36,275.0
119,Otto Porter Jr.,15.9,,203.2,198.0
120,Dwyane Wade,15.86,121.0,193.04,220.0
121,Meyers Leonard,15.84,122.0,215.9,255.0
122,Omri Casspi,15.78,123.0,205.74,225.0
123,D.J. Augustin,15.72,124.0,182.88,183.0
124,Gordon Hayward,15.62,125.0,203.2,225.0
125,Jabari Parker,15.57,126.0,203.2,245.0
126,Delon Wright,15.54,127.0,195.58,183.0
127,Terrence Ross,15.45,128.0,200.66,206.0
128,Jeff Teague,15.43,129.0,187.96,195.0
129,Tony Parker,15.4,130.0,187.96,185.0
130,Nemanja Bjelica,15.4,,208.28,234.0
131,Shabazz Napier,15.31,132.0,185.42000000000002,180.0
132,Wendell Carter Jr.,15.28,133.0,208.28,255.0
133,Reggie Jackson,15.22,134.0,190.5,208.0
134,Kelly Oubre Jr.,15.22,,200.66,205.0
135,Aaron Gordon,15.18,136.0,205.74,220.0
136,JJ Redick,15.15,137.0,193.04,200.0
137,Jayson Tatum,15.13,138.0,203.2,208.0
138,Mo Bamba,14.92,139.0,213.36,221.0
139,Caris LeVert,14.92,,200.66,204.0
140,Derrick White,14.85,141.0,193.04,190.0
141,Luke Kornet,14.78,142.0,215.9,250.0
142,JaMychal Green,14.75,143.0,205.74,227.0
143,Emmanuel Mudiay,14.62,144.0,195.58,200.0
144,Brook Lopez,14.59,145.0,213.36,270.0
145,Bismack Biyombo,14.43,146.0,205.74,255.0
146,Harry Giles III,14.42,147.0,208.28,240.0
147,Kelly Olynyk,14.4,148.0,213.36,240.0
148,Marcus Morris Sr.,14.28,149.0,205.74,235.0
149,Malik Beasley,14.21,150.0,195.58,195.0
150,Tomas Satoransky,14.14,151.0,200.66,210.0
151,Bogdan Bogdanovic,14.12,152.0,198.12,205.0
152,Derrick Jones Jr.,14.07,153.0,200.66,200.0
153,Aron Baynes,14.06,154.0,208.28,260.0
154,Kyle Kuzma,14.05,155.0,205.74,220.0
155,Elfrid Payton,14.02,156.0,193.04,185.0
