,PLAYER,PER,RK,Height_cm,Weight
156,Ricky Rubio,14.01,157.0,193.04,190.0
157,Josh Richardson,14.01,,198.12,200.0
158,Goran Dragic,13.99,159.0,190.5,190.0
159,Noah Vonleh,13.94,160.0,205.74,250.0
160,Alex Caruso,13.9,161.0,195.58,186.0
161,Jerami Grant,13.87,162.0,205.74,220.0
162,Fred VanVleet,13.73,163.0,182.88,195.0
163,Tyus Jones,13.7,164.0,187.96,196.0
164,Zaza Pachulia,13.69,165.0,210.82,270.0
165,Tim Hardaway Jr.,13.66,166.0,198.12,205.0
166,Jeff Green,13.66,,205.74,235.0
167,Pat Connaughton,13.6,168.0,193.04,209.0
168,Jeremy Lin,13.58,169.0,190.5,200.0
169,Jaylen Brown,13.58,,200.66,220.0
170,Joe Harris,13.56,171.0,198.12,218.0
171,Zach Collins,13.56,,213.36,235.0
172,Jake Layman,13.52,173.0,205.74,215.0
173,Jonas Jerebko,13.49,174.0,208.28,231.0
174,Brandon Ingram,13.48,175.0,205.74,190.0
175,Joe Ingles,13.46,176.0,203.2,226.0
176,Shai Gilgeous-Alexander,13.45,177.0,198.12,181.0
177,T.J. McConnell,13.41,178.0,187.96,190.0
178,Cristiano Felicio,13.39,179.0,208.28,265.0
179,Sam Dekker,13.38,180.0,205.74,230.0
180,Michael Kidd-Gilchrist,13.37,181.0,200.66,232.0
181,Robert Covington,13.36,182.0,205.74,225.0
182,Norman Powell,13.35,183.0,193.04,215.0
183,Maurice Harkless,13.25,184.0,205.74,220.0
184,Patty Mills,13.19,185.0,182.88,180.0
185,Al-Farouq Aminu,13.18,186.0,205.74,220.0
186,Quinn Cook,13.13,187.0,187.96,179.0
187,Miles Bridges,13.13,,200.66,225.0
188,Dario Saric,13.12,189.0,208.28,223.0
189,Andre Iguodala,13.12,,198.12,215.0
190,Maxi Kleber,13.12,,210.82,240.0
191,Amir Johnson,13.12,,205.74,240.0
192,Marcus Smart,13.12,,193.04,220.0
193,Georges Niang,13.06,194.0,203.2,230.0
194,Danny Green,13.02,195.0,198.12,215.0
195,Jonathan Isaac,13.02,,208.28,210.0
196,Davis Bertans,13.0,197.0,208.28,225.0
197,Kentavious Caldwell-Pope,12.96,198.0,195.58,205.0
198,Terry Rozier,12.95,199.0,185.42000000000002,190.0
199,Jordan Bell,12.94,200.0,205.74,224.0
200,Draymond Green,12.88,201.0,200.66,230.0
201,Justise Winslow,12.83,202.0,200.66,225.0
202,Harrison Barnes,12.81,203.0,203.2,225.0
203,Jalen Brunson,12.8,204.0,190.5,190.0
204,Marcin Gortat,12.8,,210.82,240.0
205,Kyle Anderson,12.79,206.0,205.74,230.0
206,Dennis Schroder,12.76,207.0,185.42000000000002,172.0
207,Jonah Bolden,12.75,208.0,208.28,220.0
208,Trey Lyles,12.72,209.0,208.28,234.0
209,Yogi Ferrell,12.7,210.0,182.88,180.0
210,Alec Burks,12.69,211.0,198.12,214.0
211,Marvin Williams,12.66,212.0,205.74,237.0
212,David Nwaba,12.51,213.0,193.04,219.0
213,Rondae Hollis-Jefferson,12.5,214.0,200.66,217.0
214,Tyler Johnson,12.47,215.0,193.04,190.0
215,Kris Dunn,12.47,,193.04,205.0
216,Andrew Wiggins,12.42,217.0,203.2,194.0
217,Omari Spellman,12.42,,205.74,245.0
218,Bruno Caboclo,12.41,219.0,205.74,218.0
219,Shaquille Harrison,12.38,220.0,193.04,190.0
220,Dennis Smith Jr.,12.34,221.0,190.5,195.0
221,Kosta Koufos,12.33,222.0,213.36,245.0
222,Evan Fournier,12.32,223.0,200.66,205.0
223,Rodney Hood,12.3,224.0,203.2,206.0
224,Eric Gordon,12.25,225.0,193.04,215.0
225,Gary Harris,12.24,226.0,193.04,210.0
226,Danuel House Jr.,12.23,227.0,200.66,220.0
227,Allonzo Trier,12.19,228.0,195.58,200.0
228,Jae Crowder,12.16,229.0,198.12,235.0
229,George Hill,12.14,230.0,190.5,188.0
230,Rajon Rondo,12.11,231.0,185.42000000000002,186.0
231,Collin Sexton,12.1,232.0,187.96,190.0
232,Thabo Sefolosha,12.09,233.0,200.66,220.0
233,DeMarre Carroll,12.09,,203.2,215.0
234,Trevor Ariza,12.08,235.0,203.2,215.0
235,Bryn Forbes,12.05,236.0,190.5,190.0
236,Taurean Prince,11.99,237.0,203.2,220.0
237,Aaron Holiday,11.99,,185.42000000000002,185.0
238,Luke Kennard,11.99,,195.58,206.0
239,Marco Belinelli,11.97,240.0,195.58,210.0
240,Kent Bazemore,11.93,241.0,195.58,201.0
241,Nene ,11.9,242.0,210.82,
242,Nicolas Batum,11.87,243.0,203.2,200.0
243,Malik Monk,11.87,,190.5,200.0
244,Lance Stephenson,11.86,245.0,198.12,230.0
245,Ish Smith,11.86,,182.88,175.0
246,Wayne Ellington,11.83,247.0,195.58,200.0
247,Vince Carter,11.83,,198.12,220.0
248,Patrick Beverley,11.79,249.0,185.42000000000002,185.0
249,Lonzo Ball,11.76,250.0,198.12,190.0
250,Jamal Crawford,11.75,251.0,195.58,185.0
251,Markieff Morris,11.74,252.0,208.28,245.0
252,Shaun Livingston,11.71,253.0,200.66,192.0
253,Dwayne Bacon,11.7,254.0,200.66,221.0
254,Tim Frazier,11.69,255.0,185.42000000000002,170.0
255,Doug McDermott,11.64,256.0,203.2,225.0
256,Evan Turner,11.61,257.0,200.66,220.0
257,Ersan Ilyasova,11.6,258.0,208.28,235.0
258,Ryan Arcidiacono,11.59,259.0,190.5,200.0
259,Cameron Payne,11.58,260.0,190.5,190.0
260,Tyreke Evans,11.54,261.0,198.12,220.0
261,Cedi Osman,11.53,262.0,203.2,215.0
262,E'Twaun Moore,11.52,263.0,193.04,191.0
263,Furkan Korkmaz,11.49,264.0,200.66,190.0
264,Gerald Green,11.41,265.0,200.66,205.0
265,Dion Waiters,11.4,266.0,193.04,215.0
266,Seth Curry,11.4,,187.96,185.0
267,Justin Jackson,11.38,268.0,203.2,210.0
268,Thon Maker,11.37,269.0,215.9,221.0
269,Kyle Korver,11.29,270.0,200.66,212.0
270,Tyson Chandler,11.25,271.0,215.9,240.0
271,Dante Exum,11.24,272.0,198.12,190.0
272,Tyler Dorsey,11.23,273.0,195.58,183.0
273,Alfonzo McKinnie,11.2,274.0,203.2,215.0
274,Troy Brown Jr.,11.13,275.0,200.66,215.0
275,Matthew Dellavedova,11.08,276.0,193.04,200.0
276,Dorian Finney-Smith,11.07,277.0,203.2,220.0
277,Juan Hernangomez,11.03,278.0,205.74,
278,Will Barton,11.03,,198.12,190.0
279,Cory Joseph,11.02,280.0,190.5,193.0
280,Rodions Kurucs,11.01,281.0,205.74,210.0
281,Landry Shamet,10.99,282.0,195.58,188.0
282,James Ennis III,10.98,283.0,200.66,210.0
283,Nik Stauskas,10.97,284.0,198.12,205.0
284,James Johnson,10.96,285.0,203.2,240.0
285,Sterling Brown,10.93,286.0,198.12,232.0
286,Mario Hezonja,10.88,287.0,203.2,225.0
287,Jerian Grant,10.86,288.0,193.04,205.0
288,Mike Muscala,10.85,289.0,210.82,240.0
289,Damyean Dotson,10.81,290.0,198.12,210.0
290,DeAndre' Bembry,10.79,291.0,198.12,210.0
291,Mikal Bridges,10.78,292.0,200.66,210.0
292,Devin Harris,10.76,293.0,190.5,185.0
293,Tony Snell,10.72,294.0,200.66,213.0
294,Langston Galloway,10.69,295.0,187.96,200.0
295,Josh Jackson,10.67,296.0,203.2,200.0
296,Antonio Blakeney,10.65,297.0,193.04,192.0
297,Reggie Bullock,10.48,298.0,200.66,205.0
298,Shelvin Mack,10.45,299.0,190.5,203.0
299,Torrey Craig,10.42,300.0,200.66,215.0
300,Wesley Matthews,10.37,301.0,195.58,220.0
301,D.J. Wilson,10.33,302.0,208.28,231.0
302,Devonte' Graham,10.32,303.0,187.96,185.0
303,Dante Cunningham,10.21,304.0,203.2,230.0
304,Hamidou Diallo,10.17,305.0,195.58,198.0
305,Kevin Huerter,10.15,306.0,200.66,190.0
306,Justin Holiday,9.99,307.0,198.12,181.0
307,De'Anthony Melton,9.94,308.0,193.04,200.0
308,Chasson Randle,9.91,309.0,187.96,185.0
309,Troy Daniels,9.88,310.0,193.04,205.0
310,OG Anunoby,9.85,311.0,203.2,232.0
311,Kenrich Williams,9.7,312.0,200.66,210.0
312,Dirk Nowitzki,9.7,,213.36,245.0
313,Stanley Johnson,9.68,314.0,200.66,245.0
314,Keita Bates-Diop,9.66,315.0,205.74,229.0
315,Dragan Bender,9.48,316.0,215.9,225.0
316,Frank Jackson,9.42,317.0,190.5,205.0
317,Rodney McGruder,9.41,318.0,193.04,200.0
318,Josh Okogie,9.38,319.0,193.04,212.0
319,Josh Hart,9.31,320.0,195.58,215.0
320,P.J. Tucker,9.24,321.0,198.12,245.0
321,Gary Clark,9.17,322.0,203.2,225.0
322,Iman Shumpert,9.11,323.0,195.58,215.0
323,C.J. Miles,9.02,324.0,198.12,
324,Royce O'Neale,9.0,325.0,198.12,226.0
325,Brandon Knight,8.96,326.0,190.5,195.0
326,Abdel Nader,8.83,327.0,198.12,225.0
327,Chandler Hutchison,8.83,,200.66,197.0
328,Glenn Robinson III,8.77,329.0,198.12,222.0
329,Kevin Knox II,8.73,330.0,205.74,215.0
330,Wes Iwundu,8.71,331.0,200.66,195.0
331,Anthony Tolliver,8.65,332.0,203.2,250.0
332,Mike Scott,8.64,333.0,203.2,237.0
333,Jerryd Bayless,8.58,334.0,190.5,200.0
334,Jonathon Simmons,8.56,335.0,198.12,195.0
335,Semi Ojeleye,8.53,336.0,200.66,241.0
336,Wilson Chandler,8.51,337.0,205.74,225.0
337,Garrett Temple,8.48,338.0,198.12,195.0
338,Darius Miller,8.39,339.0,203.2,225.0
339,Wayne Selden,8.33,340.0,195.58,230.0
340,Ian Clark,8.32,341.0,190.5,175.0
341,Patrick Patterson,8.14,342.0,205.74,230.0
342,Timothe Luwawu-Cabarrot,8.03,343.0,198.12,210.0
343,Isaiah Canaan,8.0,344.0,182.88,200.0
344,Jevon Carter,7.86,345.0,187.96,196.0
345,Jared Dudley,7.83,346.0,200.66,237.0
346,Allen Crabbe,7.74,347.0,198.12,212.0
347,Austin Rivers,7.73,348.0,193.04,200.0
348,Avery Bradley,7.66,349.0,187.96,180.0
349,Elie Okobo,7.65,350.0,190.5,190.0
350,Jose Calderon,7.09,351.0,190.5,200.0
351,Tyrone Wallace,7.07,352.0,195.58,198.0
352,Bruce Brown,6.97,353.0,195.58,202.0
353,Solomon Hill,6.85,354.0,200.66,225.0
354,Isaiah Briscoe,6.74,355.0,190.5,215.0
355,Terrance Ferguson,6.46,356.0,200.66,190.0
356,Lance Thomas,6.43,357.0,203.2,240.0
357,Alex Abrines,6.28,358.0,198.12,200.0
358,Treveon Graham,6.17,359.0,195.58,225.0
359,Frank Ntilikina,6.03,360.0,198.12,200.0
360,Wesley Johnson,5.5,361.0,200.66,215.0
