Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Robert Horry,6-10,235.0,Alabama,USA,1992,1,11,208.28
Bryant Stith,6-5,210.0,Virginia,USA,1992,1,13,195.58
Anthony Peeler,6-4,208.0,Missouri,USA,1992,1,15,193.04
Doug Christie,6-6,205.0,Pepperdine,USA,1992,1,17,198.12
Tracy Murray,6-7,228.0,California-Los Angeles,USA,1992,1,18,200.66
Alonzo Mourning,6-10,261.0,Georgetown,USA,1992,1,2,208.28
Hubert Davis,6-5,183.0,North Carolina,USA,1992,1,20,195.58
Jon Barry,6-5,210.0,Georgia Tech,USA,1992,1,21,195.58
Oliver Miller,6-9,315,Arkansas,USA,1992,1,22,205.74
Latrell Sprewell,6-5,195.0,Alabama,USA,1992,1,24,195.58
P.J. Brown,6-11,239.0,Louisiana Tech,USA,1992,2,29,210.82
Christian Laettner,6-11,245.0,Duke,USA,1992,1,3,210.82
Sean Rooks,6-10,260.0,Arizona,USA,1992,2,30,208.28
Brent Price,6-1,185.0,Oklahoma,USA,1992,2,32,185.42000000000002
Jim Jackson,6-6,220.0,Ohio State,USA,1992,1,4,198.12
Popeye Jones,6-8,250.0,Murray State,USA,1992,2,41,203.2
LaPhonso Ellis,6-8,240.0,Notre Dame,USA,1992,1,5,203.2
Tom Gugliotta,6-10,240.0,North Carolina State,USA,1992,1,6,208.28
Walt Williams,6-8,230.0,Maryland,USA,1992,1,7,203.2
Clar. Weatherspoon,6-7,270.0,Southern Mississippi,USA,1992,1,9,200.66
Chris Webber,6-10,245.0,Michigan,USA,1993,1,1,208.28
Lindsey Hunter,6-2,195.0,Jackson State,USA,1993,1,10,187.96
Allan Houston,6-6,200.0,Tennessee,USA,1993,1,11,198.12
George Lynch,6-8,228.0,North Carolina,USA,1993,1,12,203.2
Shawn Bradley,7-6,265.0,Brigham Young,USA,1993,1,2,228.6
Scott Burrell,6-7,218.0,Connecticut,USA,1993,1,20,200.66
Chris Mills,6-7,220.0,Arizona,USA,1993,1,22,200.66
Ervin Johnson,6-11,255.0,New Orleans,USA,1993,1,23,210.82
Sam Cassell,6-3,185.0,Florida State,USA,1993,1,24,190.5
Corie Blount,6-10,242.0,Cincinnati,USA,1993,1,25,208.28
Lucious Harris,6-5,205.0,Long Beach State,USA,1993,2,28,195.58
Anfernee Hardaway,6-7,215.0,Memphis,USA,1993,1,3,200.66
Nick Van Exel,6-1,195.0,Cincinnati,USA,1993,2,37,185.42000000000002
Jamal Mashburn,6-8,247.0,Kentucky,USA,1993,1,4,203.2
Bryon Russell,6-7,225.0,Long Beach State,USA,1993,2,45,200.66
Chris Whitney,6-0,175.0,Clemson,USA,1993,2,47,182.88
Calbert Cheaney,6-7,217.0,Indiana,USA,1993,1,6,200.66
Vin Baker,6-11,250.0,Hartford,USA,1993,1,8,210.82
Rodney Rogers,6-7,255.0,Wake Forest,USA,1993,1,9,200.66
Glenn Robinson,6-7,230.0,Purdue,USA,1994,1,1,200.66
Eddie Jones,6-6,200.0,Temple,USA,1994,1,10,198.12
