Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Jason Collins,7-0,255,Stanford,USA,2001,1,18,213.36
Zach Randolph,6-9,260,Michigan State,USA,2001,1,19,205.74
Tyson Chandler,7-1,240,None,USA,2001,1,2,215.9
Brendan Haywood,7-0,263,North Carolina,USA,2001,1,20,213.36
Joseph Forte,6-4,194.0,North Carolina,USA,2001,1,21,193.04
Jeryl Sasser,6-6,200.0,Southern Methodist,USA,2001,1,22,198.12
Brandon Armstrong,6-5,188.0,Pepperdine,USA,2001,1,23,195.58
Raul Lopez,6-0,160,None,Spain,2001,1,24,182.88
Gerald Wallace,6-7,220,Alabama,USA,2001,1,25,200.66
Samuel Dalembert,6-11,250,Seton Hall,Haiti,2001,1,26,210.82
Jamaal Tinsley,6-3,197,Iowa State,USA,2001,1,27,190.5
Tony Parker,6-2,185,None,France,2001,1,28,187.96
Trenton Hassell,6-5,200.0,Austin Peay,USA,2001,2,29,195.58
Pau Gasol,7-0,250,None,Spain,2001,1,3,213.36
Gilbert Arenas,6-4,215,Arizona,USA,2001,2,30,193.04
Omar Cook,6-1,190,St. John's (NY),USA,2001,2,31,185.42000000000002
Will Solomon,6-1,185.0,Clemson,USA,2001,2,32,185.42000000000002
Terence Morris,6-9,221.0,Maryland,USA,2001,2,33,205.74
Brian Scalabrine,6-9,235,Southern California,USA,2001,2,34,205.74
Jeff Trepagnier,6-4,200.0,Southern California,USA,2001,2,35,193.04
Damone Brown,6-8,202.0,Syracuse,USA,2001,2,36,203.2
Mehmet Okur,6-11,260,None,Turkey,2001,2,37,210.82
Earl Watson,6-1,199,California-Los Angeles,USA,2001,2,39,185.42000000000002
Eddy Curry,7-0,295,None,USA,2001,1,4,213.36
Jamison Brewer,6-2,178.0,Auburn,USA,2001,2,40,187.96
Bobby Simmons,6-6,235,DePaul,USA,2001,2,41,198.12
Sean Lampley,6-7,227.0,California,USA,2001,2,44,200.66
Loren Woods,7-1,246.0,Arizona,USA,2001,2,45,215.9
Antonis Fotsis,6-10,219.0,None,,2001,2,47,208.28
Ken Johnson,6-10,240.0,Ohio State,USA,2001,2,48,208.28
Ruben Boumtje-Boumtje,7-0,245.0,Georgetown,USA,2001,2,49,213.36
Jason Richardson,6-6,225,Michigan State,USA,2001,1,5,198.12
Alton Ford,6-9,275.0,Houston,USA,2001,2,50,205.74
Jarron Collins,6-11,252.0,Stanford,USA,2001,2,52,210.82
Kenny Satterfield,6-1,176.0,Cincinnati,USA,2001,2,53,185.42000000000002
Alvin Jones,6-11,265.0,Georgia Tech,USA,2001,2,56,210.82
Shane Battier,6-8,225,Duke,USA,2001,1,6,203.2
Eddie Griffin,6-10,220.0,Seton Hall,USA,2001,1,7,208.28
DeSagana Diop,7-0,280,None,Senegal,2001,1,8,213.36
Rodney White,6-9,238.0,North Carolina-Charlotte,USA,2001,1,9,205.74
Yao Ming,7-6,310,None,China,2002,1,1,228.6
Caron Butler,6-7,228,Connecticut,USA,2002,1,10,200.66
Jared Jeffries,6-11,240,Indiana,USA,2002,1,11,210.82
Melvin Ely,6-10,261,Fresno State,USA,2002,1,12,208.28
Marcus Haislip,6-10,230.0,Tennessee,USA,2002,1,13,208.28
Fred Jones,6-2,225,Oregon,USA,2002,1,14,187.96
Bostjan Nachbar,6-9,221,None,Slovenia,2002,1,15,205.74
Jiri Welsch,6-7,208.0,None,Czech Republi...,2002,1,16,200.66
Juan Dixon,6-3,165,Maryland,USA,2002,1,17,190.5
Curtis Borchardt,7-0,240,Stanford,USA,2002,1,18,213.36
Ryan Humphrey,6-8,235.0,Notre Dame,USA,2002,1,19,203.2
Jay Williams,6-2,195.0,Duke,USA,2002,1,2,187.96
Kareem Rush,6-6,215,Missouri,USA,2002,1,20,198.12
Qyntel Woods,6-8,221.0,Northeast Mississippi Community College,USA,2002,1,21,203.2
Casey Jacobsen,6-6,215,Stanford,USA,2002,1,22,198.12
Tayshaun Prince,6-9,215,Kentucky,USA,2002,1,23,205.74
Nenad Krstic,7-0,240,None,Serbia and Mo...,2002,1,24,213.36
Frank Williams,6-3,205.0,Illinois,USA,2002,1,25,190.5
John Salmons,6-6,207,Miami (FL),USA,2002,1,26,198.12
Chris Jefferies,6-8,215.0,Fresno State,USA,2002,1,27,203.2
Dan Dickau,6-0,180,Gonzaga,USA,2002,1,28,182.88
Mike Dunleavy,6-9,230,Duke,USA,2002,1,3,205.74
Roger Mason Jr.,6-5,205,Virginia,USA,2002,2,30,195.58
Robert Archibald,6-11,250.0,Illinois,Scotland,2002,2,31,210.82
Vincent Yarbrough,6-7,210.0,Tennessee,USA,2002,2,32,200.66
Dan Gadzuric,6-11,240,California-Los Angeles,Netherlands,2002,2,33,210.82
Carlos Boozer,6-9,266,Duke,USA,2002,2,34,205.74
David Andersen,6-11,245,None,USA,2002,2,36,210.82
Tito Maddox,6-4,190.0,Fresno State,USA,2002,2,37,193.04
Juan Carlos Navarro,6-3,170,None,,2002,2,39,190.5
Drew Gooden,6-10,250,Kansas,USA,2002,1,4,208.28
Mario Kasun,7-1,260,None,,2002,2,40,215.9
Flip Murray,6-3,197,Shaw,USA,2002,2,41,190.5
Lonny Baxter,6-8,260.0,Maryland,USA,2002,2,43,203.2
Matt Barnes,6-7,226,UCLA,USA,2002,2,45,200.66
Jamal Sampson,6-11,235.0,California,USA,2002,2,46,210.82
Chris Owens,6-7,245.0,Texas,USA,2002,2,47,200.66
Darius Songaila,6-9,248,Wake Forest,Lithuania,2002,2,49,205.74
Nikoloz Tskitishvili,7-0,225.0,None,Georgia,2002,1,5,213.36
Rasual Butler,6-7,215,La Salle,USA,2002,2,52,200.66
Tamar Slay,6-8,215.0,Marshall,USA,2002,2,53,203.2
Luis Scola,6-9,245,None,Argentina,2002,2,55,205.74
Randy Holcomb,6-9,220,San Diego State,USA,2002,2,56,205.74
Corsley Edwards,6-9,275,Central Connecticut State,,2002,2,57,205.74
Dajuan Wagner,6-3,200.0,Memphis,USA,2002,1,6,190.5
Nene,6-11,250,None,Brazil,2002,1,7,210.82
Chris Wilcox,6-10,235,Maryland,USA,2002,1,8,208.28
Amar'e Stoudemire,6-11,260,None,USA,2002,1,9,210.82
LeBron James,6-8,250,None,USA,2003,1,1,203.2
Jarvis Hayes,6-8,228,Georgia,USA,2003,1,10,203.2
Mickael Pietrus,6-6,215,None,France,2003,1,11,198.12
Nick Collison,6-10,255,Kansas,USA,2003,1,12,208.28
Marcus Banks,6-2,212,Nevada-Las Vegas,USA,2003,1,13,187.96
Luke Ridnour,6-2,175,Oregon,USA,2003,1,14,187.96
Reece Gaines,6-6,205,Louisville,USA,2003,1,15,198.12
Troy Bell,6-1,180,Boston College,USA,2003,1,16,185.42000000000002
Zarko Cabarkapa,6-11,230,None,Serbia and Mo...,2003,1,17,210.82
David West,6-9,240,Xavier,USA,2003,1,18,205.74
Sasha Pavlovic,6-7,235,None,Montenegro,2003,1,19,200.66
Darko Milicic,7-0,275,None,Serbia,2003,1,2,213.36
Dahntay Jones,6-6,225,Duke,USA,2003,1,20,198.12
Boris Diaw,6-8,235,None,France,2003,1,21,203.2
Zoran Planinic,6-7,200,None,Croatia,2003,1,22,200.66
Travis Outlaw,6-9,207,None,USA,2003,1,23,205.74
Brian Cook,6-9,250,Illinois,USA,2003,1,24,205.74
Carlos Delfino,6-6,230,None,Argentina,2003,1,25,198.12
Ndudi Ebi,6-9,200,None,USA,2003,1,26,205.74
Kendrick Perkins,6-10,270,None,USA,2003,1,27,208.28
Leandro Barbosa,6-3,194,None,Brazil,2003,1,28,190.5
Josh Howard,6-7,210,Wake Forest,USA,2003,1,29,200.66
Carmelo Anthony,6-8,230,Syracuse,USA,2003,1,3,203.2
Maciej Lampe,6-11,275,Madrid (ESP),Poland,2003,2,30,210.82
Jason Kapono,6-8,215,California-Los Angeles,USA,2003,2,31,203.2
Luke Walton,6-8,235,Arizona,USA,2003,2,32,203.2
Jerome Beasley,6-9,237,North Dakota,USA,2003,2,33,205.74
Travis Hansen,6-6,205,Brigham Young,USA,2003,2,37,198.12
Steve Blake,6-3,172,Maryland,USA,2003,2,38,190.5
Slavko Vranes,7-5,275,None,USA,2003,2,39,226.06
Chris Bosh,6-11,235,Georgia Tech,USA,2003,1,4,210.82
Derrick Zimmerman,6-3,195,Mississippi State,USA,2003,2,40,190.5
Willie Green,6-3,201,Detroit Mercy,USA,2003,2,41,190.5
Zaza Pachulia,6-11,275,None,Georgia,2003,2,42,210.82
Keith Bogans,6-5,215,Kentucky,USA,2003,2,43,195.58
Matt Bonner,6-10,235,Florida,USA,2003,2,45,208.28
Mo Williams,6-1,195,Alabama,USA,2003,2,47,185.42000000000002
James Lang,6-10,305,None,USA,2003,2,48,208.28
James Jones,6-8,215,Miami (FL),USA,2003,2,49,203.2
Dwyane Wade,6-4,220,Marquette,USA,2003,1,5,193.04
Kyle Korver,6-7,212,Creighton,USA,2003,2,51,200.66
Brandon Hunter,6-7,260,Ohio,USA,2003,2,56,200.66
Andreas Glyniadakis,7-1,280,None,USA,2003,2,58,215.9
Chris Kaman,7-0,265,Central Michigan,USA,2003,1,6,213.36
Kirk Hinrich,6-4,190,Kansas,USA,2003,1,7,193.04
T.J. Ford,6-0,165,Texas,USA,2003,1,8,182.88
Michael Sweetney,6-8,270,Georgetown,USA,2003,1,9,203.2
Dwight Howard,6-11,265,None,USA,2004,1,1,210.82
Luke Jackson,6-7,215,Oregon,USA,2004,1,10,200.66
Andris Biedrins,7-0,242,None,Latvia,2004,1,11,213.36
Robert Swift,7-1,245,None,USA,2004,1,12,215.9
Sebastian Telfair,6-0,170,None,,2004,1,13,182.88
Kris Humphries,6-9,235,Minnesota,USA,2004,1,14,205.74
Al Jefferson,6-10,289,None,USA,2004,1,15,208.28
Kirk Snyder,6-6,225,Nevada-Reno,USA,2004,1,16,198.12
Josh Smith,6-9,225,None,USA,2004,1,17,205.74
JR Smith,6-6,220,None,USA,2004,1,18,198.12
Dorell Wright,6-9,205,None,USA,2004,1,19,205.74
Emeka Okafor,6-10,255,Connecticut,USA,2004,1,2,208.28
Jameer Nelson,6-0,190,None,USA,2004,1,20,182.88
Pavel Podkolzin,7-5,260,None,Russia,2004,1,21,226.06
Viktor Khryapa,6-9,218,None,Russia,2004,1,22,205.74
Sergei Monia,6-8,220,None,Russia,2004,1,23,203.2
Delonte West,6-3,180,None,,2004,1,24,190.5
Tony Allen,6-4,213,Oklahoma State,USA,2004,1,25,193.04
Kevin Martin,6-7,185,Western Carolina,USA,2004,1,26,200.66
Sasha Vujacic,6-7,205,None,Slovenia,2004,1,27,200.66
Beno Udrih,6-3,203,None,Slovenia,2004,1,28,190.5
David Harrison,7-0,280,Colorado,USA,2004,1,29,213.36
Ben Gordon,6-3,200,Connecticut,USA,2004,1,3,190.5
Anderson Varejao,6-11,260,None,Brazil,2004,2,30,210.82
Jackson Vroman,6-10,220,Iowa State,USA,2004,2,31,208.28
Peter John Ramos,7-3,275,None,Puerto Rico,2004,2,32,220.98
Lionel Chalmers,6-0,180,Xavier,USA,2004,2,33,182.88
Donta Smith,6-7,215,S.E.Illinois,USA,2004,2,34,200.66
Andre Emmett,6-5,230,Texas Tech,,2004,2,35,195.58
Antonio Burks,6-0,195,Memphis,USA,2004,2,36,182.88
Royal Ivey,6-4,215,Brigham Young,USA,2004,2,37,193.04
Chris Duhon,6-1,190,Duke,USA,2004,2,38,185.42000000000002
Shaun Livingston,6-7,175,None,USA,2004,1,4,200.66
Justin Reed,6-8,240,Mississippi,USA,2004,2,40,203.2
Trevor Ariza,6-8,210,UCLA,USA,2004,2,43,203.2
Bernard Robinson,6-6,210,Michigan,USA,2004,2,45,198.12
Ha Ha,7-3,305,Yonsei (KOR),South Korea,2004,2,46,220.98
Pape Sow,6-10,250,Cal State-Fullerton,Senegal,2004,2,47,208.28
Devin Harris,6-3,192,Wisconsin,USA,2004,1,5,190.5
Vassilis Spanoulis,6-4,195,None,USA,2004,2,50,193.04
Matt Freije,6-10,249,Vanderbilt,USA,2004,2,53,208.28
Luis Flores,6-2,195,Manhattan,USA,2004,2,55,187.96
Josh Childress,6-8,210,Stanford,USA,2004,1,6,203.2
Luol Deng,6-9,220,Duke,United Kingdo...,2004,1,7,205.74
Rafael Araujo,6-11,280,Brigham Young,Brazil,2004,1,8,210.82
Andre Iguodala,6-6,207,Arizona,USA,2004,1,9,198.12
Andrew Bogut,7-0,260,Utah,Australia,2005,1,1,213.36
Andrew Bynum,7-0,285,None,USA,2005,1,10,213.36
Yaroslav Korolev,6-9,245,None,Russia,2005,1,12,205.74
Sean May,6-9,266,North Carolina,USA,2005,1,13,205.74
Rashad McCants,6-4,210,North Carolina,USA,2005,1,14,193.04
Antoine Wright,6-7,215,Texas A&M,USA,2005,1,15,200.66
Joey Graham,6-7,225,Oklahoma State,USA,2005,1,16,200.66
Danny Granger,6-8,228,New Mexico,USA,2005,1,17,203.2
Gerald Green,6-8,200,None,USA,2005,1,18,203.2
Hakim Warrick,6-9,219,Syracuse,USA,2005,1,19,205.74
Marvin Williams,6-9,245,North Carolina,USA,2005,1,2,205.74
Julius Hodge,6-7,210,North Carolina State,USA,2005,1,20,200.66
Nate Robinson,5-9,180,Washington,USA,2005,1,21,175.26
Jarrett Jack,6-3,197,Georgia Tech,USA,2005,1,22,190.5
Francisco Garcia,6-7,195,Louisville,Dominican Rep...,2005,1,23,200.66
Luther Head,6-3,185,Illinois,USA,2005,1,24,190.5
Johan Petro,7-0,247,None,France,2005,1,25,213.36
Jason Maxiell,6-7,260,Cincinnati,USA,2005,1,26,200.66
Linas Kleiza,6-8,234,Missouri,Lithuania,2005,1,27,203.2
Ian Mahinmi,6-11,230,None,France,2005,1,28,210.82
Wayne Simien,6-9,250,Kansas,USA,2005,1,29,205.74
Deron Williams,6-3,209,Illinois,USA,2005,1,3,190.5
David Lee,6-9,240,Florida,USA,2005,1,30,205.74
Salim Stoudamire,6-1,175,Arizona,,2005,2,31,185.42000000000002
Daniel Ewing,6-3,185,Duke,USA,2005,2,32,190.5
Brandon Bass,6-8,250,Louisiana State,USA,2005,2,33,203.2
CJ Miles,6-6,222,None,USA,2005,2,34,198.12
Ersan Ilyasova,6-10,235,None,Turkey,2005,2,36,208.28
Ronny Turiaf,6-10,245,Gonzaga,France,2005,2,37,208.28
Travis Diener,6-1,175,Marquette,USA,2005,2,38,185.42000000000002
Von Wafer,6-5,209,Florida State,USA,2005,2,39,195.58
Chris Paul,6-0,175,Wake Forest,USA,2005,1,4,182.88
Monta Ellis,6-3,185,None,USA,2005,2,40,190.5
Roko Ukic,6-5,190,None,USA,2005,2,41,195.58
Chris Taft,6-10,261,Pittsburgh,USA,2005,2,42,208.28
Mile Ilic,7-1,255,None,USA,2005,2,43,215.9
Martynas Andriuskevicius,7-2,240,None,Lithuania,2005,2,44,218.44
Lou Williams,6-1,175,None,USA,2005,2,45,185.42000000000002
Bracey Wright,6-3,210,Indiana,USA,2005,2,47,190.5
Mickael Gelabale,6-7,215,None,USA,2005,2,48,200.66
Andray Blatche,6-11,260,None,USA,2005,2,49,210.82
Raymond Felton,6-1,205,North Carolina,USA,2005,1,5,185.42000000000002
Ryan Gomes,6-7,245,Providence,USA,2005,2,50,200.66
Robert Whaley,6-10,260,Walsh,USA,2005,2,51,208.28
Orien Greene,6-4,208,Louisana-Lafayette,USA,2005,2,53,193.04
Dijon Thompson,6-7,195,California-Los Angeles,USA,2005,2,54,200.66
Lawrence Roberts,6-9,240,Mississippi,USA,2005,2,55,205.74
Amir Johnson,6-9,210,None,USA,2005,2,56,205.74
Marcin Gortat,6-11,240,None,Poland,2005,2,57,210.82
Uros Slokar,6-10,238,None,USA,2005,2,58,208.28
Martell Webster,6-7,230,None,USA,2005,1,6,200.66
Alex Acker,6-5,185,Pepperdine,USA,2005,2,60,195.58
Charlie Villanueva,6-11,232,Connecticut,USA,2005,1,7,210.82
Channing Frye,6-11,245,Arizona,USA,2005,1,8,210.82
Ike Diogu,6-9,250,Arizona State,USA,2005,1,9,205.74
Andrea Bargnani,7-0,256,None,Italy,2006,1,1,213.36
Mouhamed Sene,6-11,230,None,Senegal,2006,1,10,210.82
JJ Redick,6-4,190,Duke,USA,2006,1,11,193.04
Hilton Armstrong,6-11,235,Connecticut,USA,2006,1,12,210.82
Thabo Sefolosha,6-7,215,None,Switzerland,2006,1,13,200.66
Ronnie Brewer,6-7,227,Arkansas,USA,2006,1,14,200.66
Cedric Simmons,6-9,235,North Carolina State,USA,2006,1,15,205.74
Rodney Carney,6-7,204,Memphis,USA,2006,1,16,200.66
Shawne Williams,6-9,230,Memphis,USA,2006,1,17,205.74
Oleksiy Pecherov,7-0,234,None,Ukraine,2006,1,18,213.36
Quincy Douby,6-3,175,Rutgers,USA,2006,1,19,190.5
LaMarcus Aldridge,6-11,240,Texas,USA,2006,1,2,210.82
Renaldo Balkman,6-8,225,South Carolina,USA,2006,1,20,203.2
Rajon Rondo,6-1,186,Kentucky,USA,2006,1,21,185.42000000000002
Marcus Williams,6-3,205,Connecticut,USA,2006,1,22,190.5
Josh Boone,6-10,237,Connecticut,USA,2006,1,23,208.28
Kyle Lowry,6-0,205,Villanova,USA,2006,1,24,182.88
Shannon Brown,6-4,210,Michigan State,USA,2006,1,25,193.04
Jordan Farmar,6-2,180,California-Los Angeles,USA,2006,1,26,187.96
Sergio Rodriguez,6-3,168,None,Spain,2006,1,27,190.5
Maurice Ager,6-5,202,Michigan State,USA,2006,1,28,195.58
Mardy Collins,6-6,220,Temple,USA,2006,1,29,198.12
Adam Morrison,6-8,205,Gonzaga,USA,2006,1,3,203.2
Joel Freeland,6-10,225,None,Great Britain,2006,1,30,208.28
James White,6-7,215,Cincinnati,USA,2006,2,31,200.66
Steve Novak,6-10,240,Marquette,USA,2006,2,32,208.28
Solomon Jones,6-10,245,South Florida,USA,2006,2,33,208.28
Paul Davis,6-11,270,Michigan State,USA,2006,2,34,210.82
P.J. Tucker,6-6,245,Texas,USA,2006,2,35,198.12
Craig Smith,6-7,265,Boston College,USA,2006,2,36,200.66
Bobby Jones,6-7,215,Washington,USA,2006,2,37,200.66
Kosta Perovic,7-2,240,None,USA,2006,2,38,218.44
David Noel,6-6,230,North Carolina,USA,2006,2,39,198.12
Tyrus Thomas,6-10,225,Louisiana State,,2006,1,4,208.28
James Augustine,6-10,235,Illinois,USA,2006,2,41,208.28
Daniel Gibson,6-2,200,Texas,USA,2006,2,42,187.96
Marcus Vinicius,6-8,225,None,USA,2006,2,43,203.2
Alexander Johnson,6-9,230,Florida State,USA,2006,2,45,205.74
Dee Brown,6-0,185,Illinois,USA,2006,2,46,182.88
Paul Millsap,6-8,253,Louisiana Tech,USA,2006,2,47,203.2
Leon Powe,6-8,240,California,USA,2006,2,49,203.2
Shelden Williams,6-9,250,Duke,USA,2006,1,5,205.74
Ryan Hollins,7-0,240,California-Los Angeles,USA,2006,2,50,213.36
Cheikh Samb,7-1,245,None,USA,2006,2,51,215.9
Guillermo Diaz,6-2,185,Miami (FL),USA,2006,2,52,187.96
Hassan Adams,6-4,220,Arizona,USA,2006,2,54,193.04
Damir Markota,6-10,225,None,USA,2006,2,59,208.28
Brandon Roy,6-6,229,Washington,USA,2006,1,6,198.12
Will Blalock,6-0,205,Iowa State,USA,2006,2,60,182.88
Randy Foye,6-4,213,Villanova,USA,2006,1,7,193.04
Rudy Gay,6-8,230,Connecticut,USA,2006,1,8,203.2
Patrick O'Bryant,7-0,250,Bradley,USA,2006,1,9,213.36
Greg Oden,7-0,285,Ohio State,USA,2007,1,1,213.36
Spencer Hawes,7-1,245,Washington,USA,2007,1,10,215.9
Acie Law,6-3,195,Texas A&M,USA,2007,1,11,190.5
Thaddeus Young,6-8,220,Georgia Tech,USA,2007,1,12,203.2
Julian Wright,6-8,225,Kansas,USA,2007,1,13,203.2
Al Thornton,6-8,220,Florida State,USA,2007,1,14,203.2
Rodney Stuckey,6-5,205,Eastern Washington,USA,2007,1,15,195.58
Nick Young,6-7,210,USC,USA,2007,1,16,200.66
Sean Williams,6-10,235,Boston College,USA,2007,1,17,208.28
Marco Belinelli,6-5,195,None,Italy,2007,1,18,195.58
Javaris Crittenton,6-5,200,Georgia Tech,USA,2007,1,19,195.58
Kevin Durant,6-9,235,Texas,USA,2007,1,2,205.74
Jason Smith,7-0,240,Colorado State,USA,2007,1,20,213.36
Daequan Cook,6-5,210,Ohio State,USA,2007,1,21,195.58
Jared Dudley,6-7,225,Boston College,USA,2007,1,22,200.66
Wilson Chandler,6-8,225,DePaul,USA,2007,1,23,203.2
Rudy Fernandez,6-6,185,None,Spain,2007,1,24,198.12
Morris Almond,6-6,225,Rice,USA,2007,1,25,198.12
Aaron Brooks,6-0,161,Oregon,USA,2007,1,26,182.88
Arron Afflalo,6-5,215,UCLA,USA,2007,1,27,195.58
Tiago Splitter,6-11,240,None,Brazil,2007,1,28,210.82
Alando Tucker,6-6,205,Wisconsin,USA,2007,1,29,198.12
Al Horford,6-10,250,Florida,Dominican Rep...,2007,1,3,208.28
Carl Landry,6-9,248,Purdue,USA,2007,2,31,205.74
Gabe Pruitt,6-4,170,Southern California,USA,2007,2,32,193.04
Marcus Williams,6-7,207,Arizona,USA,2007,2,33,200.66
Nick Fazekas,6-11,235,Nevada-Reno,USA,2007,2,34,210.82
Glen Davis,6-9,289,Louisiana State,USA,2007,2,35,205.74
Jermareo Davidson,6-10,230,Alabama,USA,2007,2,36,208.28
Josh McRoberts,6-10,240,Duke,USA,2007,2,37,208.28
Kyrylo Fesenko,7-1,280,None,Ukraine,2007,2,38,215.9
Mike Conley,6-1,185,Ohio State,USA,2007,1,4,185.42000000000002
Sun Sun,6-9,205,None,USA,2007,2,40,205.74
Chris Richard,6-9,270,Florida,USA,2007,2,41,205.74
Derrick Byars,6-7,220,Vanderbilt,USA,2007,2,42,200.66
Stephane Lasme,6-8,215,Massachusetts,Gabon,2007,2,46,203.2
Dominic McGuire,6-9,235,Fresno State,USA,2007,2,47,205.74
Marc Gasol,7-1,265,None,Spain,2007,2,48,215.9
Aaron Gray,7-0,270,Pittsburgh,USA,2007,2,49,213.36
Jeff Green,6-9,235,Georgetown,USA,2007,1,5,205.74
JamesOn Curry,6-3,190,Oklahoma State,USA,2007,2,51,190.5
Taurean Green,6-0,177,Florida,USA,2007,2,52,182.88
Demetris Nichols,6-8,216,Syracuse,USA,2007,2,53,203.2
Ramon Sessions,6-3,190,Nevada-Reno,USA,2007,2,56,190.5
DJ Strawberry,6-5,201,Maryland,USA,2007,2,59,195.58
Yi Jianlian,7-0,250,None,,2007,1,6,213.36
Corey Brewer,6-9,188,Florida,USA,2007,1,7,205.74
Brandan Wright,6-10,210,North Carolina,USA,2007,1,8,208.28
Joakim Noah,6-11,232,Florida,USA,2007,1,9,210.82
Derrick Rose,6-3,190,Memphis,USA,2008,1,1,190.5
Brook Lopez,7-0,265,Stanford,USA,2008,1,10,213.36
Jerryd Bayless,6-3,208,Arizona,USA,2008,1,11,190.5
Jason Thompson,6-11,250,Rider University,USA,2008,1,12,210.82
Brandon Rush,6-6,225,Kansas,USA,2008,1,13,198.12
Anthony Randolph,6-11,225,Louisiana State,USA,2008,1,14,210.82
Robin Lopez,7-0,255,Stanford,USA,2008,1,15,213.36
Marreese Speights,6-10,255,Florida,USA,2008,1,16,208.28
Roy Hibbert,7-2,260,Georgetown,USA,2008,1,17,218.44
JaVale McGee,7-0,252,Nevada-Reno,USA,2008,1,18,213.36
JJ Hickson,6-9,242,North Carolina State,USA,2008,1,19,205.74
Michael Beasley,6-10,235,Kansas State,USA,2008,1,2,208.28
Alexis Ajinca,7-0,220,None,France,2008,1,20,213.36
Ryan Anderson,6-10,240,California,USA,2008,1,21,208.28
Courtney Lee,6-5,200,Western Kentucky,USA,2008,1,22,195.58
Kosta Koufos,7-0,265,Ohio State,USA,2008,1,23,213.36
Serge Ibaka,6-10,235,None,Democratic Re...,2008,1,24,208.28
Nicolas Batum,6-8,200,None,France,2008,1,25,203.2
George Hill,6-2,180,None,USA,2008,1,26,187.96
Darrell Arthur,6-9,235,Kansas,USA,2008,1,27,205.74
Donte Greene,6-11,226,Syracuse,USA,2008,1,28,210.82
DJ White,6-9,235,Indiana,USA,2008,1,29,205.74
O.J. Mayo,6-4,210,Southern California,USA,2008,1,3,193.04
J.R. Giddens,6-5,215,New Mexico,USA,2008,1,30,195.58
Nikola Pekovic,6-11,290,None,Montenegro,2008,2,31,210.82
Walter Sharpe,6-9,245,None,USA,2008,2,32,205.74
Joey Dorsey,6-8,268,Memphis,USA,2008,2,33,203.2
Mario Chalmers,6-2,190,Kansas,USA,2008,2,34,187.96
DeAndre Jordan,6-11,265,Texas A&M,USA,2008,2,35,210.82
Omer Asik,7-0,255,None,Turkey,2008,2,36,213.36
Luc Mbah a Moute,6-8,230,California-Los Angeles,Cameroon,2008,2,37,203.2
Kyle Weaver,6-6,201,Washington State,USA,2008,2,38,198.12
Sonny Weems,6-6,203,Arkansas,USA,2008,2,39,198.12
Russell Westbrook,6-3,187,UCLA,USA,2008,1,4,190.5
Chris Douglas-Roberts,6-7,210,Memphis,USA,2008,2,40,200.66
Nathan Jawai,6-10,280,None,Australia,2008,2,41,208.28
Sean Singletary,6-0,185,Virginia,USA,2008,2,42,182.88
Patrick Ewing,6-8,235,Georgetown,USA,2008,2,43,203.2
Goran Dragic,6-3,190,None,Slovenia,2008,2,45,190.5
Henry Walker,6-6,235,Kansas State,USA,2008,2,47,198.12
Malik Hairston,6-6,220,Oregon,USA,2008,2,48,198.12
Kevin Love,6-10,260,UCLA,USA,2008,1,5,208.28
Darnell Jackson,6-9,253,Kansas,,2008,2,52,205.74
Mike Taylor,6-2,165,None,USA,2008,2,55,187.96
Sasha Kaun,6-11,260,Kansas,Russia,2008,2,56,210.82
Joe Crawford,6-5,210,Kentucky,,2008,2,58,195.58
Danilo Gallinari,6-10,225,None,Italy,2008,1,6,208.28
Semih Erden,7-0,240,None,Turkey,2008,2,60,213.36
Eric Gordon,6-3,215,Indiana,USA,2008,1,7,190.5
Joe Alexander,6-8,230,West Virginia,,2008,1,8,203.2
D.J. Augustin,6-0,180,Texas,USA,2008,1,9,182.88
Blake Griffin,6-10,251,Oklahoma,USA,2009,1,1,208.28
Brandon Jennings,6-1,169,None,USA,2009,1,10,185.42000000000002
Terrence Williams,6-6,220,Louisville,USA,2009,1,11,198.12
Gerald Henderson,6-5,215,Duke,USA,2009,1,12,195.58
Tyler Hansbrough,6-9,250,North Carolina,USA,2009,1,13,205.74
Earl Clark,6-10,225,Louisville,USA,2009,1,14,208.28
Austin Daye,6-11,200,Gonzaga,,2009,1,15,210.82
James Johnson,6-9,248,Wake Forest,USA,2009,1,16,205.74
Jrue Holiday,6-4,180,UCLA,USA,2009,1,17,193.04
Ty Lawson,5-11,195,North Carolina,USA,2009,1,18,180.34
Jeff Teague,6-2,181,Wake Forest,USA,2009,1,19,187.96
Hasheem Thabeet,7-3,263,Connecticut,Tanzania,2009,1,2,220.98
Eric Maynor,6-3,175,Va Commonwealth,USA,2009,1,20,190.5
Darren Collison,6-0,160,UCLA,USA,2009,1,21,182.88
Victor Claver,6-9,224,None,Spain,2009,1,22,205.74
Omri Casspi,6-9,225,None,Israel,2009,1,23,205.74
Byron Mullens,7-0,275,Ohio State,USA,2009,1,24,213.36
Rodrigue Beaubois,6-2,185,None,France,2009,1,25,187.96
Taj Gibson,6-9,225,USC,USA,2009,1,26,205.74
DeMarre Carroll,6-8,212,Missouri,USA,2009,1,27,203.2
Wayne Ellington,6-4,200,North Carolina,USA,2009,1,28,193.04
Toney Douglas,6-2,185,Florida State,USA,2009,1,29,187.96
James Harden,6-5,220,Arizona State,USA,2009,1,3,195.58
Christian Eyenga,6-7,210,None,Congo,2009,1,30,200.66
