RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Tracy McGrady, ORL",75,39.4,.564,15.0,7.1,32.6,5.0,14.6,9.5,31.01,452.0,15.1
2,"Shaquille O'Neal, LAL",67,37.8,.602,10.7,10.1,27.8,11.0,21.6,16.5,29.43,356.2,11.9
3,"Kobe Bryant, LAL",82,41.5,.550,16.0,9.6,31.1,3.0,15.3,9.3,27.07,420.6,14.0
4,"Kevin Garnett, MIN",82,40.5,.553,20.4,9.4,25.0,9.0,28.5,18.8,26.46,370.8,12.4
,"Tim Duncan, SA",81,39.3,.564,14.1,11.1,25.7,10.0,27.3,19.0,26.46,355.0,11.8
6,"Dirk Nowitzki, DAL",80,39.0,.581,11.3,7.2,24.8,3.0,25.1,14.0,25.94,336.0,11.2
7,"Steve Nash, DAL",82,33.1,.576,29.1,9.4,24.0,3.0,7.0,4.8,23.51,253.1,8.4
8,"Paul Pierce, BOS",79,39.2,.532,13.6,11.2,30.1,4.0,17.7,10.6,23.49,300.0,10.0
9,"Sam Cassell, MIL",78,34.6,.565,22.7,8.9,25.2,2.0,12.4,7.4,23.08,243.4,8.1
10,"Jason Kidd, NJ",80,37.4,.526,29.3,12.2,26.0,4.0,15.1,9.6,22.62,259.3,8.6
11,"Vince Carter, TOR",43,34.2,.532,13.7,7.1,26.3,4.0,10.4,7.3,22.48,131.5,4.4
12,"Ray Allen, MIL/SEA",76,37.9,.565,16.3,9.7,25.4,3.8,11.8,7.8,22.19,251.1,8.4
13,"Allen Iverson, PHI",82,42.5,.500,15.1,9.5,30.9,2.0,9.5,5.8,22.14,302.8,10.1
14,"Gary Payton, MIL/SEA",80,40.1,.504,26.8,7.6,24.2,2.9,9.4,6.1,21.94,262.0,8.7
15,"Karl Malone, UTAH",81,36.2,.534,17.6,9.8,26.4,5.0,20.5,13.0,21.71,223.8,7.5
16,"Chris Webber, SAC",67,39.1,.485,16.8,9.9,28.0,7.0,21.1,14.4,21.48,212.9,7.1
17,"Michael Redd, MIL",82,28.2,.590,9.4,6.0,20.3,5.0,13.9,9.4,21.33,187.1,6.2
18,"Jermaine O'Neal, IND",77,37.2,.539,8.5,9.9,23.8,8.0,22.8,15.6,21.16,206.5,6.9
19,"Steve Francis, HOU",81,41.0,.541,21.1,12.6,25.2,6.0,11.5,8.7,21.12,250.6,8.4
20,"Chauncey Billups, DET",74,31.4,.582,19.8,9.2,22.8,2.0,12.2,7.0,21.10,175.3,5.8
21,"Elton Brand, LAC",62,39.6,.543,11.4,11.7,20.6,13.0,19.3,16.2,21.09,175.6,5.9
22,"Shawn Marion, PHX",81,41.6,.538,10.2,8.0,21.4,7.0,19.4,13.0,21.05,240.4,8.0
23,"Stephon Marbury, PHX",81,40.0,.520,24.7,9.9,27.2,2.0,7.4,4.6,21.03,242.6,8.1
24,"Grant Hill, ORL",29,29.1,.568,21.2,14.6,22.9,5.0,23.2,14.0,21.02,66.2,2.2
25,"John Stockton, UTAH",82,27.7,.577,39.9,11.5,20.8,3.0,7.7,5.4,20.68,167.7,5.6
26,"Pau Gasol, MEM",82,36.0,.570,12.7,11.8,22.0,7.0,19.9,13.7,20.66,201.6,6.7
27,"Yao Ming, HOU",82,29.0,.570,10.7,13.5,20.4,10.0,22.6,16.3,20.20,170.7,5.7
28,"Michael Jordan, WSH",82,37.0,.491,14.4,8.0,26.5,3.0,16.7,9.7,20.14,211.2,7.0
29,"Shareef Abdur-Rahim, ATL",81,38.1,.566,12.9,11.3,22.2,7.0,17.8,12.5,20.09,197.8,6.6
30,"Peja Stojakovic, SAC",72,34.0,.600,10.1,7.3,20.2,3.0,14.0,8.7,20.04,174.5,5.8
31,"Andrei Kirilenko, UTAH",80,27.7,.598,12.8,12.6,18.2,8.0,14.4,11.5,20.03,157.4,5.2
32,"Jerry Stackhouse, WSH",70,39.2,.528,16.3,10.0,26.0,3.0,8.5,5.6,19.81,190.9,6.4
33,"Richard Hamilton, DET",82,32.2,.531,10.8,10.4,28.5,4.0,10.5,7.1,19.76,182.5,6.1
