Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
AJ Hammons,DAL,24,7-0,260,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.3,4.5%,17.2%,16.5%,47.2%,3.8%
Aaron Brooks,IND,32,6-0,161,Oregon,USA,2007,1,26,65,5.0,1.1,1.9,-1.6,1.9%,5.6%,18.6%,50.7%,21.6%
Aaron Gordon,ORL,21,6-9,220,Arizona,USA,2014,1,4,80,12.7,5.1,1.9,-3.1,4.8%,12.4%,19.7%,53.0%,9.7%
Aaron Harrison,CHA,22,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,5,0.2,0.6,0.6,-20.6,0.0%,17.6%,13.2%,10.2%,37.5%
Adreian Payne,MIN,26,6-10,237,Michigan State,USA,2014,1,15,18,3.5,1.8,0.4,3.2,6.0%,17.9%,21.9%,50.5%,8.9%
Al Horford,BOS,31,6-10,245,Florida,Dominican Rep...,2007,1,3,68,14.0,6.8,5.0,4.8,4.4%,16.2%,19.6%,55.3%,23.9%
Al Jefferson,IND,32,6-10,289,None,USA,2004,1,15,66,8.1,4.2,0.9,-5.4,7.7%,22.5%,25.4%,52.6%,11.4%
Al-Farouq Aminu,POR,26,6-9,220,Wake Forest,USA,2010,1,8,61,8.7,7.4,1.6,0.9,4.4%,20.4%,15.5%,50.6%,8.2%
Alan Anderson,LAC,34,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,30,2.9,0.8,0.4,-10.3,1.0%,6.7%,13.7%,49.4%,5.2%
Alan Williams,PHX,24,6-8,260,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,47,7.4,6.2,0.5,1.2,12.1%,25.5%,20.3%,54.7%,4.9%
Alec Burks,UTA,25,6-6,214,Colorado,USA,2011,1,12,42,6.7,2.9,0.7,-0.5,2.6%,15.8%,21.2%,50.1%,7.4%
Alex Abrines,OKC,23,6-6,190,None,Spain,2013,2,32,68,6.0,1.3,0.6,-0.6,1.6%,6.6%,15.3%,56.0%,5.5%
Alex Len,PHX,24,7-1,260,Maryland,Ukraine,2013,1,5,77,8.0,6.6,0.6,-11.1,9.1%,22.2%,17.4%,55.3%,4.3%
Alex Poythress,PHI,23,6-7,238,Kentucky,USA,Undrafted,Undrafted,Undrafted,6,10.7,4.8,0.8,-10.0,6.5%,12.2%,16.2%,54.8%,5.2%
Alexis Ajinca,NOP,29,7-2,248,None,France,2008,1,20,39,5.3,4.5,0.3,-5.1,7.6%,20.0%,16.6%,52.9%,3.1%
Allen Crabbe,POR,25,6-6,215,California,USA,2013,2,31,79,10.7,2.9,1.2,-2.9,0.8%,9.1%,14.6%,60.2%,6.3%
Alonzo Gee,DEN,30,6-6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.2,0.5,0.9,4.3%,11.0%,10.3%,30.6%,9.2%
Amir Johnson,BOS,30,6-9,240,None,USA,2005,2,56,80,6.5,4.6,1.8,7.7,7.4%,15.0%,13.6%,62.8%,12.5%
Anderson Varejao,GSW,34,6-11,273,None,Brazil,2004,2,30,14,1.3,1.9,0.7,-13.1,12.0%,16.5%,12.0%,47.8%,15.2%
Andre Drummond,DET,23,6-11,279,Connecticut,USA,2012,1,9,81,13.6,13.8,1.1,-5.6,13.2%,34.1%,22.2%,51.8%,6.0%
Andre Iguodala,GSW,33,6-6,215,Arizona,USA,2004,1,9,76,7.6,4.0,3.4,12.4,2.7%,11.4%,11.1%,62.4%,16.9%
Andre Roberson,OKC,25,6-7,210,Colorado,USA,2013,1,26,79,6.6,5.1,1.0,3.4,3.9%,12.4%,9.9%,51.0%,4.5%
Andrew Bogut,CLE,32,7-0,260,Utah,Australia,2005,1,1,27,2.9,8.1,1.8,-2.2,9.6%,28.6%,10.4%,46.0%,13.3%
Andrew Harrison,MEM,22,6-6,213,Kentucky,USA,2015,2,44,72,5.9,1.9,2.8,0.0,1.5%,7.9%,16.2%,47.7%,20.9%
Andrew Nicholson,BKN,27,6-9,250,St. Bonaventure,Canada,2012,1,19,38,2.6,1.6,0.3,-17.7,4.5%,13.3%,17.2%,42.7%,4.7%
Andrew Wiggins,MIN,22,6-8,199,Kansas,Canada,2014,1,1,82,23.6,4.0,2.3,-0.2,3.4%,7.7%,28.6%,53.4%,10.4%
Anthony Bennett,BKN,24,6-8,235,UNLV,Canada,2013,1,1,23,5.0,3.4,0.5,-11.5,9.2%,18.7%,18.8%,53.3%,7.5%
Anthony Brown,ORL,24,6-7,211,Stanford,USA,2015,2,34,11,3.9,3.0,0.7,-0.3,4.5%,14.7%,15.2%,43.0%,8.0%
Anthony Davis,NOP,24,6-11,253,Kentucky,USA,2012,1,1,75,28.0,11.8,2.1,1.1,6.2%,24.1%,32.1%,58.0%,11.0%
Anthony Morrow,CHI,31,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,49,5.5,0.6,0.5,0.4,1.5%,2.6%,15.8%,50.5%,5.2%
Anthony Tolliver,SAC,32,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,65,7.1,3.6,1.2,-4.2,3.6%,13.2%,13.3%,59.5%,7.7%
Archie Goodwin,BKN,22,6-5,205,Kentucky,USA,2013,1,29,15,7.3,1.9,1.6,-8.3,3.6%,9.3%,20.3%,65.1%,18.6%
Arinze Onuaku,ORL,29,6-9,255,Syracuse,USA,Undrafted,Undrafted,Undrafted,8,0.5,0.8,0.3,-24.9,6.5%,16.7%,9.7%,50.0%,14.3%
Aron Baynes,DET,30,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,75,4.9,4.4,0.4,5.9,9.3%,18.3%,13.9%,57.0%,3.9%
Arron Afflalo,SAC,31,6-5,210,UCLA,USA,2007,1,27,61,8.4,2.0,1.3,-8.5,0.6%,7.7%,14.3%,55.9%,7.7%
Austin Rivers,LAC,24,6-4,200,Duke,USA,2012,1,10,74,12.0,2.2,2.8,-0.1,1.0%,6.8%,19.8%,54.5%,15.5%
Avery Bradley,BOS,26,6-2,180,Texas,USA,2010,1,19,55,16.3,6.1,2.2,1.7,3.5%,14.3%,21.5%,54.8%,10.7%
Axel Toupane,NOP,24,6-7,210,None,France,Undrafted,Undrafted,Undrafted,4,2.8,0.3,0.0,-12.5,0.0%,2.0%,8.4%,61.1%,0.0%
Ben Bentil,DAL,22,6-9,235,Providence,Ghana,2016,2,51,3,0.0,0.7,0.0,-55.6,0.0%,20.0%,16.0%,0.0%,0.0%
Ben McLemore,SAC,24,6-5,195,Kansas,USA,2013,1,7,61,8.1,2.1,0.8,-5.9,1.7%,9.6%,19.7%,53.8%,6.8%
Beno Udrih,DET,34,6-3,205,None,Slovenia,2004,1,28,39,5.8,1.5,3.4,6.6,1.1%,8.9%,19.5%,53.5%,36.4%
Bismack Biyombo,ORL,24,6-9,255,None,Democratic Re...,2011,1,7,81,6.0,7.0,0.9,-8.6,8.3%,22.7%,13.4%,54.6%,6.5%
Blake Griffin,LAC,28,6-10,251,Oklahoma,USA,2009,1,1,61,21.6,8.1,4.9,10.5,5.7%,18.1%,27.6%,56.9%,23.5%
Boban Marjanovic,DET,28,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,35,5.5,3.7,0.3,4.8,14.5%,28.5%,23.9%,60.6%,5.4%
Bobby Brown,HOU,32,6-2,175,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,25,2.5,0.2,0.6,-15.7,0.0%,4.4%,21.9%,50.9%,17.5%
Bobby Portis,CHI,22,6-11,246,Arkansas,USA,2015,1,22,64,6.8,4.6,0.5,-3.4,7.0%,22.0%,19.0%,54.5%,5.9%
Bojan Bogdanovic,WAS,28,6-8,225,None,Croatia,2011,2,31,81,13.7,3.4,1.4,-6.8,1.8%,11.1%,21.9%,58.5%,8.6%
Boris Diaw,UTA,35,6-8,250,None,France,2003,1,21,73,4.6,2.2,2.3,0.0,3.9%,9.0%,15.4%,49.4%,20.7%
Bradley Beal,WAS,24,6-5,207,Florida,USA,2012,1,3,77,23.1,3.1,3.5,5.6,2.0%,7.0%,25.8%,60.4%,15.4%
Brandan Wright,MEM,29,6-10,210,North Carolina,USA,2007,1,8,28,6.8,2.8,0.5,4.0,6.9%,10.1%,16.1%,62.8%,6.0%
Brandon Bass,LAC,32,6-8,250,Louisiana State,USA,2005,2,33,52,5.6,2.5,0.4,-12.5,7.6%,15.0%,19.2%,65.0%,6.3%
Brandon Ingram,LAL,19,6-9,190,Duke,USA,2016,1,2,79,9.4,4.0,2.1,-7.2,2.5%,11.4%,16.6%,47.4%,10.5%
Brandon Jennings,WAS,27,6-1,170,None,USA,2009,1,10,81,7.1,2.4,4.9,-2.0,1.5%,8.9%,17.2%,47.9%,30.8%
Brandon Knight,PHX,25,6-3,195,Kentucky,USA,2011,1,8,54,11.0,2.2,2.4,-13.6,2.0%,8.2%,24.8%,50.2%,19.4%
Brandon Rush,MIN,31,6-6,225,Kansas,USA,2008,1,13,47,4.2,2.1,1.0,-2.1,1.7%,8.1%,9.7%,50.5%,5.8%
Brian Roberts,CHA,31,6-1,173,University of Dayton,USA,Undrafted,Undrafted,Undrafted,41,3.5,1.0,1.3,-7.7,1.2%,8.4%,18.1%,51.0%,21.4%
Briante Weber,CHA,24,6-2,165,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,20,3.1,1.3,1.1,-12.9,3.7%,10.7%,16.7%,46.2%,16.8%
Brice Johnson,LAC,23,6-10,230,North Carolina,USA,2016,1,25,3,1.3,1.0,0.3,35.0,14.3%,22.2%,34.8%,28.6%,16.7%
Brook Lopez,BKN,29,7-0,268,Stanford,USA,2008,1,10,75,20.5,5.4,2.3,-3.8,5.3%,11.6%,28.6%,57.8%,14.3%
Bruno Caboclo,TOR,21,6-9,205,None,Brazil,2014,1,20,9,1.6,1.1,0.4,-3.1,10.0%,12.5%,17.5%,43.8%,15.4%
Bryn Forbes,SAS,23,6-3,190,Michigan State,USA,Undrafted,Undrafted,Undrafted,36,2.6,0.6,0.6,-9.7,0.6%,7.2%,17.2%,46.2%,14.6%
Buddy Hield,SAC,24,6-4,214,Oklahoma,Bahamas,2016,1,6,82,10.6,3.3,1.5,-5.8,1.8%,12.0%,20.9%,54.1%,10.1%
C.J. Watson,ORL,33,6-2,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,62,4.5,1.4,1.8,-8.5,1.5%,7.5%,13.9%,50.7%,17.4%
C.J. Wilcox,ORL,26,6-5,195,Washington,USA,2014,1,28,22,1.0,0.5,0.5,-8.6,3.0%,8.1%,14.3%,32.9%,17.4%
CJ McCollum,POR,25,6-3,190,Lehigh,USA,2013,1,10,80,23.0,3.6,3.6,0.7,2.1%,8.0%,26.8%,58.5%,17.5%
CJ Miles,IND,30,6-6,225,None,USA,2005,2,34,76,10.7,3.0,0.6,1.7,1.7%,11.4%,17.9%,59.2%,4.1%
