,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,Kevin Garnett,29.17,171.0,6-11,253.0,None,USA,1995.0,1,5,210.82,,,,,,
1,2,Kobe Bryant,27.48,180.0,6-6,205.0,None,USA,1996.0,1,13,198.12,,,,,,
2,3,Dirk Nowitzki,26.63,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
3,4,Carlos Boozer,26.05,446.0,6-9,266.0,Duke,USA,2002.0,2,34,205.74,150.0,-%,-,-,9' 0.5'',7' 2.25''
4,5,Tim Duncan,25.73,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
5,6,LeBron James,25.66,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
6,7,Elton Brand,24.99,282.0,6-9,254.0,Duke,USA,1999.0,1,1,205.74,,,,,,
7,8,Chris Bosh,24.88,498.0,6-11,235.0,Georgia Tech,USA,2003.0,1,4,210.82,233.0,8.00%,-,-,9' 1'',7' 3.5''
8,9,Steve Nash,24.33,182.0,6-3,178.0,Santa Clara,Canada,1996.0,1,15,190.5,,,,,,
9,10,Gilbert Arenas,24.18,394.0,6-4,215.0,Arizona,USA,2001.0,2,30,193.04,66.0,5.30%,-,-,8' 3.5'',6' 9.5''
10,11,Shawn Marion,24.04,320.0,6-7,228.0,Nevada-Las Vegas,USA,1999.0,1,9,200.66,,,,,,
11,12,Amare Stoudemire,24.03,,,,,,,,,,,,,,,
12,13,Carmelo Anthony,23.21,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
13,14,Dwight Howard,22.95,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
14,15,Jason Kidd,22.89,131.0,6-4,210.0,California,USA,1994.0,1,2,193.04,,,,,,
15,16,Marcus Camby,22.87,187.0,6-11,235.0,Massachusetts,USA,1996.0,1,2,210.82,,,,,,
16,17,Baron Davis,22.23,301.0,6-3,212.0,California-Los Angeles,USA,1999.0,1,3,190.5,,,,,,
17,18,Vince Carter,22.22,271.0,6-6,220.0,North Carolina,USA,1998.0,1,5,198.12,,,,,,
18,19,Tracy McGrady,21.28,238.0,6-8,225.0,None,USA,1997.0,1,9,203.2,,,,,,
19,20,Allen Iverson,20.59,177.0,6-0,165.0,Georgetown,USA,1996.0,1,1,182.88,,,,,,
20,21,Luol Deng,20.47,558.0,6-9,220.0,Duke,United Kingdo...,2004.0,1,7,205.74,319.0,6.70%,-,-,9' 0.5'',7' 0.5''
21,22,Antawn Jamison,20.27,267.0,6-9,235.0,North Carolina,USA,1998.0,1,4,205.74,,,,,,
22,23,Andre Iguodala,20.12,560.0,6-6,207.0,Arizona,USA,2004.0,1,9,198.12,334.0,6.70%,-,-,8' 9.5'',6' 11''
23,24,Gerald Wallace,20.11,388.0,6-7,220.0,Alabama,USA,2001.0,1,25,200.66,,,,,,
24,25,Josh Smith,19.99,523.0,6-9,225.0,None,USA,2004.0,1,17,205.74,369.0,6.70%,-,-,8' 10.5'',7' 0''
25,26,Tyson Chandler,19.58,382.0,7-1,240.0,None,USA,2001.0,1,2,215.9,79.0,6.70%,-,-,9' 2'',7' 3''
26,27,Ron Artest,19.44,,,,,,,,,,,,,,,
27,28,Chauncey Billups,19.31,224.0,6-3,210.0,Colorado,USA,1997.0,1,3,190.5,,,,,,
28,29,Josh Howard,19.24,489.0,6-7,210.0,Wake Forest,USA,2003.0,1,29,200.66,257.0,6.00%,-,-,8' 9.5'',7' 2''
29,30,Deron Williams,18.96,582.0,6-3,209.0,Illinois,USA,2005.0,1,3,190.5,461.0,-%,-,-,8' 2'',6' 6.25''
30,31,Mike Miller,18.21,361.0,6-8,210.0,Florida,USA,2000.0,1,5,203.2,,,,,,
31,32,Kevin Martin,18.2,533.0,6-7,185.0,Western Carolina,USA,2004.0,1,26,200.66,,,,,,
32,33,Tony Parker,17.85,391.0,6-2,185.0,None,France,2001.0,1,28,187.96,,,,,,
33,34,Andre Miller,17.55,319.0,6-2,200.0,Utah,USA,1999.0,1,8,187.96,,,,,,
34,35,Mehmet Okur,17.36,401.0,6-11,260.0,None,Turkey,2001.0,2,37,210.82,,,,,,
35,36,Manu Ginobili,17.29,316.0,6-6,205.0,None,Argentina,1999.0,2,57,198.12,,,,,,
36,37,Kirk Hinrich,17.2,512.0,6-4,190.0,Kansas,USA,2003.0,1,7,193.04,254.0,5.30%,-,-,8' 2.5'',6' 6''
37,38,Richard Hamilton,17.0,318.0,6-7,193.0,Connecticut,USA,1999.0,1,7,200.66,,,,,,
38,39,Samuel Dalembert,16.61,389.0,6-11,250.0,Seton Hall,Haiti,2001.0,1,26,210.82,,,,,,
39,40,Ben Wallace,16.61,1839.0,6-9,240.0,Virginia Union,USA,0.0,Undrafted,Undrafted,205.74,,,,,,
40,41,Andris Biedrins,16.56,517.0,7-0,242.0,None,Latvia,2004.0,1,11,213.36,307.0,9.30%,-,-,,
41,42,Corey Maggette,16.52,286.0,6-6,225.0,Duke,USA,1999.0,1,13,198.12,,,,,,
42,43,Ricky Davis,16.52,250.0,6-7,197.0,Iowa,USA,1998.0,1,21,200.66,,,,,,
43,44,Ben Gordon,16.47,537.0,6-3,200.0,Connecticut,USA,2004.0,1,3,190.5,329.0,5.30%,-,-,8' 3'',6' 8.5''
44,45,Jason Terry,16.44,283.0,6-2,180.0,Arizona,USA,1999.0,1,10,187.96,,,,,,
45,46,Rasheed Wallace,16.16,168.0,6-11,225.0,North Carolina,USA,1995.0,1,4,210.82,,,,,,
46,47,Eddy Curry,16.16,403.0,7-0,295.0,None,USA,2001.0,1,4,213.36,86.0,16.50%,-,-,9' 3'',7' 6.5''
47,48,Chris Wilcox,15.87,466.0,6-10,235.0,Maryland,USA,2002.0,1,8,208.28,219.0,-%,-,-,8' 11.5'',7' 1''
48,49,Leandro Barbosa,15.83,488.0,6-3,194.0,None,Brazil,2003.0,1,28,190.5,,,,,,
49,50,Zydrunas Ilgauskas,15.82,188.0,7-3,260.0,None,Lithuania,1996.0,1,20,220.98,,,,,,
50,51,T.J. Ford,15.75,513.0,6-0,165.0,Texas,USA,2003.0,1,8,182.88,247.0,6.70%,-,-,7' 9.5'',5' 11.5''
51,52,Ruben Patterson,15.74,260.0,6-5,224.0,Cincinnati,USA,1998.0,2,31,195.58,,,,,,
52,53,Tayshaun Prince,15.23,435.0,6-9,215.0,Kentucky,USA,2002.0,1,23,205.74,,,,,,
53,54,Stephon Marbury,14.62,197.0,6-2,180.0,Georgia Tech,USA,1996.0,1,4,187.96,,,,,,
54,55,Mike Bibby,14.6,249.0,6-2,195.0,Arizona,USA,1998.0,1,2,187.96,,,,,,
55,56,Drew Gooden,14.56,450.0,6-10,250.0,Kansas,USA,2002.0,1,4,208.28,169.0,-%,-,-,8' 10.5'',7' 0.5''
56,57,Raymond Felton,14.36,602.0,6-1,205.0,North Carolina,USA,2005.0,1,5,185.42,403.0,-%,-,-,8' 2'',6' 4.25''
57,58,Al Harrington,14.32,254.0,6-9,250.0,None,USA,1998.0,1,25,205.74,,,,,,
