Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Andrew Bogut,MIL,22,7-0,245,Utah,Australia,2005,1,1,66,12.3,8.8,3.0,-2.6,7.8%,20.0%,17.2%,56.6%,13.8%
Andrew Bynum,LAL,19,7-0,275,None,USA,2005,1,10,82,7.8,5.9,1.1,-2.8,8.3%,19.1%,16.3%,59.3%,8.5%
Andris Biedrins,GSW,21,6-11,245,None,Latvia,2004,1,11,82,9.5,9.3,1.1,2.9,10.6%,21.5%,13.9%,59.8%,5.3%
Antawn Jamison,WAS,31,6-9,235,North Carolina,USA,1998,1,4,70,19.8,8.0,1.9,1.2,5.0%,17.0%,22.4%,54.5%,8.4%
Anthony Carter,DEN,32,6-2,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,2,3.0,1.5,5.5,7.7,0.0%,5.9%,15.6%,37.5%,42.3%
Anthony Johnson,ATL,32,6-3,195,College of Charleston,USA,1997,2,39,67,5.3,1.5,3.0,-4.8,1.8%,6.5%,15.6%,48.0%,24.9%
Anthony Parker,TOR,32,6-6,215,Bradley,USA,1997,1,21,73,12.4,3.9,2.1,6.7,2.7%,9.6%,15.5%,59.6%,9.6%
Anthony Roberson,GSW,24,6-2,188,Florida,USA,Undrafted,Undrafted,Undrafted,20,5.6,1.1,0.5,-11.3,0.8%,8.3%,21.9%,52.7%,7.1%
Antoine Walker,MIA,30,6-9,245,Kentucky,USA,1996,1,6,78,8.5,4.3,1.7,-2.2,5.4%,14.1%,21.9%,46.2%,12.2%
Antoine Wright,NJN,23,6-7,215,Texas A&M,USA,2005,1,15,63,4.5,2.8,0.9,-6.3,3.6%,12.3%,13.1%,50.0%,8.1%
Antonio Daniels,WAS,32,6-4,205,Bowling Green,USA,1997,1,4,80,7.1,1.9,3.6,-0.4,1.0%,8.0%,14.1%,57.2%,26.1%
Antonio McDyess,DET,32,6-9,245,Alabama,USA,1995,1,2,82,8.1,6.0,0.9,8.9,9.9%,20.0%,18.0%,55.2%,7.2%
Austin Croshere,DAL,32,6-10,235,Providence,USA,1997,1,12,61,3.7,3.0,0.7,1.2,4.6%,20.8%,16.9%,46.3%,10.4%
Baron Davis,GSW,28,6-3,215,California-Los Angeles,USA,1999,1,3,63,20.1,4.4,8.1,5.3,2.3%,10.1%,26.3%,53.0%,35.6%
Ben Gordon,CHI,24,6-3,200,Connecticut,USA,2004,1,3,82,21.4,3.1,3.6,6.6,1.3%,8.2%,28.6%,57.2%,19.4%
Ben Wallace,CHI,32,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,77,6.4,10.7,2.4,3.3,11.3%,19.6%,10.7%,45.6%,10.1%
Beno Udrih,SAS,24,6-3,200,None,Slovenia,2004,1,28,73,4.7,1.1,1.7,-0.2,1.2%,7.8%,20.5%,45.9%,22.0%
Bernard Robinson,NJN,26,6-6,210,Michigan,USA,2004,2,45,31,2.0,1.5,0.6,-9.2,3.6%,13.4%,14.3%,41.3%,11.9%
Bo Outlaw,ORL,36,6-8,220,Houston,USA,Undrafted,Undrafted,Undrafted,41,2.0,2.6,0.4,-1.3,11.4%,14.4%,8.1%,66.7%,5.5%
Bobby Jackson,NOK,34,6-1,185,Minnesota,USA,1997,1,23,56,10.6,3.2,2.5,1.3,3.1%,10.3%,22.4%,50.0%,17.9%
Bobby Jones,PHI,23,6-7,215,Washington,USA,2006,2,37,44,2.5,1.3,0.4,7.4,6.7%,11.0%,17.2%,49.5%,7.5%
Bonzi Wells,HOU,30,6-5,210,Ball State,USA,1998,1,11,28,7.8,4.3,1.1,0.2,4.7%,16.2%,23.5%,44.6%,10.0%
Boris Diaw,PHX,25,6-8,230,None,France,2003,1,21,73,9.7,4.3,4.8,5.3,4.5%,9.9%,15.3%,57.0%,21.9%
Bostjan Nachbar,NJN,26,6-9,221,None,Slovenia,2002,1,15,76,9.2,3.3,0.8,-1.1,1.9%,14.9%,18.7%,61.4%,7.2%
Bracey Wright,MIN,22,6-3,201,Indiana,USA,2005,2,47,19,3.5,1.1,0.8,14.1,3.7%,8.4%,17.0%,49.3%,11.4%
Brad Miller,SAC,31,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,63,9.0,6.4,3.6,1.7,4.5%,18.7%,16.6%,50.8%,19.6%
Brandon Bass,NOK,22,6-8,240,Louisiana State,USA,2005,2,33,21,2.0,2.0,0.1,-6.3,7.6%,22.1%,16.7%,41.1%,3.0%
Brandon Roy,POR,22,6-6,229,Washington,USA,2006,1,6,57,16.8,4.4,4.0,-4.9,3.0%,10.7%,22.5%,54.8%,20.2%
Brendan Haywood,WAS,27,7-0,263,North Carolina,USA,2001,1,20,77,6.6,6.2,0.6,1.9,10.9%,16.7%,13.4%,57.1%,4.0%
Brent Barry,SAS,35,6-7,210,Oregon State,USA,1995,1,15,75,8.5,2.1,1.8,6.0,1.2%,9.1%,15.0%,66.6%,13.2%
Brevin Knight,CHA,31,5-10,170,Stanford,USA,1997,1,16,45,9.1,2.6,6.6,-3.1,1.1%,8.5%,17.9%,48.7%,37.8%
Brian Cardinal,MEM,30,6-8,245,Purdue,USA,2000,2,44,28,4.5,2.1,1.1,-5.3,4.2%,16.4%,17.1%,65.5%,16.9%
Brian Cook,LAL,26,6-9,258,Illinois,USA,2003,1,24,65,6.9,3.3,1.0,3.0,6.4%,15.6%,20.8%,52.5%,10.0%
Brian Scalabrine,BOS,29,6-9,235,Southern California,USA,2001,2,34,54,4.0,1.9,1.1,-3.6,2.5%,8.4%,10.8%,53.7%,9.2%
Brian Skinner,MIL,31,6-9,265,Baylor,USA,1998,1,22,67,4.4,5.7,0.9,-3.5,7.4%,19.5%,10.8%,51.1%,5.4%
Bruce Bowen,SAS,36,6-7,200,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,82,6.2,2.7,1.4,13.5,1.1%,8.2%,10.8%,51.1%,6.8%
CJ Miles,UTA,20,6-6,215,None,USA,2005,2,34,37,2.7,0.9,0.7,-8.1,2.8%,6.8%,17.7%,40.0%,9.7%
Calvin Booth,WAS,31,6-11,250,Penn State,USA,1999,2,35,44,1.6,1.8,0.4,7.4,7.1%,15.1%,9.1%,49.0%,6.7%
Carlos Arroyo,ORL,27,6-2,202,Florida International,Puerto Rico,Undrafted,Undrafted,Undrafted,72,7.7,1.9,2.8,1.4,2.7%,8.4%,22.2%,50.1%,28.6%
Carlos Boozer,UTA,25,6-9,266,Duke,USA,2002,2,34,74,20.9,11.7,3.0,2.9,9.9%,25.8%,26.2%,58.8%,15.8%
Carlos Delfino,DET,24,6-6,230,None,Argentina,2003,1,25,82,5.2,3.2,1.1,2.9,5.0%,14.9%,15.8%,51.5%,10.8%
Carmelo Anthony,DEN,23,6-8,230,Syracuse,USA,2003,1,3,65,28.9,6.0,3.8,1.7,6.0%,9.9%,32.8%,55.2%,18.3%
Caron Butler,WAS,27,6-7,228,Connecticut,USA,2002,1,10,63,19.1,7.4,3.7,1.2,5.9%,13.6%,22.7%,53.7%,15.4%
Cedric Bozeman,ATL,24,6-6,207,UCLA,USA,Undrafted,Undrafted,Undrafted,23,1.1,1.0,0.4,-4.6,1.4%,9.6%,10.7%,31.2%,7.5%
Cedric Simmons,NOK,21,6-9,235,North Carolina State,USA,2006,1,15,43,2.9,2.5,0.3,-8.8,8.2%,11.9%,14.2%,43.0%,3.7%
Channing Frye,NYK,24,6-11,248,Arizona,USA,2005,1,8,72,9.5,5.5,0.9,-4.3,5.1%,17.0%,19.9%,46.4%,6.3%
Charlie Bell,MIL,28,6-3,200,Michigan State,,Undrafted,Undrafted,Undrafted,82,13.5,2.9,3.0,-4.5,2.0%,6.8%,18.1%,53.0%,13.7%
Charlie Villanueva,MIL,22,6-11,240,Connecticut,USA,2005,1,7,39,11.8,5.8,0.9,-0.1,6.6%,17.6%,21.5%,54.7%,5.8%
Chauncey Billups,DET,30,6-3,202,Colorado,USA,1997,1,3,70,17.0,3.4,7.2,7.5,1.0%,8.9%,21.2%,59.1%,32.1%
Chris Bosh,TOR,23,6-10,230,Georgia Tech,USA,2003,1,4,69,22.6,10.7,2.5,3.8,7.5%,21.7%,26.6%,57.7%,11.5%
Chris Duhon,CHI,24,6-1,185,Duke,USA,2004,2,38,78,7.2,2.2,4.0,4.9,1.2%,7.7%,14.5%,52.9%,25.2%
Chris Kaman,LAC,25,7-0,265,Central Michigan,USA,2003,1,6,75,10.1,7.8,1.1,-3.7,8.3%,21.1%,19.4%,50.2%,6.1%
Chris McCray,MIL,23,6-5,192,Maryland,USA,Undrafted,Undrafted,Undrafted,5,0.0,0.0,0.0,-11.0,0.0%,0.0%,16.1%,0.0%,0.0%
Chris Paul,NOK,22,6-0,175,Wake Forest,USA,2005,1,4,64,17.3,4.4,8.9,-1.1,2.2%,10.4%,22.3%,53.7%,39.7%
Chris Quinn,MIA,23,6-2,185,Notre Dame,USA,Undrafted,Undrafted,Undrafted,42,3.4,0.7,1.5,1.4,1.5%,6.2%,19.4%,47.9%,28.9%
Chris Webber,DET,34,6-10,245,Michigan,USA,1993,1,1,61,11.2,7.2,3.1,2.4,7.5%,19.6%,21.3%,48.2%,17.0%
Chris Wilcox,SEA,24,6-10,235,Maryland,USA,2002,1,8,82,13.5,7.7,1.0,-0.8,7.3%,18.9%,19.1%,56.8%,5.0%
Chuck Hayes,HOU,24,6-6,238,Kentucky,USA,Undrafted,Undrafted,Undrafted,78,5.6,6.7,0.6,10.3,12.2%,18.8%,11.6%,58.7%,4.3%
Chucky Atkins,MEM,32,5-11,185,South Florida,USA,Undrafted,Undrafted,Undrafted,75,13.2,1.9,4.6,-3.0,0.9%,6.1%,21.0%,58.0%,27.6%
Clifford Robinson,NJN,40,6-10,245,Connecticut,USA,1989,2,36,50,4.1,2.4,1.0,-11.5,3.3%,9.8%,12.9%,43.4%,9.2%
Corey Maggette,LAC,27,6-6,225,Duke,USA,1999,1,13,75,16.9,5.9,2.8,1.7,4.3%,16.0%,25.4%,58.3%,16.0%
Corliss Williamson,SAC,33,6-7,245,Arkansas,USA,1995,1,13,68,9.1,3.3,0.6,2.9,5.1%,11.7%,22.2%,55.9%,5.4%
Craig Smith,MIN,23,6-7,272,Boston College,USA,2006,2,36,82,7.4,5.1,0.6,-4.8,10.3%,18.4%,18.2%,55.8%,5.6%
Cuttino Mobley,LAC,31,6-4,215,Rhode Island,USA,1998,2,41,78,13.8,3.4,2.5,-0.5,2.0%,7.9%,18.1%,54.6%,11.7%
DJ Mbenga,DAL,26,7-0,255,None,,Undrafted,Undrafted,Undrafted,21,0.8,0.5,0.3,-11.2,4.5%,11.1%,14.4%,43.5%,11.3%
Dahntay Jones,MEM,26,6-6,210,Duke,USA,2003,1,20,78,7.5,2.0,0.9,-3.0,3.1%,7.0%,16.9%,54.2%,6.6%
Dajuan Wagner,GSW,24,6-3,200,Memphis,USA,2002,1,6,1,4.0,0.0,1.0,21.4,0.0%,0.0%,21.4%,106.4%,20.0%
Dale Davis,DET,38,6-11,252,Clemson,USA,1991,1,13,46,1.8,3.0,0.3,6.9,12.3%,16.4%,9.9%,48.6%,4.1%
Damien Wilkins,SEA,27,6-6,225,Georgia,USA,Undrafted,Undrafted,Undrafted,82,8.8,2.8,1.9,-5.9,4.5%,7.6%,17.3%,53.5%,12.1%
Damir Markota,MIL,21,6-10,225,None,USA,2006,2,59,30,1.7,1.0,0.2,-10.8,6.5%,11.7%,19.0%,44.9%,5.9%
Damon Jones,CLE,30,6-3,190,Houston,USA,Undrafted,Undrafted,Undrafted,60,6.6,1.1,1.6,2.7,0.7%,5.1%,14.8%,52.5%,12.8%
Damon Stoudamire,MEM,33,5-10,174,Arizona,USA,1995,1,7,62,7.5,2.2,4.8,-8.1,2.2%,8.0%,16.8%,49.3%,31.3%
Dan Dickau,POR,28,6-0,180,Gonzaga,USA,2002,1,28,50,3.3,0.9,1.4,5.9,1.7%,9.1%,20.0%,47.6%,25.9%
Dan Gadzuric,MIL,29,6-11,240,California-Los Angeles,Netherlands,2002,2,33,54,4.8,4.6,0.5,-4.8,11.2%,19.2%,16.8%,48.2%,5.3%
Daniel Ewing,LAC,24,6-3,185,Duke,USA,2005,2,32,61,2.9,1.2,1.5,4.3,1.4%,9.1%,15.2%,49.5%,21.5%
Daniel Gibson,CLE,21,6-2,190,Texas,USA,2006,2,42,60,4.6,1.5,1.2,4.7,2.8%,6.9%,13.0%,55.6%,11.0%
Danny Fortson,SEA,31,6-8,260,Cincinnati,USA,1997,1,10,14,2.9,3.1,0.1,0.5,9.3%,21.3%,14.5%,56.0%,1.0%
Danny Granger,IND,24,6-9,228,New Mexico,USA,2005,1,17,82,13.9,4.6,1.4,-2.3,4.1%,10.2%,17.8%,57.3%,7.0%
Darius Songaila,WAS,29,6-9,248,Wake Forest,Lithuania,2002,2,49,37,7.6,3.6,1.0,0.3,6.4%,13.6%,18.4%,56.7%,9.2%
Darko Milicic,ORL,22,7-0,275,None,Serbia,2003,1,2,80,8.0,5.5,1.1,0.3,8.5%,16.1%,18.7%,49.2%,8.1%
Darrell Armstrong,IND,39,6-1,180,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,81,5.6,1.7,2.4,-2.4,2.7%,8.5%,16.7%,54.7%,25.0%
Darrick Martin,TOR,36,5-11,170,UCLA,,Undrafted,Undrafted,Undrafted,31,3.0,0.4,1.4,-4.3,0.8%,4.7%,21.7%,45.5%,34.7%
David Harrison,IND,24,7-0,280,Colorado,USA,2004,1,29,24,3.0,1.8,0.3,-9.1,5.1%,18.0%,20.9%,52.5%,6.3%
David Lee,NYK,24,6-9,249,Florida,USA,2005,1,30,58,10.7,10.4,1.8,2.8,11.9%,23.8%,14.2%,65.2%,9.5%
David Noel,MIL,23,6-6,230,North Carolina,USA,2006,2,39,68,2.7,1.8,1.0,-9.3,5.2%,10.9%,13.1%,47.0%,12.2%
David Wesley,CLE,36,6-1,203,Baylor,USA,Undrafted,Undrafted,Undrafted,35,2.1,1.0,1.1,-1.7,0.9%,9.0%,13.3%,41.8%,17.2%
David West,NOK,26,6-9,240,Xavier,USA,2003,1,18,52,18.3,8.2,2.2,0.4,6.7%,16.9%,23.2%,53.2%,10.3%
DeSagana Diop,DAL,25,7-0,280,None,Senegal,2001,1,8,81,2.3,5.4,0.4,4.4,11.8%,19.3%,7.8%,50.3%,3.0%
DeShawn Stevenson,WAS,26,6-5,218,None,USA,2000,1,23,82,11.2,2.6,2.7,-1.7,2.2%,7.0%,17.3%,54.2%,13.9%
Dee Brown,UTA,22,6-0,181,Illinois,USA,2006,2,46,49,1.9,0.8,1.7,1.6,1.8%,7.8%,13.5%,41.1%,26.9%
Delonte West,BOS,23,6-4,180,None,,2004,1,24,69,12.2,3.0,4.4,-5.6,1.5%,8.5%,19.0%,52.6%,23.7%
DerMarr Johnson,DEN,27,6-9,210,Cincinnati,USA,2000,1,6,39,3.5,1.5,0.4,-5.8,2.1%,10.6%,18.3%,41.4%,6.8%
Derek Anderson,CHA,32,6-5,195,Kentucky,USA,1997,1,13,50,8.0,2.3,2.7,1.3,2.6%,7.6%,14.8%,58.6%,17.4%
Derek Fisher,UTA,32,6-1,211,Arkansas-Little Rock,USA,1996,1,24,82,10.1,1.8,3.3,4.1,1.4%,5.7%,17.7%,51.0%,18.3%
Deron Williams,UTA,23,6-3,205,Illinois,USA,2005,1,3,80,16.2,3.3,9.3,2.9,1.5%,8.2%,22.1%,53.5%,40.4%
Desmon Farmer,SEA,25,6-5,220,Southern California,,Undrafted,Undrafted,Undrafted,8,1.6,0.1,1.1,22.5,0.0%,2.8%,20.8%,42.1%,34.6%
Desmond Mason,NOK,29,6-5,222,Oklahoma State,USA,2000,1,17,75,13.7,4.6,1.5,-2.7,4.8%,9.0%,21.5%,49.3%,7.6%
Devean George,DAL,29,6-8,235,Augsburg,USA,1999,1,23,60,6.4,3.6,0.6,3.0,4.7%,13.2%,15.6%,48.7%,4.3%
Devin Brown,NOK,28,6-5,220,Texas-San Antonio,USA,Undrafted,Undrafted,Undrafted,58,11.6,4.3,2.6,-0.5,3.3%,12.3%,19.2%,53.8%,14.3%
Devin Harris,DAL,24,6-3,185,Wisconsin,USA,2004,1,5,80,10.2,2.5,3.7,14.8,2.4%,7.4%,18.7%,57.4%,22.0%
Dijon Thompson,ATL,24,6-8,200,California-Los Angeles,USA,2005,2,54,6,2.8,1.3,0.3,-7.1,7.1%,12.5%,17.3%,48.2%,7.1%
Dikembe Mutombo,HOU,41,7-2,260,Georgetown,Congo,1991,1,4,75,3.1,6.5,0.2,3.8,12.7%,25.0%,8.2%,60.1%,1.6%
Dirk Nowitzki,DAL,29,7-0,245,None,Germany,1998,1,9,78,24.6,8.9,3.4,11.6,4.8%,21.7%,28.3%,60.5%,16.9%
Donell Taylor,WAS,24,6-5,193,None,USA,Undrafted,Undrafted,Undrafted,47,2.7,1.1,1.0,-11.1,3.4%,10.9%,20.9%,42.2%,23.6%
Donyell Marshall,CLE,34,6-9,230,Connecticut,USA,1994,1,4,81,7.0,4.0,0.6,3.7,6.1%,17.7%,18.8%,53.6%,5.8%
Dorell Wright,MIA,21,6-8,205,None,USA,2004,1,19,66,6.0,4.1,1.4,-6.5,3.3%,18.3%,16.7%,48.9%,12.6%
Doug Christie,LAC,37,6-6,205,Pepperdine,USA,1992,1,17,7,1.9,1.6,1.1,-18.4,3.6%,10.3%,13.4%,35.5%,18.2%
Drew Gooden,CLE,25,6-10,250,Kansas,USA,2002,1,4,80,11.1,8.5,1.1,0.0,11.9%,20.2%,19.9%,50.8%,6.7%
Dwayne Jones,CLE,24,6-11,251,None,USA,Undrafted,Undrafted,Undrafted,4,0.8,1.5,0.0,8.4,5.6%,26.3%,13.6%,41.2%,0.0%
Dwight Howard,ORL,21,6-11,265,None,USA,2004,1,1,82,17.6,12.3,1.9,1.4,10.5%,25.4%,22.5%,61.9%,9.2%
Dwyane Wade,MIA,25,6-4,212,Marquette,USA,2003,1,5,51,27.4,4.7,7.5,2.0,2.9%,9.6%,33.3%,58.3%,37.8%
Earl Barron,MIA,25,7-0,245,Memphis,,Undrafted,Undrafted,Undrafted,28,2.3,1.5,0.2,-6.1,9.6%,12.5%,22.7%,35.7%,4.5%
Earl Boykins,MIL,31,5-5,133,Eastern Michigan,USA,Undrafted,Undrafted,Undrafted,66,14.6,2.1,4.4,-6.0,2.3%,4.4%,20.9%,54.8%,24.1%
Earl Watson,SEA,28,6-1,195,California-Los Angeles,USA,2001,2,39,77,9.4,2.4,5.7,-2.4,1.6%,7.4%,19.1%,48.3%,31.8%
Eddie Griffin,MIN,25,6-9,222,Seton Hall,USA,2001,1,7,13,1.4,1.9,0.3,-40.8,6.8%,20.7%,16.1%,30.8%,8.3%
Eddie House,NJN,29,6-1,175,Arizona State,USA,2000,2,37,56,8.4,1.6,1.2,-5.2,1.4%,8.8%,21.3%,53.6%,12.7%
Eddie Jones,MIA,35,6-6,200,Temple,USA,1994,1,10,64,7.7,3.0,1.7,-1.5,2.1%,10.5%,14.6%,54.2%,11.1%
Eddy Curry,NYK,24,6-11,285,None,USA,2001,1,4,81,19.5,7.0,0.8,-4.4,7.6%,14.1%,25.6%,60.3%,4.5%
Eduardo Najera,DEN,30,6-8,235,Oklahoma,Mexico,2000,2,38,75,6.6,4.1,0.9,1.4,7.9%,10.8%,11.7%,60.9%,5.6%
Elton Brand,LAC,28,6-8,254,Duke,USA,1999,1,1,80,20.5,9.3,2.9,0.4,9.3%,16.2%,23.6%,58.1%,14.2%
Emeka Okafor,CHA,24,6-10,252,Connecticut,USA,2004,1,2,67,14.4,11.3,1.2,-2.0,11.1%,22.2%,19.1%,55.4%,6.0%
Eric Piatkowski,PHX,36,6-7,215,Nebraska,USA,1994,1,15,11,2.5,0.8,0.4,-4.3,2.8%,9.3%,20.0%,52.2%,8.5%
Eric Snow,CLE,34,6-3,205,Michigan State,USA,1995,2,43,82,4.2,2.3,4.0,-0.6,1.8%,8.2%,11.2%,45.8%,25.9%
Eric Williams,CHA,34,6-8,220,Providence,USA,1995,1,14,21,2.6,0.8,0.3,0.0,2.8%,11.5%,22.6%,50.8%,10.3%
Erick Dampier,DAL,31,6-11,265,Mississippi State,USA,1996,1,10,76,7.1,7.4,0.6,12.8,12.7%,19.4%,12.8%,64.2%,3.4%
Ersan Ilyasova,MIL,20,6-9,235,None,Turkey,2005,2,36,66,6.1,2.9,0.7,-10.0,5.8%,14.2%,20.4%,50.0%,8.6%
Esteban Batista,ATL,23,6-10,268,None,Uruguay,Undrafted,Undrafted,Undrafted,13,1.5,2.3,0.3,-16.0,8.3%,29.1%,12.3%,52.4%,10.5%
Etan Thomas,WAS,29,6-10,260,Syracuse,USA,2000,1,12,65,6.1,5.8,0.4,-1.3,11.1%,20.9%,14.5%,58.5%,3.6%
Fabricio Oberto,SAS,32,6-10,245,None,Argentina,Undrafted,Undrafted,Undrafted,79,4.4,4.7,0.9,7.7,10.6%,18.4%,12.5%,57.5%,7.5%
Flip Murray,DET,27,6-3,197,Shaw,USA,2002,2,41,69,6.7,1.6,2.7,1.6,1.8%,6.1%,18.3%,47.4%,20.7%
Francisco Elson,SAS,31,7-0,235,California,Netherlands,1999,2,41,70,5.0,4.8,0.8,6.4,6.8%,20.0%,14.2%,55.2%,6.3%
Francisco Garcia,SAC,25,6-7,195,Louisville,Dominican Rep...,2005,1,23,79,6.0,2.6,1.1,-0.4,3.8%,10.7%,15.4%,55.1%,10.1%
Fred Jones,POR,28,6-2,220,Oregon,USA,2002,1,14,63,6.5,1.8,1.7,-8.5,1.8%,7.4%,16.4%,50.1%,13.4%
Gary Payton,MIA,38,6-4,190,Oregon State,USA,1990,1,2,68,5.3,1.9,3.0,-6.7,1.3%,7.8%,14.4%,45.8%,21.7%
Gerald Green,BOS,21,6-8,200,None,USA,2005,1,18,81,10.4,2.6,1.0,-6.3,3.8%,8.8%,23.0%,52.1%,8.9%
Gerald Wallace,CHA,24,6-7,215,Alabama,USA,2001,1,25,72,18.1,7.2,2.6,-4.6,5.4%,15.6%,22.1%,56.8%,12.3%
Gilbert Arenas,WAS,25,6-4,215,Arizona,USA,2001,2,30,74,28.4,4.6,6.0,2.9,2.0%,9.8%,30.2%,56.5%,25.7%
Gordan Giricek,UTA,30,6-6,222,None,Croatia,1999,2,40,61,7.8,2.1,1.0,6.3,2.2%,9.7%,18.1%,56.6%,9.0%
Grant Hill,ORL,34,6-8,225,Duke,USA,1994,1,3,65,14.4,3.6,2.1,-1.4,2.9%,9.7%,21.3%,58.2%,12.5%
Greg Buckner,DAL,30,6-4,210,Clemson,USA,1998,2,53,76,4.0,2.1,0.9,1.3,2.7%,9.4%,11.6%,48.6%,8.2%
Hakim Warrick,MEM,24,6-9,219,Syracuse,USA,2005,1,19,82,12.7,5.1,0.9,-8.7,6.4%,14.5%,21.8%,59.2%,6.4%
Hassan Adams,NJN,23,6-4,220,Arizona,USA,2006,2,54,61,2.9,1.3,0.2,-0.4,7.7%,8.2%,15.7%,57.7%,4.3%
Hedo Turkoglu,ORL,28,6-10,220,None,Turkey,2000,1,16,73,13.3,4.0,3.2,3.1,2.8%,11.0%,21.3%,52.8%,17.1%
Hilton Armstrong,NOK,22,6-11,235,Connecticut,USA,2006,1,12,56,3.1,2.7,0.2,-0.1,9.4%,14.4%,13.6%,57.0%,2.7%
