Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron McKie,LAL,34,6-5,209,Temple,USA,1994,1,17,10,2.2,1.8,1.3,-6.6,0.8%,13.7%,8.5%,64.7%,16.5%
Aaron Williams,LAC,35,6-9,235,Xavier,USA,Undrafted,Undrafted,Undrafted,38,2.0,2.2,0.2,-1.4,7.8%,16.3%,10.0%,60.6%,3.0%
Adam Morrison,CHA,22,6-8,205,Gonzaga,USA,2006,1,3,78,11.8,2.9,2.1,-6.1,2.3%,8.1%,21.6%,45.0%,12.1%
Adonal Foyle,GSW,32,6-10,270,Colgate,St. Vincent &...,1997,1,8,48,2.2,2.6,0.4,-3.4,10.4%,15.0%,10.5%,55.7%,5.4%
Adrian Griffin,CHI,32,6-5,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,54,2.5,2.0,1.1,6.6,7.5%,12.2%,13.2%,49.9%,15.4%
Al Harrington,GSW,27,6-9,245,None,USA,1998,1,25,78,16.5,6.4,1.9,-0.6,5.8%,13.8%,22.8%,54.0%,9.7%
Al Jefferson,BOS,22,6-10,256,None,USA,2004,1,15,69,16.0,11.0,1.3,-3.3,11.0%,23.9%,22.6%,54.7%,7.1%
Alan Anderson,CHA,24,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,17,5.8,1.9,1.2,-3.9,4.5%,8.9%,19.4%,53.8%,14.4%
Alan Henderson,PHI,34,6-9,240,Indiana,USA,1995,1,16,38,3.1,2.8,0.3,-0.7,11.5%,15.2%,10.3%,67.9%,3.6%
Alexander Johnson,MEM,24,6-9,240,Florida State,USA,2006,2,45,59,4.4,3.1,0.3,-0.6,7.6%,19.3%,15.8%,58.8%,3.3%
Allan Ray,BOS,23,6-2,190,Villanova,USA,Undrafted,Undrafted,Undrafted,47,6.2,1.5,0.9,-0.8,2.4%,8.3%,19.8%,51.2%,10.5%
Allen Iverson,DEN,32,6-0,165,Georgetown,USA,1996,1,1,65,26.3,3.0,7.2,-0.2,0.8%,6.1%,28.8%,54.0%,30.2%
Alonzo Mourning,MIA,37,6-10,261,Georgetown,USA,1992,1,2,77,8.6,4.5,0.2,-1.8,8.9%,13.7%,20.4%,59.0%,2.0%
Alvin Williams,LAC,32,6-5,195,Villanova,USA,1997,2,47,2,1.0,0.5,1.5,-38.1,7.1%,0.0%,25.9%,26.6%,42.9%
Amar'e Stoudemire,PHX,24,6-10,245,None,USA,2002,1,9,82,20.4,9.6,1.0,8.3,9.1%,20.4%,25.2%,63.7%,4.9%
Amir Johnson,DET,20,6-9,210,None,USA,2005,2,56,8,5.9,4.6,0.4,0.4,12.8%,15.5%,17.0%,60.0%,3.9%
Anderson Varejao,CLE,24,6-10,240,None,Brazil,2004,2,30,81,6.8,6.7,0.9,6.8,9.7%,19.2%,13.5%,52.7%,6.0%
Andray Blatche,WAS,20,6-11,248,None,USA,2005,2,49,56,3.7,3.4,0.7,-5.8,10.7%,17.4%,16.9%,47.1%,9.4%
Andre Barrett,CHI,25,5-10,173,Seton Hall,,Undrafted,Undrafted,Undrafted,6,1.3,0.8,1.2,-2.9,3.8%,16.0%,16.9%,50.0%,36.8%
Andre Brown,SEA,26,6-9,245,DePaul,USA,Undrafted,Undrafted,Undrafted,38,2.4,1.9,0.1,-3.6,10.0%,16.8%,17.1%,57.7%,1.4%
Andre Iguodala,PHI,23,6-6,207,Arizona,USA,2004,1,9,76,18.2,5.7,5.7,-3.5,2.7%,12.4%,22.4%,56.2%,24.2%
Andre Miller,PHI,31,6-2,200,Utah,USA,1999,1,8,80,13.4,4.4,7.8,-0.5,3.5%,8.8%,18.9%,52.0%,32.9%
Andrea Bargnani,TOR,21,7-0,250,None,Italy,2006,1,1,65,11.6,3.9,0.8,1.4,3.4%,13.0%,22.2%,54.6%,5.1%
Andreas Glyniadakis,SEA,25,7-1,280,None,USA,2003,2,58,13,1.3,0.6,0.1,-15.0,2.7%,8.5%,15.3%,47.5%,2.0%
Andrei Kirilenko,UTA,26,6-9,227,None,Russia,1999,1,24,70,8.3,4.7,2.9,1.1,4.7%,12.3%,14.5%,55.8%,14.5%
Andres Nocioni,CHI,27,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,53,14.1,5.7,1.1,1.8,3.1%,18.6%,23.7%,57.8%,7.3%
