,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,LeBron James,29.78,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
1,2,Chris Paul,28.21,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
2,3,Amare Stoudemire,28.01,,,,,,,,,,,,,,,
3,4,Dwight Howard,26.85,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
4,5,Kobe Bryant,26.64,180.0,6-6,205.0,None,USA,1996.0,1,13,198.12,,,,,,
5,6,Dirk Nowitzki,25.71,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
6,7,Kevin Garnett,24.96,171.0,6-11,253.0,None,USA,1995.0,1,5,210.82,,,,,,
7,8,Tim Duncan,24.88,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
8,9,Chris Bosh,24.25,498.0,6-11,235.0,Georgia Tech,USA,2003.0,1,4,210.82,233.0,8.00%,-,-,9' 1'',7' 3.5''
9,10,Carlos Boozer,24.16,446.0,6-9,266.0,Duke,USA,2002.0,2,34,205.74,150.0,-%,-,-,9' 0.5'',7' 2.25''
10,11,Al Jefferson,23.78,521.0,6-10,289.0,None,USA,2004.0,1,15,208.28,337.0,10.50%,-,-,9' 2'',7' 2.5''
11,12,Carmelo Anthony,23.2,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
12,13,Marcus Camby,23.18,187.0,6-11,235.0,Massachusetts,USA,1996.0,1,2,210.82,,,,,,
13,14,Allen Iverson,23.17,177.0,6-0,165.0,Georgetown,USA,1996.0,1,1,182.88,,,,,,
14,15,Pau Gasol,23.11,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
15,16,Deron Williams,22.77,582.0,6-3,209.0,Illinois,USA,2005.0,1,3,190.5,461.0,-%,-,-,8' 2'',6' 6.25''
16,17,David West,22.33,477.0,6-9,240.0,Xavier,USA,2003.0,1,18,205.74,298.0,8.00%,-,-,9' 0.25'',7' 4.25''
17,18,Baron Davis,22.18,301.0,6-3,212.0,California-Los Angeles,USA,1999.0,1,3,190.5,,,,,,
18,19,Steve Nash,22.09,182.0,6-3,178.0,Santa Clara,Canada,1996.0,1,15,190.5,,,,,,
19,20,Antawn Jamison,21.82,267.0,6-9,235.0,North Carolina,USA,1998.0,1,4,205.74,,,,,,
