,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,LeBron James,31.47,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
1,2,Kevin Durant,30.42,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
2,3,Kobe Bryant,24.63,180.0,6-6,205.0,None,USA,1996.0,1,13,198.12,,,,,,
3,4,Chris Paul,23.93,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
4,5,James Harden,23.87,790.0,6-5,220.0,Arizona State,USA,2009.0,1,3,195.58,717.0,10.10%,-,-,8' 7.5'',6' 10.75''
5,6,Tim Duncan,23.29,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
6,7,Al Horford,23.23,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
7,8,LaMarcus Aldridge,22.78,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
8,9,Russell Westbrook,22.67,750.0,6-3,187.0,UCLA,USA,2008.0,1,4,190.5,692.0,4.80%,-,-,8' 4'',6' 7.75''
9,10,Carmelo Anthony,22.62,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
10,11,David Lee,22.61,583.0,6-9,240.0,Florida,USA,2005.0,1,30,205.74,427.0,-%,-,-,8' 10.5'',7' 0''
11,12,Stephen Curry,22.4,815.0,6-3,185.0,Davidson,USA,2009.0,1,7,190.5,706.0,5.70%,-,-,8' 1'',6' 3.5''
12,13,Dwight Howard,21.98,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
13,14,Al Jefferson,21.31,521.0,6-10,289.0,None,USA,2004.0,1,15,208.28,337.0,10.50%,-,-,9' 2'',7' 2.5''
14,15,Joakim Noah,21.01,716.0,6-11,232.0,Florida,USA,2007.0,1,9,210.82,588.0,4.80%,-,-,8' 10.5'',7' 1.25''
15,16,Blake Griffin,20.95,768.0,6-10,251.0,Oklahoma,USA,2009.0,1,1,208.28,715.0,8.20%,-,-,8' 9'',6' 11.25''
16,17,Marc Gasol,20.78,705.0,7-1,265.0,None,Spain,2007.0,2,48,215.9,,,,,,
17,18,Nikola Vucevic,20.74,876.0,7-0,240.0,USC,Montenegro,2011.0,1,16,213.36,842.0,6.10%,9.25,10.25,9' 4.5'',7' 4.5''
18,19,Tony Parker,20.68,391.0,6-2,185.0,None,France,2001.0,1,28,187.96,,,,,,
19,20,Dwyane Wade,20.6,507.0,6-4,220.0,Marquette,USA,2003.0,1,5,193.04,295.0,6.70%,-,-,8' 6'',6' 10.75''
20,21,DeMarcus Cousins,19.97,856.0,6-11,270.0,Kentucky,USA,2010.0,1,5,210.82,751.0,16.40%,9.25,10.0,9' 5'',7' 5.75''
21,22,Greg Monroe,19.94,866.0,6-11,250.0,Georgetown,USA,2010.0,1,7,210.82,772.0,11.20%,8.75,9.5,9' 0.5'',7' 2.25''
22,22,Brook Lopez,19.94,718.0,7-0,265.0,Stanford,USA,2008.0,1,10,213.36,663.0,6.30%,-,-,9' 5'',7' 5.5''
23,24,Deron Williams,19.58,582.0,6-3,209.0,Illinois,USA,2005.0,1,3,190.5,461.0,-%,-,-,8' 2'',6' 6.25''
24,25,Josh Smith,19.54,523.0,6-9,225.0,None,USA,2004.0,1,17,205.74,369.0,6.70%,-,-,8' 10.5'',7' 0''
25,26,Paul George,19.39,819.0,6-8,215.0,Fresno State,USA,2010.0,1,10,203.2,758.0,5.00%,8.5,9.0,8' 11'',6' 11.25''
26,27,David West,18.95,477.0,6-9,240.0,Xavier,USA,2003.0,1,18,205.74,298.0,8.00%,-,-,9' 0.25'',7' 4.25''
27,28,Paul Pierce,18.89,240.0,6-7,235.0,Kansas,USA,1998.0,1,10,200.66,,,,,,
28,29,Zach Randolph,18.89,381.0,6-9,260.0,Michigan State,USA,2001.0,1,19,205.74,,,,,,
29,30,Kevin Garnett,18.81,171.0,6-11,253.0,None,USA,1995.0,1,5,210.82,,,,,,
30,31,Carlos Boozer,18.63,446.0,6-9,266.0,Duke,USA,2002.0,2,34,205.74,150.0,-%,-,-,9' 0.5'',7' 2.25''
31,32,J.J. Hickson,18.45,,,,,,,,,,,,,,,
32,33,Chris Bosh,18.35,498.0,6-11,235.0,Georgia Tech,USA,2003.0,1,4,210.82,233.0,8.00%,-,-,9' 1'',7' 3.5''
33,34,Thaddeus Young,18.33,671.0,6-8,220.0,Georgia Tech,USA,2007.0,1,12,203.2,616.0,4.90%,-,-,8' 10'',6' 11.5''
34,35,Serge Ibaka,18.32,733.0,6-10,235.0,None,Democratic Re...,2008.0,1,24,208.28,,,,,,
35,36,Jrue Holiday,18.05,776.0,6-4,180.0,UCLA,USA,2009.0,1,17,193.04,721.0,6.30%,-,-,8' 4.5'',6' 7''
36,37,Tyson Chandler,17.99,382.0,7-1,240.0,None,USA,2001.0,1,2,215.9,79.0,6.70%,-,-,9' 2'',7' 3''
37,38,Paul Millsap,17.88,655.0,6-8,253.0,Louisiana Tech,USA,2006.0,2,47,203.2,508.0,9.70%,-,-,8' 9.5'',7' 1.5''
38,39,Nicolas Batum,17.7,734.0,6-8,200.0,None,France,2008.0,1,25,203.2,,,,,,
39,40,Larry Sanders,17.65,824.0,6-11,235.0,Va Commonwealth,USA,2010.0,1,15,210.82,780.0,4.60%,9.75,11.0,9' 4'',7' 5.75''
40,41,Ty Lawson,17.42,777.0,5-11,195.0,North Carolina,USA,2009.0,1,18,180.34,724.0,6.60%,-,-,7' 10.5'',6' 0.75''
41,42,Greivis Vasquez,17.27,838.0,6-6,211.0,Maryland,Venezuela,2010.0,1,28,198.12,787.0,8.60%,7.75,9.25,8' 5'',6' 7''
42,43,Damian Lillard,17.26,975.0,6-3,195.0,Weber State,USA,2012.0,1,6,190.5,878.0,5.90%,8.75,9.75,7' 11.5'',6' 7.75''
43,44,Omer Asik,17.25,746.0,7-0,255.0,None,Turkey,2008.0,2,36,213.36,,,,,,
44,45,Kemba Walker,17.15,922.0,6-1,184.0,Connecticut,USA,2011.0,1,9,185.42,843.0,5.90%,8.0,9.0,7' 7.5'',6' 3.5''
45,46,Kenneth Faried,17.08,883.0,6-8,228.0,Morehead State,USA,2011.0,1,22,203.2,800.0,6.30%,8.5,10.25,9' 0'',7' 0''
46,47,Monta Ellis,17.02,593.0,6-3,185.0,None,USA,2005.0,2,40,190.5,402.0,-%,-,-,8' 2'',6' 2.75''
47,48,Roy Hibbert,16.91,725.0,7-2,260.0,Georgetown,USA,2008.0,1,17,218.44,,,,,,
48,49,Chandler Parsons,16.9,900.0,6-9,227.0,Florida,USA,2011.0,2,38,205.74,827.0,7.00%,8.25,10.0,8' 8.5'',6' 9.5''
49,50,Goran Dragic,16.78,755.0,6-3,190.0,None,Slovenia,2008.0,2,45,190.5,,,,,,
50,51,Mike Conley,16.72,699.0,6-1,185.0,Ohio State,USA,2007.0,1,4,185.42,549.0,4.20%,-,-,7' 10.5'',6' 5.75''
51,52,Kawhi Leonard,16.65,875.0,6-7,225.0,San Diego State,USA,2011.0,1,15,200.66,816.0,5.40%,9.75,11.25,8' 10'',7' 3''
52,53,Andre Iguodala,16.52,560.0,6-6,207.0,Arizona,USA,2004.0,1,9,198.12,334.0,6.70%,-,-,8' 9.5'',6' 11''
53,54,Tristan Thompson,16.13,902.0,6-9,227.0,Texas,Canada,2011.0,1,4,205.74,840.0,6.20%,8.75,9.25,9' 0.5'',7' 1.25''
54,55,Rudy Gay,16.13,666.0,6-8,230.0,Connecticut,USA,2006.0,1,8,203.2,490.0,5.70%,-,-,8' 11.5'',7' 3''
