Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
AJ Price,IND,24,6-2,181,Connecticut,USA,2009,2,52,50,6.5,1.4,2.2,2.2,1.9%,7.3%,22.3%,45.4%,23.3%
Aaron Brooks,PHX,26,6-0,161,Oregon,USA,2007,1,26,59,10.7,1.3,3.9,-6.6,1.5%,4.6%,25.1%,48.9%,28.9%
Aaron Gray,NOH,26,7-0,270,Pittsburgh,USA,2007,2,49,41,3.1,4.2,0.4,3.9,12.1%,23.6%,13.0%,56.6%,4.4%
Acie Law,GSW,26,6-3,202,Texas A&M,USA,2007,1,11,51,4.2,1.2,1.6,-8.7,1.7%,7.2%,15.6%,50.2%,18.2%
Al Harrington,DEN,31,6-9,250,None,USA,1998,1,25,73,10.5,4.5,1.4,4.8,4.7%,15.7%,21.9%,52.7%,9.6%
Al Horford,ATL,25,6-10,245,Florida,Dominican Rep...,2007,1,3,77,15.3,9.3,3.5,0.7,7.3%,21.0%,19.7%,58.7%,16.9%
Al Jefferson,UTA,26,6-10,280,None,USA,2004,1,15,82,18.6,9.7,1.8,-3.1,8.5%,20.2%,23.9%,52.8%,9.0%
Al Thornton,GSW,27,6-8,235,Florida State,USA,2007,1,14,71,7.4,3.0,0.9,-5.0,4.2%,12.2%,17.9%,53.1%,7.2%
Al-Farouq Aminu,LAC,20,6-9,215,Wake Forest,USA,2010,1,8,81,5.6,3.3,0.7,-6.4,5.2%,13.5%,16.8%,49.9%,6.7%
Alexis Ajinca,TOR,23,7-2,248,None,France,2008,1,20,34,4.2,2.3,0.3,0.7,5.2%,17.9%,20.7%,50.7%,4.9%
Alonzo Gee,CLE,24,6-6,220,Alabama,USA,Undrafted,Undrafted,Undrafted,56,5.9,3.3,0.7,-11.0,5.4%,11.1%,14.2%,54.4%,5.6%
Amar'e Stoudemire,NYK,28,6-10,240,None,USA,2002,1,9,78,25.3,8.2,2.6,1.3,7.2%,15.7%,30.7%,56.5%,12.8%
Amir Johnson,TOR,24,6-9,210,None,USA,2005,2,56,72,9.6,6.4,1.1,-2.4,10.4%,15.8%,15.2%,60.8%,6.4%
Anderson Varejao,CLE,28,6-11,260,None,Brazil,2004,2,30,31,9.1,9.7,1.5,-9.0,9.7%,21.5%,13.3%,56.0%,7.4%
