RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Dirk Nowitzki, DAL",81,38.1,.589,10.2,7.1,27.5,5.0,23.5,14.2,28.20,769.9,25.7
2,"LeBron James, CLE",79,42.5,.568,17.6,8.8,31.4,3.0,17.1,9.8,28.17,886.4,29.5
3,"Kobe Bryant, LAL",80,41.0,.559,11.5,8.0,35.3,3.0,12.7,7.6,28.11,861.2,28.7
4,"Dwyane Wade, MIA",75,38.6,.577,19.8,10.6,30.1,5.0,12.6,8.7,27.68,741.6,24.7
5,"Kevin Garnett, MIN",76,38.9,.589,16.3,9.5,23.3,9.0,29.7,19.6,26.88,678.8,22.6
6,"Elton Brand, LAC",79,39.2,.580,10.1,8.4,24.6,9.0,19.9,14.8,26.67,701.6,23.4
7,"Allen Iverson, PHI",72,43.1,.543,17.9,8.4,32.9,2.0,7.1,4.4,26.02,718.8,24.0
8,"Yao Ming, HOU",57,34.2,.592,6.5,11.3,26.4,9.0,25.7,17.5,25.78,441.7,14.7
9,"Shaquille O'Neal, MIA",59,30.6,.586,8.8,13.0,26.6,12.0,23.1,17.6,24.47,373.8,12.5
10,"Gilbert Arenas, WSH",80,42.3,.581,17.3,10.6,28.7,2.0,7.8,4.8,23.87,650.1,21.7
11,"Paul Pierce, BOS",79,39.0,.582,15.2,11.1,28.2,3.0,17.5,10.5,23.71,608.1,20.3
12,"Shawn Marion, PHX",81,40.3,.591,8.1,7.1,19.4,9.0,23.6,16.3,23.66,640.8,21.4
13,"Chauncey Billups, DET",81,36.1,.602,33.1,8.1,23.4,2.0,8.7,5.1,23.43,542.8,18.1
14,"Steve Nash, PHX",79,35.4,.632,36.2,12.1,23.4,2.0,11.1,6.6,23.29,513.0,17.1
15,"Chris Bosh, TOR",70,39.3,.585,10.8,9.3,22.6,9.0,20.6,14.4,23.23,481.8,16.1
16,"Tim Duncan, SA",80,34.8,.523,13.5,10.6,25.1,10.0,26.9,18.7,23.13,520.7,17.4
17,"Pau Gasol, MEM",80,39.2,.555,17.9,11.3,24.5,7.0,20.0,13.8,22.76,526.8,17.6
18,"Manu Ginobili, SA",65,27.9,.593,19.9,10.2,23.2,3.0,11.9,7.5,22.43,322.7,10.8
19,"Ray Allen, SEA",78,38.7,.590,13.4,8.8,25.3,3.0,10.6,6.6,22.28,531.2,17.7
20,"Chris Paul, NO",78,36.0,.546,31.4,9.4,22.3,3.0,14.8,8.5,22.14,466.9,15.6
21,"Carmelo Anthony, DEN",80,36.8,.563,9.3,9.4,28.5,5.0,10.7,7.8,22.10,509.2,17.0
22,"Tracy McGrady, HOU",47,37.1,.494,14.9,8.0,32.0,3.0,17.2,10.3,22.03,300.2,10.0
23,"Zydrunas Ilgauskas, CLE",78,29.3,.576,7.0,11.9,22.0,13.0,18.1,15.3,21.98,387.6,12.9
24,"Vince Carter, NJ",79,36.8,.536,14.5,9.1,29.3,5.0,13.4,9.3,21.68,484.7,16.2
