Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,CHI,31,6-0,161,Oregon,USA,2007,1,26,69,7.1,1.5,2.6,0.0,1.8%,6.8%,22.5%,49.4%,26.5%
Aaron Gordon,ORL,20,6-9,220,Arizona,USA,2014,1,4,78,9.2,6.5,1.6,-1.4,8.0%,18.9%,16.9%,54.1%,10.3%
Aaron Harrison,CHA,21,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,0.9,0.7,0.1,-3.4,4.5%,11.2%,13.2%,37.1%,3.3%
Adreian Payne,MIN,25,6-10,237,Michigan State,USA,2014,1,15,52,2.5,2.1,0.6,-12.0,4.4%,19.8%,17.5%,42.2%,9.3%
Al Horford,ATL,30,6-10,245,Florida,Dominican Rep...,2007,1,3,82,15.2,7.3,3.2,4.2,5.6%,15.8%,20.2%,56.5%,16.5%
Al Jefferson,CHA,31,6-10,289,None,USA,2004,1,15,47,12.0,6.4,1.5,2.5,5.0%,21.6%,24.0%,50.7%,11.4%
Al-Farouq Aminu,POR,25,6-9,215,Wake Forest,USA,2010,1,8,82,10.2,6.1,1.7,1.6,4.1%,16.8%,16.6%,53.3%,8.7%
Alan Anderson,WAS,33,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,13,5.0,2.1,1.1,8.2,0.5%,13.1%,15.1%,49.5%,11.2%
Alan Williams,PHX,23,6-8,260,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,10,2.9,3.8,0.5,-0.7,16.5%,34.8%,19.4%,48.1%,9.6%
Alec Burks,UTA,24,6-6,214,Colorado,USA,2011,1,12,31,13.3,3.5,2.0,0.5,1.9%,12.1%,24.6%,52.0%,14.0%
Alex Len,PHX,23,7-1,260,Maryland,Ukraine,2013,1,5,78,9.0,7.6,1.2,-7.7,9.1%,22.3%,20.2%,48.2%,8.7%
Alex Stepheson,MEM,28,6-10,270,USC,USA,Undrafted,Undrafted,Undrafted,8,2.8,3.5,0.3,-2.0,17.6%,10.8%,16.6%,34.1%,5.3%
Alexis Ajinca,NOP,28,7-2,248,None,France,2008,1,20,59,6.0,4.6,0.5,-2.6,8.5%,22.7%,20.1%,51.4%,5.9%
Allen Crabbe,POR,24,6-6,210,California,USA,2013,2,31,81,10.3,2.7,1.2,1.0,1.2%,8.6%,15.9%,57.2%,7.2%
Alonzo Gee,NOP,29,6-6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,73,4.5,3.4,1.0,-4.4,3.5%,11.1%,9.1%,57.2%,6.3%
Amar'e Stoudemire,MIA,33,6-10,245,None,USA,2002,1,9,52,5.8,4.3,0.5,0.0,9.2%,20.6%,17.6%,59.9%,5.4%
Amir Johnson,BOS,29,6-9,240,None,USA,2005,2,56,79,7.3,6.4,1.7,4.6,9.2%,17.3%,13.6%,60.2%,11.0%
Anderson Varejao,GSW,33,6-11,273,None,Brazil,2004,2,30,53,2.6,2.7,0.7,2.8,6.8%,20.4%,14.3%,47.3%,10.2%
Andre Drummond,DET,22,6-11,279,Connecticut,USA,2012,1,9,81,16.2,14.8,0.8,2.4,13.5%,30.9%,23.9%,49.9%,4.2%
Andre Iguodala,GSW,32,6-6,215,Arizona,USA,2004,1,9,65,7.0,4.0,3.4,13.2,3.1%,11.0%,11.7%,56.5%,16.5%
Andre Miller,SAS,40,6-3,200,Utah,USA,1999,1,8,39,3.7,1.3,2.2,2.8,3.1%,8.7%,15.6%,60.0%,27.6%
Andre Roberson,OKC,24,6-7,210,Colorado,USA,2013,1,26,70,4.8,3.6,0.7,9.2,5.3%,10.2%,9.2%,56.6%,3.9%
Andrea Bargnani,BKN,30,7-0,245,None,Italy,2006,1,1,46,6.6,2.1,0.4,-14.7,4.2%,11.7%,22.7%,50.0%,5.1%
Andrew Bogut,GSW,31,7-0,260,Utah,Australia,2005,1,1,70,5.4,7.0,2.3,14.1,8.6%,22.9%,11.5%,62.3%,14.5%
Andrew Goudelock,HOU,27,6-3,200,College of Charleston,USA,2011,2,46,8,2.8,0.3,0.5,8.3,2.1%,1.3%,23.4%,50.6%,11.8%
Andrew Nicholson,ORL,26,6-9,250,St. Bonaventure,Canada,2012,1,19,56,6.9,3.6,0.4,2.8,4.1%,19.1%,20.5%,56.7%,5.0%
Andrew Wiggins,MIN,21,6-8,199,Kansas,Canada,2014,1,1,81,20.7,3.6,2.0,-1.3,3.9%,6.6%,26.7%,54.3%,9.8%
Anthony Bennett,TOR,23,6-8,245,UNLV,Canada,2013,1,1,19,1.5,1.2,0.0,-19.0,5.9%,26.2%,16.6%,44.6%,0.0%
Anthony Brown,LAL,23,6-7,210,Stanford,USA,2015,2,34,29,4.0,2.4,0.7,-2.3,1.4%,10.1%,10.9%,42.7%,4.8%
Anthony Davis,NOP,23,6-10,253,Kentucky,USA,2012,1,1,61,24.3,10.3,1.9,-4.1,5.9%,23.4%,29.0%,55.9%,10.0%
