,Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
24,Mark Jackson,6-3,195,St. John's (NY),USA,1987,1,18,190.5,,,,,
25,Scottie Pippen,6-7,228,Central Arkansas,USA,1987,1,5,200.66,,,,,
26,Chris Dudley,6-11,260,Yale,USA,1987,4,75,210.82,,,,,
27,Olden Polynice,6-10,250,Virginia,USA,1987,1,8,208.28,,,,,
28,Derrick McKey,6-10,241,Alabama,USA,1987,1,9,208.28,,,,,
29,Danny Manning,6-10,234,Kansas,USA,1988,1,1,208.28,,,,,
30,Will Perdue,7-0,240,Vanderbilt,USA,1988,1,11,213.36,,,,,
31,Dan Majerle,6-6,222,Central Michigan,USA,1988,1,14,198.12,,,,,
32,Rod Strickland,6-3,185,DePaul,USA,1988,1,19,190.5,,,,,
33,Kevin Edwards,6-3,210,DePaul,USA,1988,1,20,190.5,,,,,
34,Mark Bryant,6-9,250,Seton Hall,USA,1988,1,21,205.74,,,,,
35,Brian Shaw,6-6,200,California-Santa Barbara,USA,1988,1,24,198.12,,,,,
36,Grant Long,6-9,250,Eastern Michigan,USA,1988,2,33,205.74,,,,,
37,Dean Garrett,6-11,250,Indiana,USA,1988,2,38,210.82,,,,,
38,Vernon Maxwell,6-4,190,Florida,USA,1988,2,47,193.04,,,,,
39,Mitch Richmond,6-5,220,Kansas State,USA,1988,1,5,195.58,,,,,
40,Steve Kerr,6-3,180,Arizona,USA,1988,2,50,190.5,,,,,
41,Anthony Mason,6-8,255,Tennessee State,USA,1988,3,53,203.2,,,,,
42,Hersey Hawkins,6-3,200,Bradley,USA,1988,1,6,190.5,,,,,
43,Tim Hardaway,6-0,195,Texas-El Paso,USA,1989,1,14,182.88,,,,,
44,Dana Barros,5-11,165,Boston College,USA,1989,1,16,180.34,,,,,
45,Shawn Kemp,6-10,280,Trinity Valley Community College,USA,1989,1,17,208.28,,,,,
46,Danny Ferry,6-10,235,Duke,USA,1989,1,2,208.28,,,,,
47,Vlade Divac,7-1,260,None,Serbia and Mo...,1989,1,26,215.9,,,,,
48,Sean Elliott,6-8,220,Arizona,USA,1989,1,3,203.2,,,,,
49,Clifford Robinson,6-10,225,Connecticut,USA,1989,2,36,208.28,,,,,
50,Glen Rice,6-8,220,Michigan,USA,1989,1,4,203.2,,,,,
51,Chucky Brown,6-8,220,North Carolina State,USA,1989,2,43,203.2,,,,,
52,George McCloud,6-8,225,Florida State,USA,1989,1,7,203.2,,,,,
53,Derrick Coleman,6-10,270,Syracuse,USA,1990,1,1,208.28,,,,,
54,Tyrone Hill,6-9,250,Xavier,USA,1990,1,11,205.74,,,,,
55,Loy Vaught,6-9,240,Michigan,USA,1990,1,13,205.74,,,,,
56,Duane Causwell,7-0,255,Temple,USA,1990,1,18,213.36,,,,,
57,Gary Payton,6-4,180,Oregon State,USA,1990,1,2,193.04,,,,,
58,Elden Campbell,7-0,279,Clemson,USA,1990,1,27,213.36,,,,,
59,Toni Kukoc,6-11,235,None,Croatia,1990,2,29,210.82,,,,,
60,Mahmoud Abdul-Rauf,6-1,162,Louisiana State,USA,1990,1,3,185.42,,,,,
61,Jud Buechler,6-6,228,Arizona,USA,1990,2,38,198.12,,,,,
62,Bimbo Coles,6-2,182,Virginia Tech,USA,1990,2,40,187.96,,,,,
63,Tony Massenburg,6-9,250,Maryland,USA,1990,2,43,205.74,,,,,
64,Antonio Davis,6-9,230,Texas-El Paso,USA,1990,2,45,205.74,,,,,
65,Derek Strong,6-9,240,Xavier,USA,1990,2,47,205.74,,,,,
66,Cedric Ceballos,6-7,220,Cal State-Fullerton,USA,1990,2,48,200.66,,,,,
67,Kendall Gill,6-5,215,Illinois,USA,1990,1,5,195.58,,,,,
68,Felton Spencer,7-0,290,Louisville,USA,1990,1,6,213.36,,,,,
69,Larry Johnson,6-7,235,Nevada-Las Vegas,USA,1991,1,1,200.66,,,,,
70,Terrell Brandon,5-11,173,Oregon,USA,1991,1,11,180.34,,,,,
71,Greg Anthony,6-1,180,Nevada-Las Vegas,USA,1991,1,12,185.42,,,,,
72,Dale Davis,6-11,252,Clemson,USA,1991,1,13,210.82,,,,,
73,Victor Alexander,6-10,265,Iowa State,USA,1991,1,17,208.28,,,,,
74,Kenny Anderson,6-1,168,Georgia Tech,USA,1991,1,2,185.42,,,,,
75,Rick Fox,6-7,242,North Carolina,Canada,1991,1,24,200.66,,,,,
76,Randy Brown,6-2,190,New Mexico State,USA,1991,2,31,187.96,,,,,
77,Dikembe Mutombo,7-2,265,Georgetown,Congo,1991,1,4,218.44,,,,,
78,Doug Overton,6-3,190,La Salle,USA,1991,2,40,190.5,,,,,
79,Ike Austin,6-10,288,Arizona State,USA,1991,2,48,208.28,,,,,
80,Steven Smith,6-8,221,Michigan State,USA,1991,1,5,203.2,,,,,
81,Zan Tabak,7-0,257,None,USA,1991,2,51,213.36,,,,,
82,Stacey Augmon,6-8,213,Nevada-Las Vegas,USA,1991,1,9,203.2,,,,,
83,Shaquille O'Neal,7-1,315,Louisiana State,USA,1992,1,1,215.9,,,,,
84,Adam Keefe,6-9,230,Stanford,USA,1992,1,10,205.74,,,,,
85,Robert Horry,6-10,235,Alabama,USA,1992,1,11,208.28,,,,,
86,Bryant Stith,6-5,210,Virginia,USA,1992,1,13,195.58,,,,,
87,Anthony Peeler,6-4,208,Missouri,USA,1992,1,15,193.04,,,,,
88,Doug Christie,6-6,205,Pepperdine,USA,1992,1,17,198.12,,,,,
89,Tracy Murray,6-7,228,California-Los Angeles,USA,1992,1,18,200.66,,,,,
90,Alonzo Mourning,6-10,261,Georgetown,USA,1992,1,2,208.28,,,,,
91,Hubert Davis,6-5,183,North Carolina,USA,1992,1,20,195.58,,,,,
92,Jon Barry,6-5,210,Georgia Tech,USA,1992,1,21,195.58,,,,,
93,Oliver Miller,6-9,315,Arkansas,USA,1992,1,22,205.74,,,,,
94,Latrell Sprewell,6-5,195,Alabama,USA,1992,1,24,195.58,,,,,
95,P.J. Brown,6-11,239,Louisiana Tech,USA,1992,2,29,210.82,,,,,
96,Christian Laettner,6-11,245,Duke,USA,1992,1,3,210.82,,,,,
97,Sean Rooks,6-10,260,Arizona,USA,1992,2,30,208.28,,,,,
98,Brent Price,6-1,185,Oklahoma,USA,1992,2,32,185.42,,,,,
99,Jim Jackson,6-6,220,Ohio State,USA,1992,1,4,198.12,,,,,
100,Popeye Jones,6-8,250,Murray State,USA,1992,2,41,203.2,,,,,
101,LaPhonso Ellis,6-8,240,Notre Dame,USA,1992,1,5,203.2,,,,,
102,Tom Gugliotta,6-10,240,North Carolina State,USA,1992,1,6,208.28,,,,,
103,Walt Williams,6-8,230,Maryland,USA,1992,1,7,203.2,,,,,
104,Clar. Weatherspoon,6-7,270,Southern Mississippi,USA,1992,1,9,200.66,,,,,
105,Chris Webber,6-10,245,Michigan,USA,1993,1,1,208.28,,,,,
106,Lindsey Hunter,6-2,195,Jackson State,USA,1993,1,10,187.96,,,,,
107,Allan Houston,6-6,200,Tennessee,USA,1993,1,11,198.12,,,,,
108,George Lynch,6-8,228,North Carolina,USA,1993,1,12,203.2,,,,,
109,Shawn Bradley,7-6,265,Brigham Young,USA,1993,1,2,228.6,,,,,
110,Scott Burrell,6-7,218,Connecticut,USA,1993,1,20,200.66,,,,,
111,Chris Mills,6-7,220,Arizona,USA,1993,1,22,200.66,,,,,
112,Ervin Johnson,6-11,255,New Orleans,USA,1993,1,23,210.82,,,,,
113,Sam Cassell,6-3,185,Florida State,USA,1993,1,24,190.5,,,,,
114,Corie Blount,6-10,242,Cincinnati,USA,1993,1,25,208.28,,,,,
115,Lucious Harris,6-5,205,Long Beach State,USA,1993,2,28,195.58,,,,,
116,Anfernee Hardaway,6-7,215,Memphis,USA,1993,1,3,200.66,,,,,
117,Nick Van Exel,6-1,195,Cincinnati,USA,1993,2,37,185.42,,,,,
118,Jamal Mashburn,6-8,247,Kentucky,USA,1993,1,4,203.2,,,,,
119,Bryon Russell,6-7,225,Long Beach State,USA,1993,2,45,200.66,,,,,
120,Chris Whitney,6-0,175,Clemson,USA,1993,2,47,182.88,,,,,
121,Calbert Cheaney,6-7,217,Indiana,USA,1993,1,6,200.66,,,,,
122,Vin Baker,6-11,250,Hartford,USA,1993,1,8,210.82,,,,,
123,Rodney Rogers,6-7,255,Wake Forest,USA,1993,1,9,200.66,,,,,
124,Glenn Robinson,6-7,230,Purdue,USA,1994,1,1,200.66,,,,,
125,Eddie Jones,6-6,200,Temple,USA,1994,1,10,198.12,,,,,
126,Carlos Rogers,6-11,232,Tennessee State,USA,1994,1,11,210.82,,,,,
127,Jalen Rose,6-8,217,Michigan,USA,1994,1,13,203.2,,,,,
128,Eric Piatkowski,6-6,215,Nebraska,USA,1994,1,15,198.12,,,,,
129,Aaron McKie,6-5,209,Temple,USA,1994,1,17,195.58,,,,,
130,Jason Kidd,6-4,210,California,USA,1994,1,2,193.04,,,,,
131,Wesley Person,6-6,200,Auburn,USA,1994,1,23,198.12,,,,,
132,Monty Williams,6-8,225,Notre Dame,USA,1994,1,24,203.2,,,,,
133,Charlie Ward,6-2,185,Florida State,USA,1994,1,26,187.96,,,,,
