"X","Unnamed..0","Player","Height","Weight","College","Country","Draft_Year","Draft_Round","Draft_Number","Height_cm","Body_fat","Hand_length","Hand_width","Standing_reach","Wingspan","Wingspan_cm","Standing_reach_cm","period","Nationality"
394,394,"Gilbert Arenas","6-4",215,"Arizona","USA",2001,2,"30",193.04,"5.30%","-","-","8' 3.5''","6' 9.5''",207.01,252.73,"before 2002","US player"
395,395,"Omar Cook","6-1",190,"St. John's (NY)","USA",2001,2,"31",185.42,"5.50%","-","-","7' 8''","6' 5.5''",196.85,233.68,"before 2002","US player"
396,396,"Will Solomon","6-1",185,"Clemson","USA",2001,2,"32",185.42,"4.00%","-","-","8' 3.5''","6' 9.5''",207.01,252.73,"before 2002","US player"
397,397,"Terence Morris","6-9",221,"Maryland","USA",2001,2,"33",205.74,"","","","",NA,NA,NA,"before 2002","US player"
398,398,"Brian Scalabrine","6-9",235,"Southern California","USA",2001,2,"34",205.74,"13.60%","-","-","8' 9.5''","6' 9.75''",207.645,267.97,"before 2002","US player"
399,399,"Jeff Trepagnier","6-4",200,"Southern California","USA",2001,2,"35",193.04,"","","","",NA,NA,NA,"before 2002","US player"
400,400,"Damone Brown","6-8",202,"Syracuse","USA",2001,2,"36",203.2,"6.70%","-","-","8' 8.5''","6' 11.75''",212.725,265.43,"before 2002","US player"
401,401,"Mehmet Okur","6-11",260,"None","Turkey",2001,2,"37",210.82,"","","","",NA,NA,NA,"before 2002","Foreign player"
402,402,"Earl Watson","6-1",199,"California-Los Angeles","USA",2001,2,"39",185.42,"4.00%","-","-","8' 1''","6' 6.75''",200.025,246.38,"before 2002","US player"
403,403,"Eddy Curry","7-0",295,"None","USA",2001,1,"4",213.36,"16.50%","-","-","9' 3''","7' 6.5''",229.87,281.94,"before 2002","US player"
404,404,"Jamison Brewer","6-2",178,"Auburn","USA",2001,2,"40",187.96,"6.70%","-","-","8' 6.5''","6' 8.75''",205.105,260.35,"before 2002","US player"
405,405,"Bobby Simmons","6-6",235,"DePaul","USA",2001,2,"41",198.12,"6.70%","-","-","8' 9''","7' 0.25''",213.995,266.7,"before 2002","US player"
406,406,"Sean Lampley","6-7",227,"California","USA",2001,2,"44",200.66,"8.00%","-","-","8' 5''","6' 9.25''",206.375,256.54,"before 2002","US player"
407,407,"Loren Woods","7-1",246,"Arizona","USA",2001,2,"45",215.9,"9.30%","-","-","9' 5''","7' 5.5''",227.33,287.02,"before 2002","US player"
408,408,"Antonis Fotsis","6-10",219,"None","",2001,2,"47",208.28,"","","","",NA,NA,NA,"before 2002","Foreign player"
409,409,"Ken Johnson","6-10",240,"Ohio State","USA",2001,2,"48",208.28,"9.90%","-","-","9' 1.5''","7' 4''",223.52,278.13,"before 2002","US player"
410,410,"Ruben Boumtje-Boumtje","7-0",245,"Georgetown","USA",2001,2,"49",213.36,"6.00%","-","-","9' 3''","7' 4''",223.52,281.94,"before 2002","US player"
411,411,"Jason Richardson","6-6",225,"Michigan State","USA",2001,1,"5",198.12,"5.30%","-","-","8' 6.5''","6' 11.5''",212.09,260.35,"before 2002","US player"
412,412,"Alton Ford","6-9",275,"Houston","USA",2001,2,"50",205.74,"8.00%","-","-","8' 6.5''","6' 10.5''",209.55,260.35,"before 2002","US player"
413,413,"Jarron Collins","6-11",252,"Stanford","USA",2001,2,"52",210.82,"15.20%","-","-","8' 8''","7' 3''",220.98,264.16,"before 2002","US player"
414,414,"Kenny Satterfield","6-1",176,"Cincinnati","USA",2001,2,"53",185.42,"6.70%","-","-","8' 2''","6' 4.5''",194.31,248.92,"before 2002","US player"
415,415,"Alvin Jones","6-11",265,"Georgia Tech","USA",2001,2,"56",210.82,"","","","",NA,NA,NA,"before 2002","US player"
416,416,"Shane Battier","6-8",225,"Duke","USA",2001,1,"6",203.2,"9.30%","-","-","8' 9''","6' 10.5''",209.55,266.7,"before 2002","US player"
417,417,"Eddie Griffin","6-10",220,"Seton Hall","USA",2001,1,"7",208.28,"4.00%","-","-","9' 2''","7' 3''",220.98,279.4,"before 2002","US player"
418,418,"DeSagana Diop","7-0",280,"None","Senegal",2001,1,"8",213.36,"21.00%","-","-","9' 5''","7' 6.5''",229.87,287.02,"before 2002","Foreign player"
419,419,"Rodney White","6-9",238,"North Carolina-Charlotte","USA",2001,1,"9",205.74,"9.30%","-","-","8' 8.5''","6' 11.5''",212.09,265.43,"before 2002","US player"
420,420,"Yao Ming","7-6",310,"None","China",2002,1,"1",228.6,"","","","",NA,NA,NA,"after 2002","Foreign player"
421,421,"Caron Butler","6-7",228,"Connecticut","USA",2002,1,"10",200.66,"-%","-","-","8' 7.5''","6' 11.5''",212.09,262.89,"after 2002","US player"
422,422,"Jared Jeffries","6-11",240,"Indiana","USA",2002,1,"11",210.82,"-%","-","-","9' 1''","7' 0.5''",214.63,276.86,"after 2002","US player"
423,423,"Melvin Ely","6-10",261,"Fresno State","USA",2002,1,"12",208.28,"-%","-","-","9' 3''","7' 4''",223.52,281.94,"after 2002","US player"
424,424,"Marcus Haislip","6-10",230,"Tennessee","USA",2002,1,"13",208.28,"-%","-","-","8' 11''","7' 0''",213.36,271.78,"after 2002","US player"
425,425,"Fred Jones","6-2",225,"Oregon","USA",2002,1,"14",187.96,"-%","-","-","8' 4''","7' 0''",213.36,254,"after 2002","US player"
426,426,"Bostjan Nachbar","6-9",221,"None","Slovenia",2002,1,"15",205.74,"","","","",NA,NA,NA,"after 2002","Foreign player"
427,427,"Jiri Welsch","6-7",208,"None","Czech Republi...",2002,1,"16",200.66,"","","","",NA,NA,NA,"after 2002","Foreign player"
428,428,"Juan Dixon","6-3",165,"Maryland","USA",2002,1,"17",190.5,"","","","",NA,NA,NA,"after 2002","US player"
429,429,"Curtis Borchardt","7-0",240,"Stanford","USA",2002,1,"18",213.36,"-%","-","-","9' 4''","7' 2.5''",219.71,284.48,"after 2002","US player"
430,430,"Ryan Humphrey","6-8",235,"Notre Dame","USA",2002,1,"19",203.2,"-%","-","-","8' 8.5''","7' 0''",213.36,265.43,"after 2002","US player"
431,431,"Jay Williams","6-2",195,"Duke","USA",2002,1,"2",187.96,"-%","-","-","8' 1''","6' 3.5''",191.77,246.38,"after 2002","US player"
432,432,"Kareem Rush","6-6",215,"Missouri","USA",2002,1,"20",198.12,"-%","-","-","8' 7.5''","6' 9.75''",207.645,262.89,"after 2002","US player"
433,433,"Qyntel Woods","6-8",221,"Northeast Mississippi Community College","USA",2002,1,"21",203.2,"-%","-","-","8' 9''","6' 10''",208.28,266.7,"after 2002","US player"
434,434,"Casey Jacobsen","6-6",215,"Stanford","USA",2002,1,"22",198.12,"","","","",NA,NA,NA,"after 2002","US player"
435,435,"Tayshaun Prince","6-9",215,"Kentucky","USA",2002,1,"23",205.74,"","","","",NA,NA,NA,"after 2002","US player"
436,436,"Nenad Krstic","7-0",240,"None","Serbia and Mo...",2002,1,"24",213.36,"","","","",NA,NA,NA,"after 2002","Foreign player"
437,437,"Frank Williams","6-3",205,"Illinois","USA",2002,1,"25",190.5,"-%","-","-","8' 4.5''","6' 8''",203.2,255.27,"after 2002","US player"
438,438,"John Salmons","6-6",207,"Miami (FL)","USA",2002,1,"26",198.12,"-%","-","-","8' 8''","6' 10.25''",208.915,264.16,"after 2002","US player"
439,439,"Chris Jefferies","6-8",215,"Fresno State","USA",2002,1,"27",203.2,"","","","",NA,NA,NA,"after 2002","US player"
440,440,"Dan Dickau","6-0",180,"Gonzaga","USA",2002,1,"28",182.88,"","","","",NA,NA,NA,"after 2002","US player"
441,441,"Mike Dunleavy","6-9",230,"Duke","USA",2002,1,"3",205.74,"-%","-","-","8' 10''","6' 9''",205.74,269.24,"after 2002","US player"
442,442,"Roger Mason Jr.","6-5",205,"Virginia","USA",2002,2,"30",195.58,"","","","",NA,NA,NA,"after 2002","US player"
443,443,"Robert Archibald","6-11",250,"Illinois","Scotland",2002,2,"31",210.82,"-%","-","-","9' 1.5''","6' 11.75''",212.725,278.13,"after 2002","Foreign player"
444,444,"Vincent Yarbrough","6-7",210,"Tennessee","USA",2002,2,"32",200.66,"-%","-","-","8' 8.5''","7' 0.5''",214.63,265.43,"after 2002","US player"
445,445,"Dan Gadzuric","6-11",240,"California-Los Angeles","Netherlands",2002,2,"33",210.82,"","","","",NA,NA,NA,"after 2002","Foreign player"
446,446,"Carlos Boozer","6-9",266,"Duke","USA",2002,2,"34",205.74,"-%","-","-","9' 0.5''","7' 2.25''",219.075,275.59,"after 2002","US player"
447,447,"David Andersen","6-11",245,"None","USA",2002,2,"36",210.82,"","","","",NA,NA,NA,"after 2002","US player"
448,448,"Tito Maddox","6-4",190,"Fresno State","USA",2002,2,"37",193.04,"-%","-","-","8' 3''","6' 5''",195.58,251.46,"after 2002","US player"
449,449,"Juan Carlos Navarro","6-3",170,"None","",2002,2,"39",190.5,"","","","",NA,NA,NA,"after 2002","Foreign player"
450,450,"Drew Gooden","6-10",250,"Kansas","USA",2002,1,"4",208.28,"-%","-","-","8' 10.5''","7' 0.5''",214.63,270.51,"after 2002","US player"
451,451,"Mario Kasun","7-1",260,"None","",2002,2,"40",215.9,"-%","-","-","9' 1''","6' 11.5''",212.09,276.86,"after 2002","Foreign player"
452,452,"Flip Murray","6-3",197,"Shaw","USA",2002,2,"41",190.5,"","","","",NA,NA,NA,"after 2002","US player"
453,453,"Lonny Baxter","6-8",260,"Maryland","USA",2002,2,"43",203.2,"-%","-","-","8' 11.5''","7' 1.5''",217.17,273.05,"after 2002","US player"
454,454,"Matt Barnes","6-7",226,"UCLA","USA",2002,2,"45",200.66,"-%","-","-","8' 0.5''","6' 9''",205.74,245.11,"after 2002","US player"
455,455,"Jamal Sampson","6-11",235,"California","USA",2002,2,"46",210.82,"","","","",NA,NA,NA,"after 2002","US player"
456,456,"Chris Owens","6-7",245,"Texas","USA",2002,2,"47",200.66,"-%","-","-","8' 8''","6' 11.5''",212.09,264.16,"after 2002","US player"
457,457,"Darius Songaila","6-9",248,"Wake Forest","Lithuania",2002,2,"49",205.74,"-%","-","-","9' 0.5''","7' 1''",215.9,275.59,"after 2002","Foreign player"
458,458,"Nikoloz Tskitishvili","7-0",225,"None","Georgia",2002,1,"5",213.36,"","","","",NA,NA,NA,"after 2002","Foreign player"
459,459,"Rasual Butler","6-7",215,"La Salle","USA",2002,2,"52",200.66,"-%","-","-","8' 9.5''","7' 0''",213.36,267.97,"after 2002","US player"
460,460,"Tamar Slay","6-8",215,"Marshall","USA",2002,2,"53",203.2,"-%","-","-","8' 8''","6' 11.5''",212.09,264.16,"after 2002","US player"
461,461,"Luis Scola","6-9",245,"None","Argentina",2002,2,"55",205.74,"","","","",NA,NA,NA,"after 2002","Foreign player"
462,462,"Randy Holcomb","6-9",220,"San Diego State","USA",2002,2,"56",205.74,"-%","-","-","8' 9''","7' 1''",215.9,266.7,"after 2002","US player"
463,463,"Corsley Edwards","6-9",275,"Central Connecticut State","",2002,2,"57",205.74,"-%","-","-","8' 10.5''","6' 10.75''",210.185,270.51,"after 2002","Foreign player"
464,464,"Dajuan Wagner","6-3",200,"Memphis","USA",2002,1,"6",190.5,"-%","-","-","8' 3''","6' 2''",187.96,251.46,"after 2002","US player"
465,465,"Nene","6-11",250,"None","Brazil",2002,1,"7",210.82,"-%","-","-","9' 1''","7' 4.5''",224.79,276.86,"after 2002","Foreign player"
466,466,"Chris Wilcox","6-10",235,"Maryland","USA",2002,1,"8",208.28,"-%","-","-","8' 11.5''","7' 1''",215.9,273.05,"after 2002","US player"
467,467,"Amar'e Stoudemire","6-11",260,"None","USA",2002,1,"9",210.82,"-%","-","-","9' 0.5''","7' 1.75''",217.805,275.59,"after 2002","US player"
468,468,"LeBron James","6-8",250,"None","USA",2003,1,"1",203.2,"6.70%","-","-","8' 10.25''","7' 0.25''",213.995,269.875,"after 2002","US player"
469,469,"Jarvis Hayes","6-8",228,"Georgia","USA",2003,1,"10",203.2,"","","","",NA,NA,NA,"after 2002","US player"
470,470,"Mickael Pietrus","6-6",215,"None","France",2003,1,"11",198.12,"","","","",NA,NA,NA,"after 2002","Foreign player"
471,471,"Nick Collison","6-10",255,"Kansas","USA",2003,1,"12",208.28,"17.00%","-","-","9' 0''","7' 1.5''",217.17,274.32,"after 2002","US player"
472,472,"Marcus Banks","6-2",212,"Nevada-Las Vegas","USA",2003,1,"13",187.96,"","","","",NA,NA,NA,"after 2002","US player"
473,473,"Luke Ridnour","6-2",175,"Oregon","USA",2003,1,"14",187.96,"5.30%","-","-","7' 11.5''","6' 3''",190.5,242.57,"after 2002","US player"
474,474,"Reece Gaines","6-6",205,"Louisville","USA",2003,1,"15",198.12,"","","","",NA,NA,NA,"after 2002","US player"
475,475,"Troy Bell","6-1",180,"Boston College","USA",2003,1,"16",185.42,"5.30%","-","-","8' 1.5''","6' 5''",195.58,247.65,"after 2002","US player"
476,476,"Zarko Cabarkapa","6-11",230,"None","Serbia and Mo...",2003,1,"17",210.82,"","","","",NA,NA,NA,"after 2002","Foreign player"
477,477,"David West","6-9",240,"Xavier","USA",2003,1,"18",205.74,"8.00%","-","-","9' 0.25''","7' 4.25''",224.155,274.955,"after 2002","US player"
478,478,"Sasha Pavlovic","6-7",235,"None","Montenegro",2003,1,"19",200.66,"","","","",NA,NA,NA,"after 2002","Foreign player"
479,479,"Darko Milicic","7-0",275,"None","Serbia",2003,1,"2",213.36,"8.00%","-","-","9' 3.5''","7' 5''",226.06,283.21,"after 2002","Foreign player"
480,480,"Dahntay Jones","6-6",225,"Duke","USA",2003,1,"20",198.12,"2.60%","-","-","8' 6.5''","6' 9''",205.74,260.35,"after 2002","US player"
481,481,"Boris Diaw","6-8",235,"None","France",2003,1,"21",203.2,"","","","",NA,NA,NA,"after 2002","Foreign player"
482,482,"Zoran Planinic","6-7",200,"None","Croatia",2003,1,"22",200.66,"","","","",NA,NA,NA,"after 2002","Foreign player"
483,483,"Travis Outlaw","6-9",207,"None","USA",2003,1,"23",205.74,"","","","",NA,NA,NA,"after 2002","US player"
484,484,"Brian Cook","6-9",250,"Illinois","USA",2003,1,"24",205.74,"10.50%","-","-","9' 1''","7' 2''",218.44,276.86,"after 2002","US player"
485,485,"Carlos Delfino","6-6",230,"None","Argentina",2003,1,"25",198.12,"","","","",NA,NA,NA,"after 2002","Foreign player"
486,486,"Ndudi Ebi","6-9",200,"None","USA",2003,1,"26",205.74,"","","","",NA,NA,NA,"after 2002","US player"
487,487,"Kendrick Perkins","6-10",270,"None","USA",2003,1,"27",208.28,"","","","",NA,NA,NA,"after 2002","US player"
488,488,"Leandro Barbosa","6-3",194,"None","Brazil",2003,1,"28",190.5,"","","","",NA,NA,NA,"after 2002","Foreign player"
489,489,"Josh Howard","6-7",210,"Wake Forest","USA",2003,1,"29",200.66,"6.00%","-","-","8' 9.5''","7' 2''",218.44,267.97,"after 2002","US player"
490,490,"Carmelo Anthony","6-8",230,"Syracuse","USA",2003,1,"3",203.2,"8.00%","-","-","8' 9.5''","7' 0''",213.36,267.97,"after 2002","US player"
491,491,"Maciej Lampe","6-11",275,"Madrid (ESP)","Poland",2003,2,"30",210.82,"","","","",NA,NA,NA,"after 2002","Foreign player"
492,492,"Jason Kapono","6-8",215,"California-Los Angeles","USA",2003,2,"31",203.2,"11.70%","-","-","8' 6''","6' 6.5''",199.39,259.08,"after 2002","US player"
493,493,"Luke Walton","6-8",235,"Arizona","USA",2003,2,"32",203.2,"9.30%","-","-","8' 8''","6' 8.5''",204.47,264.16,"after 2002","US player"
494,494,"Jerome Beasley","6-9",237,"North Dakota","USA",2003,2,"33",205.74,"9.90%","-","-","8' 11''","7' 0.5''",214.63,271.78,"after 2002","US player"
495,495,"Travis Hansen","6-6",205,"Brigham Young","USA",2003,2,"37",198.12,"6.00%","-","-","8' 4.5''","6' 6.5''",199.39,255.27,"after 2002","US player"
496,496,"Steve Blake","6-3",172,"Maryland","USA",2003,2,"38",190.5,"","","","",NA,NA,NA,"after 2002","US player"
497,497,"Slavko Vranes","7-5",275,"None","USA",2003,2,"39",226.06,"","","","",NA,NA,NA,"after 2002","US player"
498,498,"Chris Bosh","6-11",235,"Georgia Tech","USA",2003,1,"4",210.82,"8.00%","-","-","9' 1''","7' 3.5''",222.25,276.86,"after 2002","US player"
499,499,"Derrick Zimmerman","6-3",195,"Mississippi State","USA",2003,2,"40",190.5,"5.30%","-","-","8' .25''","6' 9''",205.74,244.475,"after 2002","US player"
500,500,"Willie Green","6-3",201,"Detroit Mercy","USA",2003,2,"41",190.5,"8.00%","-","-","8' 4''","6' 7.25''",201.295,254,"after 2002","US player"
501,501,"Zaza Pachulia","6-11",275,"None","Georgia",2003,2,"42",210.82,"","","","",NA,NA,NA,"after 2002","Foreign player"
502,502,"Keith Bogans","6-5",215,"Kentucky","USA",2003,2,"43",195.58,"8.00%","-","-","8' 5''","6' 9.25''",206.375,256.54,"after 2002","US player"
503,503,"Matt Bonner","6-10",235,"Florida","USA",2003,2,"45",208.28,"13.60%","-","-","8' 9.5''","6' 8.75''",205.105,267.97,"after 2002","US player"
504,504,"Mo Williams","6-1",195,"Alabama","USA",2003,2,"47",185.42,"6.70%","-","-","8' 2.5''","6' 5.5''",196.85,250.19,"after 2002","US player"
505,505,"James Lang","6-10",305,"None","USA",2003,2,"48",208.28,"21.40%","-","-","9' 2''","7' 6.25''",229.235,279.4,"after 2002","US player"
506,506,"James Jones","6-8",215,"Miami (FL)","USA",2003,2,"49",203.2,"6.70%","-","-","8' 11.5''","7' 2.5''",219.71,273.05,"after 2002","US player"
507,507,"Dwyane Wade","6-4",220,"Marquette","USA",2003,1,"5",193.04,"6.70%","-","-","8' 6''","6' 10.75''",210.185,259.08,"after 2002","US player"
508,508,"Kyle Korver","6-7",212,"Creighton","USA",2003,2,"51",200.66,"6.70%","-","-","8' 6.5''","6' 9.5''",207.01,260.35,"after 2002","US player"
509,509,"Brandon Hunter","6-7",260,"Ohio","USA",2003,2,"56",200.66,"8.00%","-","-","8' 9.5''","7' 2.75''",220.345,267.97,"after 2002","US player"
510,510,"Andreas Glyniadakis","7-1",280,"None","USA",2003,2,"58",215.9,"","","","",NA,NA,NA,"after 2002","US player"
511,511,"Chris Kaman","7-0",265,"Central Michigan","USA",2003,1,"6",213.36,"16.30%","-","-","9' 2.5''","6' 11.75''",212.725,280.67,"after 2002","US player"
512,512,"Kirk Hinrich","6-4",190,"Kansas","USA",2003,1,"7",193.04,"5.30%","-","-","8' 2.5''","6' 6''",198.12,250.19,"after 2002","US player"
513,513,"T.J. Ford","6-0",165,"Texas","USA",2003,1,"8",182.88,"6.70%","-","-","7' 9.5''","5' 11.5''",181.61,237.49,"after 2002","US player"
514,514,"Michael Sweetney","6-8",270,"Georgetown","USA",2003,1,"9",203.2,"14.10%","-","-","8' 11.5''","7' 1''",215.9,273.05,"after 2002","US player"
515,515,"Dwight Howard","6-11",265,"None","USA",2004,1,"1",210.82,"10.50%","-","-","9' 3.5''","7' 4.5''",224.79,283.21,"after 2002","US player"
516,516,"Luke Jackson","6-7",215,"Oregon","USA",2004,1,"10",200.66,"8.00%","-","-","8' 7''","6' 8.5''",204.47,261.62,"after 2002","US player"
517,517,"Andris Biedrins","7-0",242,"None","Latvia",2004,1,"11",213.36,"9.30%","-","-","",NA,NA,NA,"after 2002","Foreign player"
518,518,"Robert Swift","7-1",245,"None","USA",2004,1,"12",215.9,"","","","",NA,NA,NA,"after 2002","US player"
519,519,"Sebastian Telfair","6-0",170,"None","",2004,1,"13",182.88,"","","","",NA,NA,NA,"after 2002","Foreign player"
520,520,"Kris Humphries","6-9",235,"Minnesota","USA",2004,1,"14",205.74,"6.70%","-","-","8' 10.5''","7' 0.5''",214.63,270.51,"after 2002","US player"
521,521,"Al Jefferson","6-10",289,"None","USA",2004,1,"15",208.28,"10.50%","-","-","9' 2''","7' 2.5''",219.71,279.4,"after 2002","US player"
522,522,"Kirk Snyder","6-6",225,"Nevada-Reno","USA",2004,1,"16",198.12,"9.30%","-","-","8' 8''","6' 9''",205.74,264.16,"after 2002","US player"
523,523,"Josh Smith","6-9",225,"None","USA",2004,1,"17",205.74,"6.70%","-","-","8' 10.5''","7' 0''",213.36,270.51,"after 2002","US player"
524,524,"JR Smith","6-6",220,"None","USA",2004,1,"18",198.12,"","","","",NA,NA,NA,"after 2002","US player"
525,525,"Dorell Wright","6-9",205,"None","USA",2004,1,"19",205.74,"","","","",NA,NA,NA,"after 2002","US player"
526,526,"Emeka Okafor","6-10",255,"Connecticut","USA",2004,1,"2",208.28,"5.30%","-","-","9' 2.5''","7' 4''",223.52,280.67,"after 2002","US player"
527,527,"Jameer Nelson","6-0",190,"None","USA",2004,1,"20",182.88,"8.00%","-","-","7' 11''","6' 2.5''",189.23,241.3,"after 2002","US player"
528,528,"Pavel Podkolzin","7-5",260,"None","Russia",2004,1,"21",226.06,"","","","",NA,NA,NA,"after 2002","Foreign player"
529,529,"Viktor Khryapa","6-9",218,"None","Russia",2004,1,"22",205.74,"","","","",NA,NA,NA,"after 2002","Foreign player"
530,530,"Sergei Monia","6-8",220,"None","Russia",2004,1,"23",203.2,"","","","",NA,NA,NA,"after 2002","Foreign player"
531,531,"Delonte West","6-3",180,"None","",2004,1,"24",190.5,"6.70%","-","-","8' 3.5''","6' 6''",198.12,252.73,"after 2002","Foreign player"
532,532,"Tony Allen","6-4",213,"Oklahoma State","USA",2004,1,"25",193.04,"6.70%","-","-","8' 6''","6' 9''",205.74,259.08,"after 2002","US player"
533,533,"Kevin Martin","6-7",185,"Western Carolina","USA",2004,1,"26",200.66,"","","","",NA,NA,NA,"after 2002","US player"
534,534,"Sasha Vujacic","6-7",205,"None","Slovenia",2004,1,"27",200.66,"","","","",NA,NA,NA,"after 2002","Foreign player"
535,535,"Beno Udrih","6-3",203,"None","Slovenia",2004,1,"28",190.5,"9.30%","-","-","8' 2''","6' 4.5''",194.31,248.92,"after 2002","Foreign player"
536,536,"David Harrison","7-0",280,"Colorado","USA",2004,1,"29",213.36,"","","","",NA,NA,NA,"after 2002","US player"
537,537,"Ben Gordon","6-3",200,"Connecticut","USA",2004,1,"3",190.5,"5.30%","-","-","8' 3''","6' 8.5''",204.47,251.46,"after 2002","US player"
538,538,"Anderson Varejao","6-11",260,"None","Brazil",2004,2,"30",210.82,"","","","",NA,NA,NA,"after 2002","Foreign player"
539,539,"Jackson Vroman","6-10",220,"Iowa State","USA",2004,2,"31",208.28,"6.70%","-","-","8' 9.5''","7' 0''",213.36,267.97,"after 2002","US player"
540,540,"Peter John Ramos","7-3",275,"None","Puerto Rico",2004,2,"32",220.98,"","","","",NA,NA,NA,"after 2002","Foreign player"
541,541,"Lionel Chalmers","6-0",180,"Xavier","USA",2004,2,"33",182.88,"","","","",NA,NA,NA,"after 2002","US player"
542,542,"Donta Smith","6-7",215,"S.E.Illinois","USA",2004,2,"34",200.66,"","","","",NA,NA,NA,"after 2002","US player"
543,543,"Andre Emmett","6-5",230,"Texas Tech","",2004,2,"35",195.58,"6.70%","-","-","8' 4''","6' 9''",205.74,254,"after 2002","Foreign player"
544,544,"Antonio Burks","6-0",195,"Memphis","USA",2004,2,"36",182.88,"9.90%","-","-","8' 0.5''","6' 6.5''",199.39,245.11,"after 2002","US player"
545,545,"Royal Ivey","6-4",215,"Brigham Young","USA",2004,2,"37",193.04,"","","","",NA,NA,NA,"after 2002","US player"
546,546,"Chris Duhon","6-1",190,"Duke","USA",2004,2,"38",185.42,"6.70%","-","-","8' 2''","6' 6.5''",199.39,248.92,"after 2002","US player"
547,547,"Shaun Livingston","6-7",175,"None","USA",2004,1,"4",200.66,"6.70%","-","-","8' 9.5''","6' 11''",210.82,267.97,"after 2002","US player"
548,548,"Justin Reed","6-8",240,"Mississippi","USA",2004,2,"40",203.2,"","","","",NA,NA,NA,"after 2002","US player"
549,549,"Trevor Ariza","6-8",210,"UCLA","USA",2004,2,"43",203.2,"8.00%","-","-","8' 11.5''","7' 2''",218.44,273.05,"after 2002","US player"
550,550,"Bernard Robinson","6-6",210,"Michigan","USA",2004,2,"45",198.12,"6.00%","-","-","8' 6''","6' 10''",208.28,259.08,"after 2002","US player"
551,551,"Ha Ha","7-3",305,"Yonsei (KOR)","South Korea",2004,2,"46",220.98,"","","","",NA,NA,NA,"after 2002","Foreign player"
552,552,"Pape Sow","6-10",250,"Cal State-Fullerton","Senegal",2004,2,"47",208.28,"9.30%","-","-","9' 0.5''","7' 2''",218.44,275.59,"after 2002","Foreign player"
553,553,"Devin Harris","6-3",192,"Wisconsin","USA",2004,1,"5",190.5,"5.30%","-","-","8' 2.5''","6' 7.5''",201.93,250.19,"after 2002","US player"
554,554,"Vassilis Spanoulis","6-4",195,"None","USA",2004,2,"50",193.04,"","","","",NA,NA,NA,"after 2002","US player"
555,555,"Matt Freije","6-10",249,"Vanderbilt","USA",2004,2,"53",208.28,"10.80%","-","-","9' 0.5''","7' 1''",215.9,275.59,"after 2002","US player"
556,556,"Luis Flores","6-2",195,"Manhattan","USA",2004,2,"55",187.96,"6.00%","-","-","8' 2.5''","6' 7.5''",201.93,250.19,"after 2002","US player"
557,557,"Josh Childress","6-8",210,"Stanford","USA",2004,1,"6",203.2,"9.30%","-","-","8' 9''","6' 11''",210.82,266.7,"after 2002","US player"
558,558,"Luol Deng","6-9",220,"Duke","United Kingdo...",2004,1,"7",205.74,"6.70%","-","-","9' 0.5''","7' 0.5''",214.63,275.59,"after 2002","Foreign player"
559,559,"Rafael Araujo","6-11",280,"Brigham Young","Brazil",2004,1,"8",210.82,"","","","",NA,NA,NA,"after 2002","Foreign player"
560,560,"Andre Iguodala","6-6",207,"Arizona","USA",2004,1,"9",198.12,"6.70%","-","-","8' 9.5''","6' 11''",210.82,267.97,"after 2002","US player"
561,561,"Andrew Bogut","7-0",260,"Utah","Australia",2005,1,"1",213.36,"-%","-","-","9' 2.5''","7' 3''",220.98,280.67,"after 2002","Foreign player"
562,562,"Andrew Bynum","7-0",285,"None","USA",2005,1,"10",213.36,"","","","",NA,NA,NA,"after 2002","US player"
563,563,"Yaroslav Korolev","6-9",245,"None","Russia",2005,1,"12",205.74,"","","","",NA,NA,NA,"after 2002","Foreign player"
564,564,"Sean May","6-9",266,"North Carolina","USA",2005,1,"13",205.74,"-%","-","-","8' 9''","7' 1.25''",216.535,266.7,"after 2002","US player"
565,565,"Rashad McCants","6-4",210,"North Carolina","USA",2005,1,"14",193.04,"-%","-","-","8' 7.5''","6' 10.75''",210.185,262.89,"after 2002","US player"
566,566,"Antoine Wright","6-7",215,"Texas A&M","USA",2005,1,"15",200.66,"-%","-","-","8' 8.5''","6' 8.75''",205.105,265.43,"after 2002","US player"
567,567,"Joey Graham","6-7",225,"Oklahoma State","USA",2005,1,"16",200.66,"-%","-","-","8' 8''","6' 8''",203.2,264.16,"after 2002","US player"
568,568,"Danny Granger","6-8",228,"New Mexico","USA",2005,1,"17",203.2,"-%","-","-","8' 7''","7' 1.5''",217.17,261.62,"after 2002","US player"
569,569,"Gerald Green","6-8",200,"None","USA",2005,1,"18",203.2,"-%","-","-","8' 8''","6' 9.75''",207.645,264.16,"after 2002","US player"
570,570,"Hakim Warrick","6-9",219,"Syracuse","USA",2005,1,"19",205.74,"-%","-","-","9' 0''","7' 2''",218.44,274.32,"after 2002","US player"
571,571,"Marvin Williams","6-9",245,"North Carolina","USA",2005,1,"2",205.74,"-%","-","-","9' 0''","7' 3.5''",222.25,274.32,"after 2002","US player"
572,572,"Julius Hodge","6-7",210,"North Carolina State","USA",2005,1,"20",200.66,"-%","-","-","8' 11.5''","7' 0.5''",214.63,273.05,"after 2002","US player"
573,573,"Nate Robinson","5-9",180,"Washington","USA",2005,1,"21",175.26,"","","","",NA,NA,NA,"after 2002","US player"
