"X","Unnamed..0","Player","Height","Weight","College","Country","Draft_Year","Draft_Round","Draft_Number","Height_cm","Body_fat","Hand_length","Hand_width","Standing_reach","Wingspan","Wingspan_cm","Standing_reach_cm","period","Nationality"
46,46,"Shawn Kemp","6-10",280,"Trinity Valley Community College","USA",1989,1,"17",208.28,"","","","",NA,NA,NA,"before 2002","US player"
47,47,"Danny Ferry","6-10",235,"Duke","USA",1989,1,"2",208.28,"","","","",NA,NA,NA,"before 2002","US player"
48,48,"Vlade Divac","7-1",260,"None","Serbia and Mo...",1989,1,"26",215.9,"","","","",NA,NA,NA,"before 2002","Foreign player"
49,49,"Sean Elliott","6-8",220,"Arizona","USA",1989,1,"3",203.2,"","","","",NA,NA,NA,"before 2002","US player"
50,50,"Clifford Robinson","6-10",225,"Connecticut","USA",1989,2,"36",208.28,"","","","",NA,NA,NA,"before 2002","US player"
51,51,"Glen Rice","6-8",220,"Michigan","USA",1989,1,"4",203.2,"","","","",NA,NA,NA,"before 2002","US player"
52,52,"Chucky Brown","6-8",220,"North Carolina State","USA",1989,2,"43",203.2,"","","","",NA,NA,NA,"before 2002","US player"
53,53,"George McCloud","6-8",225,"Florida State","USA",1989,1,"7",203.2,"","","","",NA,NA,NA,"before 2002","US player"
54,54,"Derrick Coleman","6-10",270,"Syracuse","USA",1990,1,"1",208.28,"","","","",NA,NA,NA,"before 2002","US player"
55,55,"Tyrone Hill","6-9",250,"Xavier","USA",1990,1,"11",205.74,"","","","",NA,NA,NA,"before 2002","US player"
56,56,"Loy Vaught","6-9",240,"Michigan","USA",1990,1,"13",205.74,"","","","",NA,NA,NA,"before 2002","US player"
57,57,"Duane Causwell","7-0",255,"Temple","USA",1990,1,"18",213.36,"","","","",NA,NA,NA,"before 2002","US player"
58,58,"Gary Payton","6-4",180,"Oregon State","USA",1990,1,"2",193.04,"","","","",NA,NA,NA,"before 2002","US player"
59,59,"Elden Campbell","7-0",279,"Clemson","USA",1990,1,"27",213.36,"","","","",NA,NA,NA,"before 2002","US player"
60,60,"Toni Kukoc","6-11",235,"None","Croatia",1990,2,"29",210.82,"","","","",NA,NA,NA,"before 2002","Foreign player"
61,61,"Mahmoud Abdul-Rauf","6-1",162,"Louisiana State","USA",1990,1,"3",185.42,"","","","",NA,NA,NA,"before 2002","US player"
62,62,"Jud Buechler","6-6",228,"Arizona","USA",1990,2,"38",198.12,"","","","",NA,NA,NA,"before 2002","US player"
63,63,"Bimbo Coles","6-2",182,"Virginia Tech","USA",1990,2,"40",187.96,"","","","",NA,NA,NA,"before 2002","US player"
64,64,"Tony Massenburg","6-9",250,"Maryland","USA",1990,2,"43",205.74,"","","","",NA,NA,NA,"before 2002","US player"
65,65,"Antonio Davis","6-9",230,"Texas-El Paso","USA",1990,2,"45",205.74,"","","","",NA,NA,NA,"before 2002","US player"
66,66,"Derek Strong","6-9",240,"Xavier","USA",1990,2,"47",205.74,"","","","",NA,NA,NA,"before 2002","US player"
67,67,"Cedric Ceballos","6-7",220,"Cal State-Fullerton","USA",1990,2,"48",200.66,"","","","",NA,NA,NA,"before 2002","US player"
68,68,"Kendall Gill","6-5",215,"Illinois","USA",1990,1,"5",195.58,"","","","",NA,NA,NA,"before 2002","US player"
69,69,"Felton Spencer","7-0",290,"Louisville","USA",1990,1,"6",213.36,"","","","",NA,NA,NA,"before 2002","US player"
70,70,"Larry Johnson","6-7",235,"Nevada-Las Vegas","USA",1991,1,"1",200.66,"","","","",NA,NA,NA,"before 2002","US player"
71,71,"Terrell Brandon","5-11",173,"Oregon","USA",1991,1,"11",180.34,"","","","",NA,NA,NA,"before 2002","US player"
72,72,"Greg Anthony","6-1",180,"Nevada-Las Vegas","USA",1991,1,"12",185.42,"","","","",NA,NA,NA,"before 2002","US player"
73,73,"Dale Davis","6-11",252,"Clemson","USA",1991,1,"13",210.82,"","","","",NA,NA,NA,"before 2002","US player"
