,PLAYER,TEAM,PER,RK,Height_cm,Weight
104,Trey Burke,DAL,16.53,105.0,185.42000000000002,175.0
105,Kyle Lowry,TOR,16.51,106.0,185.42000000000002,196.0
106,Jaren Jackson Jr.,MEM,16.43,107.0,210.82,242.0
107,T.J. Warren,PHX,16.36,108.0,203.2,215.0
108,J.J. Barea,DAL,16.36,,182.88,185.0
109,Spencer Dinwiddie,BKN,16.32,110.0,198.12,210.0
110,Monte Morris,DEN,16.3,111.0,190.5,175.0
111,Thaddeus Young,IND,16.28,112.0,203.2,221.0
112,Ante Zizic,CLE,16.28,,210.82,254.0
113,Bojan Bogdanovic,IND,16.14,114.0,203.2,216.0
114,Ivan Rabb,MEM,16.13,115.0,208.28,220.0
115,Bobby Portis,CHI,16.12,116.0,210.82,250.0
116,Jamal Murray,DEN,16.11,117.0,193.04,207.0
117,Dewayne Dedmon,ATL,16.06,118.0,213.36,245.0
118,Robin Lopez,CHI,15.9,119.0,213.36,275.0
119,Otto Porter Jr.,CHI,15.9,,203.2,198.0
120,Dwyane Wade,MIA,15.86,121.0,193.04,220.0
121,Meyers Leonard,POR,15.84,122.0,215.9,255.0
122,Omri Casspi,MEM,15.78,123.0,205.74,225.0
123,D.J. Augustin,ORL,15.72,124.0,182.88,183.0
124,Gordon Hayward,BOS,15.62,125.0,203.2,225.0
125,Jabari Parker,CHI,15.57,126.0,203.2,245.0
126,Delon Wright,TOR,15.54,127.0,195.58,183.0
127,Terrence Ross,ORL,15.45,128.0,200.66,206.0
128,Jeff Teague,MIN,15.43,129.0,187.96,195.0
129,Tony Parker,CHA,15.4,130.0,187.96,185.0
130,Nemanja Bjelica,SAC,15.4,,208.28,234.0
131,Shabazz Napier,BKN,15.31,132.0,185.42000000000002,180.0
132,Wendell Carter Jr.,CHI,15.28,133.0,208.28,255.0
133,Reggie Jackson,DET,15.22,134.0,190.5,208.0
134,Kelly Oubre Jr.,PHX,15.22,,200.66,205.0
135,Aaron Gordon,ORL,15.18,136.0,205.74,220.0
136,JJ Redick,PHI,15.15,137.0,193.04,200.0
