Player,Height_cm
Nazr Mohammed,208.28
Raef LaFrentz,210.82
Ansu Sesay,205.74
Ruben Patterson,195.58
Rashard Lewis,208.28
Jelani McCoy,208.28
Shammond Williams,185.42
Bruno Sundov,218.44
Jerome James,215.9
Rafer Alston,187.96
Antawn Jamison,205.74
Cuttino Mobley,193.04
Jahidi White,205.74
Sean Marks,208.28
Vince Carter,198.12
Derrick Dial,193.04
Greg Buckner,193.04
Tremaine Fowlkes,203.2
Ryan Bowen,205.74
Torraye Braggs,203.2
Maceo Baston,208.28
Robert Traylor,203.2
Jason Williams,185.42
Larry Hughes,195.58
Dirk Nowitzki,213.36
Elton Brand,205.74
Jason Terry,187.96
Trajan Langdon,190.5
Aleksandar Radojevic,220.98
Corey Maggette,198.12
Metta World Peace,200.66
Cal Bowdler,208.28
James Posey,203.2
Quincy Lewis,200.66
Steve Francis,190.5
Dion Glover,195.58
Jeff Foster,210.82
Kenny Thomas,200.66
Devean George,203.2
Andrei Kirilenko,205.74
Vonteego Cummings,190.5
Jumaine Jones,203.2
Scott Padgett,205.74
Leon Smith,208.28
Baron Davis,190.5
Michael Ruffin,203.2
Chris Herren,187.96
Evan Eschmeyer,210.82
Calvin Booth,210.82
Wang Zhi-zhi,215.9
Obinna Ekezie,205.74
Laron Profit,195.58
Lamar Odom,208.28
Gordan Giricek,198.12
Francisco Elson,213.36
Lee Nailon,205.74
Todd MacCulloch,213.36
Jonathan Bender,213.36
Rodney Buford,195.58
Manu Ginobili,198.12
Wally Szczerbiak,200.66
Richard Hamilton,200.66
Andre Miller,187.96
Shawn Marion,200.66
Guy Rucker,205.74
Kenyon Martin,205.74
Keyon Dooling,190.5
Jerome Moiso,208.28
Etan Thomas,208.28
Courtney Alexander,198.12
Mateen Cleaves,187.96
Jason Collier,213.36
Hedo Turkoglu,208.28
Desmond Mason,195.58
Quentin Richardson,198.12
Jamaal Magloire,210.82
Stromile Swift,205.74
Speedy Claxton,180.34
Morris Peterson,200.66
Donnell Harvey,203.2
DeShawn Stevenson,195.58
Dalibor Bagaric,215.9
Jake Tsakalidis,218.44
Mamadou N'diaye,213.36
Primoz Brezec,215.9
Erick Barkley,185.42
Mark Madsen,205.74
Darius Miles,205.74
Marko Jaric,200.66
Dan Langhi,210.82
A.J. Guyton,185.42
Jake Voskuhl,210.82
Mike Smith,203.2
Soumaila Samake,208.28
Eddie House,185.42
Eduardo Najera,203.2
Lavor Postell,195.58
Marcus Fizer,205.74
Hanno Mottola,210.82
Olumide Oyedeji,208.28
Michael Redd,198.12
Brian Cardinal,203.2
Jabari Smith,210.82
Jason Hart,187.96
Mike Miller,203.2
Kaniel Dickens,203.2
Igor Rakocevic,187.96
Ernest Brown,213.36
Dan McClintock,213.36
Chris Porter,200.66
DerMarr Johnson,205.74
Chris Mihm,213.36
Jamal Crawford,195.58
Joel Przybilla,215.9
Kwame Brown,210.82
Joe Johnson,200.66
Kedrick Brown,200.66
Vladimir Radmanovic,208.28
Richard Jefferson,200.66
Troy Murphy,210.82
Steven Hunter,208.28
Kirk Haston,205.74
Michael Bradley,205.74
Jason Collins,213.36
Zach Randolph,205.74
Tyson Chandler,215.9
Brendan Haywood,213.36
Joseph Forte,193.04
Jeryl Sasser,198.12
Brandon Armstrong,195.58
Raul Lopez,182.88
Gerald Wallace,200.66
Samuel Dalembert,210.82
Jamaal Tinsley,190.5
Tony Parker,187.96
Trenton Hassell,195.58
Pau Gasol,213.36
Gilbert Arenas,193.04
Omar Cook,185.42
Will Solomon,185.42
Terence Morris,205.74
Brian Scalabrine,205.74
Jeff Trepagnier,193.04
Damone Brown,203.2
Mehmet Okur,210.82
Earl Watson,185.42
Eddy Curry,213.36
Jamison Brewer,187.96
Bobby Simmons,198.12
Sean Lampley,200.66
Loren Woods,215.9
Antonis Fotsis,208.28
Ken Johnson,208.28
Ruben Boumtje-Boumtje,213.36
Jason Richardson,198.12
Alton Ford,205.74
Jarron Collins,210.82
Kenny Satterfield,185.42
Alvin Jones,210.82
Shane Battier,203.2
Eddie Griffin,208.28
DeSagana Diop,213.36
Rodney White,205.74
Yao Ming,228.6
Caron Butler,200.66
Jared Jeffries,210.82
Melvin Ely,208.28
Marcus Haislip,208.28
Fred Jones,187.96
Bostjan Nachbar,205.74
Jiri Welsch,200.66
Juan Dixon,190.5
Curtis Borchardt,213.36
Ryan Humphrey,203.2
Jay Williams,187.96
Kareem Rush,198.12
Qyntel Woods,203.2
Casey Jacobsen,198.12
Tayshaun Prince,205.74
Nenad Krstic,213.36
Frank Williams,190.5
John Salmons,198.12
Chris Jefferies,203.2
Dan Dickau,182.88
Mike Dunleavy,205.74
Roger Mason Jr.,195.58
Robert Archibald,210.82
Vincent Yarbrough,200.66
Dan Gadzuric,210.82
Carlos Boozer,205.74
David Andersen,210.82
Tito Maddox,193.04
Juan Carlos Navarro,190.5
Drew Gooden,208.28
Mario Kasun,215.9
Flip Murray,190.5
Lonny Baxter,203.2
Matt Barnes,200.66
Jamal Sampson,210.82
Chris Owens,200.66
Darius Songaila,205.74
Nikoloz Tskitishvili,213.36
Rasual Butler,200.66
Tamar Slay,203.2
Luis Scola,205.74
Randy Holcomb,205.74
Corsley Edwards,205.74
Dajuan Wagner,190.5
Nene,210.82
Chris Wilcox,208.28
Amar'e Stoudemire,210.82
LeBron James,203.2
Jarvis Hayes,203.2
Mickael Pietrus,198.12
Nick Collison,208.28
Marcus Banks,187.96
Luke Ridnour,187.96
Reece Gaines,198.12
Troy Bell,185.42
Zarko Cabarkapa,210.82
David West,205.74
Sasha Pavlovic,200.66
Darko Milicic,213.36
Dahntay Jones,198.12
Boris Diaw,203.2
Zoran Planinic,200.66
Travis Outlaw,205.74
Brian Cook,205.74
Carlos Delfino,198.12
Ndudi Ebi,205.74
Kendrick Perkins,208.28
Leandro Barbosa,190.5
Josh Howard,200.66
Carmelo Anthony,203.2
Maciej Lampe,210.82
Jason Kapono,203.2
Luke Walton,203.2
Jerome Beasley,205.74
Travis Hansen,198.12
Steve Blake,190.5
Slavko Vranes,226.06
Chris Bosh,210.82
Derrick Zimmerman,190.5
Willie Green,190.5
Zaza Pachulia,210.82
Keith Bogans,195.58
Matt Bonner,208.28
Mo Williams,185.42
James Lang,208.28
James Jones,203.2
Dwyane Wade,193.04
Kyle Korver,200.66
Brandon Hunter,200.66
Andreas Glyniadakis,215.9
Chris Kaman,213.36
Kirk Hinrich,193.04
T.J. Ford,182.88
Michael Sweetney,203.2
Dwight Howard,210.82
Luke Jackson,200.66
Andris Biedrins,213.36
Robert Swift,215.9
Sebastian Telfair,182.88
Kris Humphries,205.74
Al Jefferson,208.28
Kirk Snyder,198.12
Josh Smith,205.74
JR Smith,198.12
Dorell Wright,205.74
