Player,Height_cm
Kristaps Porzingis,220.98
Josh Richardson,198.12
Pat Connaughton,195.58
Joe Young,187.96
Andrew Harrison,198.12
Norman Powell,193.04
Dakari Johnson,213.36
Mario Hezonja,203.2
Branden Dawson,198.12
Willie Cauley-Stein,213.36
Emmanuel Mudiay,195.58
Stanley Johnson,200.66
Frank Kaminsky,213.36
Ben Simmons,208.28
Thon Maker,215.9
Domantas Sabonis,208.28
Taurean Prince,203.2
Georgios Papagiannis,215.9
Denzel Valentine,198.12
Juancho Hernangomez,205.74
Guerschon Yabusele,203.2
Wade Baldwin IV,193.04
Henry Ellenson,210.82
Malik Beasley,195.58
Brandon Ingram,205.74
Caris LeVert,200.66
DeAndre' Bembry,198.12
Malachi Richardson,198.12
Ante Zizic,210.82
Timothe Luwawu-Cabarrot,198.12
Brice Johnson,208.28
Furkan Korkmaz,200.66
Pascal Siakam,205.74
Skal Labissiere,210.82
Dejounte Murray,195.58
Jaylen Brown,200.66
Damian Jones,213.36
Deyonta Davis,210.82
Ivica Zubac,215.9
Cheick Diallo,205.74
Tyler Ulis,177.8
Malcolm Brogdon,195.58
Chinanu Onuaku,208.28
Patrick McCaw,200.66
Dragan Bender,215.9
Diamond Stone,210.82
Stephen Zimmerman,213.36
Isaiah Whitehead,193.04
Zhou Qi,215.9
Demetrius Jackson,185.42
AJ Hammons,213.36
Jake Layman,205.74
Paul Zipser,203.2
Michael Gbinije,200.66
Kris Dunn,193.04
Georges Niang,198.12
Ben Bentil,205.74
Joel Bolomboy,205.74
Kay Felder,175.26
Marcus Paige,182.88
Daniel Hamilton,200.66
Abdel Nader,198.12
Buddy Hield,193.04
Tyrone Wallace,195.58
Jamal Murray,193.04
Marquese Chriss,208.28
Jakob Poeltl,213.36
Markelle Fultz,193.04
Zach Collins,213.36
Malik Monk,190.5
Luke Kennard,195.58
Donovan Mitchell,190.5
Bam Adebayo,208.28
Justin Jackson,203.2
Justin Patton,213.36
D.J. Wilson,208.28
TJ Leaf,208.28
John Collins,208.28
Lonzo Ball,198.12
Harry Giles III,210.82
Terrance Ferguson,200.66
Jarrett Allen,210.82
OG Anunoby,203.2
Tyler Lydon,205.74
Anzejs Pasecniks,218.44
Caleb Swanigan,203.2
Kyle Kuzma,205.74
Tony Bradley,208.28
Derrick White,193.04
Jayson Tatum,203.2
Josh Hart,195.58
Frank Jackson,190.5
Davon Reed,198.12
Wes Iwundu,200.66
Frank Mason,180.34
Ivan Rabb,208.28
Jonah Bolden,203.2
Semi Ojeleye,200.66
Jordan Bell,205.74
Jawun Evans,182.88
Josh Jackson,203.2
Dwayne Bacon,200.66
Tyler Dorsey,195.58
Thomas Bryant,208.28
Isaiah Hartenstein,213.36
Damyean Dotson,195.58
Dillon Brooks,198.12
Sterling Brown,198.12
Ike Anigbogu,208.28
Sindarius Thornwell,195.58
Vlatko Cancar,203.2
De'Aaron Fox,190.5
Monte Morris,190.5
Edmond Sumner,195.58
Kadeem Allen,190.5
Alec Peters,205.74
Nigel Williams-Goss,187.96
Jabari Bird,198.12
Jaron Blossomgame,203.2
Jonathan Isaac,208.28
Lauri Markkanen,213.36
Frank Ntilikina,195.58
Dennis Smith Jr.,190.5
Deandre Ayton,210.82
Mikal Bridges,198.12
Shai Gilgeous-Alexander,195.58
Miles Bridges,198.12
Jerome Robinson,193.04
Michael Porter Jr.,208.28
Troy Brown Jr.,198.12
Zhaire Smith,190.5
Donte DiVincenzo,193.04
Lonnie Walker IV,195.58
Kevin Huerter,200.66
Marvin Bagley III,210.82
Josh Okogie,193.04
Grayson Allen,193.04
Chandler Hutchison,200.66
Aaron Holiday,182.88
Anfernee Simons,190.5
Moritz Wagner,210.82
Landry Shamet,193.04
Robert Williams III,203.2
Jacob Evans,193.04
Dzanan Musa,205.74
Luka Doncic,200.66
Omari Spellman,203.2
Elie Okobo,190.5
Jevon Carter,185.42
Jalen Brunson,185.42
Devonte' Graham,185.42
Melvin Frazier Jr.,195.58
Mitchell Robinson,213.36
Khyri Thomas,190.5
Isaac Bonga,203.2
Jaren Jackson Jr.,210.82
Rodions Kurucs,205.74
Jarred Vanderbilt,205.74
Bruce Brown,193.04
Hamidou Diallo,195.58
De'Anthony Melton,187.96
Svi Mykhailiuk,200.66
Keita Bates-Diop,203.2
Chimezie Metu,205.74
Trae Young,185.42
Alize Johnson,200.66
Vincent Edwards,203.2
Devon Hall,187.96
Shake Milton,195.58
Ray Spalding,208.28
Kevin Hervey,205.74
Thomas Welsh,213.36
George King,198.12
Mo Bamba,213.36
Kostas Antetokounmpo,208.28
Wendell Carter Jr.,205.74
Collin Sexton,185.42
Kevin Knox II,200.66
Zion Williamson,198.12
Cam Reddish,203.2
Cameron Johnson,203.2
P.J. Washington,200.66
Tyler Herro,195.58
Romeo Langford,193.04
Sekou Doumbouya,203.2
Nickeil Alexander-Walker,195.58
Goga Bitadze,210.82
Luka Samanic,208.28
Ja Morant,190.5
Matisse Thybulle,195.58
Brandon Clarke,203.2
Grant Williams,198.12
Darius Bazley,203.2
Ty Jerome,195.58
Nassir Little,195.58
Mfiondu Kabengele,205.74
Jordan Poole,193.04
Keldon Johnson,195.58
RJ Barrett,198.12
Kevin Porter Jr.,193.04
Nicolas Claxton,210.82
KZ Okpala,203.2
Carsen Edwards,180.34
Bruno Fernando,205.74
Cody Martin,195.58
Daniel Gafford,208.28
Alen Smailagic,208.28
De'Andre Hunter,200.66
Justin James,200.66
Eric Paschall,198.12
Admiral Schofield,195.58
Jaylen Nowell,193.04
Isaiah Roby,203.2
Talen Horton-Tucker,193.04
Ignas Brazdeikis,198.12
Terance Mann,195.58
Quinndary Weatherspoon,190.5
Darius Garland,185.42
Jarrell Brantley,195.58
Tremont Waters,177.8
Jalen McDaniels,208.28
Justin Wright-Foreman,182.88
Marial Shayok,195.58
Kyle Guy,185.42
Jordan Bone,190.5
Miye Oni,195.58
Dewan Hernandez,208.28
Jarrett Culver,198.12
Coby White,193.04
Jaxson Hayes,210.82
Rui Hachimura,203.2
Alex Kirk,213.36
Andre Dawkins,195.58
David Wear,208.28
Drew Gordon,205.74
Jabari Brown,195.58
Jerel McNeal,190.5
Sim Bhullar,226.06
Zoran Dragic,195.58
Allan Ray,187.96
Cedric Bozeman,198.12
Chris McCray,195.58
Ivan McFarlin,200.66
Kevinn Pinkney,208.28
Lynn Greer,187.96
Mike Hall,203.2
Renaldo Major,200.66
Robert Hite,187.96
Roger Powell,198.12
Steven Smith,205.74
Garret Siler,210.82
Marcus Cousin,210.82
Pooh Jeter,180.34
Sherron Collins,180.34
Zabian Dowdell,190.5
Adonis Thomas,200.66
Brandon Davies,208.28
Casper Ware,177.8
Chris Babb,195.58
Chris Smith,187.96
Dionte Christmas,195.58
Elias Harris,203.2
Gal Mekel,190.5
Gigi Datome,203.2
James Southerland,203.2
Miroslav Raduljica,213.36
Mustafa Shakur,190.5
Pero Antic,210.82
Shane Edwards,200.66
Tony Mitchell,198.12
Toure' Murry,195.58
Vitor Faverani,210.82
Brandin Knight,182.88
Erik Daniels,203.2
Geno Carlisle,190.5
Horace Jenkins,185.42
Ibrahim Kutluay,198.12
Jared Reiner,210.82
Maurice Baker,187.96
Tony Bobbitt,193.04
Yuta Tabuse,175.26
Andy Panko,205.74
Chris Garner,177.8
David Benoit,203.2
David Vanterpool,195.58
Garth Joseph,218.44
Jamel Thomas,198.12
Kornel David,205.74
Paul McPherson,193.04
Sean Colson,182.88
Terry Davis,208.28
Alex Garcia,190.5
Ben Handlogten,208.28
Britton Johnsen,208.28
Desmond Ferguson,200.66
Desmond Penigar,200.66
Hiram Fuller,205.74
Kirk Penney,195.58
Maurice Carter,195.58
Shane Heal,182.88
Theron Smith,203.2
DeMarcus Nelson,193.04
Desmon Farmer,195.58
Dontell Jefferson,195.58
Rob Kurz,205.74
Steven Hill,213.36
Angel Delgado,208.28
Billy Garrett,198.12
Bonzie Colson,198.12
Brandon Sampson,195.58
Cameron Reynolds,203.2
DJ Stephens,195.58
Dairis Bertans,193.04
DeVaughn Akoon-Purcell,198.12
Deng Adel,200.66
Donte Grantham,203.2
Emanuel Terry,205.74
Haywood Highsmith,200.66
Isaac Humphries,213.36
Isaiah Briscoe,190.5
James Nunnally,200.66
Jared Terrell,190.5
Jaylen Adams,187.96
Jemerrio Jones,195.58
Jordan Loyd,193.04
Jordan Sibert,193.04
Julian Washburn,203.2
Kalin Lucas,185.42
Marcus Derrickson,200.66
Mitchell Creek,198.12
Rawle Alkins,195.58
Tahjere McCall,195.58
Trevon Duval,187.96
Troy Caupain,193.04
Tyler Davis,208.28
Yante Maten,203.2
Zach Lofton,193.04
Aaron Miles,185.42
Alex Scales,193.04
Anthony Grundy,190.5
Anthony Roberson,187.96
Arvydas Macijauskas,193.04
Boniface Ndong,213.36
Deng Gai,205.74
Devin Green,200.66
Donell Taylor,195.58
Eddie Basden,195.58
Esteban Batista,208.28
Gerald Fitch,190.5
Jackie Butler,208.28
James Thomas,205.74
John Edwards,213.36
Keith McLeod,187.96
Kevin Burleson,190.5
Luke Schenscher,215.9
Matt Walsh,198.12
Melvin Sanders,195.58
Noel Felix,205.74
Rawle Marshall,200.66
Sarunas Jasikevicius,193.04
Sharrod Ford,205.74
Arinze Onuaku,205.74
Daniel Ochefu,210.82
Kyle Wiltjer,208.28
Maurice Ndour,205.74
Mike Tobey,213.36
Nicolas Laprovittola,193.04
Patricio Garino,198.12
Shawn Long,205.74
Sheldon Mac,198.12
Adam Mokoka,195.58
Allonzo Trier,193.04
Amile Jefferson,205.74
Amir Coffey,200.66
BJ Johnson,200.66
Brad Wanamaker,190.5
Brandon Goodwin,182.88
Brian Bowen II,198.12
Caleb Martin,195.58
Charles Brown Jr.,198.12
Chasson Randle,187.96
Chris Chiozza,180.34
Chris Clemons,175.26
Chris Silva,203.2
DaQuan Jeffries,195.58
Daryl Macon,187.96
Dean Wade,205.74
Deonte Burton,193.04
Donta Hall,205.74
Drew Eubanks,205.74
Duncan Robinson,200.66
Dusty Hannahs,190.5
Eric Mika,208.28
Gabe Vincent,190.5
Garrison Mathews,195.58
Gary Clark,198.12
Gary Trent Jr.,195.58
J.P. Macura,193.04
Jalen Lecque,193.04
Jared Harper,177.8
Jarrod Uthoff,205.74
Javonte Green,193.04
Jaylen Hoard,203.2
Jeremiah Martin,187.96
Joe Chealey,193.04
John Konchar,195.58
Johnathan Williams,205.74
Jordan McLaughlin,180.34
Josh Reaves,193.04
Juan Toscano-Anderson,198.12
Justin Robinson,185.42
Juwan Morgan,200.66
Kelan Martin,195.58
Kendrick Nunn,187.96
Kenrich Williams,198.12
Ky Bowman,185.42
Louis King,200.66
Luguentz Dort,190.5
Malik Newman,190.5
Marko Guduric,198.12
Marques Bolden,208.28
Matt Mooney,187.96
Matt Thomas,193.04
Max Strus,195.58
Michael Frazier,190.5
Moses Brown,218.44
Mychal Mulder,190.5
Naz Reid,205.74
Nicolo Melli,205.74
Norvel Pelle,208.28
Oshae Brissett,200.66
Paul Watson,198.12
Rayjon Tucker,190.5
Ryan Broekhoff,198.12
Shamorie Ponds,182.88
Stanton Kidd,198.12
Tacko Fall,226.06
Tariq Owens,208.28
Terence Davis,193.04
Theo Pinson,195.58
Tyler Cook,203.2
Vic Law,200.66
Vincent Poirier,213.36
Wenyen Gabriel,205.74
William Howard,203.2
Yuta Watanabe,203.2
Zach Norvell Jr.,195.58
Zylan Cheatham,195.58
Alex Stepheson,208.28
Axel Toupane,200.66
Bryce Cotton,185.42
Bryce Dejean-Jones,198.12
Christian Wood,210.82
Cliff Alexander,203.2
Coty Clarke,200.66
Damjan Rudez,205.74
Duje Dukan,205.74
Elijah Millsap,198.12
Hollis Thompson,203.2
JJ O'Brien,200.66
Jorge Gutierrez,190.5
Keith Appling,185.42
Marcelo Huertas,190.5
Phil Pressey,180.34
Seth Curry,187.96
Shayne Whittington,210.82
Alexey Shved,198.12
Ben Hansbrough,190.5
Brian Roberts,185.42
Chris Copeland,203.2
DeQuan Jones,203.2
Diante Garrett,193.04
Henry Sims,208.28
Josh Akognon,180.34
Kevin Jones,203.2
Luke Zeller,210.82
Maalik Wayns,185.42
Pablo Prigioni,190.5
Scott Machado,185.42
Tim Ohlbrecht,210.82
Viacheslav Kravtsov,210.82
Antonio Anderson,198.12
Cedric Jackson,190.5
Chris Hunter,210.82
Jawad Williams,205.74
Marcus Landry,200.66
Oliver Lafayette,187.96
Othello Hunter,203.2
Othyus Jeffers,195.58
Pops Mensah-Bonsu,205.74
Trey Gilder,205.74
Will Conroy,187.96
Adam Harrington,195.58
Antoine Rigaudeau,200.66
Brandon Williams,198.12
Cezary Trybanski,218.44
J.R. Bremer,187.96
Juaquin Hawkins,200.66
Junior Harrington,193.04
Mike Batiste,203.2
Nate Huffman,215.9
Pat Burke,210.82
Paul Shirley,208.28
Pepe Sanchez,193.04
Predrag Savovic,198.12
Ruben Wolkowyski,208.28
Andre Barrett,177.8
Andre Brown,205.74
Andre Owens,193.04
Awvee Storey,198.12
Billy Thomas,195.58
Chris Quinn,187.96
Coby Karl,195.58
Courtney Sims,210.82
DJ Mbenga,213.36
Darius Washington,187.96
Devin Brown,195.58
Dwayne Jones,210.82
Fabricio Oberto,208.28
Ime Udoka,195.58
Jeremy Richardson,200.66
Jorge Garbajosa,205.74
Josh Powell,205.74
Justin Williams,208.28
Kasib Powell,200.66
Keith Langford,193.04
Lance Allred,210.82
Linton Johnson,203.2
Mario West,195.58
Mike Harris,198.12
Mike Wilks,177.8
Quinton Ross,198.12
Randolph Morris,210.82
Richie Frahm,195.58
Ronald Dupree,200.66
Shavlik Randolph,208.28
Smush Parker,193.04
Stephen Graham,198.12
Tarence Kinsey,198.12
Thomas Gardner,195.58
Walter Herrmann,205.74
Yakhouba Diawara,200.66
Aaron Williams,205.74
Adrian Griffin,195.58
Art Long,205.74
Avery Johnson,180.34
Bo Outlaw,203.2
Bruce Bowen,200.66
Carlos Arroyo,187.96
Charlie Bell,190.5
Chris Childs,190.5
Chucky Atkins,180.34
Damon Jones,190.5
Daniel Santiago,215.9
Darrell Armstrong,185.42
Darrick Martin,180.34
Darvin Ham,200.66
David Wesley,185.42
Dean Oliver,180.34
Eddie Gill,182.88
Eddie Robinson,205.74
Emanual Davis,195.58
Erick Strickland,190.5
Harold Jamison,205.74
Ira Newble,200.66
Jaren Jackson,198.12
Jermaine Jackson,195.58
Joe Crispin,182.88
John Amaechi,208.28
John Starks,195.58
Kevin Ollie,187.96
Larry Robinson,190.5
Malik Allen,208.28
Mark Strickland,208.28
Mengke Bateer,210.82
Michael Curry,195.58
Michael Stewart,208.28
Mike Penberthy,190.5
Milt Palacio,190.5
Mitchell Butler,195.58
Norman Richardson,195.58
Oscar Torres,198.12
Reggie Slater,200.66
Rick Brunson,193.04
Robert Pack,187.96
Rusty LaRue,190.5
Scott Williams,208.28
Slava Medvedenko,208.28
Steve Goodrich,208.28
Tang Hamilton,203.2
Tierre Brown,187.96
Troy Hudson,185.42
Tyrone Nesby,198.12
Zendon Hamilton,210.82
Aaron Harrison,198.12
Aaron Jackson,190.5
Alan Williams,203.2
Alex Caruso,195.58
Alex Poythress,205.74
Alfonzo McKinnie,203.2
Andre Ingram,190.5
Andrew White III,200.66
Antonio Blakeney,193.04
Antonius Cleveland,198.12
Aron Baynes,208.28
Ben Moore,203.2
Boban Marjanovic,220.98
Bobby Brown,187.96
Brandon Paul,193.04
Briante Weber,187.96
Bryn Forbes,190.5
C.J. Williams,195.58
Charles Cooke,195.58
Chris Boucher,208.28
Cristiano Felicio,205.74
Damion Lee,198.12
Daniel Theis,205.74
Danuel House Jr.,200.66
David Nwaba,193.04
David Stockton,180.34
Derrick Jones Jr.,200.66
Derrick Walton Jr.,185.42
Devin Robinson,203.2
Dewayne Dedmon,213.36
Dorian Finney-Smith,203.2
Dwight Buycks,190.5
Eric Moreland,208.28
Erik McCree,203.2
Fred VanVleet,182.88
Garrett Temple,198.12
Gary Payton II,190.5
Gian Clavell,193.04
Ian Clark,190.5
Isaiah Hicks,205.74
Isaiah Taylor,190.5
JaKarr Sampson,205.74
JaMychal Green,205.74
Jack Cooley,208.28
Jacob Pullen,185.42
Jacob Wiley,203.2
Jalen Jones,200.66
Jameel Warney,203.2
Jamel Artis,200.66
James Michael McAdoo,205.74
James Webb III,205.74
Jamil Wilson,200.66
Jarell Eddie,200.66
Jaylen Morris,195.58
Joe Ingles,203.2
John Holland,195.58
Johnathan Motley,208.28
Jonathan Gibson,187.96
Jonathon Simmons,198.12
Josh Gray,185.42
Josh Magette,185.42
Justin Holiday,198.12
Kent Bazemore,195.58
Khem Birch,205.74
Kobi Simmons,193.04
Kyle Collinsworth,198.12
Langston Galloway,187.96
Larry Drew II,187.96
London Perrantes,187.96
Luis Montero,200.66
Luke Kornet,215.9
Malcolm Delaney,190.5
Malcolm Miller,200.66
Mangok Mathiang,208.28
Marcus Georges-Hunt,195.58
Marshall Plumlee,213.36
Matt Costello,208.28
Matt Williams Jr.,195.58
Matthew Dellavedova,193.04
Maxi Kleber,210.82
Milos Teodosic,195.58
Milton Doyle,193.04
Mindaugas Kuzminskas,205.74
Mirza Teletovic,205.74
Myke Henry,198.12
Naz Mitrou-Long,193.04
Nicolas Brussino,203.2
Nigel Hayes,200.66
Okaro White,203.2
Omari Johnson,205.74
PJ Dozier,198.12
Quinn Cook,187.96
Reggie Hearn,195.58
Robert Covington,205.74
Rodney McGruder,193.04
Rodney Purvis,193.04
Ron Baker,193.04
Royce O'Neale,198.12
Ryan Arcidiacono,190.5
Salah Mejri,218.44
Scotty Hopson,200.66
Sean Kilpatrick,193.04
Shaquille Harrison,193.04
T.J. McConnell,187.96
Tarik Black,205.74
Tim Frazier,185.42
Tim Quarterman,198.12
Torrey Craig,198.12
Travis Wear,208.28
Treveon Graham,195.58
Trey McKinney-Jones,195.58
Troy Daniels,193.04
Troy Williams,200.66
Tyler Cavanaugh,205.74
Tyler Johnson,193.04
Vander Blue,195.58
Vincent Hunter,203.2
Walt Lemon Jr.,190.5
Wayne Selden,195.58
Willie Reed,210.82
Xavier Munford,193.04
Xavier Rathan-Mayes,193.04
Yogi Ferrell,182.88
Alan Anderson,198.12
Alonzo Gee,198.12
Andres Nocioni,200.66
Anthony Carter,185.42
Anthony Morrow,195.58
Anthony Tolliver,203.2
Ben Uzoh,190.5
Ben Wallace,205.74
Blake Ahearn,187.96
Brad Miller,213.36
C.J. Watson,187.96
Carldell Johnson,177.8
Cartier Martin,200.66
Chris Andersen,208.28
Chris Johnson,210.82
Chris Wright,203.2
Chuck Hayes,198.12
Cory Higgins,195.58
Courtney Fortson,180.34
D.J. Kennedy,195.58
Damien Wilkins,198.12
Darryl Watkins,210.82
Dennis Horner,205.74
Donald Sloan,190.5
Earl Barron,213.36
Earl Boykins,165.1
Edwin Ubiles,198.12
Eric Dawson,205.74
Gary Forbes,200.66
Gary Neal,193.04
Greg Smith,208.28
Greg Stiemsma,210.82
Gustavo Ayon,208.28
Hamed Haddadi,218.44
Ish Smith,182.88
Ivan Johnson,203.2
J.J. Barea,182.88
Jamario Moon,203.2
James Singleton,203.2
Jannero Pargo,185.42
Jeff Adrien,200.66
Jeff Foote,213.36
Jeremy Lin,190.5
Jeremy Pargo,187.96
Jerome Dyson,190.5
Joel Anthony,205.74
John Lucas III,180.34
Jose Calderon,190.5
Josh Davis,203.2
Julyan Stone,198.12
Justin Dentmon,180.34
Kelenna Azubuike,195.58
Lance Thomas,203.2
Larry Owens,200.66
Lou Amundson,205.74
Malcolm Thomas,205.74
Manny Harris,195.58
Marquis Daniels,198.12
Matt Carroll,198.12
Maurice Evans,195.58
Mickell Gladness,210.82
Mike James,187.96
Mikki Moore,213.36
Mychel Thompson,198.12
Raja Bell,195.58
Reggie Evans,203.2
Reggie Williams,198.12
Ronnie Price,187.96
Samardo Samuels,205.74
Sundiata Gaines,185.42
Terrel Harris,193.04
Timofey Mozgov,215.9
Trey Johnson,195.58
Udonis Haslem,203.2
Wesley Matthews,195.58
Will Bynum,182.88
